
[00:00:00.000 --> 00:00:04.240]   [AUDIO OUT]
[00:34:52.880 --> 00:34:54.320]   They want it, so I'm sure they'll figure out
[00:34:54.320 --> 00:34:55.680]   some use for it.
[00:34:55.680 --> 00:34:56.960]   But there was this one little kid,
[00:34:56.960 --> 00:34:59.780]   and he was probably no more than about 10 years old.
[00:34:59.780 --> 00:35:02.000]   All the kids are fighting each other to get these beads,
[00:35:02.000 --> 00:35:04.320]   but he was standing in line, and he wouldn't get it.
[00:35:04.320 --> 00:35:05.520]   So he said, "Hey, you can get it.
[00:35:05.520 --> 00:35:06.360]   "They'll give you one."
[00:35:06.360 --> 00:35:07.800]   He said, "I don't want it."
[00:35:07.800 --> 00:35:09.360]   And so we asked him, "How come you don't want it?"
[00:35:09.360 --> 00:35:11.120]   And he said, "I'm not a Christian."
[00:35:11.120 --> 00:35:14.080]   That's for Christians, "I'm not a Christian."
[00:35:14.080 --> 00:35:15.920]   And I was thinking to myself,
[00:35:15.920 --> 00:35:19.040]   that kid didn't come up with that by himself.
[00:35:19.040 --> 00:35:21.360]   His parents probably told him that.
[00:35:21.360 --> 00:35:23.240]   His parents probably told him,
[00:35:23.240 --> 00:35:27.160]   just like Pastor Saki said about his daughter's friends.
[00:35:27.160 --> 00:35:28.400]   Don't take anything from them,
[00:35:28.400 --> 00:35:29.600]   'cause they're Christian.
[00:35:29.600 --> 00:35:38.120]   The thought came to me that all of these kids
[00:35:38.120 --> 00:35:39.680]   want these beads, and they're,
[00:35:39.680 --> 00:35:41.680]   because of our presence, they're open to the gospel,
[00:35:41.680 --> 00:35:43.620]   they're hearing the gospel,
[00:35:43.620 --> 00:35:45.480]   they're getting eye care, and they're talking to,
[00:35:45.480 --> 00:35:47.040]   you know, maybe people who would have never
[00:35:47.040 --> 00:35:48.720]   had any kind of interaction with these pastors
[00:35:48.720 --> 00:35:51.520]   because of our presence, they were there.
[00:35:51.520 --> 00:35:53.200]   But typically, because of that one kid,
[00:35:53.200 --> 00:35:56.480]   because of the parents' hostility to that one parent,
[00:35:56.480 --> 00:35:58.760]   we say, "Oh, we can't go there."
[00:35:58.760 --> 00:35:59.880]   Right?
[00:35:59.880 --> 00:36:01.320]   The hostility is not with everybody.
[00:36:01.320 --> 00:36:04.680]   Majority of the people there are pretty open.
[00:36:04.680 --> 00:36:07.400]   But because of the hostility of the few,
[00:36:07.400 --> 00:36:08.960]   whether that's in India,
[00:36:08.960 --> 00:36:10.680]   whether that's in the Middle East,
[00:36:11.600 --> 00:36:14.820]   all the other people don't get to hear the gospel,
[00:36:14.820 --> 00:36:18.060]   because one family member in that village says,
[00:36:18.060 --> 00:36:21.220]   "Don't go," 'cause they're hostile to the gospel.
[00:36:21.220 --> 00:36:23.700]   And I just kind of thought about that and said,
[00:36:23.700 --> 00:36:24.820]   you know, we have probably,
[00:36:24.820 --> 00:36:27.660]   for every person that's hostile to the gospel,
[00:36:27.660 --> 00:36:30.340]   you probably have thousands of people
[00:36:30.340 --> 00:36:31.640]   who are eager to hear it.
[00:36:31.640 --> 00:36:35.620]   Is that gonna prevent us from going?
[00:36:35.620 --> 00:36:39.820]   Is that gonna prevent us from taking the gospel there?
[00:36:40.740 --> 00:36:42.340]   And I'll be honest with you,
[00:36:42.340 --> 00:36:45.900]   every time I go, you know, I'm a little bit anxious.
[00:36:45.900 --> 00:36:48.920]   The first time we went out to China,
[00:36:48.920 --> 00:36:50.300]   there's a few of you who was with us
[00:36:50.300 --> 00:36:51.300]   when we first went to China.
[00:36:51.300 --> 00:36:52.560]   I was a little anxious then,
[00:36:52.560 --> 00:36:55.860]   because this is when the Communist Party was very present,
[00:36:55.860 --> 00:36:58.540]   and prior to that, all I saw was military presence.
[00:36:58.540 --> 00:37:00.460]   And so we thought, well, the door is open,
[00:37:00.460 --> 00:37:01.300]   let's see what happens.
[00:37:01.300 --> 00:37:03.460]   And we went, and then that kind of opened the door,
[00:37:03.460 --> 00:37:05.460]   and now Pastor Alex and his family's out there
[00:37:05.460 --> 00:37:07.860]   trying to establish a community there.
[00:37:08.700 --> 00:37:10.780]   But India is another level.
[00:37:10.780 --> 00:37:13.100]   We're going to an area where we don't have any contact,
[00:37:13.100 --> 00:37:15.820]   and if anything happens, we're a five-hour drive away.
[00:37:15.820 --> 00:37:17.840]   So it's not that I'm reckless
[00:37:17.840 --> 00:37:19.660]   and I don't think about these things,
[00:37:19.660 --> 00:37:21.460]   but we went because the door opened.
[00:37:21.460 --> 00:37:24.100]   And there's people who are in dire need.
[00:37:24.100 --> 00:37:27.620]   And again, we're there to support these pastors,
[00:37:27.620 --> 00:37:28.820]   and whatever they need,
[00:37:28.820 --> 00:37:30.820]   we're gonna do our best to support them.
[00:37:30.820 --> 00:37:37.020]   But now India is no longer a project, it's very personal.
[00:37:37.940 --> 00:37:39.940]   Because they become friends.
[00:37:39.940 --> 00:37:41.340]   So when I think of persecution now,
[00:37:41.340 --> 00:37:43.220]   I'm not thinking about Indian people,
[00:37:43.220 --> 00:37:48.220]   I'm thinking about Pastor Matthew, David, Sake, James,
[00:37:48.220 --> 00:37:52.860]   some of the people, some of the pastors that we met.
[00:37:52.860 --> 00:37:54.820]   And I just can't get that out of my mind,
[00:37:54.820 --> 00:37:58.000]   thinking that possibly, you know,
[00:37:58.000 --> 00:37:59.420]   one of these days I'm gonna get an email
[00:37:59.420 --> 00:38:01.560]   saying that something happened,
[00:38:01.560 --> 00:38:04.300]   and now my heart is engaged.
[00:38:04.300 --> 00:38:05.780]   My heart was not engaged in the beginning,
[00:38:05.780 --> 00:38:07.460]   it was just out of obedience.
[00:38:07.460 --> 00:38:08.580]   But now my heart is engaged.
[00:38:08.580 --> 00:38:10.860]   It's very personal now that these are friends of ours
[00:38:10.860 --> 00:38:13.260]   that are risking safety and their children
[00:38:13.260 --> 00:38:14.500]   to get the gospel out.
[00:38:14.500 --> 00:38:16.300]   And I pray that we could support them.
[00:38:16.300 --> 00:38:19.780]   But I wanna wrap up with this.
[00:38:19.780 --> 00:38:23.980]   Paul evaluated everything in his life, in his ministry,
[00:38:23.980 --> 00:38:26.640]   with the Great Commission.
[00:38:26.640 --> 00:38:28.920]   Even while he was sitting in prison.
[00:38:28.920 --> 00:38:30.700]   In Philippians 1, 12 to 14, he says,
[00:38:30.700 --> 00:38:31.680]   "I want you to know, brothers,
[00:38:31.680 --> 00:38:33.280]   "that what has happened to me
[00:38:33.280 --> 00:38:36.180]   "has really served to advance the gospel."
[00:38:36.180 --> 00:38:38.260]   He's not talking about him sitting in prison
[00:38:38.260 --> 00:38:40.220]   and what he has planned, he just says,
[00:38:40.220 --> 00:38:42.860]   "As long as the gospel is preached,
[00:38:42.860 --> 00:38:45.980]   "whether people do it out of pretense or good purpose,
[00:38:45.980 --> 00:38:49.060]   "as long as the gospel is preached."
[00:38:49.060 --> 00:38:51.260]   He says, "Because of my imprisonment,
[00:38:51.260 --> 00:38:53.900]   "even though it was one person going around village to village
[00:38:53.900 --> 00:38:55.700]   "and one person's sacrifice,
[00:38:55.700 --> 00:38:59.380]   "and all these other people became more bold.
[00:38:59.380 --> 00:39:02.700]   "And because of that, I thank God."
[00:39:02.700 --> 00:39:05.140]   Paul evaluated everything based upon
[00:39:05.140 --> 00:39:07.740]   the effectiveness of the gospel.
[00:39:07.740 --> 00:39:10.580]   A success of a church, again,
[00:39:10.580 --> 00:39:13.580]   is not the growth of the church, right?
[00:39:13.580 --> 00:39:15.680]   Just numerical value.
[00:39:15.680 --> 00:39:17.540]   The success of the church in and of itself
[00:39:17.540 --> 00:39:21.020]   is not simply, "Oh, we're so well organized.
[00:39:21.020 --> 00:39:23.380]   "We have so many people that love one another."
[00:39:23.380 --> 00:39:26.500]   I don't know about you, but I've been to
[00:39:26.500 --> 00:39:28.960]   Buddhist organizations where they love each other.
[00:39:28.960 --> 00:39:32.400]   I don't know about you, but I've been to places,
[00:39:32.400 --> 00:39:34.800]   I've been to, you know, like Muslim centers
[00:39:34.800 --> 00:39:38.300]   where they're super organized, right?
[00:39:38.300 --> 00:39:40.980]   The success of the church is directly linked
[00:39:40.980 --> 00:39:42.900]   to the Great Commission.
[00:39:42.900 --> 00:39:45.060]   And that's what Paul says.
[00:39:45.060 --> 00:39:46.280]   And I want to leave you with this,
[00:39:46.280 --> 00:39:48.580]   because this is what this trip,
[00:39:48.580 --> 00:39:51.220]   like it caused me to think.
[00:39:51.220 --> 00:39:53.540]   And it's still remaining with me.
[00:39:53.540 --> 00:39:56.180]   You know, Pastor Sake is the guy that I had contact with.
[00:39:56.180 --> 00:39:58.180]   And so I've been emailing back and forth with him
[00:39:58.180 --> 00:39:59.820]   for the last five years, and then,
[00:39:59.820 --> 00:40:01.780]   actually, last two years, we were able to go.
[00:40:01.780 --> 00:40:03.580]   Now we have a personal relationship.
[00:40:04.680 --> 00:40:07.140]   But Pastor Sake is kind of like the middle child
[00:40:07.140 --> 00:40:08.940]   of three children, and I think maybe that's why
[00:40:08.940 --> 00:40:11.660]   it's easier for me to connect with him, right?
[00:40:11.660 --> 00:40:13.540]   And it was so funny, 'cause I asked him, like,
[00:40:13.540 --> 00:40:16.580]   "Did your older brother beat you when you were young?"
[00:40:16.580 --> 00:40:18.620]   And he just, matter of fact, "Yes."
[00:40:18.620 --> 00:40:21.620]   And I said, "Did you torture your younger brother?"
[00:40:21.620 --> 00:40:24.300]   Which is Pastor David, and he just says, "Of course."
[00:40:24.300 --> 00:40:25.860]   That's what he said.
[00:40:25.860 --> 00:40:28.180]   And I was like, "Yes, this guy understands."
[00:40:28.180 --> 00:40:30.020]   Why not, right?
[00:40:30.020 --> 00:40:32.660]   It's like, anyway, so he was sharing this,
[00:40:32.660 --> 00:40:36.040]   and the reason why I like talking to Pastor David,
[00:40:36.040 --> 00:40:38.240]   Pastor Sake is the mouthpiece of this family.
[00:40:38.240 --> 00:40:39.240]   He's the one presenting.
[00:40:39.240 --> 00:40:42.200]   Whenever there's a presentation, he's the one translating.
[00:40:42.200 --> 00:40:46.160]   But Pastor David is the one, the younger brother,
[00:40:46.160 --> 00:40:48.800]   who was abused all his life, and so when he,
[00:40:48.800 --> 00:40:51.400]   he's the introvert, you know, he only,
[00:40:51.400 --> 00:40:53.400]   usually talks when you ask him a question.
[00:40:53.400 --> 00:40:54.560]   He doesn't really initiate.
[00:40:54.560 --> 00:40:56.200]   And then when you do ask him a question,
[00:40:56.200 --> 00:40:58.480]   he just says things matter of fact, right?
[00:40:58.480 --> 00:40:59.680]   He just says it, just says it.
[00:40:59.680 --> 00:41:02.200]   He doesn't think about, like, how is this gonna come across?
[00:41:02.200 --> 00:41:03.760]   He just says it, right?
[00:41:03.760 --> 00:41:05.840]   And so I think one of the guys asked him, like,
[00:41:05.840 --> 00:41:07.440]   what was the hardest thing, you know,
[00:41:07.440 --> 00:41:09.160]   the craziest thing that you experienced?
[00:41:09.160 --> 00:41:11.600]   And he said, "Oh, you know, we run into cobras."
[00:41:11.600 --> 00:41:13.240]   And he says, "Yeah, you know, one time,
[00:41:13.240 --> 00:41:15.480]   "we had to run from a tiger, you know."
[00:41:15.480 --> 00:41:16.440]   (audience laughing)
[00:41:16.440 --> 00:41:17.560]   But it's just the way he talks.
[00:41:17.560 --> 00:41:18.480]   Like, "Yeah, run from a tiger,
[00:41:18.480 --> 00:41:20.240]   "and then we went and ate lunch."
[00:41:20.240 --> 00:41:23.240]   And, you know, and usually he's just very matter of fact.
[00:41:23.240 --> 00:41:24.340]   Right?
[00:41:24.340 --> 00:41:26.760]   So he doesn't talk about the hardship and persecution,
[00:41:26.760 --> 00:41:27.760]   like, "Oh, it's so hard."
[00:41:27.760 --> 00:41:31.680]   He just, he just says, "Yeah, it's hard.
[00:41:31.680 --> 00:41:33.320]   "You know, we can't pay bills."
[00:41:33.320 --> 00:41:35.280]   That's it, the end.
[00:41:35.280 --> 00:41:37.400]   You know, usually that's how the conversation goes.
[00:41:37.400 --> 00:41:39.780]   But one thing that, in the context of talking to him,
[00:41:39.780 --> 00:41:42.480]   that he said to me, again, he said it just in passing,
[00:41:42.480 --> 00:41:44.040]   that really stuck with me.
[00:41:44.040 --> 00:41:47.440]   I asked him about the hardship of persecution.
[00:41:47.440 --> 00:41:50.580]   He says, "Yeah, persecution is growing."
[00:41:50.580 --> 00:41:53.440]   And he mentioned a specific incident that happened
[00:41:53.440 --> 00:41:54.280]   not that long ago.
[00:41:54.280 --> 00:41:56.480]   It's not near his home, but it's maybe about the distance
[00:41:56.480 --> 00:42:00.720]   between here and NorCal, but it's in that same state.
[00:42:00.720 --> 00:42:03.520]   And he said, "A Christian got beaten and killed.
[00:42:03.520 --> 00:42:05.940]   "Last year in that same area, I got an email
[00:42:05.940 --> 00:42:07.680]   "from one of our contacts in Bangalore
[00:42:07.680 --> 00:42:11.280]   "asking us to pray for them, because two of their pastors
[00:42:11.280 --> 00:42:14.000]   "going into the village basically got jumped,
[00:42:14.000 --> 00:42:15.560]   "and they had their teeth knocked out,
[00:42:15.560 --> 00:42:16.860]   "and both their legs broke in.
[00:42:16.860 --> 00:42:17.780]   "And so they were in the hospital
[00:42:17.780 --> 00:42:18.900]   "asking us to pray for them.
[00:42:18.900 --> 00:42:20.320]   "This is right before we went.
[00:42:20.320 --> 00:42:21.520]   "I got this email.
[00:42:21.520 --> 00:42:23.100]   "I didn't share it with our team,
[00:42:23.100 --> 00:42:24.200]   "'cause I didn't wanna freak them out."
[00:42:24.200 --> 00:42:26.560]   But basically, this same thing happened
[00:42:26.560 --> 00:42:27.520]   in that similar area.
[00:42:27.520 --> 00:42:30.200]   Again, it's about five hours drive from where they are.
[00:42:30.200 --> 00:42:32.440]   And he said, "Yeah, it wasn't reported in the media,
[00:42:32.440 --> 00:42:34.380]   "but all the Christians know about it.
[00:42:34.380 --> 00:42:36.960]   "So they got jumped and they got killed."
[00:42:36.960 --> 00:42:39.760]   And he said, "We see persecution coming."
[00:42:39.760 --> 00:42:43.540]   And where Pastor Sake lives is the next hotbed
[00:42:43.540 --> 00:42:44.680]   of this persecution.
[00:42:44.680 --> 00:42:46.960]   And when he says persecution coming,
[00:42:46.960 --> 00:42:49.160]   he's not talking about people throwing rocks
[00:42:49.160 --> 00:42:51.920]   and beating them, because they're already experiencing
[00:42:51.920 --> 00:42:52.760]   that in the village.
[00:42:52.760 --> 00:42:55.240]   When he says persecution, he's talking about death.
[00:42:55.240 --> 00:42:56.360]   He says, "We see it coming."
[00:42:56.360 --> 00:42:59.000]   And again, like I said, he says it very matter of fact.
[00:42:59.000 --> 00:43:01.400]   He just kinda says it like, "This is it."
[00:43:01.400 --> 00:43:05.000]   "We see persecution coming, but we're not afraid.
[00:43:05.000 --> 00:43:07.640]   "We're gonna keep doing God's work."
[00:43:07.640 --> 00:43:08.840]   And he just says that.
[00:43:08.840 --> 00:43:10.480]   And then we just go back to eating.
[00:43:10.480 --> 00:43:12.080]   (audience laughs)
[00:43:12.080 --> 00:43:14.200]   And when he said that, as I was eating,
[00:43:14.200 --> 00:43:17.120]   I was just thinking, "Wow, this is real to them."
[00:43:17.120 --> 00:43:19.760]   To us, it's a theory.
[00:43:19.760 --> 00:43:21.420]   It's things that we read about.
[00:43:21.420 --> 00:43:23.000]   We go there for a week and we come back
[00:43:23.000 --> 00:43:24.680]   and we're affected by it.
[00:43:24.680 --> 00:43:27.120]   And they're living in the context of this every day,
[00:43:27.120 --> 00:43:29.920]   and they could easily fix the problem.
[00:43:29.920 --> 00:43:31.240]   Stop preaching the gospel.
[00:43:31.240 --> 00:43:33.620]   Stop going to these villages.
[00:43:33.620 --> 00:43:37.520]   Practice your faith in your home
[00:43:37.520 --> 00:43:39.200]   with the Christians who are already Christians,
[00:43:39.200 --> 00:43:43.000]   and just encourage each other to stay faithful.
[00:43:43.000 --> 00:43:45.400]   All they have to do is stop going to these villages.
[00:43:45.400 --> 00:43:46.760]   Stop preaching the gospel.
[00:43:46.760 --> 00:43:52.640]   But just as a matter of fact, we see persecution coming,
[00:43:52.640 --> 00:43:53.680]   but we're not afraid.
[00:43:55.000 --> 00:43:57.520]   And their fellowship is embedded in my head
[00:43:57.520 --> 00:44:00.280]   because I saw the 32 pastors.
[00:44:00.280 --> 00:44:03.280]   Last year, we didn't know who they were until the last day,
[00:44:03.280 --> 00:44:04.440]   but I knew right away.
[00:44:04.440 --> 00:44:06.860]   And I was able to see the interaction.
[00:44:06.860 --> 00:44:11.720]   Their interaction was no different than the way we interact.
[00:44:11.720 --> 00:44:15.200]   I was with Pastor Alex and we're joking around, having fun.
[00:44:15.200 --> 00:44:19.040]   And it's typically like that when all the coworkers
[00:44:19.040 --> 00:44:20.120]   would be gathered together.
[00:44:20.120 --> 00:44:21.620]   And our team, we just hang around.
[00:44:21.620 --> 00:44:22.720]   We're having a lot of fun.
[00:44:22.720 --> 00:44:26.040]   And we saw their interactions as a bunch of friends.
[00:44:26.040 --> 00:44:29.280]   These pastors risking everything to go to the villages,
[00:44:29.280 --> 00:44:30.120]   share the gospel.
[00:44:30.120 --> 00:44:31.720]   And as I was looking at that, I said,
[00:44:31.720 --> 00:44:34.920]   wow, these guys are no different than us,
[00:44:34.920 --> 00:44:38.280]   but they're risking everything to get the gospel out.
[00:44:38.280 --> 00:44:42.340]   So I come back this trip and I ask you to pray
[00:44:42.340 --> 00:44:45.040]   that God would make it clear to us how to proceed.
[00:44:45.040 --> 00:44:47.600]   And to me, it seems clear that these are people
[00:44:47.600 --> 00:44:49.040]   we need to get behind.
[00:44:49.040 --> 00:44:52.440]   And to partner, again, not just financially.
[00:44:52.440 --> 00:44:55.520]   Finance is the easiest part, right?
[00:44:55.520 --> 00:44:58.000]   How, knowing these people personally,
[00:44:58.000 --> 00:44:59.280]   how is it gonna affect my life?
[00:44:59.280 --> 00:45:00.960]   How is it gonna affect your life?
[00:45:00.960 --> 00:45:03.840]   And I pray that as a church,
[00:45:03.840 --> 00:45:07.640]   that we would not simply onlookers and just clap hands
[00:45:07.640 --> 00:45:10.560]   and saying, God, thank you for these people.
[00:45:10.560 --> 00:45:13.840]   But that you and I would also heed the commandment
[00:45:13.840 --> 00:45:15.600]   that's given to us.
[00:45:15.600 --> 00:45:18.720]   And that God would give us a heart as we obey.
[00:45:18.720 --> 00:45:21.000]   So can you take some time to pray with me this morning
[00:45:21.000 --> 00:45:23.160]   as I welcome the priest in back.
[00:45:23.160 --> 00:45:26.440]   Just take a minute, I know a lot of time has already gone.
[00:45:26.440 --> 00:45:29.200]   Take a minute to examine our lives.
[00:45:29.200 --> 00:45:31.320]   And I wanna ask you, some of the frustration
[00:45:31.320 --> 00:45:32.920]   that you feel as a Christian,
[00:45:32.920 --> 00:45:36.460]   how much of that is related to what I said this morning?
[00:45:36.460 --> 00:45:39.080]   That you feel a disconnect in your walk with God.
[00:45:39.080 --> 00:45:40.280]   You come to church, you serve,
[00:45:40.280 --> 00:45:42.500]   you're in the midst of fellowship around the church,
[00:45:42.500 --> 00:45:45.400]   you're serving the church even, but there's a disconnect.

