
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:35:51.280 --> 00:35:53.880]   to the things that are happening in our lives.
[00:35:53.880 --> 00:35:55.540]   And especially during this time, Lord,
[00:35:55.540 --> 00:35:58.600]   I pray that God, while physically,
[00:35:58.600 --> 00:36:00.960]   we're literally forced now,
[00:36:00.960 --> 00:36:04.640]   and by good measure, Lord, we are having to make sure
[00:36:04.640 --> 00:36:06.840]   that we're creating some distance.
[00:36:06.840 --> 00:36:09.000]   Help us, Father God, to make sure
[00:36:09.000 --> 00:36:11.560]   that we are being spiritually united
[00:36:11.560 --> 00:36:14.280]   and that we make every effort to be one,
[00:36:14.280 --> 00:36:16.300]   that God, we would be one in thought
[00:36:16.300 --> 00:36:18.600]   and that we would be one in heart towards you.
[00:36:18.600 --> 00:36:21.080]   We love you, it's in Christ, and we pray, amen.
[00:36:21.080 --> 00:36:31.080]   [BLANK_AUDIO]

