
[00:00:00.000 --> 00:00:11.400]   Okay, hello everybody.
[01:01:52.260 --> 01:01:56.960]   There is an active worship going on in that time and place.
[01:01:56.960 --> 01:02:01.840]   Question to you is think about your own day and think about what's going on.
[01:02:01.840 --> 01:02:06.360]   We can go on with this one but I'll let you guys stew on that one.
[01:02:06.360 --> 01:02:07.360]   Next bullet point.
[01:02:07.360 --> 01:02:11.160]   He has authority for 42 months which is again the last 3.5 years of the great tribulation.
[01:02:11.160 --> 01:02:14.880]   Notice again that it says that he is allowed authority.
[01:02:14.880 --> 01:02:17.360]   He is allowed authority.
[01:02:17.360 --> 01:02:19.760]   It is an illusion when people think they are in control.
[01:02:19.760 --> 01:02:23.880]   It is an illusion even for Satan to think that he has control during this time.
[01:02:23.880 --> 01:02:25.600]   He is given it.
[01:02:25.600 --> 01:02:28.920]   If you guys look to chapter 13, you're going to see that every time it says that it was
[01:02:28.920 --> 01:02:29.920]   given him.
[01:02:29.920 --> 01:02:30.920]   It was given him.
[01:02:30.920 --> 01:02:34.600]   It was given to him as permission from God.
[01:02:34.600 --> 01:02:41.160]   Remember that in Job 1.12.
[01:02:41.160 --> 01:02:46.760]   Conquering the saints means that he can harm them and even kill them, not take their salvation.
[01:02:46.760 --> 01:02:49.720]   That would be bringing peace to us.
[01:02:49.720 --> 01:02:54.280]   He cannot take their salvation.
[01:02:54.280 --> 01:02:58.680]   That is why in verse 10 it said, "Just go and be taken captive.
[01:02:58.680 --> 01:03:00.520]   Go and be killed.
[01:03:00.520 --> 01:03:04.480]   Don't pledge allegiance to the beast so that you can survive.
[01:03:04.480 --> 01:03:11.960]   Just go and die because you're going to be with me."
[01:03:11.960 --> 01:03:15.280]   Roman numeral three, the second beast.
[01:03:15.280 --> 01:03:18.120]   The fact that the second beast will come from the earth might show that this is someone
[01:03:18.120 --> 01:03:20.600]   nearby and local.
[01:03:20.600 --> 01:03:22.200]   This comes from chapter 13 verse 11.
[01:03:22.200 --> 01:03:25.640]   It says, "Then I saw another beast rising out of the earth.
[01:03:25.640 --> 01:03:28.160]   It had two horns like a lamb and it spoke like a dragon.
[01:03:28.160 --> 01:03:31.400]   It exercised all the authority of the first beast in its presence and makes the earth
[01:03:31.400 --> 01:03:35.400]   and its inhabitants worship the first beast whose mortal wound was healed.
[01:03:35.400 --> 01:03:39.120]   It performs great signs, even making fire come down from heaven to earth in front of
[01:03:39.120 --> 01:03:40.120]   people.
[01:03:40.120 --> 01:03:43.560]   And by the signs that is allowed to work in the presence of the beast, it deceives those
[01:03:43.560 --> 01:03:46.680]   who dwell on earth, telling them to make an image for the beast that was wounded by the
[01:03:46.680 --> 01:03:48.400]   sword and yet lived.
[01:03:48.400 --> 01:03:51.640]   And it was allowed to give breath to the image of the beast so that the image of the beast
[01:03:51.640 --> 01:03:54.920]   might even speak and might cause those who would not worship the image of the beast to
[01:03:54.920 --> 01:03:55.920]   be slain.
[01:03:55.920 --> 01:03:59.720]   Also, it causes all, both small and great, both rich and poor, both free and slave, to
[01:03:59.720 --> 01:04:03.960]   be marked on the right hand or the forehead so that no one can buy or sell unless he has
[01:04:03.960 --> 01:04:11.080]   the mark that is the name of the beast or the number of its name."
[01:04:11.080 --> 01:04:14.400]   So we saw the beast coming out of the sea from far off land.
[01:04:14.400 --> 01:04:16.320]   Now this is someone probably local.
[01:04:16.320 --> 01:04:17.320]   Now think about this.
[01:04:17.320 --> 01:04:21.120]   If there is an Antichrist that is coming from a far off land, then you want someone that
[01:04:21.120 --> 01:04:22.640]   feels more local, right?
[01:04:22.640 --> 01:04:24.800]   To attest for this person.
[01:04:24.800 --> 01:04:30.760]   So we're seeing the works of another person here.
[01:04:30.760 --> 01:04:34.080]   And it says that he will look like a lamb, which is Jesus, but he will speak like a dragon,
[01:04:34.080 --> 01:04:35.120]   which is Satan.
[01:04:35.120 --> 01:04:51.840]   This is likely a false prophet.
[01:04:51.840 --> 01:04:55.720]   If Antichrist, this Antichrist that we're talking about, if he is the one claiming to
[01:04:55.720 --> 01:05:00.440]   be God, this is the false prophet that is like, so if he is a false God, here is the
[01:05:00.440 --> 01:05:01.440]   false prophet.
[01:05:01.440 --> 01:05:03.480]   Does that make sense?
[01:05:03.480 --> 01:05:07.120]   Because there is the real God and then there are his prophets.
[01:05:07.120 --> 01:05:08.120]   That's why we have this.
[01:05:08.120 --> 01:05:12.280]   Now there is the false God and here is the false prophet, the one who attests to him,
[01:05:12.280 --> 01:05:17.000]   who points to him and says, "Thus saith the Lord."
[01:05:17.000 --> 01:05:19.320]   This is the type of guy that's coming out.
[01:05:19.320 --> 01:05:22.760]   False prophets are very winsome and attractive in speech.
[01:05:22.760 --> 01:05:27.160]   A bulk of what they say might even be truthful.
[01:05:27.160 --> 01:05:31.360]   Not the truth, truthful.
[01:05:31.360 --> 01:05:34.160]   So false prophets are very winsome and attractive in speech.
[01:05:34.160 --> 01:05:38.600]   Let's look at some text here about false prophets.
[01:05:38.600 --> 01:05:42.920]   You could swing through all of these.
[01:05:42.920 --> 01:05:46.840]   Matthew chapter 7, verse 15 through 20 says, "Beware of false prophets who come to you
[01:05:46.840 --> 01:05:49.560]   in sheep's clothing, but inwardly are ravenous wolves.
[01:05:49.560 --> 01:05:51.320]   You will recognize them by their fruits.
[01:05:51.320 --> 01:05:54.120]   Are grapes gathered from the thorn bushes or figs from thistles?
[01:05:54.120 --> 01:05:57.680]   So every healthy tree bears good fruit, but the diseased trees bear bad fruit.
[01:05:57.680 --> 01:06:02.440]   A healthy tree cannot bear bad fruit, nor can a diseased tree bear good fruit.
[01:06:02.440 --> 01:06:05.520]   Every tree that does not bear good fruit is cut down and thrown into the fire.
[01:06:05.520 --> 01:06:07.760]   Thus you will recognize them by their fruits."
[01:06:07.760 --> 01:06:10.400]   So he's telling us how we can recognize a false prophet.
[01:06:10.400 --> 01:06:15.280]   Now the false prophets being talked about in Matthew there is most likely talking about
[01:06:15.280 --> 01:06:23.360]   these Jewish leaders, the Pharisees who are saying this is how you're going to be saved
[01:06:23.360 --> 01:06:25.040]   and things like that.
[01:06:25.040 --> 01:06:29.280]   But he's saying even here with these types of false prophets you will recognize them
[01:06:29.280 --> 01:06:30.600]   by their fruits.
[01:06:30.600 --> 01:06:35.480]   Next, Galatians 1, 6 through 7.
[01:06:35.480 --> 01:06:38.120]   Now this is the working of the false prophets, the Judaizers.
[01:06:38.120 --> 01:06:42.080]   "I am astonished that you are so quickly deserting him who called you in the grace of Christ
[01:06:42.080 --> 01:06:43.760]   and are turning to a different gospel.
[01:06:43.760 --> 01:06:46.640]   Not that there is another one, but there are some who trouble you and want to distort the
[01:06:46.640 --> 01:06:47.640]   gospel of Christ."
[01:06:47.640 --> 01:06:50.680]   This is a false prophet that has done this, a false teacher.
[01:06:50.680 --> 01:06:54.720]   And look, can you believe that there are people who have just heard the gospel, who are so
[01:06:54.720 --> 01:06:59.200]   close to the time of the death and resurrection of Christ, and they are already being led
[01:06:59.200 --> 01:07:00.200]   astray.
[01:07:00.200 --> 01:07:03.260]   Paul is using a very strong language here, right?
[01:07:03.260 --> 01:07:07.760]   Not only in the fact that he's saying they're going to be accursed, but that I am astonished,
[01:07:07.760 --> 01:07:09.240]   I am like flabbergasted.
[01:07:09.240 --> 01:07:10.240]   What?
[01:07:10.240 --> 01:07:13.280]   Like how can you already have been led astray?
[01:07:13.280 --> 01:07:14.280]   And these aren't dumb people.
[01:07:14.280 --> 01:07:17.720]   We're not saying, "Oh, you know, like if they're led astray, they're dumb."
[01:07:17.720 --> 01:07:19.360]   If you say that, you're dumb, right?
[01:07:19.360 --> 01:07:21.000]   Like that's how it should be.
[01:07:21.000 --> 01:07:24.800]   What it is, is the fact that they're led astray means that these false teachers are winsome
[01:07:24.800 --> 01:07:26.960]   and attractive in their speech.
[01:07:26.960 --> 01:07:28.280]   That's what false prophets are like.
[01:07:28.280 --> 01:07:29.280]   Next one.
[01:07:29.280 --> 01:07:30.280]   2 Timothy 4, 3-4.
[01:07:30.280 --> 01:07:34.320]   "For the time is coming when people will not endure sound teaching, but having itching
[01:07:34.320 --> 01:07:38.920]   ears," here it is, "they will accumulate for themselves teachers to suit their own passions
[01:07:38.920 --> 01:07:42.040]   and will turn away from listening to the truth and wander off into myths."
[01:07:42.040 --> 01:07:47.160]   Now if we're talking about the dragon and the first and second beasts, we're saying
[01:07:47.160 --> 01:07:51.720]   like, "Okay, these are the ones that are like, 'Oh, all the people are victims.'"
[01:07:51.720 --> 01:07:53.960]   Like they're the ones being tricked.
[01:07:53.960 --> 01:07:57.360]   But actually there are two parts to this, and this is a passage that I think really
[01:07:57.360 --> 01:07:58.360]   sheds light on it.
[01:07:58.360 --> 01:08:01.200]   "They will accumulate for themselves teachers to what?
[01:08:01.200 --> 01:08:03.200]   Suit their own passions."
[01:08:03.200 --> 01:08:07.560]   Right in line with this.
[01:08:07.560 --> 01:08:09.240]   Mankind during this time, they are not the victims.
[01:08:09.240 --> 01:08:10.560]   They are just like this.
[01:08:10.560 --> 01:08:13.680]   This is one kingdom of evil.
[01:08:13.680 --> 01:08:15.400]   That's just how it is.
[01:08:15.400 --> 01:08:16.400]   Next one.
[01:08:16.400 --> 01:08:17.600]   And then 2 Peter 2-1.
[01:08:17.600 --> 01:08:21.560]   "But false prophets also arose among the people, just as there will be false teachers among
[01:08:21.560 --> 01:08:25.880]   you who will secretly bring in destructive heresies, even denying the master who brought
[01:08:25.880 --> 01:08:31.200]   them, bringing upon themselves swift destruction."
[01:08:31.200 --> 01:08:33.120]   So these are false prophets.
[01:08:33.120 --> 01:08:35.600]   Next bullet point there is false prophets walk amongst us today.
[01:08:35.600 --> 01:08:37.360]   We're going to move on from this.
[01:08:37.360 --> 01:08:38.840]   We're going to come back to that at the end.
[01:08:38.840 --> 01:08:40.400]   We're almost done here.
[01:08:40.400 --> 01:08:44.560]   We must learn to discern truth from error because these false prophets are going to
[01:08:44.560 --> 01:08:48.360]   bring false teaching.
[01:08:48.360 --> 01:08:52.200]   And so we must discern truth from error.
[01:08:52.200 --> 01:08:57.560]   Now right here I have 8 consequences of false doctrines written for you.
[01:08:57.560 --> 01:09:01.360]   And this is from a guy named Tim Chalice, and I thought it was excellent how he broke
[01:09:01.360 --> 01:09:02.360]   it down.
[01:09:02.360 --> 01:09:05.560]   So here are false doctrines.
[01:09:05.560 --> 01:09:10.080]   False doctrines confuses truth and error, while sound doctrine distinguishes truth and
[01:09:10.080 --> 01:09:13.080]   error.
[01:09:13.080 --> 01:09:19.400]   False doctrine prevents godliness, while sound doctrine promotes godliness.
[01:09:19.400 --> 01:09:24.280]   False doctrine promotes sin, while sound doctrine prevents sin.
[01:09:24.280 --> 01:09:29.240]   False doctrine elevates ungodly leadership, while sound doctrine qualifies godly leadership.
[01:09:29.240 --> 01:09:34.440]   False doctrine permits false teachers, while sound doctrine protects against false teachers.
[01:09:34.440 --> 01:09:38.400]   False doctrine removes God's blessing, while sound doctrine ensures God's blessing.
[01:09:38.400 --> 01:09:41.880]   False doctrine debilitates the church for times of difficulty, while sound doctrine
[01:09:41.880 --> 01:09:44.360]   equips the church for times of difficulty.
[01:09:44.360 --> 01:09:48.120]   False doctrine weakens the future church, while sound doctrine strengthens the future
[01:09:48.120 --> 01:09:49.120]   church.
[01:09:49.120 --> 01:09:54.680]   And there's an element of all of this where you will know them by their fruits.
[01:09:54.680 --> 01:10:00.200]   So if you see the false doctrines, these things are going to be happening.
[01:10:00.200 --> 01:10:01.720]   It's going to confuse truth and error.
[01:10:01.720 --> 01:10:03.000]   It's going to prevent godliness.
[01:10:03.000 --> 01:10:04.360]   It's going to provoke sin.
[01:10:04.360 --> 01:10:06.280]   It's going to elevate ungodly leadership.
[01:10:06.280 --> 01:10:07.880]   It's going to permit false teaching.
[01:10:07.880 --> 01:10:09.280]   It is going to remove God's blessing.
[01:10:09.280 --> 01:10:11.720]   It is going to debilitate the church for times of difficulty.
[01:10:11.720 --> 01:10:17.000]   It is going to weaken the future church.
[01:10:17.000 --> 01:10:19.320]   And so how can we discern, right?
[01:10:19.320 --> 01:10:20.320]   This is what's going to happen.
[01:10:20.320 --> 01:10:21.320]   This is the consequence.
[01:10:21.320 --> 01:10:27.360]   Well, the next slide, I have for you a little chart here.
[01:10:27.360 --> 01:10:29.000]   So how can you tell?
[01:10:29.000 --> 01:10:32.400]   Well, this is a simple one.
[01:10:32.400 --> 01:10:35.800]   There's a truth portion and a false portion.
[01:10:35.800 --> 01:10:43.560]   So if the origin of the false teaching, if it's from the creator or if it has to do with
[01:10:43.560 --> 01:10:46.440]   the creator, then you accept it.
[01:10:46.440 --> 01:10:50.480]   But if it comes from creation or has to do with creation, you reject it.
[01:10:50.480 --> 01:10:52.960]   Now don't think too deeply into that one.
[01:10:52.960 --> 01:10:56.680]   Authority, if it's biblical, you can accept it.
[01:10:56.680 --> 01:10:58.080]   If it's unbiblical, don't accept it.
[01:10:58.080 --> 01:11:03.680]   Now we're like, "Uh, duh," you know, like, "Pastor Nathan, come on."
[01:11:03.680 --> 01:11:13.320]   Isn't it crazy how like just that second one there is so, like, we're really bad at it?
[01:11:13.320 --> 01:11:18.080]   Like if a false teacher were to come to you and say something, like they said a passage
[01:11:18.080 --> 01:11:24.840]   and then they described it, would you be able to discern whether that was biblical or unbiblical?
[01:11:24.840 --> 01:11:27.000]   Consistency, is it familiar or is it unfamiliar?
[01:11:27.000 --> 01:11:29.160]   This is more important than you might realize too.
[01:11:29.160 --> 01:11:33.920]   Like if it's something that has been tested and proved throughout history, then you can
[01:11:33.920 --> 01:11:34.920]   accept it.
[01:11:34.920 --> 01:11:39.080]   But if it's unfamiliar, someone's coming up with like, "I have this new knowledge," then
[01:11:39.080 --> 01:11:43.400]   you're like, "Uh, uh," you know, like, "Please get away from me."
[01:11:43.400 --> 01:11:44.400]   All right.
[01:11:44.400 --> 01:11:50.800]   Quality, if it's sound versus unsound, that means it holds weight, it's rational, it's
[01:11:50.800 --> 01:11:53.120]   logical, it makes sense.
[01:11:53.120 --> 01:11:58.240]   And this might be like another "duh" thing too, but you'd be surprised at how there are
[01:11:58.240 --> 01:12:02.320]   so many false teachers out there who are propagating things where you're like, "Do you not see
[01:12:02.320 --> 01:12:09.160]   that your A is false and so your B is false?"
[01:12:09.160 --> 01:12:16.960]   And like, you know, now this is one thing, one like trick I'll say to you guys.
[01:12:16.960 --> 01:12:22.440]   There are going to be people who say something A and it's going to be false.
[01:12:22.440 --> 01:12:24.680]   And so you're going to be like, "Oh, that was weird."
[01:12:24.680 --> 01:12:29.560]   But they're going to move really quickly on to B. So A, therefore B. But B actually makes
[01:12:29.560 --> 01:12:30.560]   sense.
[01:12:30.560 --> 01:12:31.560]   Okay.
[01:12:31.560 --> 01:12:32.560]   But A is connected to it.
[01:12:32.560 --> 01:12:38.680]   So A is the origin, goes to B, and then from there it just goes C, D, E, F. Now if you
[01:12:38.680 --> 01:12:43.120]   believe B and on, it all makes sense.
[01:12:43.120 --> 01:12:47.560]   But when you want to test it to see if it's sound or unsound, you need to get to the origin
[01:12:47.560 --> 01:12:49.420]   of it.
[01:12:49.420 --> 01:12:53.280]   So they're going to say things like, "Well, do you believe this?"
[01:12:53.280 --> 01:12:55.280]   And you're going to be like, "No, I don't believe that."
[01:12:55.280 --> 01:12:56.280]   "Well, but what about this?"
[01:12:56.280 --> 01:12:58.600]   And you're going to be like, "Oh, I guess that kind of makes sense."
[01:12:58.600 --> 01:13:01.240]   And from there they're going to take it.
[01:13:01.240 --> 01:13:05.440]   If you guys have ever read the book The Da Vinci Code or something like that, that's all
[01:13:05.440 --> 01:13:07.400]   that book is.
[01:13:07.400 --> 01:13:11.600]   It says very false things at its foundation.
[01:13:11.600 --> 01:13:15.880]   And then because of that, everything logically makes sense after that.
[01:13:15.880 --> 01:13:19.440]   And so the whole of the argument sounds good.
[01:13:19.440 --> 01:13:21.960]   "Dude, then what's wrong with our faith?
[01:13:21.960 --> 01:13:23.800]   What's wrong with our Bible?"
[01:13:23.800 --> 01:13:28.160]   And then you realize, "Oh, but the beginning of it's wrong," meaning the whole thing is
[01:13:28.160 --> 01:13:29.160]   false, right?
[01:13:29.160 --> 01:13:31.960]   It's kind of like that.
[01:13:31.960 --> 01:13:34.120]   The next one down there is benefit.
[01:13:34.120 --> 01:13:36.320]   Is it healthy or unhealthy?
[01:13:36.320 --> 01:13:37.840]   Just so simple.
[01:13:37.840 --> 01:13:40.720]   Is this good for us or is it not?
[01:13:40.720 --> 01:13:42.120]   Value, is it profitable or unprofitable?
[01:13:42.120 --> 01:13:43.120]   Same thing.
[01:13:43.360 --> 01:13:47.640]   So the Christian's responsibility there, if it checks all these things on the left side,
[01:13:47.640 --> 01:13:48.640]   accept it.
[01:13:48.640 --> 01:13:53.600]   If it checks even one of the right side, you got to like, "Uh."
[01:13:53.600 --> 01:13:54.600]   Okay?
[01:13:54.600 --> 01:13:56.160]   All right.
[01:13:56.160 --> 01:13:57.640]   Next slide.
[01:13:57.640 --> 01:14:00.600]   So some false teachers through history.
[01:14:00.600 --> 01:14:03.320]   There's one at the time, Brian McLaren.
[01:14:03.320 --> 01:14:10.360]   He is the prosperity and then the postmodern gospel.
[01:14:10.360 --> 01:14:14.200]   I kind of came through this guy so we can call him a false teacher.
[01:14:14.200 --> 01:14:15.200]   Next one.
[01:14:15.200 --> 01:14:16.200]   Benny Hinn.
[01:14:16.200 --> 01:14:18.040]   You guys have maybe seen him.
[01:14:18.040 --> 01:14:22.000]   People make YouTube videos of him pretending to be a Star Wars guy and stuff.
[01:14:22.000 --> 01:14:23.240]   Have you seen that?
[01:14:23.240 --> 01:14:24.240]   It's so funny.
[01:14:24.240 --> 01:14:28.080]   Benny Hinn is a guy who slays people by the spirit.
[01:14:28.080 --> 01:14:34.040]   So people will come in droves and lines and then he'll do this and they'll start convulsing
[01:14:34.040 --> 01:14:35.160]   and stuff.
[01:14:35.160 --> 01:14:37.160]   And then he gets his jacket.
[01:14:37.160 --> 01:14:40.800]   He pulls off his jacket and one at a time he goes down the line and hits each person.
[01:14:40.800 --> 01:14:42.840]   Every person is falling down, being slain by the spirit.
[01:14:42.840 --> 01:14:44.320]   And there's a YouTube.
[01:14:44.320 --> 01:14:45.960]   I'm wasting time but I don't care.
[01:14:45.960 --> 01:14:52.000]   There's this YouTube video where someone put a lightsaber instead of the jacket.
[01:14:52.000 --> 01:14:54.040]   It's so funny.
[01:14:54.040 --> 01:14:56.880]   I'm going to show you guys.
[01:14:56.880 --> 01:14:57.880]   It's so funny.
[01:14:57.880 --> 01:15:00.000]   It shouldn't be funny though.
[01:15:00.000 --> 01:15:01.440]   Next one.
[01:15:01.440 --> 01:15:02.640]   Charles Taze Russell.
[01:15:02.640 --> 01:15:03.960]   Anyone know who this is?
[01:15:03.960 --> 01:15:04.960]   Huh?
[01:15:04.960 --> 01:15:10.560]   Oh, anyone know who Charles Taze Russell is?
[01:15:10.560 --> 01:15:11.560]   Jehovah's Witnesses.
[01:15:11.560 --> 01:15:12.560]   Nice.
[01:15:12.560 --> 01:15:13.560]   Great.
[01:15:13.560 --> 01:15:14.560]   Founder of that.
[01:15:14.560 --> 01:15:15.560]   Know these things.
[01:15:15.560 --> 01:15:16.560]   Okay.
[01:15:16.560 --> 01:15:17.560]   Next one.
[01:15:17.560 --> 01:15:18.560]   Ellen White.
[01:15:18.560 --> 01:15:19.560]   Anyone?
[01:15:19.560 --> 01:15:20.560]   Seventh Day Adventist.
[01:15:20.560 --> 01:15:21.560]   Did I write this down?
[01:15:21.560 --> 01:15:22.560]   How do you guys know this?
[01:15:22.560 --> 01:15:23.560]   Good job.
[01:15:23.560 --> 01:15:24.560]   Next one.
[01:15:24.560 --> 01:15:25.560]   Joseph Smith.
[01:15:25.560 --> 01:15:26.560]   Mormons.
[01:15:26.560 --> 01:15:27.560]   Someone said that with great confidence.
[01:15:27.560 --> 01:15:28.560]   Next one.
[01:15:28.560 --> 01:15:29.560]   Mohammed.
[01:15:29.560 --> 01:15:30.560]   Islam.
[01:15:30.560 --> 01:15:31.560]   Okay.
[01:15:31.560 --> 01:15:32.560]   All right.
[01:15:32.560 --> 01:15:33.560]   It says that this false prophet, the second beast, will do a few things.
[01:15:33.560 --> 01:15:34.560]   It says that he's going to exercise the authority of the first beast, make people worship the
[01:15:34.560 --> 01:15:35.560]   first beast, perform great signs that look very similar to prophets of old, tell people
[01:15:35.560 --> 01:15:36.560]   to make an image of the first beast in their minds, and then make a new image of the first
[01:15:36.560 --> 01:15:37.560]   beast.
[01:15:37.560 --> 01:15:38.560]   So, this is a great example of a false prophet.
[01:15:38.560 --> 01:15:39.560]   Next one.
[01:15:39.560 --> 01:15:40.560]   Muhammad.
[01:15:40.560 --> 01:15:41.560]   Islam.
[01:15:41.560 --> 01:15:42.560]   Okay.
[01:15:42.560 --> 01:15:43.560]   All right.
[01:15:43.560 --> 01:15:44.560]   It says that this false prophet, the second beast, will do a few things.
[01:15:44.560 --> 01:15:45.560]   It says that he's going to exercise the authority of the first beast, make people worship the
[01:15:45.560 --> 01:15:46.560]   first beast, perform great signs that look very similar to prophets of old, tell people
[01:15:46.560 --> 01:15:57.560]   to make an image of the first beast in their minds, and then make a new image of the first
[01:15:57.560 --> 01:15:58.560]   beast in their minds, and then make a new image of the first beast in their minds, and
[01:15:58.560 --> 01:15:59.560]   then make a new image of the first beast in their minds, and then make a new image of
[01:15:59.560 --> 01:16:00.560]   the first beast in their minds, and then make a new image of the first beast in their minds,
[01:16:00.560 --> 01:16:01.560]   and then make a new image of the first beast in their minds, and then make a new image
[01:16:01.560 --> 01:16:02.560]   of the first beast in their minds, and then make a new image of the first beast in their
[01:16:02.560 --> 01:16:03.560]   minds, and then make a new image of the first beast in their minds, and then make a new
[01:16:03.560 --> 01:16:04.560]   image of the first beast in their minds, and then make a new image of the first beast
[01:16:04.560 --> 01:16:05.560]   in their minds, and then make a new image of the first beast in their minds, and then
[01:16:05.560 --> 01:16:29.560]   make a new image of the first beast in their minds, and then make a new image of the first
[01:16:29.560 --> 01:16:57.760]   beast in their minds, and then make a new image of the first beast in their minds, and
[01:16:57.760 --> 01:17:26.960]   then make a new image of the first beast in their minds, and then make a new image of
[01:17:26.960 --> 01:17:55.160]   the first beast in their minds, and then make a new image of the first beast in their minds,
[01:17:55.160 --> 01:17:56.260]   song and break off.

