
[00:00:00.000 --> 00:00:01.360]   All right, welcome.
[01:07:02.340 --> 01:07:07.340]   538 is when Medo-Persia, it's a united force.
[01:07:07.340 --> 01:07:11.340]   It's actually brought up in the book of Daniel, okay, where you have Daniel
[01:07:11.340 --> 01:07:14.340]   seeing a vision of a bear that's crooked, okay?
[01:07:14.340 --> 01:07:18.340]   It's a crooked bear because the Persians are a lot stronger than the Medo's,
[01:07:18.340 --> 01:07:20.340]   than the Medianites, and they're like this.
[01:07:20.340 --> 01:07:23.340]   But they together knock out Babylon.
[01:07:23.340 --> 01:07:27.340]   So when you see Darius, that's a Median king.
[01:07:27.340 --> 01:07:28.340]   Cyrus, Persian king.
[01:07:28.340 --> 01:07:30.340]   And we'll go over all these things.
[01:07:30.340 --> 01:07:34.340]   But 538, the Medo-Persians knock out Babylon.
[01:07:34.340 --> 01:07:38.340]   And then R1, R2, R3, we're going to cover in week five.
[01:07:38.340 --> 01:07:41.340]   And 333 is the Greeks.
[01:07:41.340 --> 01:07:43.340]   This works out easy too, right?
[01:07:43.340 --> 01:07:47.340]   How many of you guys think you can remember when the Greeks came into power
[01:07:47.340 --> 01:07:48.340]   with Alexander the Great?
[01:07:48.340 --> 01:07:49.340]   Anybody?
[01:07:49.340 --> 01:07:51.340]   Close your eyes.
[01:07:51.340 --> 01:07:52.340]   What year?
[01:07:52.340 --> 01:07:53.340]   333.
[01:07:53.340 --> 01:07:59.340]   So certain things in the Bible are easier to remember than others, okay?
[01:07:59.340 --> 01:08:04.340]   Now, the last thing we're going to cover before I teach you a song,
[01:08:04.340 --> 01:08:07.340]   I'm going to teach you a song.
[01:08:07.340 --> 01:08:09.340]   There are 20 kings of Judah.
[01:08:09.340 --> 01:08:11.340]   How many?
[01:08:11.340 --> 01:08:17.340]   20, okay?
[01:08:17.340 --> 01:08:21.340]   The Book of Micah was written during the time of Joth and Ahaz and Hezekiah.
[01:08:21.340 --> 01:08:23.340]   You're like, "Who are these guys?"
[01:08:23.340 --> 01:08:24.340]   Right?
[01:08:24.340 --> 01:08:26.340]   But Isaiah starts with Uzziah.
[01:08:26.340 --> 01:08:30.340]   So you have all of these kings, and it would be beneficial for you to remember.
[01:08:30.340 --> 01:08:33.340]   So we're going to take five at a time every week,
[01:08:33.340 --> 01:08:37.340]   and I'll make up a little catchy little cheer to help you remember the kings.
[01:08:37.340 --> 01:08:41.340]   But we're going to start with 1, 6, 11, and 16.
[01:08:41.340 --> 01:08:43.340]   Because how many kings are there in Judah?
[01:08:43.340 --> 01:08:44.340]   20.
[01:08:44.340 --> 01:08:46.340]   The north, don't worry about it.
[01:08:46.340 --> 01:08:50.340]   The only king that really is of significance is Zimri,
[01:08:50.340 --> 01:08:54.340]   because he commits suicide, and Ahab.
[01:08:54.340 --> 01:08:56.340]   You guys have heard of Ahab, right?
[01:08:56.340 --> 01:08:57.340]   Okay?
[01:08:57.340 --> 01:08:59.340]   He goes up against Elijah and Elisha.
[01:08:59.340 --> 01:09:02.340]   Did you guys know Elijah and Elisha are never mentioned really,
[01:09:02.340 --> 01:09:04.340]   except maybe once or twice in the Chronicles?
[01:09:04.340 --> 01:09:06.340]   Because they're in the north.
[01:09:06.340 --> 01:09:09.340]   Remember I shared the kings and the Chronicles, there's overlap.
[01:09:09.340 --> 01:09:10.340]   Kings is about everybody.
[01:09:10.340 --> 01:09:11.340]   What's Chronicles about?
[01:09:11.340 --> 01:09:13.340]   Just the south.
[01:09:13.340 --> 01:09:16.340]   That's why Elijah and Elisha are not really mentioned in the bottom.
[01:09:16.340 --> 01:09:17.340]   Okay?
[01:09:17.340 --> 01:09:21.340]   So those are things I will continue to emphasize as we go.
[01:09:21.340 --> 01:09:28.340]   But 1, 6, 11, and 16, if we're taking them five at a time,
[01:09:28.340 --> 01:09:33.340]   are the first of the Judean kings you need to remember from each list.
[01:09:33.340 --> 01:09:35.340]   Nod your head if that makes sense.
[01:09:35.340 --> 01:09:36.340]   Yeah?
[01:09:36.340 --> 01:09:37.340]   Okay.
[01:09:37.340 --> 01:09:42.340]   Now, this is a chin, but I just needed a picture.
[01:09:42.340 --> 01:09:44.340]   Okay?
[01:09:44.340 --> 01:09:45.340]   So this is not the real king.
[01:09:45.340 --> 01:09:47.340]   This just stands for all the kings.
[01:09:47.340 --> 01:09:51.340]   And we're going to remember 1, 6, 11, and 16.
[01:09:51.340 --> 01:09:53.340]   Quick trivia fact.
[01:09:53.340 --> 01:10:00.340]   Anybody know what Zeus, the god in Greek mythology, he had a mom.
[01:10:00.340 --> 01:10:04.340]   Anybody know what her mom's name was, his mom's name?
[01:10:04.340 --> 01:10:06.340]   Huh?
[01:10:06.340 --> 01:10:09.340]   Rhea, R-E-A-H, Rhea.
[01:10:09.340 --> 01:10:15.340]   Rhea is the mother to the god of gods in Greek mythology.
[01:10:15.340 --> 01:10:16.340]   All right?
[01:10:16.340 --> 01:10:22.340]   So I'm going to introduce you to King Rhea Jojo.
[01:10:22.340 --> 01:10:26.340]   Okay?
[01:10:26.340 --> 01:10:30.340]   This chin, his name is King Rhea Jojo.
[01:10:30.340 --> 01:10:32.340]   Okay?
[01:10:32.340 --> 01:10:41.340]   So I took the first two letters of each king in 1, 6, 11, and 16
[01:10:41.340 --> 01:10:46.340]   to help you organize it, because every week you're going to pick up five new ones.
[01:10:46.340 --> 01:10:48.340]   And some of them are going to be familiar.
[01:10:48.340 --> 01:10:51.340]   Some of them are not going to.
[01:10:51.340 --> 01:10:54.340]   Jehoahaz was only in 609, and he died in 609.
[01:10:54.340 --> 01:10:56.340]   So I was like, "What is that guy?"
[01:10:56.340 --> 01:10:58.340]   Okay?
[01:10:58.340 --> 01:11:01.340]   So Ahaziah reigned one year, and he died.
[01:11:01.340 --> 01:11:02.340]   Okay?
[01:11:02.340 --> 01:11:17.340]   So Rhehoboam, R-E, Ahaziah, A-H, Jotham, 11, Josiah, 12.
[01:11:17.340 --> 01:11:23.340]   Yes, O-E.
[01:11:23.340 --> 01:11:25.340]   There's 20 kings in Judah.
[01:11:25.340 --> 01:11:30.340]   I'm going to give you five each week.
[01:11:30.340 --> 01:11:34.340]   So that you remember every week the first of those five.
[01:11:34.340 --> 01:11:37.340]   So kings 1 through 5, we're going to cover next week.
[01:11:37.340 --> 01:11:40.340]   6 through 10, the following week.
[01:11:40.340 --> 01:11:42.340]   11 through 16, the week after that.
[01:11:42.340 --> 01:11:46.340]   And then 16 to 20, the final week after that, so that you can kind of --
[01:11:46.340 --> 01:11:49.340]   because if you try to memorize all 20 at once, it's hard.
[01:11:49.340 --> 01:11:52.340]   But if you could take them at five at a time, it's easier to remember.
[01:11:52.340 --> 01:11:58.340]   But then in order for you to keep those five organized, we're going to do 1, 6, 11, 16.
[01:11:58.340 --> 01:12:00.340]   Nod your heads if that makes sense.
[01:12:00.340 --> 01:12:01.340]   Okay?
[01:12:01.340 --> 01:12:05.340]   It behooves you to memorize the 20 kings in order.
[01:12:05.340 --> 01:12:09.340]   But there is a way to do that without screaming.
[01:12:09.340 --> 01:12:11.340]   Okay?
[01:12:11.340 --> 01:12:13.340]   So even the dates if you can.
[01:12:13.340 --> 01:12:15.340]   Okay?
[01:12:15.340 --> 01:12:18.340]   So Rheh-ha-jo-jo is what you need to remember.
[01:12:18.340 --> 01:12:22.340]   Like Rheh-bo-am, Abijah, Asa, Jehoshaphat, Jehosh -- Jehoash.
[01:12:22.340 --> 01:12:28.340]   You'll remember all of these in order if you just stick with the program.
[01:12:28.340 --> 01:12:29.340]   Got it?
[01:12:29.340 --> 01:12:30.340]   Okay?
[01:12:30.340 --> 01:12:38.340]   So what's the mythical king of kings that we need to remember?
[01:12:38.340 --> 01:12:41.340]   King Rheh-jo-jo.
[01:12:41.340 --> 01:12:43.340]   Can you remember their names?
[01:12:43.340 --> 01:12:53.340]   Rheh-bo-am, Ahaziah, Jo-tham, Jotham, and Josiah.
[01:12:53.340 --> 01:12:59.340]   So next week we're going to start with Rheh-bo-am and his son Abijah who reigned two years.
[01:12:59.340 --> 01:13:05.340]   And then in 9/11 came Asa and then Jehoshaphat was from 870 down.
[01:13:05.340 --> 01:13:08.340]   And then you have Jehoram.
[01:13:08.340 --> 01:13:10.340]   So that's how we're going to remember these things.
[01:13:10.340 --> 01:13:11.340]   Okay?
[01:13:11.340 --> 01:13:15.340]   And the way to keep it organized is king Rheh-ha-jo-jo.
[01:13:15.340 --> 01:13:17.340]   Now you also learned who Zeus' mommy was.
[01:13:17.340 --> 01:13:18.340]   Okay?
[01:13:18.340 --> 01:13:25.340]   So one more review with your friends.
[01:13:25.340 --> 01:13:26.340]   Okay?
[01:13:26.340 --> 01:13:30.340]   And then we're going to wrap up with a song and a prayer.
[01:13:30.340 --> 01:13:31.340]   Okay?
[01:13:31.340 --> 01:13:33.340]   Find a different friend if you can.
[01:13:33.340 --> 01:13:36.340]   If you're too comfortable in your seat, then just go to the same friend.
[01:13:36.340 --> 01:13:38.340]   But go over these questions.
[01:13:38.340 --> 01:13:41.340]   And then in two minutes I'll give you a final song.
[01:13:42.340 --> 01:13:43.340]   Okay?
[01:13:43.340 --> 01:13:44.340]   So here we go.
[01:13:45.340 --> 01:13:59.340]   [ Music ]
[01:13:59.340 --> 01:14:28.340]   [ Inaudible ]
[01:14:28.340 --> 01:14:57.340]   [ Inaudible ]
[01:14:57.340 --> 01:15:26.340]   [ Inaudible ]
[01:15:26.340 --> 01:15:29.340]   >> One more minute.
[01:15:29.340 --> 01:15:58.340]   [ Inaudible ]
[01:15:58.340 --> 01:16:27.340]   [ Inaudible ]
[01:16:27.340 --> 01:16:32.340]   >> 30 more seconds.
[01:16:32.340 --> 01:16:47.340]   [ Inaudible ]
[01:16:47.340 --> 01:16:53.340]   >> All right.
[01:16:53.340 --> 01:16:58.340]   I trust that you guys are getting these things.
[01:16:58.340 --> 01:17:08.340]   Timeline-wise now, you have basically the head, the neck, the spine, the hips, and the legs.
[01:17:08.340 --> 01:17:09.340]   Okay?
[01:17:09.340 --> 01:17:13.340]   And we're going to fill in the different sections of the body as we go.
[01:17:13.340 --> 01:17:19.340]   So by the end of the sixth week, the intertestamental period between Malachi and Matthew, we're
[01:17:19.340 --> 01:17:24.340]   going to start to put a little bit of muscles on the skeleton.
[01:17:24.340 --> 01:17:27.340]   But you guys have just the head to the bottom.
[01:17:27.340 --> 01:17:28.340]   Just straight through.
[01:17:28.340 --> 01:17:29.340]   Okay?
[01:17:29.340 --> 01:17:32.340]   So review when you can.
[01:17:32.340 --> 01:17:35.340]   Do you guys think this is going to take like 15 hours to review?
[01:17:35.340 --> 01:17:36.340]   No.
[01:17:36.340 --> 01:17:37.340]   It'll take you minutes.
[01:17:37.340 --> 01:17:38.340]   Okay?
[01:17:38.340 --> 01:17:43.340]   Some logistical things and then I'm going to teach you a song, part of a song, and then
[01:17:43.340 --> 01:17:46.340]   we're going to wrap up and go.
[01:17:46.340 --> 01:17:49.340]   Every week we're going to open the doors at 10.
[01:17:49.340 --> 01:17:52.340]   So at 10, the snacks are going to be ready.
[01:17:52.340 --> 01:17:54.340]   Okay?
[01:17:54.340 --> 01:17:57.340]   So we're going to need help coordinating the sacks.
[01:17:57.340 --> 01:18:06.340]   So if Lindsey contacts you, I mean, it would help her self-esteem and she would be very
[01:18:06.340 --> 01:18:09.340]   encouraged if you guys were like, "Now!"
[01:18:09.340 --> 01:18:10.340]   Okay?
[01:18:10.340 --> 01:18:11.340]   If you guys are like, "Oh, sure.
[01:18:11.340 --> 01:18:15.340]   Let me serve the body of Christ," because that is the appropriate response to the grace
[01:18:15.340 --> 01:18:16.340]   that he's shown us.
[01:18:16.340 --> 01:18:21.340]   And let me -- so if she does happen to ask you or if you want to volunteer, talk to Lindsey.
[01:18:21.340 --> 01:18:24.340]   I'm going to introduce Lindsey and Lawrence in a little bit.
[01:18:24.340 --> 01:18:27.340]   But there will be snacks starting at 10 a.m. every week.
[01:18:27.340 --> 01:18:29.340]   It's not breakfast.
[01:18:29.340 --> 01:18:30.340]   It's going to be snacks.
[01:18:30.340 --> 01:18:35.340]   So come early just to sit, review, get to know some people.
[01:18:35.340 --> 01:18:40.340]   Because the more you review before we actually start, the easier things will be -- your brain
[01:18:40.340 --> 01:18:45.340]   is probably now a little bit more adhesive than it was an hour ago, two hours ago.
[01:18:45.340 --> 01:18:50.340]   So that now if you read through the Bible, things are going to be a little bit more sticky.
[01:18:50.340 --> 01:18:54.340]   My goal by the end of six weeks is to make it super adhesive.
[01:18:54.340 --> 01:18:56.340]   So new stuff, it's just like -- right?
[01:18:56.340 --> 01:18:57.340]   Oh, that's Assyria.
[01:18:57.340 --> 01:18:59.340]   Nineveh, capital of Assyria.
[01:18:59.340 --> 01:19:00.340]   Right?
[01:19:00.340 --> 01:19:01.340]   So that you will be able to do that.
[01:19:01.340 --> 01:19:03.340]   That's my goal.
[01:19:03.340 --> 01:19:06.340]   My job is not to teach you.
[01:19:06.340 --> 01:19:09.340]   My job is to cause you to want to learn.
[01:19:09.340 --> 01:19:11.340]   You guys following me?
[01:19:11.340 --> 01:19:18.340]   If you ever disciple somebody, your job is not to instruct them of the Bible.
[01:19:18.340 --> 01:19:22.340]   Your job is to help them love Christ more.
[01:19:22.340 --> 01:19:25.340]   To get them to self-feed and want God more.
[01:19:25.340 --> 01:19:27.340]   Want his word more.
[01:19:27.340 --> 01:19:30.340]   My goal is to have about -- there's 100 of you signed up.
[01:19:30.340 --> 01:19:36.340]   100 Old Testament faithful students who can make other faithful students.
[01:19:36.340 --> 01:19:38.340]   Because we're going to keep having people come to the church.
[01:19:38.340 --> 01:19:41.340]   And we can't do this every couple months.
[01:19:41.340 --> 01:19:42.340]   Okay?
[01:19:42.340 --> 01:19:47.340]   So learn as much as you can so that you can cause other people to want to learn as much as they can.
[01:19:47.340 --> 01:19:48.340]   You guys following me?
[01:19:48.340 --> 01:19:51.340]   Fear is probably the biggest deterrent of the Old Testament.
[01:19:51.340 --> 01:19:54.340]   And boredom that comes from fear.
[01:19:54.340 --> 01:19:55.340]   Okay?
[01:19:55.340 --> 01:19:57.340]   So don't be intimidated by the Old Testament.
[01:19:57.340 --> 01:19:59.340]   Every week we'll go over a little bit.
[01:19:59.340 --> 01:20:00.340]   10 a.m.
[01:20:00.340 --> 01:20:01.340]   Doors are open.
[01:20:01.340 --> 01:20:04.340]   Just come and review a little bit if you can.
[01:20:04.340 --> 01:20:08.340]   We're going to have Lawrence and Lindsay, can you come up real quick?
[01:20:08.340 --> 01:20:09.340]   Like toward the front.
[01:20:09.340 --> 01:20:15.340]   Just run up here real quick.
[01:20:15.340 --> 01:20:20.340]   So these are our TAs.
[01:20:20.340 --> 01:20:24.340]   Lindsay.
[01:20:24.340 --> 01:20:26.340]   Lindsay, you're making Lawrence look like a weirdo.
[01:20:26.340 --> 01:20:27.340]   Come on up.
[01:20:27.340 --> 01:20:28.340]   Okay?
[01:20:28.340 --> 01:20:35.340]   So the reason they're here is because they've gone through the Old Testament study like this with me before.
[01:20:35.340 --> 01:20:45.340]   And so what we're going to have them do is if you miss a Saturday, okay, or if you feel like, oh, there's this part I didn't get.
[01:20:45.340 --> 01:20:47.340]   They've gone through this so much.
[01:20:47.340 --> 01:20:55.340]   My voice is in their head so much that you can kind of review or refresh or get things you missed.
[01:20:55.340 --> 01:21:07.340]   So 930 to about 10 every Saturday morning before we start, they will be available to you, I assume, maybe either like somewhere here or should we just make it here?
[01:21:07.340 --> 01:21:08.340]   Here.
[01:21:08.340 --> 01:21:10.340]   We'll just have them hang out here.
[01:21:10.340 --> 01:21:11.340]   So they'll come at 930.
[01:21:11.340 --> 01:21:16.340]   If you want like tutoring of the broad stuff, they will help you.
[01:21:16.340 --> 01:21:17.340]   Okay?
[01:21:17.340 --> 01:21:24.340]   Don't ask them like crazy stuff because the goal is just to have your brain more adhesive than it was before.
[01:21:24.340 --> 01:21:25.340]   Okay?
[01:21:25.340 --> 01:21:28.340]   So they're going to be here every Saturday morning starting 930.
[01:21:28.340 --> 01:21:33.340]   We're going to have snacks starting at 10 and then 1030 will start right away.
[01:21:33.340 --> 01:21:34.340]   Okay?
[01:21:34.340 --> 01:21:35.340]   So that's their role.
[01:21:35.340 --> 01:21:38.340]   So if they ask you for help, please just, you know, oblige.
[01:21:38.340 --> 01:21:41.340]   They're not going to ask you to like do their laundry and stuff.
[01:21:41.340 --> 01:21:44.340]   They're just going to ask for like, oh, can you help with this real quick?
[01:21:44.340 --> 01:21:47.340]   And the more people that are involved, the better.
[01:21:47.340 --> 01:21:55.340]   And if you guys -- I mean, if we end up doing this class again, maybe you guys can serve in the same role and we can have more people who are familiar with these books.
[01:21:55.340 --> 01:21:56.340]   Okay?
[01:21:56.340 --> 01:21:58.340]   So give them a hand in advance.
[01:21:58.340 --> 01:22:00.340]   [Applause]
[01:22:00.340 --> 01:22:08.340]   And for today, if you haven't paid your $10, this is not going into my pocket at all.
[01:22:08.340 --> 01:22:09.340]   Okay?
[01:22:09.340 --> 01:22:12.340]   This is going into our snacks.
[01:22:12.340 --> 01:22:13.340]   Okay?
[01:22:13.340 --> 01:22:23.340]   And at the end, I think maybe if I feel like, you know, what would help if I could purchase something to give to all of you as a resource, something like that.
[01:22:23.340 --> 01:22:27.340]   So whatever money is collected is only going to be used for this class.
[01:22:27.340 --> 01:22:30.340]   So if you haven't already, we know who you are.
[01:22:30.340 --> 01:22:31.340]   Okay?
[01:22:31.340 --> 01:22:35.340]   So avoid the embarrassment of me tracking you down because I already know who you are.
[01:22:35.340 --> 01:22:36.340]   I've high lit you.
[01:22:36.340 --> 01:22:37.340]   Okay?
[01:22:37.340 --> 01:22:44.340]   Go ahead and pay that via Venmo, check, PayPal, made out to Berean Community Church.
[01:22:44.340 --> 01:22:48.340]   I think it would be good for us to have a recording.
[01:22:48.340 --> 01:22:52.340]   There's a lot of little gaps, as you guys can tell, where I'm having you guys rehearse stuff.
[01:22:52.340 --> 01:22:55.340]   But we will make them only available to you.
[01:22:55.340 --> 01:22:56.340]   Okay?
[01:22:56.340 --> 01:22:57.340]   Don't share them.
[01:22:57.340 --> 01:23:00.340]   Just use them for yourself to review if need be.
[01:23:00.340 --> 01:23:03.340]   I haven't figured out how we're going to get it out to you.
[01:23:03.340 --> 01:23:06.340]   But we did -- Lawrence, we did record today, right?
[01:23:06.340 --> 01:23:07.340]   We did record.
[01:23:07.340 --> 01:23:09.340]   So if you want to review, you can.
[01:23:09.340 --> 01:23:16.340]   If you miss, that session will also be available to you so that you get the most out of the next six weeks.
[01:23:16.340 --> 01:23:17.340]   Sounds like a plan?
[01:23:17.340 --> 01:23:18.340]   Okay.
[01:23:18.340 --> 01:23:20.340]   Let's sing a song.
[01:23:20.340 --> 01:23:22.340]   You know all the words.
[01:23:22.340 --> 01:23:23.340]   All right?
[01:23:23.340 --> 01:23:24.340]   Here we go.
[01:23:24.340 --> 01:23:31.340]   Genesis, Exodus, Leviticus, Numbers, Deuteronomy.
[01:23:31.340 --> 01:23:32.340]   Stop.
[01:23:32.340 --> 01:23:33.340]   So far so good?
[01:23:33.340 --> 01:23:34.340]   Okay.
[01:23:34.340 --> 01:23:44.340]   Genesis, Exodus, Leviticus, Numbers, Deuteronomy, Joshua, Judges, Ruth, and we're not going to go on.
[01:23:44.340 --> 01:23:46.340]   We're going to just stop there.
[01:23:46.340 --> 01:23:47.340]   All right?
[01:23:47.340 --> 01:23:49.340]   So some of you guys may have learned this as a kid.
[01:23:49.340 --> 01:23:51.340]   Some of you guys are like, I don't know what's where.
[01:23:51.340 --> 01:23:53.340]   So that's why we're going to go over this song every week.
[01:23:53.340 --> 01:23:55.340]   So this song is also stuck in your head.
[01:23:55.340 --> 01:24:03.340]   Some of the parents for our children complain that the kids have been singing the books of the Bible all week and have been driving them crazy in a very sanctified, holy way.
[01:24:03.340 --> 01:24:04.340]   Okay?
[01:24:04.340 --> 01:24:10.340]   So you drive your neighbors crazy and your roommates crazy with God's word, at least the titles of the books of God's word.
[01:24:10.340 --> 01:24:11.340]   Okay?
[01:24:11.340 --> 01:24:12.340]   Here we go.
[01:24:12.340 --> 01:24:21.340]   Genesis, Exodus, Leviticus, Numbers, Deuteronomy, Joshua, Judges, Ruth.
[01:24:21.340 --> 01:24:22.340]   That's it.
[01:24:22.340 --> 01:24:23.340]   Okay?
[01:24:23.340 --> 01:24:24.340]   But we'll go over this a couple more times.
[01:24:24.340 --> 01:24:26.340]   Don't look at your table of contents.
[01:24:26.340 --> 01:24:30.340]   Try to hear my voice.
[01:24:30.340 --> 01:24:32.340]   Be brainwashed.
[01:24:32.340 --> 01:24:33.340]   Okay?
[01:24:33.340 --> 01:24:34.340]   I don't know.
[01:24:34.340 --> 01:24:36.340]   We'll sing it again and again.
[01:24:36.340 --> 01:24:43.340]   Genesis, Exodus, Leviticus, Numbers, Deuteronomy, Joshua, Judges, Ruth.
[01:24:43.340 --> 01:24:50.340]   Genesis, Exodus, Leviticus, Numbers, Deuteronomy, Joshua, Judges, Ruth.
[01:24:50.340 --> 01:24:56.340]   Genesis, Exodus, Leviticus, Numbers, Deuteronomy, Joshua, Judges, Ruth.
[01:24:56.340 --> 01:25:02.340]   Genesis, Exodus, Leviticus, Numbers, Deuteronomy, Joshua, Judges, Ruth.
[01:25:02.340 --> 01:25:09.340]   Genesis, Exodus, Leviticus, Numbers, Deuteronomy, Joshua, Judges, Ruth.
[01:25:09.340 --> 01:25:11.340]   First and second, Samuel.
[01:25:11.340 --> 01:25:12.340]   Okay, we'll get there next week.
[01:25:12.340 --> 01:25:13.340]   All right?
[01:25:13.340 --> 01:25:15.340]   Let's pray and then you guys can go.
[01:25:15.340 --> 01:25:21.340]   Heavenly Father, we thank you for giving us an opportunity to study about your word today.
[01:25:21.340 --> 01:25:26.340]   We thank you for giving us just a lot of resources online.
[01:25:26.340 --> 01:25:29.340]   We thank you for giving us books that have already organized a lot of this.
[01:25:29.340 --> 01:25:33.340]   And we thank you, Lord, for allowing us to participate in this together.
[01:25:33.340 --> 01:25:41.340]   We pray for your help that we would be hungry, that we would be eager, not just to feed ourselves,
[01:25:41.340 --> 01:25:46.340]   but to share the good news of Jesus Christ through your inerrant word.
[01:25:46.340 --> 01:25:52.340]   All of it, all 66 books to our friends and family who need Christ.
[01:25:52.340 --> 01:25:53.340]   Help us to love your word.
[01:25:53.340 --> 01:25:54.340]   Help us to live your word.
[01:25:54.340 --> 01:25:56.340]   Help us to share your word.
[01:25:56.340 --> 01:25:59.340]   And we pray that as we go through the next six weeks,
[01:25:59.340 --> 01:26:05.340]   we will be equipped to be better stewards of your holy scriptures in Jesus' name we pray.
[01:26:05.340 --> 01:26:06.340]   Amen.
[01:26:06.340 --> 01:26:07.340]   Good job today, everybody.
[01:26:07.340 --> 01:26:09.340]   (audience applauding)
[01:26:09.340 --> 01:26:11.340]   What's your homework?
[01:26:11.340 --> 01:26:12.340]   You don't have any?
[01:26:12.340 --> 01:26:13.340]   Just review.
[01:26:13.340 --> 01:26:14.340]   Okay?
[01:26:14.340 --> 01:26:18.140]   Okay, and then see you next Saturday at 10.30 sharp.
[01:26:18.140 --> 01:26:27.620]   [BLANK_AUDIO]

