
[00:00:00.000 --> 00:00:11.200]   Good evening, everybody.
[00:45:54.260 --> 00:45:59.400]   We believe that God is going to strengthen us, to absolutely transform us into the image
[00:45:59.400 --> 00:46:01.460]   of Christ.
[00:46:01.460 --> 00:46:06.140]   He is going to move us through faith to transcend this world.
[00:46:06.140 --> 00:46:11.740]   And through faith, he is going to bring us home to his kingdom and eternally cause us
[00:46:11.740 --> 00:46:14.180]   to be perfect before his eyes.
[00:46:14.180 --> 00:46:16.300]   We are looking for so much more.
[00:46:16.300 --> 00:46:23.000]   And so I pray that when you have that insight, realize that when our minds and our faith
[00:46:23.000 --> 00:46:28.840]   is so sober unto the eternal, when our minds and faith are so sober into the plan of God
[00:46:28.840 --> 00:46:35.220]   and his redemption and the glory of the Lord, we actually find so much more solid ground.
[00:46:35.220 --> 00:46:37.040]   We actually live in reality.
[00:46:37.040 --> 00:46:39.860]   We know what we're doing and why we're doing it.
[00:46:39.860 --> 00:46:40.860]   Everything starts to fit.
[00:46:40.860 --> 00:46:43.860]   Let's take a moment to pray.
[00:46:43.860 --> 00:46:52.900]   Lord, I pray, God, that truly we would understand, but what's more, there would be conviction
[00:46:52.900 --> 00:46:53.900]   of faith.
[00:46:53.900 --> 00:47:02.060]   God, you know, right now I'm trying to teach and wrap up an incredible three-chapter section
[00:47:02.060 --> 00:47:08.700]   where you've described your incredible grace, the working of your might and power, all directed
[00:47:08.700 --> 00:47:14.220]   towards those who were previously enemies.
[00:47:14.220 --> 00:47:19.700]   And so, God, we want to thank you and praise you, Lord, for revealing all of that to us.
[00:47:19.700 --> 00:47:21.460]   We trust your heart.
[00:47:21.460 --> 00:47:25.060]   We receive with grateful hands all the mercies that you give.
[00:47:25.060 --> 00:47:27.660]   And Father God, it fills us.
[00:47:27.660 --> 00:47:29.780]   It causes us to be strong.
[00:47:29.780 --> 00:47:34.460]   I do pray that for every single person at our church, Lord, God, we would not simply
[00:47:34.460 --> 00:47:36.260]   have strength of know-how.
[00:47:36.260 --> 00:47:43.100]   God, that we would not simply have strength of ingenuity and good problem solving.
[00:47:43.100 --> 00:47:47.500]   I pray, Father God, that we would have the truth, strength of Christ and the faith that
[00:47:47.500 --> 00:47:48.900]   you call us to have.
[00:47:48.900 --> 00:47:54.780]   Lord, help us to live in such a fashion where it is so wise in your eyes and not the eyes
[00:47:54.780 --> 00:47:55.780]   of the world.
[00:47:55.780 --> 00:47:59.980]   And I pray, Father God, that we would live in such a fashion that is so empowered and
[00:47:59.980 --> 00:48:01.660]   strengthened by your spirit.
[00:48:01.660 --> 00:48:02.660]   We thank you, Lord, it's in Christ.
[00:48:02.660 --> 00:48:03.900]   In me pray, amen.
[00:48:03.900 --> 00:48:06.100]   (thunderous applause)

