
[00:00:00.000 --> 00:00:02.460]   ♪ Once composed ♪
[00:41:56.400 --> 00:41:58.400]   they're timid to walk in their faith,
[00:41:58.400 --> 00:42:00.400]   they're constantly concerned about what other people are going to think,
[00:42:00.400 --> 00:42:03.400]   and a lot of that is directly linked to a lack of conviction,
[00:42:03.400 --> 00:42:06.400]   lack of confidence that we have in Christ.
[00:42:06.400 --> 00:42:09.400]   He says the confidence is based upon the blood of Christ,
[00:42:09.400 --> 00:42:11.400]   the confidence is based on the new and living way,
[00:42:11.400 --> 00:42:16.400]   the confidence is based on the fact that we have a great high priest.
[00:42:16.400 --> 00:42:20.400]   And our personal conviction and boldness is directly linked
[00:42:20.400 --> 00:42:25.400]   to having a deep personal relationship with Jesus Christ.
[00:42:25.400 --> 00:42:28.400]   In fact, remember in Acts chapter 4, verse 13,
[00:42:28.400 --> 00:42:32.400]   the apostles are preaching with boldness in front of the same people
[00:42:32.400 --> 00:42:34.400]   who crucified Jesus.
[00:42:34.400 --> 00:42:37.400]   These are the same disciples when Jesus is going to the cross,
[00:42:37.400 --> 00:42:41.400]   they were in fear and hiding and locked the doors,
[00:42:41.400 --> 00:42:45.400]   and they disappeared because they were confused.
[00:42:45.400 --> 00:42:47.400]   Why would our Messiah go to the cross?
[00:42:47.400 --> 00:42:49.400]   They didn't make any sense.
[00:42:49.400 --> 00:42:54.400]   But now, after the resurrection, they recognize who he is,
[00:42:54.400 --> 00:42:58.400]   that even in death they cannot contain him,
[00:42:58.400 --> 00:43:01.400]   and all of a sudden they're preaching the gospel with boldness,
[00:43:01.400 --> 00:43:05.400]   and the people who are watching this and hearing this,
[00:43:05.400 --> 00:43:08.400]   this is what they say in observation, Acts 4, verse 13.
[00:43:08.400 --> 00:43:12.400]   "Now as they observed the confidence of Peter and John,"
[00:43:12.400 --> 00:43:14.400]   again, the confidence of Peter and John,
[00:43:14.400 --> 00:43:18.400]   "and understood that they were uneducated and untrained men,"
[00:43:18.400 --> 00:43:25.400]   "they were amazed and began to recognize them as having been with Jesus."
[00:43:25.400 --> 00:43:28.400]   Their boldness didn't come because of their education,
[00:43:28.400 --> 00:43:30.400]   their boldness didn't come because of their experience,
[00:43:30.400 --> 00:43:34.400]   their boldness came, and even the non-Christians recognized
[00:43:34.400 --> 00:43:38.400]   that their boldness came from being with Christ.
[00:43:38.400 --> 00:43:43.400]   It's our approaching Christ, it's our nearness to Christ,
[00:43:43.400 --> 00:43:45.400]   it's our strong near to Christ,
[00:43:45.400 --> 00:43:48.400]   is what gives us conviction, what gives us confidence.
[00:43:48.400 --> 00:43:55.400]   So the first and foremost, the most important call of any sinner
[00:43:55.400 --> 00:43:58.400]   is to draw near to Christ.
[00:43:58.400 --> 00:44:01.400]   The most important call of any Christian,
[00:44:01.400 --> 00:44:05.400]   before you make disciples, before you go overseas,
[00:44:05.400 --> 00:44:08.400]   before you feed the poor, before you march for justice,
[00:44:08.400 --> 00:44:13.400]   first and foremost thing that God demands and calls us to apply
[00:44:13.400 --> 00:44:16.400]   is to draw near to Him.
[00:44:16.400 --> 00:44:21.400]   We are of no use when we're not near Christ.
[00:44:21.400 --> 00:44:24.400]   We are of no use, we cannot bear fruit according to Scripture
[00:44:24.400 --> 00:44:27.400]   if we are not remaining in Christ.
[00:44:27.400 --> 00:44:30.400]   Doesn't matter how hard you work, doesn't matter how much you give,
[00:44:30.400 --> 00:44:33.400]   it doesn't matter what your experience is,
[00:44:33.400 --> 00:44:38.400]   it just doesn't matter, because true fruit comes from Him.
[00:44:38.400 --> 00:44:41.400]   He says we are to draw near with sincere hearts,
[00:44:41.400 --> 00:44:44.400]   to draw near in full assurance,
[00:44:44.400 --> 00:44:49.400]   with the hearts sprinkled and bodies washed by the blood of Christ.
[00:44:49.400 --> 00:44:53.400]   And all of this is simply to say, without hypocrisy,
[00:44:53.400 --> 00:44:57.400]   not pretending, not pretending on the outside
[00:44:57.400 --> 00:44:59.400]   and inwardly have nothing to do with Christ,
[00:44:59.400 --> 00:45:02.400]   that we have a reputation of godliness
[00:45:02.400 --> 00:45:05.400]   and you have no power in your life,
[00:45:05.400 --> 00:45:08.400]   because all of our connection with Christ is public,
[00:45:08.400 --> 00:45:11.400]   that all of our righteousness is for other people to see.
[00:45:11.400 --> 00:45:15.400]   But when the cameras are not on, when people are not looking,
[00:45:15.400 --> 00:45:17.400]   you have no personal relationship with Christ.
[00:45:17.400 --> 00:45:19.400]   That's all that this means.
[00:45:19.400 --> 00:45:22.400]   With a sincere heart, with full assurance of faith,
[00:45:22.400 --> 00:45:25.400]   with our hearts, inner persons, and our bodies,
[00:45:25.400 --> 00:45:30.400]   internally and externally, washed in the blood of Christ.
[00:45:30.400 --> 00:45:33.400]   You see in Isaiah 29, verse 13, God says to the nation of Israel,
[00:45:33.400 --> 00:45:38.400]   "And the Lord said, 'Because this people draw near with their words,
[00:45:38.400 --> 00:45:41.400]   they honor me with their lip service,
[00:45:41.400 --> 00:45:44.400]   but they remove their hearts far from me,
[00:45:44.400 --> 00:45:49.400]   and their reverence for me consists of tradition learned by rote.'"
[00:45:49.400 --> 00:45:51.400]   Meaning it's just tradition.
[00:45:51.400 --> 00:45:54.400]   It's more superstition. It's not real worship.
[00:45:54.400 --> 00:45:57.400]   It's not really drawing near to God.
[00:45:57.400 --> 00:46:01.400]   You see, when the Bible says and commands us
[00:46:01.400 --> 00:46:03.400]   to seek God with all our heart,
[00:46:03.400 --> 00:46:07.400]   it is not possible to seek God casually.
[00:46:07.400 --> 00:46:10.400]   If you really understand what it is that you're seeking,
[00:46:10.400 --> 00:46:14.400]   if you really understand who it is that you're asking,
[00:46:14.400 --> 00:46:16.400]   either you seek Him with all your heart,
[00:46:16.400 --> 00:46:18.400]   or you're not seeking Him at all.
[00:46:18.400 --> 00:46:20.400]   See, in Psalm 119, verse 10,
[00:46:20.400 --> 00:46:22.400]   "With all my heart I have sought you;
[00:46:22.400 --> 00:46:25.400]   do not let me wander from your commandments."
[00:46:25.400 --> 00:46:27.400]   Jeremiah 29, verse 13, "You will seek me and find me
[00:46:27.400 --> 00:46:32.400]   when you search for me with all your heart."
[00:46:32.400 --> 00:46:35.400]   When we draw near to God and seek God,
[00:46:35.400 --> 00:46:38.400]   we're not asking for lunch.
[00:46:38.400 --> 00:46:40.400]   We're not asking for, you know, we have a hard relationship,
[00:46:40.400 --> 00:46:43.400]   and can you fix that for me?
[00:46:43.400 --> 00:46:45.400]   You know, like, we're not asking for a better job.
[00:46:45.400 --> 00:46:48.400]   I mean, again, not that he doesn't care about all of that stuff,
[00:46:48.400 --> 00:46:51.400]   but there's no urgency in any of that,
[00:46:51.400 --> 00:46:56.400]   because, you know, if you have financial issues,
[00:46:56.400 --> 00:46:58.400]   get a job.
[00:46:58.400 --> 00:47:00.400]   Work harder. Invest better.
[00:47:00.400 --> 00:47:02.400]   If you have relational issues, stop being selfish.
[00:47:02.400 --> 00:47:05.400]   You know, work on your personality.
[00:47:05.400 --> 00:47:08.400]   There's, like, so many things that we can do,
[00:47:08.400 --> 00:47:10.400]   and say, well, you know, there's things that I can apply.
[00:47:10.400 --> 00:47:12.400]   And so, whenever we seek God,
[00:47:12.400 --> 00:47:15.400]   we seek God in things that we can do ourselves,
[00:47:15.400 --> 00:47:17.400]   and then we just sprinkle Jesus on it, right?
[00:47:17.400 --> 00:47:19.400]   In the beginning and at the end,
[00:47:19.400 --> 00:47:21.400]   and God, can you make this better?
[00:47:21.400 --> 00:47:26.400]   But we seek God for things that only he can give us,
[00:47:26.400 --> 00:47:29.400]   and only he is the author of life.
[00:47:29.400 --> 00:47:33.400]   And so, when we seek Christ, we seek him for life,
[00:47:33.400 --> 00:47:37.400]   and nobody seeks God casually for life.
[00:47:37.400 --> 00:47:39.400]   Just like a man who's drowning,
[00:47:39.400 --> 00:47:43.400]   if he recognizes the urgency of his situation,
[00:47:43.400 --> 00:47:45.400]   the desperateness of his situation,
[00:47:45.400 --> 00:47:47.400]   he doesn't simply ask.
[00:47:47.400 --> 00:47:51.400]   He doesn't simply ask for the rescuers to come and say,
[00:47:51.400 --> 00:47:52.400]   "Hey, hey, I'm drowning.
[00:47:52.400 --> 00:47:54.400]   If you don't come in the next five minutes,
[00:47:54.400 --> 00:47:56.400]   I'm going to drown and die."
[00:47:56.400 --> 00:47:58.400]   You will never see somebody who's drowning
[00:47:58.400 --> 00:48:00.400]   asking for help in that kind of manner,
[00:48:00.400 --> 00:48:03.400]   because he recognizes his urgency.
[00:48:03.400 --> 00:48:05.400]   He recognizes his desperate need.
[00:48:05.400 --> 00:48:07.400]   So, you will, if somebody is drowning,
[00:48:07.400 --> 00:48:10.400]   he recognizes that he will be yelling and screaming.
[00:48:10.400 --> 00:48:12.400]   He will do anything that he needs to do
[00:48:12.400 --> 00:48:16.400]   to get their attention, because it is life or death.
[00:48:16.400 --> 00:48:18.400]   Remember what Paul told Timothy?
[00:48:18.400 --> 00:48:21.400]   To watch your life and doctrine carefully,
[00:48:21.400 --> 00:48:25.400]   and if you do so, you will save yourself and your hearers.
[00:48:25.400 --> 00:48:27.400]   Your life depends on it.
[00:48:27.400 --> 00:48:30.400]   It is not possible to seek God out
[00:48:30.400 --> 00:48:32.400]   and draw near to him casually.
[00:48:32.400 --> 00:48:34.400]   If you are seeking him casually,
[00:48:34.400 --> 00:48:36.400]   it's because you do not recognize
[00:48:36.400 --> 00:48:37.400]   what it is that you are asking,
[00:48:37.400 --> 00:48:41.400]   and you do not know who it is that you're asking of.
[00:48:41.400 --> 00:48:44.400]   By nature, drawing near to God
[00:48:44.400 --> 00:48:47.400]   requires urgency.
[00:48:47.400 --> 00:48:49.400]   Not because God commands it,
[00:48:49.400 --> 00:48:51.400]   but that's the truth.
[00:48:51.400 --> 00:48:52.400]   That's the fact.
[00:48:52.400 --> 00:48:55.400]   That's why in Joshua 24, verse 15,
[00:48:55.400 --> 00:48:58.400]   Joshua says to the nation of Israel,
[00:48:58.400 --> 00:49:01.400]   "If it is disagreeable in your sight to serve the Lord,
[00:49:01.400 --> 00:49:04.400]   choose for yourselves today whom you will serve,
[00:49:04.400 --> 00:49:07.400]   whether the gods which your father served with
[00:49:07.400 --> 00:49:10.400]   which were beyond the river,
[00:49:10.400 --> 00:49:12.400]   or the gods of the Amorites
[00:49:12.400 --> 00:49:15.400]   in whose land you are living.
[00:49:15.400 --> 00:49:16.400]   But ask for me and my house,
[00:49:16.400 --> 00:49:18.400]   and we will serve the Lord."
[00:49:18.400 --> 00:49:22.400]   See, Joshua was tired of the Israelites
[00:49:22.400 --> 00:49:24.400]   who were going back and forth
[00:49:24.400 --> 00:49:28.400]   to serving the idols when it was convenient for them,
[00:49:28.400 --> 00:49:29.400]   and then coming back to God
[00:49:29.400 --> 00:49:31.400]   when it was convenient for them.
[00:49:31.400 --> 00:49:32.400]   So what Joshua is saying is,
[00:49:32.400 --> 00:49:34.400]   you need to make up your mind.
[00:49:34.400 --> 00:49:35.400]   Who are you serving?
[00:49:35.400 --> 00:49:36.400]   Who's your Lord?
[00:49:36.400 --> 00:49:38.400]   Who do you follow?
[00:49:38.400 --> 00:49:41.400]   See, I think one of the biggest challenges
[00:49:41.400 --> 00:49:43.400]   that we have in our modern-day church,
[00:49:43.400 --> 00:49:45.400]   we have churches filled with people
[00:49:45.400 --> 00:49:47.400]   who never made up their mind.
[00:49:47.400 --> 00:49:50.400]   They've decided to come to church.
[00:49:50.400 --> 00:49:53.400]   They've decided to maybe sign on the dotted line.
[00:49:53.400 --> 00:49:54.400]   They've decided to become members.
[00:49:54.400 --> 00:49:57.400]   They've decided to be identified as Christian.
[00:49:57.400 --> 00:49:58.400]   They are admirers of Christ,
[00:49:58.400 --> 00:50:02.400]   but they're not followers of Jesus.
[00:50:02.400 --> 00:50:04.400]   That's what he's referring to.
[00:50:04.400 --> 00:50:06.400]   Choose you this day whom you will serve.
[00:50:06.400 --> 00:50:08.400]   You can admire him from a distance,
[00:50:08.400 --> 00:50:10.400]   identify as a Christian,
[00:50:10.400 --> 00:50:12.400]   stand before the throne of God,
[00:50:12.400 --> 00:50:15.400]   and God says, "That had nothing to do with me.
[00:50:15.400 --> 00:50:18.400]   "You used me as superstition.
[00:50:18.400 --> 00:50:20.400]   "You used me as some vending machine
[00:50:20.400 --> 00:50:22.400]   "to help you with your sorrow
[00:50:22.400 --> 00:50:23.400]   "because you were lonely,
[00:50:23.400 --> 00:50:25.400]   "because you were having a difficult time,
[00:50:25.400 --> 00:50:26.400]   "because you were sick,
[00:50:26.400 --> 00:50:28.400]   "because you were having business problems.
[00:50:28.400 --> 00:50:30.400]   "You wanted me to help you with your life,
[00:50:30.400 --> 00:50:33.400]   "but you never surrendered your life to me.
[00:50:33.400 --> 00:50:37.400]   "Choose you this day whom you will serve."
[00:50:37.400 --> 00:50:42.400]   First and foremost, drawing near to him.
[00:50:42.400 --> 00:50:43.400]   Do you know him from a distance?
[00:50:43.400 --> 00:50:46.400]   Is the only relationship that you have with Jesus
[00:50:46.400 --> 00:50:48.400]   is a corporate relationship?
[00:50:48.400 --> 00:50:51.400]   You know him in the context of a community,
[00:50:51.400 --> 00:50:53.400]   and so that gives you some sort of assurance
[00:50:53.400 --> 00:50:57.400]   that somehow you are in the presence of God?
[00:50:57.400 --> 00:51:01.400]   Well, that is not the Bible, the God of the Scriptures.
[00:51:01.400 --> 00:51:03.400]   The God of the Scriptures demand
[00:51:03.400 --> 00:51:05.400]   that if this is what we believe,
[00:51:05.400 --> 00:51:09.400]   the door was not opened for us so we can admire it.
[00:51:09.400 --> 00:51:12.400]   The way to the Holy of Holies was not opened
[00:51:12.400 --> 00:51:15.400]   so that we can say, "That door is huge!"
[00:51:15.400 --> 00:51:19.400]   And we thank God that he opened the door.
[00:51:19.400 --> 00:51:22.400]   So maybe sometime in the future,
[00:51:22.400 --> 00:51:25.400]   if I want to visit, stick my feet in,
[00:51:25.400 --> 00:51:27.400]   go check it around, check the sea,
[00:51:27.400 --> 00:51:29.400]   kind of like we're tourists,
[00:51:29.400 --> 00:51:31.400]   wanting to see what it looks like,
[00:51:31.400 --> 00:51:34.400]   but we never go in.
[00:51:34.400 --> 00:51:37.400]   We're not dwelling in the presence of God.
[00:51:37.400 --> 00:51:39.400]   He is not our pursuit.
[00:51:39.400 --> 00:51:41.400]   All we are are admirers,
[00:51:41.400 --> 00:51:44.400]   but we're not followers of Christ.
[00:51:44.400 --> 00:51:46.400]   See, the first and most important imperative
[00:51:46.400 --> 00:51:48.400]   that every Christian needs to embrace
[00:51:48.400 --> 00:51:50.400]   and decide for ourselves is,
[00:51:50.400 --> 00:51:52.400]   "Am I following Jesus?"
[00:51:52.400 --> 00:51:55.400]   And again, I may sound like a broken record.
[00:51:55.400 --> 00:51:57.400]   The question is not, "Are you coming to church?"
[00:51:57.400 --> 00:51:58.400]   The question is not,
[00:51:58.400 --> 00:52:00.400]   "Are you a member of Green Community Church?"
[00:52:00.400 --> 00:52:03.400]   The question is, "Are you following Jesus?"
[00:52:03.400 --> 00:52:07.400]   Is Jesus, his voice, his teaching,
[00:52:07.400 --> 00:52:10.400]   do you believe this, and are you following Jesus?
[00:52:10.400 --> 00:52:12.400]   And let me get to the second one,
[00:52:12.400 --> 00:52:15.400]   and the second one is not going to be as long.
[00:52:15.400 --> 00:52:17.400]   If that is your case, we draw near,
[00:52:17.400 --> 00:52:18.400]   and as we draw near, he says,
[00:52:18.400 --> 00:52:20.400]   "Let us hold fast the confession."
[00:52:20.400 --> 00:52:23.400]   In other words, unswervingly, unbending.
[00:52:23.400 --> 00:52:26.400]   If this is what you believe, that we are to persevere.
[00:52:26.400 --> 00:52:28.400]   Hebrews 2, 1, "For this reason,
[00:52:28.400 --> 00:52:30.400]   "we must pay much closer attention to what we have heard
[00:52:30.400 --> 00:52:34.400]   "so that we do not drift away."
[00:52:34.400 --> 00:52:40.400]   Man, you know what we need to do to drift?
[00:52:40.400 --> 00:52:42.400]   Nothing.
[00:52:42.400 --> 00:52:44.400]   Do nothing.
[00:52:44.400 --> 00:52:45.400]   If you're not clinging to Christ
[00:52:45.400 --> 00:52:47.400]   and actively drawing near to Christ,
[00:52:47.400 --> 00:52:50.400]   you're drifting, you just don't know it.
[00:52:50.400 --> 00:52:53.400]   We're already drifting.
[00:52:53.400 --> 00:52:55.400]   Drifting doesn't require any effort.
[00:52:55.400 --> 00:52:58.400]   Here's what you need to do to drift.
[00:52:58.400 --> 00:53:03.400]   Get a job, wake up early, go to work, get paid,
[00:53:03.400 --> 00:53:05.400]   and with that money, pay your bills,
[00:53:05.400 --> 00:53:08.400]   and with some of that money, enjoy yourselves.
[00:53:08.400 --> 00:53:11.400]   Come to church, serve a little bit,
[00:53:11.400 --> 00:53:14.400]   have fellowship, attend Bible study,
[00:53:14.400 --> 00:53:17.400]   take a little trip,
[00:53:17.400 --> 00:53:19.400]   donate a little money here and there,
[00:53:19.400 --> 00:53:23.400]   and then just casually walk along in life.
[00:53:23.400 --> 00:53:27.400]   And that's all you need to do is to drift.
[00:53:27.400 --> 00:53:29.400]   That's all you need to do.
[00:53:29.400 --> 00:53:32.400]   If we're not actively pursuing Christ,
[00:53:32.400 --> 00:53:34.400]   you're already drifting.
[00:53:34.400 --> 00:53:36.400]   We just don't know.
[00:53:36.400 --> 00:53:41.400]   That's why he says to hold fast, do not bend.
[00:53:41.400 --> 00:53:45.400]   We cannot fight for our opinion
[00:53:45.400 --> 00:53:50.400]   and so easily compromise with the truth.
[00:53:50.400 --> 00:53:51.400]   You know, we're willing to march,
[00:53:51.400 --> 00:53:52.400]   we're willing to stand up,
[00:53:52.400 --> 00:53:54.400]   we're willing to protest,
[00:53:54.400 --> 00:53:57.400]   because this is my political opinion.
[00:53:57.400 --> 00:53:59.400]   But when it comes to the truth of the gospel,
[00:53:59.400 --> 00:54:03.400]   where it's literally life and death, eternal,
[00:54:03.400 --> 00:54:08.400]   we're timid, we're quiet, we're submissive.
[00:54:08.400 --> 00:54:10.400]   What he's saying is,
[00:54:10.400 --> 00:54:13.400]   with the truth, we should be bold.
[00:54:13.400 --> 00:54:16.400]   With truth, we should be confident.
[00:54:16.400 --> 00:54:20.400]   With truth, we should be willing to sacrifice.
[00:54:20.400 --> 00:54:24.400]   With our opinions, we should be gracious.
[00:54:24.400 --> 00:54:27.400]   With our opinions, we should be quiet.
[00:54:27.400 --> 00:54:32.400]   With our opinions, we should not be fighting.
[00:54:32.400 --> 00:54:34.400]   But with the truth, he says to hold fast.
[00:54:34.400 --> 00:54:36.400]   Do not bend. Do not compromise.
[00:54:36.400 --> 00:54:38.400]   2 Timothy 4.2, "Preach the word, be ready,
[00:54:38.400 --> 00:54:40.400]   in season and out of season.
[00:54:40.400 --> 00:54:43.400]   Reprove, rebuke, exhort with great patience and instruction.
[00:54:43.400 --> 00:54:46.400]   Do not turn from the word.
[00:54:46.400 --> 00:54:48.400]   Do not compromise.
[00:54:48.400 --> 00:54:50.400]   Do not cut the sharp corners.
[00:54:50.400 --> 00:54:52.400]   Do not only give them what's palatable.
[00:54:52.400 --> 00:54:55.400]   Give them the truth, even if they don't like it.
[00:54:55.400 --> 00:54:57.400]   Even if they get offended.
[00:54:57.400 --> 00:54:58.400]   Even if you lose friends.
[00:54:58.400 --> 00:55:02.400]   He said, do not turn from the word to the left or to the right.
[00:55:02.400 --> 00:55:05.400]   Because true life is found in Christ and Christ alone.
[00:55:05.400 --> 00:55:07.400]   That's what he means by hold fast.
[00:55:07.400 --> 00:55:09.400]   No matter what the consequence.
[00:55:09.400 --> 00:55:12.400]   Because God is faithful.
[00:55:12.400 --> 00:55:14.400]   You know what God is faithful means?
[00:55:14.400 --> 00:55:16.400]   Because, again, because of our cultural baggage,
[00:55:16.400 --> 00:55:18.400]   our false understanding of Christ,
[00:55:18.400 --> 00:55:22.400]   whenever we hear God is faithful, we automatically think God is merciful.
[00:55:22.400 --> 00:55:24.400]   Or God's going to be gracious.
[00:55:24.400 --> 00:55:27.400]   What does faithfulness mean?
[00:55:27.400 --> 00:55:30.400]   To be consistent.
[00:55:30.400 --> 00:55:32.400]   You can rely on him.
[00:55:32.400 --> 00:55:37.400]   So a judge who is faithful will judge faithfully.
[00:55:37.400 --> 00:55:43.400]   A police officer who is faithful isn't a police officer who just lets you off the ticket,
[00:55:43.400 --> 00:55:45.400]   you know, gets you off all the time.
[00:55:45.400 --> 00:55:46.400]   He's a good police officer.
[00:55:46.400 --> 00:55:47.400]   He's consistent.
[00:55:47.400 --> 00:55:48.400]   You can rely on him.
[00:55:48.400 --> 00:55:54.400]   So faithfulness simply means he is consistent.
[00:55:54.400 --> 00:55:58.400]   That's why he says we ought to take this seriously, hold fast this confession,
[00:55:58.400 --> 00:56:00.400]   because God is faithful.
[00:56:00.400 --> 00:56:04.400]   And then he reminds us of his faithfulness in the very next section in chapter 10,
[00:56:04.400 --> 00:56:07.400]   verse 25, 26, and 28.
[00:56:07.400 --> 00:56:12.400]   The harshest and the most severe warning in the New Testament is found in the
[00:56:12.400 --> 00:56:18.400]   very next text after he says we ought to hold fast because he is faithful.
[00:56:18.400 --> 00:56:22.400]   And then he describes his faithfulness in verse 26 of chapter 10.
[00:56:22.400 --> 00:56:26.400]   "For if we go on sinning willfully after receiving the knowledge of the truth,
[00:56:26.400 --> 00:56:29.400]   there no longer remains a sacrifice for sins.
[00:56:29.400 --> 00:56:33.400]   But a terrifying expectation of judgment and the fury of a fire which will
[00:56:33.400 --> 00:56:38.400]   consume the adversaries, anyone who has set aside the law of Moses dies without
[00:56:38.400 --> 00:56:41.400]   mercy on the testimonies of two or three witnesses."
[00:56:41.400 --> 00:56:44.400]   And he goes on and on and on.
[00:56:44.400 --> 00:56:45.400]   God is faithful.
[00:56:45.400 --> 00:56:50.400]   He is faithful to repentant sinners, to forgive us our sins.
[00:56:50.400 --> 00:56:56.400]   He is also faithful to judge us of all our unrighteousness who are unrepentant.
[00:56:56.400 --> 00:57:00.400]   The word glory, literal meaning of the word glory means to be weighty,
[00:57:00.400 --> 00:57:05.400]   to be serious, that our worship before God,
[00:57:05.400 --> 00:57:10.400]   our presence to be able to draw near to him is never meant to be casual.
[00:57:10.400 --> 00:57:12.400]   We don't come to God casually.
[00:57:12.400 --> 00:57:14.400]   There's weightiness to what we do.
[00:57:14.400 --> 00:57:16.400]   There's weightiness to these words.
[00:57:16.400 --> 00:57:20.400]   If we hear it and we're kind of, you know, like I'll deal with it later.
[00:57:20.400 --> 00:57:22.400]   It's because you have not seen his glory.
[00:57:22.400 --> 00:57:24.400]   You do not know him.
[00:57:24.400 --> 00:57:28.400]   And that's why he says we ought to hold fast for dear life.
[00:57:28.400 --> 00:57:32.400]   We ought to anchor with Christ for dear life,
[00:57:32.400 --> 00:57:36.400]   to watch our life and our doctrine closely because if you do so you will
[00:57:36.400 --> 00:57:40.400]   save yourself and your here's because our life depends on it.
[00:57:40.400 --> 00:57:45.400]   And because he is faithful, he will reward the repentant sinners
[00:57:45.400 --> 00:57:49.400]   and he will judge the unrepentant.
[00:57:49.400 --> 00:57:57.400]   So there is a greater need in this world than social justice.
[00:57:57.400 --> 00:58:00.400]   There is a greater need.
[00:58:00.400 --> 00:58:06.400]   We can make this world a better place with no prejudice, no poor,
[00:58:06.400 --> 00:58:08.400]   no sex trafficking.
[00:58:08.400 --> 00:58:12.400]   We can make this a better place with better politics, better economy.
[00:58:12.400 --> 00:58:18.400]   And at the end of all of that, all our effort and to create a great
[00:58:18.400 --> 00:58:22.400]   society for our children, our great grandchildren.
[00:58:22.400 --> 00:58:27.400]   But the Bible says that the end of all of that is judgment.
[00:58:27.400 --> 00:58:30.400]   Don't get me wrong.
[00:58:30.400 --> 00:58:32.400]   God calls us to call out injustice.
[00:58:32.400 --> 00:58:34.400]   God calls us to feed the poor.
[00:58:34.400 --> 00:58:36.400]   We ought to be compassionate.
[00:58:36.400 --> 00:58:40.400]   We ought to stand up for those who don't have voices.
[00:58:40.400 --> 00:58:42.400]   Don't get me wrong.
[00:58:42.400 --> 00:58:47.400]   It is the character of a Christian to be gracious and merciful.
[00:58:47.400 --> 00:58:51.400]   But don't get our priorities mixed up.
[00:58:51.400 --> 00:58:54.400]   That in our priorities that we try to save a leg while the person
[00:58:54.400 --> 00:59:00.400]   is dying, our priority is the gospel and it will always be the gospel.
[00:59:00.400 --> 00:59:03.400]   Until they come to Christ and they know Christ,
[00:59:03.400 --> 00:59:09.400]   this faithful God will carry out his mercy and his justice in this world.
[00:59:09.400 --> 00:59:14.400]   So as Christians who believe this, we need to first and foremost draw near.
[00:59:14.400 --> 00:59:16.400]   We need to hold fast.
[00:59:16.400 --> 00:59:19.400]   And we need to be the light in this world.
[00:59:19.400 --> 00:59:24.400]   So my prayer again, with all the stuff that's going on around us,
[00:59:24.400 --> 00:59:28.400]   cling to the word of God, cling to the gospel, cling to Christ,
[00:59:28.400 --> 00:59:34.400]   that even though they may not understand, that we make it very clear.
[00:59:34.400 --> 00:59:37.400]   The wrath of God is being revealed against all unrighteousness.
[00:59:37.400 --> 00:59:41.400]   And the only hope for the wrath of God is the blood of Jesus.
[00:59:41.400 --> 00:59:46.400]   And I pray that we may be so deeply convicted that we would not drift.
[00:59:46.400 --> 00:59:49.400]   We're going to take some time for the communion.
[00:59:49.400 --> 00:59:51.400]   And so let me ask Rachel to come up.
[00:59:51.400 --> 00:59:54.400]   And if you can take your cup with me.
[00:59:54.400 --> 00:59:58.400]   And before I ask, we're going to take it together.
[00:59:58.400 --> 01:00:02.400]   So please don't open it up until we're ready.
[01:00:02.400 --> 01:00:07.400]   So those of you who did this with us last time, so you'll remember.
[01:00:07.400 --> 01:00:09.400]   So there's two things that you have to open up.
[01:00:09.400 --> 01:00:12.400]   So the first one is there's a little plastic thing.
[01:00:12.400 --> 01:00:17.400]   And that will open up the wafer, okay, the bread.
[01:00:17.400 --> 01:00:21.400]   And then the second part, the thicker one, has the grape juice underneath.
[01:00:21.400 --> 01:00:24.400]   So if you rip the first one off, you're not going to -- only the first one,
[01:00:24.400 --> 01:00:26.400]   the big one off, you're not going to get to the wafer.
[01:00:26.400 --> 01:00:28.400]   You understand what I'm saying?
[01:00:28.400 --> 01:00:29.400]   Okay.
[01:00:29.400 --> 01:00:30.400]   So don't open it yet.
[01:00:30.400 --> 01:00:34.400]   We're going to do it together, okay, since we're going to be able to do this.
[01:00:34.400 --> 01:00:36.400]   So what I'm going to do is I'm going to read the text.
[01:00:36.400 --> 01:00:37.400]   I'm going to open it up.
[01:00:37.400 --> 01:00:40.400]   And then I'm going to give you about a minute or two to read it.
[01:00:40.400 --> 01:00:44.400]   And then I'm going to give you about a minute to take some time to pray and meditate.
[01:00:44.400 --> 01:00:48.400]   If you have unconfessed sins, you know, this is the time to confess your sins.
[01:00:48.400 --> 01:00:54.400]   And if you have, again, whatever that causes you to think that you're participating in an unworthy manner,
[01:00:54.400 --> 01:00:57.400]   this is the time to come before the Lord and get ready.
[01:00:57.400 --> 01:01:00.400]   But, again, we don't come to the communion table because we're worthy.
[01:01:00.400 --> 01:01:05.400]   This is to teach us that our confidence comes from this, what this symbolizes.
[01:01:05.400 --> 01:01:09.400]   It is because of his flesh, it was because of his body broken for us
[01:01:09.400 --> 01:01:12.400]   that we're able to have confidence to enter the throne of grace.
[01:01:12.400 --> 01:01:13.400]   And so this is what we remember.
[01:01:13.400 --> 01:01:15.400]   This is what we proclaim.
[01:01:15.400 --> 01:01:17.400]   And so let's take some time to prepare our hearts.
[01:01:17.400 --> 01:01:20.400]   And then when we're ready, I'll ask you to come, and then we'll do this together.
[01:01:20.400 --> 01:01:22.400]   Okay, so let's take some time to pray.
[01:01:22.400 --> 01:01:26.400]   [Music]
[01:01:26.400 --> 01:01:29.400]   [Music]
[01:01:30.400 --> 01:01:33.400]   [Music]
