
[00:00:00.000 --> 00:00:04.000]   Good morning, everybody.
[00:44:27.940 --> 00:44:31.260]   But the very hairs of your head are all numbered."
[00:44:31.260 --> 00:44:33.440]   Let me stop right there.
[00:44:33.440 --> 00:44:35.860]   He says to fear the Lord.
[00:44:35.860 --> 00:44:40.660]   But the reason why we ought to fear the Lord is because he loves us.
[00:44:40.660 --> 00:44:45.100]   The reason why that needs to be the foundation upon which we stand is because all other men
[00:44:45.100 --> 00:44:47.740]   are fleeing for safety.
[00:44:47.740 --> 00:44:49.820]   Just like we are.
[00:44:49.820 --> 00:44:56.860]   But the only one who can actually protect us, the only one who knows what's coming tomorrow,
[00:44:56.860 --> 00:45:01.220]   the only one who knows where it's going, only God knows.
[00:45:01.220 --> 00:45:06.100]   And that sovereign God that we fear, he counts every hair on our head.
[00:45:06.100 --> 00:45:07.580]   So do you not fear?
[00:45:07.580 --> 00:45:11.660]   You are more valuable than the sparrows.
[00:45:11.660 --> 00:45:17.260]   And that's why we need to, especially at this time, ask ourselves, is the fear of the Lord
[00:45:17.260 --> 00:45:21.420]   in which I stand today?
[00:45:21.420 --> 00:45:24.060]   Or is it the fear of this virus?
[00:45:24.060 --> 00:45:28.020]   Our greatest fear should not be catching this virus.
[00:45:28.020 --> 00:45:32.440]   Our greatest fear is if we catch this virus, that am I going to die?
[00:45:32.440 --> 00:45:37.580]   That shouldn't be our greatest fear, even though it's our natural human response.
[00:45:37.580 --> 00:45:40.860]   Our greatest fear is to be separated from God.
[00:45:40.860 --> 00:45:46.220]   Our greatest fear is that our loved ones would pass without knowing him.
[00:45:46.220 --> 00:45:48.460]   Our greatest fear is not death.
[00:45:48.460 --> 00:45:54.900]   Because ultimately death is a release from this broken body, that we may be with the
[00:45:54.900 --> 00:45:55.900]   Lord.
[00:45:55.900 --> 00:45:58.760]   To be absent in the flesh is to be with the Lord.
[00:45:58.760 --> 00:46:03.220]   Is the fear of the Lord foundation upon which we are doing and making all decisions?
[00:46:03.220 --> 00:46:07.380]   Hebrews chapter 4, 14, "Therefore, since we have a great high priest who has passed through
[00:46:07.380 --> 00:46:12.300]   the heavens, Jesus the Son of God, let us hold fast our confession."
[00:46:12.300 --> 00:46:17.860]   Let us not passively allow this to happen and just kind of hunker down until this passes
[00:46:17.860 --> 00:46:19.060]   over.
[00:46:19.060 --> 00:46:21.540]   Let us hold fast.
[00:46:21.540 --> 00:46:26.940]   Let us practice our faith in confidence and in courage.
[00:46:26.940 --> 00:46:30.400]   This is a great opportunity to magnify Christ.
[00:46:30.400 --> 00:46:36.140]   My prayer is that revival will break out because of this, because of the way the Christians
[00:46:36.140 --> 00:46:38.420]   are responding to this.
[00:46:38.420 --> 00:46:42.940]   Hebrews 10, 24, "And let us consider how to stimulate one another to love and good
[00:46:42.940 --> 00:46:44.380]   deeds."
[00:46:44.380 --> 00:46:48.540]   To consider carefully, to think and calculate.
[00:46:48.540 --> 00:46:50.720]   A couple weeks ago we talked about that.
[00:46:50.720 --> 00:46:54.380]   We talked about this text, to consider how to provoke one another.
[00:46:54.380 --> 00:46:59.380]   You know, a couple weeks ago this was around, but now I think that our emotional state is
[00:46:59.380 --> 00:47:03.140]   a lot more fertile to receive this word.
[00:47:03.140 --> 00:47:05.740]   This agape love.
[00:47:05.740 --> 00:47:12.180]   Consider carefully not just your family, not just are you safe, but the people around
[00:47:12.180 --> 00:47:17.860]   us, especially the elderly who are confused.
[00:47:17.860 --> 00:47:22.500]   Maybe next time you go to the supermarket, watch for people who couldn't get what they
[00:47:22.500 --> 00:47:23.500]   needed to get.
[00:47:23.500 --> 00:47:25.740]   Do you have too many?
[00:47:25.740 --> 00:47:29.680]   Maybe you have neighbors who are not connected to the internet.
[00:47:29.680 --> 00:47:31.580]   Maybe there's an elderly person.
[00:47:31.580 --> 00:47:35.720]   Maybe there's an elderly home filled with dozens.
[00:47:35.720 --> 00:47:41.420]   Maybe possibly hundreds of elderly who do not have the ability to run to the supermarket
[00:47:41.420 --> 00:47:44.540]   and go get food if they wanted to.
[00:47:44.540 --> 00:47:49.860]   To consider carefully how to stimulate, provoke one another on toward loving good deeds, not
[00:47:49.860 --> 00:47:53.680]   forsaking our own assembly together as is a habit of some.
[00:47:53.680 --> 00:47:54.980]   Remember the context.
[00:47:54.980 --> 00:48:00.980]   Again, this is not the same context because we're not under persecution.
[00:48:00.980 --> 00:48:03.260]   There's no sin in going online.
[00:48:03.260 --> 00:48:04.260]   We're doing everything.
[00:48:04.260 --> 00:48:08.700]   In fact, many are doing this so that it doesn't spread faster than it needs to.
[00:48:08.700 --> 00:48:15.140]   So, it's not the exact same situation, but the principle behind it is to place a high
[00:48:15.140 --> 00:48:18.300]   value on the gathering of believers.
[00:48:18.300 --> 00:48:23.660]   When it is time, when it is the wisest thing to do, we will make that decision.
[00:48:23.660 --> 00:48:28.060]   But we don't want to knock over the chairs in that process.
[00:48:28.060 --> 00:48:29.540]   We don't want to panic.
[00:48:29.540 --> 00:48:34.380]   We want to respond to what's going on, and we want to make sure that whether we are out
[00:48:34.380 --> 00:48:38.540]   or whether we are home, we are responding and not reacting.
[00:48:38.540 --> 00:48:42.740]   But meanwhile, let's be careful.
[00:48:42.740 --> 00:48:50.660]   Let's be careful to realize that what we have been given.
[00:48:50.660 --> 00:48:53.900]   We've been praying for people to come to Christ.
[00:48:53.900 --> 00:48:56.940]   The ground is more fertile now.
[00:48:56.940 --> 00:49:00.260]   We're praying for opportunities to share the gospel.
[00:49:00.260 --> 00:49:02.460]   People are more open now.
[00:49:02.460 --> 00:49:06.100]   We're praying for opportunities to show agape love.
[00:49:06.100 --> 00:49:09.260]   More opportunities have been created now.
[00:49:09.260 --> 00:49:15.580]   Let's stay sober and redeem the opportunity that God has given us and not react like the
[00:49:15.580 --> 00:49:16.580]   rest of the world.
[00:49:16.580 --> 00:49:21.180]   Hebrews 12, "Therefore, since we have so great a cloud of witnesses surrounding us, let us
[00:49:21.180 --> 00:49:26.780]   also lay aside every encumbrance and sin which so easily entangles."
[00:49:26.780 --> 00:49:31.420]   There are certain things that we have to put down, our temporary Bible study going online,
[00:49:31.420 --> 00:49:35.380]   meeting together, fellowship, the gospel night, all of this at some point will be picked back
[00:49:35.380 --> 00:49:38.220]   up when this passes.
[00:49:38.220 --> 00:49:42.500]   But there are also things that we cannot do right now that maybe we should put down and
[00:49:42.500 --> 00:49:44.580]   not pick up.
[00:49:44.580 --> 00:49:46.100]   What are some of these encumbrances?
[00:49:46.100 --> 00:49:50.220]   So when these things happen, it forces us to examine what we value, what is important,
[00:49:50.220 --> 00:49:51.920]   what is not important.
[00:49:51.920 --> 00:49:57.240]   Anything that is not essential has been shut down.
[00:49:57.240 --> 00:50:00.400]   Some of these things probably should not be picked up.
[00:50:00.400 --> 00:50:04.760]   What are these things that we need to carefully consider?
[00:50:04.760 --> 00:50:10.600]   Verse 13, chapter 13, verse 3, "So let us go out to him outside the camp bearing his
[00:50:10.600 --> 00:50:11.600]   reproach."
[00:50:11.600 --> 00:50:16.760]   Since Jesus was crucified outside the camp, meaning that's where anybody who was shunned
[00:50:16.760 --> 00:50:21.320]   by the society, that they will be taken outside the camp to be stoned.
[00:50:21.320 --> 00:50:23.520]   If you were a leper, you were sent outside the camp.
[00:50:23.520 --> 00:50:28.120]   So when he says, "Let us go outside the camp with Christ," he means, "Let's leave behind
[00:50:28.120 --> 00:50:31.080]   the comforts of this world.
[00:50:31.080 --> 00:50:36.760]   Let's leave behind wanting to be accepted.
[00:50:36.760 --> 00:50:39.720]   Follow Christ outside the camp."
[00:50:39.720 --> 00:50:42.880]   That we are aliens and strangers just passing through.
[00:50:42.880 --> 00:50:48.360]   That maybe this virus is a reminder to us that all who are united with Christ is united
[00:50:48.360 --> 00:50:52.080]   with Christ already outside the camp.
[00:50:52.080 --> 00:50:56.760]   So maybe this is a good opportunity for us to reflect and examine our lives and to join
[00:50:56.760 --> 00:50:58.840]   him willfully outside.
[00:50:58.840 --> 00:51:04.680]   And then finally, chapter 13, verse 15, "Through him then, let us continually offer up a sacrifice
[00:51:04.680 --> 00:51:07.600]   of praise to God."
[00:51:07.600 --> 00:51:11.000]   Remember the context that this is written.
[00:51:11.000 --> 00:51:14.000]   People are afraid of death.
[00:51:14.000 --> 00:51:18.320]   Some of them may have seen their friends crucified.
[00:51:18.320 --> 00:51:22.720]   Maybe their brother, their child, their mother, their uncle, grandparents.
[00:51:22.720 --> 00:51:27.400]   They may have already seen them in the Colosseum being torn apart by wild animals.
[00:51:27.400 --> 00:51:29.680]   He's talking to that group.
[00:51:29.680 --> 00:51:34.280]   He's talking to people who may have even smelled the flesh of their own loved ones burning
[00:51:34.280 --> 00:51:38.000]   because of the cruelty of Nero.
[00:51:38.000 --> 00:51:40.880]   That's who he's speaking to.
[00:51:40.880 --> 00:51:44.820]   In the midst of that, "Through him then, let us continually offer up a sacrifice of praise
[00:51:44.820 --> 00:51:46.120]   to God."
[00:51:46.120 --> 00:51:53.300]   Because even in that, God is on his throne.
[00:51:53.300 --> 00:51:58.360]   There is a kind of worship that we give to God in time of peace, and even then it is
[00:51:58.360 --> 00:51:59.960]   sweet.
[00:51:59.960 --> 00:52:02.840]   Even then it is necessary.
[00:52:02.840 --> 00:52:06.840]   But sometimes there are circumstances in our lives, whether it is private or whether it
[00:52:06.840 --> 00:52:13.560]   is public, whether it is small or whether it is large, there are certain periods of
[00:52:13.560 --> 00:52:20.320]   our life where the worship of our Savior becomes that much sweeter.
[00:52:20.320 --> 00:52:29.640]   Our greatest witness to the world is to declare the glory of God in the midst of this darkness,
[00:52:29.640 --> 00:52:35.400]   because the light shines much brighter when the world does not see light.
[00:52:35.400 --> 00:52:41.760]   So let us not neglect the opportunity that God has given us and be anchored in Christ.
[00:52:41.760 --> 00:52:49.760]   So just as an, again, just we're asking you that things are rapidly changing, and the
[00:52:49.760 --> 00:52:56.400]   Orange County Health Offices are telling us that at least as of now it is still low, and
[00:52:56.400 --> 00:52:59.320]   that may change overnight, you know, with more testing that are coming.
[00:52:59.320 --> 00:53:03.640]   So we are not being naive, and we are being pressed on both sides.
[00:53:03.640 --> 00:53:09.280]   We have, "Don't ever close your door," and those people are slowly dissipating, and then
[00:53:09.280 --> 00:53:13.720]   more and more of, "We should have closed it three months ago," you know, and we are under
[00:53:13.720 --> 00:53:19.120]   tremendous pressure, and the easiest thing that we could do is just shut it, you know,
[00:53:19.120 --> 00:53:24.440]   and go online, which we may end up doing even as early as this week.
[00:53:24.440 --> 00:53:30.560]   We want to make sure that whatever we do, that we are not reacting, that we are responding,
[00:53:30.560 --> 00:53:37.160]   and we are responding carefully, wisely, prayerfully, firmly anchored in Christ.
[00:53:37.160 --> 00:53:40.080]   So that is our request for you, to do the same.
[00:53:40.080 --> 00:53:46.840]   Watch, listen, pray, and I hope that the message this morning, a reminder of the overview of
[00:53:46.840 --> 00:53:51.520]   the book of Hebrews, will serve as a foundation upon everything that we do going forward.
[00:53:51.520 --> 00:53:54.520]   Let me pray for us, and then I'm going to ask you guys to take some time to pray, and
[00:53:54.520 --> 00:53:59.960]   as we said, we're not going to have an official offering time for the sake of sanitation,
[00:53:59.960 --> 00:54:04.080]   so that when you are done, when the service is over, if you are planning to physically
[00:54:04.080 --> 00:54:10.120]   bring the offering, then it will be in those two houses, okay?
[00:54:10.120 --> 00:54:11.120]   That's prepared in the front, okay?
[00:54:11.120 --> 00:54:12.520]   Then please do that after the service.
[00:54:12.520 --> 00:54:13.360]   All right, let's pray.
[00:54:13.360 --> 00:54:16.340]   [ Silence ]

