
[00:00:00.000 --> 00:00:07.560]   >> Well, good morning.
[00:52:47.220 --> 00:52:51.980]   Luke 15, familiar text reads, "But while he was still a long way off, his father saw
[00:52:51.980 --> 00:52:57.100]   him and felt compassion for him and ran and embraced him and kissed him.
[00:52:57.100 --> 00:53:00.500]   The son said to him, 'Father, I have sinned against heaven and in your sight.
[00:53:00.500 --> 00:53:03.540]   I am no longer worthy to be called your son.'
[00:53:03.540 --> 00:53:10.620]   'But,' the father said to his slaves, 'quickly bring the best robe and put it on him.
[00:53:10.620 --> 00:53:14.260]   Put a ring on his hand and sandals on his feet and bring the fattened calf.
[00:53:14.260 --> 00:53:18.780]   Fill it and let us eat and celebrate, for the son of mine was dead and has come to life
[00:53:18.780 --> 00:53:19.780]   again.
[00:53:19.780 --> 00:53:22.220]   He was lost and has been found.'
[00:53:22.220 --> 00:53:26.700]   And they began to celebrate."
[00:53:26.700 --> 00:53:33.420]   God's children more than any other people on this planet should both know and feel the
[00:53:33.420 --> 00:53:39.620]   desperate need and life-changing joy of adoption.
[00:53:39.620 --> 00:53:44.300]   Dear brothers and sisters, do we not know the joy of adoption better than anyone on
[00:53:44.300 --> 00:53:46.300]   this planet?
[00:53:46.300 --> 00:53:47.940]   Amen?
[00:53:47.940 --> 00:53:51.940]   Let's pray.
[00:53:51.940 --> 00:53:59.740]   Father, we know that this is not adoption, the only issue or ministry that we can be
[00:53:59.740 --> 00:54:00.740]   engaged in.
[00:54:00.740 --> 00:54:13.500]   It is one of many that need to be saturated, not by legalistic moralism, not by self-righteous
[00:54:13.500 --> 00:54:21.900]   aims of justice.
[00:54:21.900 --> 00:54:27.740]   We don't want justice, we want mercy.
[00:54:27.740 --> 00:54:32.380]   You are the judge, you will bring justice one day.
[00:54:32.380 --> 00:54:40.340]   But what this world needs is mercy, needs the gospel.
[00:54:40.340 --> 00:54:46.940]   Thank you for this wonderful church and all that you are doing here, so encouraged by
[00:54:46.940 --> 00:54:49.760]   this body.
[00:54:49.760 --> 00:54:57.860]   Pray that our hearts' focus would be that we are living sacrifices.
[00:54:57.860 --> 00:55:06.660]   And as your adopted children, I pray that your people here, your children here, and
[00:55:06.660 --> 00:55:13.720]   all the children around the world of you will enjoy the warmth of the sunshine of thy smile
[00:55:13.720 --> 00:55:15.840]   this week and forevermore.
[00:55:15.840 --> 00:55:17.520]   In Christ's name we pray, amen.

