
[00:00:00.000 --> 00:00:07.000]   Genesis chapter 16.
[00:40:06.600 --> 00:40:10.120]   Brothers and sisters, the reason why I went through that exercise of going through the
[00:40:10.120 --> 00:40:14.280]   passages is to show you every one of these significant figures in the Bible, Jacob's
[00:40:14.280 --> 00:40:17.160]   a significant figure, Joseph's a significant figure.
[00:40:17.160 --> 00:40:27.560]   They experienced a full gamut of life experiences that we would call affliction, pain, hurt.
[00:40:27.560 --> 00:40:34.400]   And the theme of the story is, and their success rested in God's presence.
[00:40:34.400 --> 00:40:39.080]   And their hope and rest, when they're in the anxiety of like, what do we do when something
[00:40:39.080 --> 00:40:40.840]   like this happens?
[00:40:40.840 --> 00:40:41.840]   How do I get out?
[00:40:41.840 --> 00:40:44.120]   How do I get free?
[00:40:44.120 --> 00:40:48.400]   Their peace and rest comes with God's presence.
[00:40:48.400 --> 00:40:51.040]   And that is my encouragement to you this morning.
[00:40:51.040 --> 00:40:55.840]   Can we say along with Jacob, surely the Lord is in this place.
[00:40:55.840 --> 00:41:00.080]   Will our hearts be encouraged to say, perhaps I did not know it at the time, but God who
[00:41:00.080 --> 00:41:07.400]   is strong, God who sees, God who knows all things, God who hears, he is with me.
[00:41:07.400 --> 00:41:10.920]   And that is the encouragement to you.
[00:41:10.920 --> 00:41:17.840]   And as a final way of exhorting, you know, after learning these truths, that God is the
[00:41:17.840 --> 00:41:23.680]   God, Yahweh El Roy, who hears, I'm sorry, who sees.
[00:41:23.680 --> 00:41:29.240]   And then learning about God, God Yahweh Shema, the God who is there.
[00:41:29.240 --> 00:41:32.800]   I think just exhortation is, let's remember that.
[00:41:32.800 --> 00:41:34.200]   Let's acknowledge that.
[00:41:34.200 --> 00:41:37.800]   Hagar is not gonna forget.
[00:41:37.800 --> 00:41:44.160]   Her son is literally named after the event and the experience of God seeing her in the
[00:41:44.160 --> 00:41:47.040]   midst of pain and suffering.
[00:41:47.040 --> 00:41:51.440]   For us too, in our hearts and our minds, we need to remember the powerful God who is here
[00:41:51.440 --> 00:41:52.920]   with us everywhere.
[00:41:52.920 --> 00:41:58.280]   The merciful God who intervenes, the gracious God who pours out his mercy in the time of
[00:41:58.280 --> 00:41:59.280]   need.
[00:41:59.280 --> 00:42:03.280]   In the time of need.
[00:42:03.280 --> 00:42:10.120]   But what's more, as we exercise this trust, we realize we get a better picture of God
[00:42:10.120 --> 00:42:12.160]   too.
[00:42:12.160 --> 00:42:18.520]   We exercise this trust and just as God sees us, we see God in a better light.
[00:42:18.520 --> 00:42:23.240]   It's when we put our trust and faith in him, we understand to a greater degree through
[00:42:23.240 --> 00:42:29.280]   experiencing him, just how faithful and trustworthy he is.
[00:42:29.280 --> 00:42:35.880]   And that's why, to me it makes sense that we as believers practicing trust, we should
[00:42:35.880 --> 00:42:37.680]   be strong.
[00:42:37.680 --> 00:42:39.540]   We should be courageous.
[00:42:39.540 --> 00:42:42.460]   We should be persevering in our obedience in the midst of suffering.
[00:42:42.460 --> 00:42:45.840]   We should be persevering in the midst of difficulties.
[00:42:45.840 --> 00:42:50.480]   And that is why God could even exhort us and command us in the scriptures to Joshua and
[00:42:50.480 --> 00:42:53.380]   say, "Have I not commanded you, be strong and courageous.
[00:42:53.380 --> 00:43:01.420]   Do not tremble or dismayed for the Lord your God is with you."
[00:43:01.420 --> 00:43:09.160]   I hope that when we experience devastation, discouragement, conflict and affliction, those
[00:43:09.160 --> 00:43:14.220]   things happen and it's almost a regular pattern for those who are faithful.
[00:43:14.220 --> 00:43:21.580]   But when we not be like those with no hope, with no peace, and over time they're still
[00:43:21.580 --> 00:43:28.020]   weak, because they're still trying so hard to find strength on their own.
[00:43:28.020 --> 00:43:32.380]   If we can neglect this truth that God sees and God hears and God is there, what will
[00:43:32.380 --> 00:43:33.860]   happen to us is this.
[00:43:33.860 --> 00:43:36.900]   I mean think about what will happen to us.
[00:43:36.900 --> 00:43:40.420]   We're going to be in a moment of desperation and whatever comes our way, we're going to
[00:43:40.420 --> 00:43:42.140]   latch onto.
[00:43:42.140 --> 00:43:45.180]   Not only that, we're going to feel a sense of hardness and bitterness.
[00:43:45.180 --> 00:43:47.980]   If there's other people causing us affliction and pain, we're going to say, "Well, they
[00:43:47.980 --> 00:43:48.980]   ought to know what they did."
[00:43:48.980 --> 00:43:53.860]   We're going to sense a feel of desperation, "I want those people to know what's happening."
[00:43:53.860 --> 00:43:57.260]   And there's a sense of expression, explosion, frustration.
[00:43:57.260 --> 00:44:01.700]   And in the end, all of that is going to ruin us.
[00:44:01.700 --> 00:44:08.420]   But for those of us who understand that God is a God who hears, who sees and who is there,
[00:44:08.420 --> 00:44:16.260]   we have hope for rest, peace, stability, security in our God who is so powerful.
[00:44:16.260 --> 00:44:17.260]   Amen.
[00:44:17.260 --> 00:44:21.260]   I hope that you guys are challenged to be strong and courageous in the presence of God.
[00:44:21.260 --> 00:44:22.260]   Let's pray.
[00:44:22.260 --> 00:44:30.500]   Father God, we want to thank you so much again.
[00:44:30.500 --> 00:44:40.180]   We thank you God that Lord in the midst of our lives here, that you the God of the universe
[00:44:40.180 --> 00:44:42.760]   would care to know.
[00:44:42.760 --> 00:44:47.060]   And King David would ask, "Who are we that you would be even mindful of us?"
[00:44:47.060 --> 00:44:51.060]   And that question is right on.
[00:44:51.060 --> 00:44:53.020]   We are but broken people.
[00:44:53.020 --> 00:44:54.660]   We are but sinners at times.
[00:44:54.660 --> 00:44:59.380]   But Lord, you esteem us and God, you give attention to us.
[00:44:59.380 --> 00:45:02.380]   We thank you so much that we read of the story of Hagar.
[00:45:02.380 --> 00:45:06.180]   And we are so encouraged that God, although she experienced so much pain, although she
[00:45:06.180 --> 00:45:11.720]   experienced so much difficulty, Lord, you appeared at the right time in the right way
[00:45:11.720 --> 00:45:13.880]   that you encouraged.
[00:45:13.880 --> 00:45:18.180]   And God, you strengthen through your promise and through your presence.
[00:45:18.180 --> 00:45:22.980]   I pray that for every single one of us in this room, we would leave this place knowing
[00:45:22.980 --> 00:45:25.940]   how to deal with difficulty in our lives.
[00:45:25.940 --> 00:45:29.980]   I also pray that through this week, we would grow a hunger to say, "Father God, sometimes
[00:45:29.980 --> 00:45:32.100]   we feel like the answer is more finances.
[00:45:32.100 --> 00:45:36.240]   We feel like the answer is just better people in our lives, people who will love us.
[00:45:36.240 --> 00:45:40.300]   Sometimes we think like the answer is just this change the environment scenario."
[00:45:40.300 --> 00:45:42.620]   But help us to have a true hunger for your presence.
[00:45:42.620 --> 00:45:46.380]   Knowing God, that the answer lies in you.
[00:45:46.380 --> 00:45:48.380]   We thank you so much, Lord, it's in Christ's name.
[00:45:48.380 --> 00:45:49.380]   Amen.
[00:45:49.380 --> 00:45:50.660]   Why don't we take a break?

