
[00:00:00.000 --> 00:00:04.000]   (Pause)
[00:35:18.700 --> 00:35:20.260]   "and then now I can see."
[00:35:20.260 --> 00:35:21.100]   Thank you.
[00:35:21.100 --> 00:35:26.060]   If that's all Christian life is,
[00:35:26.060 --> 00:35:27.380]   what do you need eyes for?
[00:35:27.380 --> 00:35:30.540]   What do you need legs for?
[00:35:30.540 --> 00:35:32.740]   And we don't see the benefit of this new life
[00:35:32.740 --> 00:35:35.500]   because we passively, we're constantly passively
[00:35:35.500 --> 00:35:39.220]   hoping that we could live vicariously with somebody else.
[00:35:39.220 --> 00:35:43.140]   So we hear about people who went out to missions,
[00:35:43.140 --> 00:35:45.500]   and sacrifice, and making disciples.
[00:35:45.500 --> 00:35:48.300]   We're looking at all of this, and living vicariously.
[00:35:48.300 --> 00:35:50.180]   We say, "Well, praise God.
[00:35:50.180 --> 00:35:52.300]   "High five."
[00:35:52.300 --> 00:35:56.100]   And then we kind of forward emails that we get.
[00:35:56.100 --> 00:35:58.060]   Look how encouraging this article is.
[00:35:58.060 --> 00:36:00.260]   "I heard this testimony, it's great."
[00:36:00.260 --> 00:36:02.140]   But we don't have our own testimony.
[00:36:02.140 --> 00:36:06.540]   All we're doing is forwarding information
[00:36:06.540 --> 00:36:09.100]   that we're seeing with other people.
[00:36:09.100 --> 00:36:11.140]   And then when we don't have enough
[00:36:11.140 --> 00:36:12.980]   testimonies around us, we get frustrated.
[00:36:12.980 --> 00:36:14.540]   What's wrong with these people?
[00:36:15.540 --> 00:36:19.060]   See, when he says consider, the first imperative is,
[00:36:19.060 --> 00:36:21.820]   if you know that you've been given new life,
[00:36:21.820 --> 00:36:25.980]   and you've been given new legs,
[00:36:25.980 --> 00:36:29.340]   and new eyes, and new heart,
[00:36:29.340 --> 00:36:31.580]   now use it.
[00:36:31.580 --> 00:36:34.540]   Now live it.
[00:36:34.540 --> 00:36:39.420]   I remember the very first time my eyes got open,
[00:36:39.420 --> 00:36:41.500]   and I believed that God was real.
[00:36:43.860 --> 00:36:46.660]   The first thought that I had was,
[00:36:46.660 --> 00:36:49.100]   I want to tell other people.
[00:36:49.100 --> 00:36:52.540]   Wouldn't you?
[00:36:52.540 --> 00:36:54.300]   If you were blind all your life,
[00:36:54.300 --> 00:36:55.900]   and all your friends were blind,
[00:36:55.900 --> 00:36:58.100]   and somebody gave you new life,
[00:36:58.100 --> 00:37:01.540]   and this new life is something that they can have too,
[00:37:01.540 --> 00:37:04.460]   would you get this new life, and just,
[00:37:04.460 --> 00:37:06.220]   fantastic, and then go on a trip?
[00:37:06.220 --> 00:37:11.300]   I think we would all have the same thought.
[00:37:13.340 --> 00:37:15.340]   I know a bunch of people who can't see.
[00:37:15.340 --> 00:37:17.700]   I want them to have it.
[00:37:17.700 --> 00:37:21.460]   And we pursue Christ.
[00:37:21.460 --> 00:37:22.940]   We pursue fellowship.
[00:37:22.940 --> 00:37:25.300]   We pursue his word.
[00:37:25.300 --> 00:37:26.460]   Pursue, and let me,
[00:37:26.460 --> 00:37:29.220]   qualify that.
[00:37:29.220 --> 00:37:31.060]   Not just passively receive.
[00:37:31.060 --> 00:37:36.020]   And that's why people who are not actively pursuing Christ
[00:37:36.020 --> 00:37:37.820]   are the greatest critics.
[00:37:37.820 --> 00:37:40.740]   You're like the people who are watching the Olympics,
[00:37:40.740 --> 00:37:42.220]   and you're watching, and then, you know,
[00:37:42.220 --> 00:37:43.620]   they do this fantastic vault,
[00:37:43.620 --> 00:37:46.100]   and then their leg moves just a second like that.
[00:37:46.100 --> 00:37:48.940]   (scoffs)
[00:37:48.940 --> 00:37:51.220]   They don't deserve a knight.
[00:37:51.220 --> 00:37:52.540]   That's a 7.5.
[00:37:52.540 --> 00:37:54.300]   You know?
[00:37:54.300 --> 00:37:56.660]   Michael fell, you know, like,
[00:37:56.660 --> 00:37:58.540]   swimming, you know,
[00:37:58.540 --> 00:37:59.820]   swimming his heart out.
[00:37:59.820 --> 00:38:02.900]   And he missed his first place by a millisecond.
[00:38:02.900 --> 00:38:04.700]   (groans)
[00:38:04.700 --> 00:38:05.580]   28 gold medals.
[00:38:05.580 --> 00:38:07.060]   He couldn't get 29.
[00:38:10.260 --> 00:38:12.700]   The people who are bystanders
[00:38:12.700 --> 00:38:14.900]   are the biggest critics.
[00:38:14.900 --> 00:38:19.780]   We're celebrating other people's life
[00:38:19.780 --> 00:38:21.860]   and critiquing how they're living.
[00:38:21.860 --> 00:38:26.780]   But if you're a genuine believer in Christ,
[00:38:26.780 --> 00:38:28.660]   you've been given a gift of new life.
[00:38:28.660 --> 00:38:32.460]   And that's why he's not saying pursue it
[00:38:32.460 --> 00:38:34.460]   to make you feel guilty.
[00:38:34.460 --> 00:38:35.820]   He's telling you, pursue it.
[00:38:35.820 --> 00:38:37.300]   You have new legs.
[00:38:37.300 --> 00:38:38.140]   Run!
[00:38:39.500 --> 00:38:40.900]   I've given you a new mouth.
[00:38:40.900 --> 00:38:41.980]   Speak!
[00:38:41.980 --> 00:38:45.620]   I've given you a new heart.
[00:38:45.620 --> 00:38:46.460]   Feel!
[00:38:46.460 --> 00:38:50.860]   I've given you new strength.
[00:38:50.860 --> 00:38:51.700]   Now live.
[00:38:51.700 --> 00:38:55.020]   That's why when Jesus says,
[00:38:55.020 --> 00:38:56.900]   "I've come to give life,
[00:38:56.900 --> 00:38:59.020]   "I've come to give abundantly."
[00:38:59.020 --> 00:39:03.380]   Not just enough so you can come to church.
[00:39:03.380 --> 00:39:06.060]   Not just enough so you can be okay at Bible study.
[00:39:06.060 --> 00:39:08.020]   But so you can live.
[00:39:09.020 --> 00:39:13.940]   See, for a Christian, life is found in Christ,
[00:39:13.940 --> 00:39:16.300]   in Christ alone.
[00:39:16.300 --> 00:39:17.140]   Alone!
[00:39:17.140 --> 00:39:20.140]   That's why we come to church.
[00:39:20.140 --> 00:39:22.460]   That's why we sacrifice.
[00:39:22.460 --> 00:39:26.380]   That's why we are united with Christ in his death,
[00:39:26.380 --> 00:39:28.420]   so that we may be united with Christ
[00:39:28.420 --> 00:39:30.340]   in his new, resurrected life.
[00:39:30.340 --> 00:39:31.380]   Amen?
[00:39:31.380 --> 00:39:33.740]   That's why Paul is saying it does not.
[00:39:33.740 --> 00:39:37.140]   Genuine repentance, genuine acceptance,
[00:39:37.140 --> 00:39:38.420]   genuine fellowship with Christ
[00:39:38.420 --> 00:39:40.580]   does not lead to the sentience system,
[00:39:40.580 --> 00:39:42.700]   but a new life in Christ.
[00:39:42.700 --> 00:39:44.700]   Would you take a minute to pray with me?

