
[00:00:00.000 --> 00:00:02.340]   (no audio)
[00:36:13.600 --> 00:36:18.280]   is being abused, molested, neglected, or harmed by someone,
[00:36:18.280 --> 00:36:21.640]   first see if that seems like innocent, okay.
[00:36:21.640 --> 00:36:24.000]   Just, you know, just might be inappropriate,
[00:36:24.000 --> 00:36:26.680]   but they don't know, so just privately, you know,
[00:36:26.680 --> 00:36:28.080]   talk to the person, encourage them,
[00:36:28.080 --> 00:36:30.080]   hey, remember that safety training, you know,
[00:36:30.080 --> 00:36:32.880]   we went to, like, not to be alone, or not to, you know,
[00:36:32.880 --> 00:36:36.280]   just, you know, just out of love, out of just, you know,
[00:36:36.280 --> 00:36:39.160]   care for that person, you know, you can approach them,
[00:36:39.160 --> 00:36:43.320]   and if you continue to see, perhaps, a pattern of behavior,
[00:36:43.320 --> 00:36:45.560]   then, and there's reasonable suspicion,
[00:36:45.560 --> 00:36:48.160]   then report it to the appropriate lead,
[00:36:48.160 --> 00:36:53.160]   like Sarah, or Mel, or Pastor Mark, or Matt,
[00:36:53.160 --> 00:36:58.200]   or just, you know, an appropriate pastor
[00:36:58.200 --> 00:37:01.520]   that you think that you can trust with that information,
[00:37:01.520 --> 00:37:02.360]   and what to do.
[00:37:07.560 --> 00:37:11.360]   All right, so special restrictions.
[00:37:11.360 --> 00:37:16.400]   All right, these are just special instructions
[00:37:16.400 --> 00:37:20.000]   for, like, if you're working for BBS, or Reformation Night,
[00:37:20.000 --> 00:37:21.800]   especially Reformation Night is coming up,
[00:37:21.800 --> 00:37:23.200]   like, these kids are crazy,
[00:37:23.200 --> 00:37:25.520]   they're, like, running around, like, everywhere,
[00:37:25.520 --> 00:37:28.120]   so students should always be supervised,
[00:37:28.120 --> 00:37:30.400]   and they shouldn't be, like, running around outside,
[00:37:30.400 --> 00:37:33.600]   or anywhere in the building, like, by the playground, too,
[00:37:33.600 --> 00:37:35.960]   like, by themselves, so if you see that they are,
[00:37:35.960 --> 00:37:37.720]   grab a parent, or, you know, make sure
[00:37:37.720 --> 00:37:39.560]   that someone is out there with them,
[00:37:39.560 --> 00:37:42.720]   and for Bible study babysitting, which we talked about,
[00:37:42.720 --> 00:37:45.800]   if you need a replacement, contact Pastor Mark,
[00:37:45.800 --> 00:37:48.040]   and make sure that whoever is replacing you
[00:37:48.040 --> 00:37:49.520]   has met the requirements,
[00:37:49.520 --> 00:37:52.160]   and if there's just not enough people,
[00:37:52.160 --> 00:37:54.680]   I just spoke with the Pastor Mark and the staff,
[00:37:54.680 --> 00:37:57.880]   is that the parents of that Bible study group
[00:37:57.880 --> 00:38:01.640]   need to find, or, like, babysit, okay,
[00:38:01.640 --> 00:38:05.080]   so if there's only one of you that showed up that day,
[00:38:05.080 --> 00:38:07.000]   and you need someone, then you need to tell, like,
[00:38:07.000 --> 00:38:09.040]   the lead of that group, and tell them,
[00:38:09.040 --> 00:38:11.720]   we need somebody, one of you, to be with us
[00:38:11.720 --> 00:38:12.920]   while we're babysitting,
[00:38:12.920 --> 00:38:17.280]   because that's our responsibility as parents, yes, Laura?
[00:38:17.280 --> 00:38:18.240]   - Sorry, I have a question,
[00:38:18.240 --> 00:38:20.800]   so regarding the Bible study babysitting,
[00:38:20.800 --> 00:38:24.480]   is that the responsibility of the host,
[00:38:24.480 --> 00:38:27.200]   Bible study host, to ensure that that policy
[00:38:27.200 --> 00:38:28.800]   is being followed?
[00:38:28.800 --> 00:38:30.760]   - Yeah, so Pastor Peter and Pastor Mark
[00:38:30.760 --> 00:38:33.840]   are gonna email all the Bible study leaders,
[00:38:33.840 --> 00:38:36.200]   but yes, they can, it's, you know,
[00:38:36.200 --> 00:38:39.000]   and whoever, I guess, is, like, kind of leading
[00:38:39.000 --> 00:38:44.000]   that Bible study babysitting, like, thing,
[00:38:44.000 --> 00:38:46.400]   is, like, finding volunteers and stuff like that,
[00:38:46.400 --> 00:38:49.280]   like, you should probably coordinate with that person
[00:38:49.280 --> 00:38:51.560]   and make sure that they know, yeah.
[00:38:51.560 --> 00:38:54.560]   Again, keep the two-adult policy,
[00:38:54.560 --> 00:38:56.360]   especially for bathrooms,
[00:38:56.360 --> 00:38:58.480]   and if there's not, yeah, enough babysitters,
[00:38:58.480 --> 00:39:00.840]   ask parents to rotate it.
[00:39:00.840 --> 00:39:02.840]   And don't ever feel bad about that,
[00:39:02.840 --> 00:39:05.960]   because, you know, like, we wanna protect our kids, too,
[00:39:05.960 --> 00:39:07.560]   and we don't want it to be, like, also,
[00:39:07.560 --> 00:39:08.920]   if you're babysitting, like, such a,
[00:39:08.920 --> 00:39:10.920]   like, you're by yourself with, like, 12 kids,
[00:39:10.920 --> 00:39:13.440]   which would be, like, terrible.
[00:39:13.440 --> 00:39:15.360]   (audience laughing)
[00:39:15.360 --> 00:39:16.880]   That's in, like, one little room.
[00:39:16.880 --> 00:39:18.720]   So, you know, don't do, don't be like,
[00:39:18.720 --> 00:39:20.440]   I'm gonna be a martyr, no, like,
[00:39:20.440 --> 00:39:21.480]   (audience laughing)
[00:39:21.480 --> 00:39:24.680]   do this, but, you know, get another parent in there.
[00:39:24.680 --> 00:39:26.880]   It's one week, it's okay,
[00:39:26.880 --> 00:39:28.440]   put it on a rotation if you have to,
[00:39:28.440 --> 00:39:30.480]   but that's our responsibility as parents.
[00:39:30.920 --> 00:39:34.360]   Um, okay, that was fast, was that good?
[00:39:34.360 --> 00:39:35.200]   Okay, good.
[00:39:35.200 --> 00:39:36.040]   (audience laughing)
[00:39:36.040 --> 00:39:36.880]   Yes!
[00:39:36.880 --> 00:39:38.200]   Okay, all right.
[00:39:38.200 --> 00:39:41.240]   Phew, that was so terrible.
[00:39:41.240 --> 00:39:44.240]   (audience laughing)
[00:39:44.240 --> 00:39:46.960]   All right, so basically,
[00:39:46.960 --> 00:39:48.720]   there's two things you need to do.
[00:39:48.720 --> 00:39:51.400]   Make sure you sign it onto that clipboard,
[00:39:51.400 --> 00:39:54.560]   and make sure your email address is there,
[00:39:54.560 --> 00:39:57.120]   'cause if you did not get this in electronic form,
[00:39:57.120 --> 00:39:58.640]   I can send it to you.
[00:39:58.640 --> 00:40:03.640]   And so, give us back the paper copy if you don't want it,
[00:40:03.640 --> 00:40:05.760]   but if you really, like, love it,
[00:40:05.760 --> 00:40:07.800]   then go ahead and take it home with you,
[00:40:07.800 --> 00:40:09.960]   or else just leave it on the side.
[00:40:09.960 --> 00:40:12.040]   And then the other little slip of paper
[00:40:12.040 --> 00:40:14.440]   is the teacher acknowledgement form,
[00:40:14.440 --> 00:40:15.960]   so read that and sign it,
[00:40:15.960 --> 00:40:18.320]   and then put it back on the table.
[00:40:18.320 --> 00:40:20.280]   If you don't sign it, that means,
[00:40:20.280 --> 00:40:24.080]   and I literally kept all of these from every training,
[00:40:24.080 --> 00:40:26.440]   so if you don't sign it, that means, like,
[00:40:26.440 --> 00:40:28.160]   I did not know you were here.
[00:40:28.160 --> 00:40:29.520]   And then you're gonna have to redo this,
[00:40:29.520 --> 00:40:30.960]   which you usually don't have to,
[00:40:30.960 --> 00:40:33.840]   so, like, for, like, five more years.
[00:40:33.840 --> 00:40:35.320]   So just make sure you sign it
[00:40:35.320 --> 00:40:38.640]   and turn it in on the table before you leave.
[00:40:38.640 --> 00:40:43.640]   And if you have any questions, comments, suggestions
[00:40:43.640 --> 00:40:45.280]   on how to improve our safety,
[00:40:45.280 --> 00:40:47.040]   like, you guys are there, like,
[00:40:47.040 --> 00:40:48.880]   on the front lines doing stuff,
[00:40:48.880 --> 00:40:51.440]   so if you see something that we're missing,
[00:40:51.440 --> 00:40:52.960]   then let us know, you know,
[00:40:52.960 --> 00:40:54.920]   'cause we're always trying to improve.
[00:40:54.920 --> 00:40:57.320]   We're trying to figure out what we need to do better,
[00:40:57.320 --> 00:40:59.520]   so if you have a suggestion or anything,
[00:40:59.520 --> 00:41:02.360]   just, like, let us know what we can do to.
[00:41:02.360 --> 00:41:04.560]   I know for, just to speak to that, too,
[00:41:04.560 --> 00:41:07.920]   I feel like, in general, I've noticed
[00:41:07.920 --> 00:41:10.320]   our church is not really big on speaking up,
[00:41:10.320 --> 00:41:11.240]   but we want you to.
[00:41:11.240 --> 00:41:13.240]   I know that Sarah and I, we've been able to get
[00:41:13.240 --> 00:41:15.640]   a lot of great suggestions from our volunteers
[00:41:15.640 --> 00:41:18.240]   and implementing them to great measure,
[00:41:18.240 --> 00:41:20.840]   so I really, we really appreciate it,
[00:41:20.840 --> 00:41:24.120]   and we want our ministries to get that.
[00:41:24.120 --> 00:41:26.600]   Okay, so does anyone have any questions?
[00:41:26.600 --> 00:41:29.040]   - Yeah, so two child, or not two child,
[00:41:29.040 --> 00:41:31.240]   two adult policy to go to the restrooms,
[00:41:31.240 --> 00:41:33.840]   so, 'cause in the home groups I've been in so far,
[00:41:33.840 --> 00:41:36.000]   they normally have, like, a room where the old kids are
[00:41:36.000 --> 00:41:38.640]   and the restroom's outside, so, and so far,
[00:41:38.640 --> 00:41:40.400]   when I've done, like, the restroom thing,
[00:41:40.400 --> 00:41:42.240]   somebody had to stay in the room with all the kids,
[00:41:42.240 --> 00:41:43.960]   while one child had to go out to the restroom,
[00:41:43.960 --> 00:41:45.400]   so would you have all the kids follow you
[00:41:45.400 --> 00:41:46.240]   to the restroom then?
[00:41:46.240 --> 00:41:50.600]   - Well, it's two, so it's one female that can take them.
[00:41:50.600 --> 00:41:51.440]   - Okay.
[00:41:51.440 --> 00:41:53.920]   - But, so, just basically, never have a male
[00:41:53.920 --> 00:41:54.760]   take them by the toes.
[00:41:54.760 --> 00:41:55.600]   - Okay.
[00:41:55.600 --> 00:41:56.440]   - Yeah.
[00:41:56.440 --> 00:41:57.280]   - Yeah.
[00:41:57.280 --> 00:41:59.440]   - But if it's one male, one female,
[00:41:59.440 --> 00:42:01.440]   would the male stay in the room with all the kids?
[00:42:01.440 --> 00:42:02.280]   - Um.
[00:42:02.280 --> 00:42:07.280]   - So what I suggest is just keep all the doors open,
[00:42:07.280 --> 00:42:08.920]   so you go to the bathroom and to the room
[00:42:08.920 --> 00:42:12.280]   that you guys are babysitting in, just keep it open,
[00:42:12.280 --> 00:42:14.000]   because really, what you're helping them to do
[00:42:14.000 --> 00:42:16.420]   is put them on the toilet, but you can kinda step back
[00:42:16.420 --> 00:42:19.360]   and let them do their thing, but also keep watch in both.
[00:42:19.360 --> 00:42:20.200]   - Great.
[00:42:20.200 --> 00:42:22.640]   - Yeah, any other questions?
[00:42:22.640 --> 00:42:24.800]   - That's a really good question.
[00:42:24.800 --> 00:42:27.520]   - So you only, like in here, we only need to leave
[00:42:27.520 --> 00:42:31.000]   the door ajar if we're physically going into the bathroom.
[00:42:31.000 --> 00:42:34.000]   - Yeah, but they can, yes, the kids should know themselves.
[00:42:34.000 --> 00:42:35.480]   - They can do it by themselves, you just open it.
[00:42:35.480 --> 00:42:36.320]   - Okay.
[00:42:36.320 --> 00:42:38.240]   - And Steve's is different, 'cause we keep our bathroom door
[00:42:38.240 --> 00:42:40.240]   open at all times, we have a door stopper,
[00:42:40.240 --> 00:42:42.120]   so it's open at all times.
[00:42:42.120 --> 00:42:43.520]   - It's never closed.
[00:42:43.520 --> 00:42:45.760]   - And our male volunteers have only step in there
[00:42:45.760 --> 00:42:46.600]   if they're clean.
[00:42:46.600 --> 00:42:50.000]   - Poor male volunteers.
[00:42:50.000 --> 00:42:52.640]   (laughing)
[00:42:52.640 --> 00:42:53.640]   - We love you guys.
[00:42:53.640 --> 00:42:54.480]   - Okay.
[00:42:54.480 --> 00:42:56.360]   (laughing)
[00:42:56.360 --> 00:42:57.800]   - It's a good thing, 'cause we don't have to
[00:42:57.800 --> 00:42:58.640]   open to the bathroom.
[00:42:58.640 --> 00:43:01.080]   - They do love it, they're like, "Somebody food!"
[00:43:01.080 --> 00:43:03.320]   (laughing)
[00:43:03.320 --> 00:43:08.120]   - One of the little ladies wants to step out.
[00:43:08.120 --> 00:43:10.120]   - Yeah, any other questions?
[00:43:10.120 --> 00:43:14.400]   Yeah, do we need to fill out a application for volunteering,
[00:43:14.400 --> 00:43:18.480]   like for Reformation Night or VBS?
[00:43:18.480 --> 00:43:23.480]   - Yes, for VBS, for Reformation Night, yes, we do.
[00:43:23.720 --> 00:43:27.040]   So, if you don't, did I send the link?
[00:43:27.040 --> 00:43:30.120]   No, Jane sent the link, I think, right?
[00:43:30.120 --> 00:43:31.400]   - Oh, maybe I wasn't on that.
[00:43:31.400 --> 00:43:33.800]   - Okay, I'll send the link out to everyone
[00:43:33.800 --> 00:43:35.760]   for Reformation Night, just in case,
[00:43:35.760 --> 00:43:38.480]   and then, yeah, you need to fill one out.
[00:43:38.480 --> 00:43:39.320]   - Okay.
[00:43:39.320 --> 00:43:45.160]   - All right, thank you so much for coming.
[00:43:45.160 --> 00:43:46.000]   - Thank you guys so much.
[00:43:46.000 --> 00:43:46.840]   - Thank you.
[00:43:46.840 --> 00:43:49.240]   (applauding)
[00:43:49.240 --> 00:43:51.660]   (chattering)
[00:43:51.660 --> 00:43:54.080]   (chattering)
[00:43:54.080 --> 00:43:56.320]   (laughter)
[00:43:56.320 --> 00:43:57.640]   Have a good year.

