
[00:00:00.000 --> 00:00:07.360]   Good morning again, everybody.
[00:46:01.040 --> 00:46:03.080]   He has power.
[00:46:03.080 --> 00:46:06.160]   He has authority over disease.
[00:46:06.160 --> 00:46:08.660]   Because you know what the instructions are in Leviticus?
[00:46:08.660 --> 00:46:14.200]   When the man comes and he says he's cleansed, the Levitical priests, they essentially do
[00:46:14.200 --> 00:46:15.200]   disease tracking.
[00:46:15.200 --> 00:46:16.760]   Where were you?
[00:46:16.760 --> 00:46:17.760]   Did you really have it?
[00:46:17.760 --> 00:46:19.020]   Did you have the sores?
[00:46:19.020 --> 00:46:20.020]   What kind of sores did you have?
[00:46:20.020 --> 00:46:21.020]   What were the ailments?
[00:46:21.020 --> 00:46:22.020]   Were you really cleansed?
[00:46:22.020 --> 00:46:27.680]   And essentially, they do a check to make sure that this was a genuine miracle.
[00:46:27.680 --> 00:46:29.680]   That was the law.
[00:46:29.680 --> 00:46:33.520]   And so Jesus says, "Go show yourself."
[00:46:33.520 --> 00:46:41.640]   Jesus has done everything possible to convince the world that he is of God.
[00:46:41.640 --> 00:46:42.640]   He is of God.
[00:46:42.640 --> 00:46:45.960]   You know what the sad state of affairs is?
[00:46:45.960 --> 00:46:46.960]   Matthew chapter 12.
[00:46:46.960 --> 00:46:49.360]   Do you know what the Pharisees and the leaders conclude?
[00:46:49.360 --> 00:46:52.960]   "That must be a demon."
[00:46:52.960 --> 00:46:53.960]   So sad.
[00:46:53.960 --> 00:46:55.960]   It's frustrating almost.
[00:46:55.960 --> 00:47:05.160]   Below, and a warning to every single one of us, there is a weird temptation for us to
[00:47:05.160 --> 00:47:11.280]   not trust the power of Christ.
[00:47:11.280 --> 00:47:14.360]   We run away when we should be running towards him.
[00:47:14.360 --> 00:47:17.560]   We hide when we should be exposing.
[00:47:17.560 --> 00:47:24.840]   We do so many things that believe that other people can help us, other programs.
[00:47:24.840 --> 00:47:28.260]   It's not just the nation of Israel, and it's not just the Pharisees.
[00:47:28.260 --> 00:47:30.960]   How many times has God said, "Trust me and me alone."
[00:47:30.960 --> 00:47:33.840]   Why do you keep making alliances with them?
[00:47:33.840 --> 00:47:35.840]   What is Egypt going to do for you?
[00:47:35.840 --> 00:47:38.240]   They have powers.
[00:47:38.240 --> 00:47:40.960]   That's essentially what they're saying.
[00:47:40.960 --> 00:47:45.880]   So I end with this warning because surprisingly, this passage is a warning.
[00:47:45.880 --> 00:47:51.520]   It's a rebuke to the established culture and the religious leaders of the time.
[00:47:51.520 --> 00:47:56.360]   What we need to believe is in the power and the willing compassion of Christ.
[00:47:56.360 --> 00:47:58.720]   You are going to be tempted and lured by the world.
[00:47:58.720 --> 00:47:59.720]   "No, trust me.
[00:47:59.720 --> 00:48:01.720]   No, trust yourself.
[00:48:01.720 --> 00:48:02.720]   No."
[00:48:02.720 --> 00:48:06.720]   But may we be of those humble like the leper.
[00:48:06.720 --> 00:48:10.360]   "Lord, if you're willing, I'm going to be clean."
[00:48:10.360 --> 00:48:11.360]   Amen?
[00:48:11.360 --> 00:48:12.360]   Let's pray.
[00:48:12.360 --> 00:48:23.040]   Father God, we thank you so much that in your Word, we have the answer to the question,
[00:48:23.040 --> 00:48:25.960]   "Are you willing?"
[00:48:25.960 --> 00:48:30.320]   Some of us, Father God, we wrestle with sin and it amazes us.
[00:48:30.320 --> 00:48:32.600]   Like, "You're willing to forgive me?"
[00:48:32.600 --> 00:48:33.600]   After how many times?
[00:48:33.600 --> 00:48:41.920]   I pray, God, we would believe that you have power, Lord, and that you're willing and compassionate.
[00:48:41.920 --> 00:48:49.920]   I pray, Father God, for the faith to be humble, Lord, that resorting to my own devices, resorting
[00:48:49.920 --> 00:48:53.720]   to my own power means certain death.
[00:48:53.720 --> 00:48:58.200]   And Lord, we must be humble enough to come to you and ask.
[00:48:58.200 --> 00:49:03.720]   I pray, Father God, anybody in this room who is struggling through suffering and hard times,
[00:49:03.720 --> 00:49:08.280]   when they recognize that, Lord, your plan for them and your will for them is not to
[00:49:08.280 --> 00:49:13.960]   simply have ease here because you already told us we'll walk this life with great suffering,
[00:49:13.960 --> 00:49:16.640]   but God, to have such great hope.
[00:49:16.640 --> 00:49:20.240]   To have you means we have everything.
[00:49:20.240 --> 00:49:23.400]   To have you means we have the greatest power of all.
[00:49:23.400 --> 00:49:25.080]   Lord, we thank you and praise you.
[00:49:25.080 --> 00:49:26.080]   It's in Christ's name we pray.
[00:49:26.080 --> 00:49:26.580]   Amen.

