
[00:00:00.000 --> 00:00:02.000]   (Applause)
[00:39:13.500 --> 00:39:15.500]   Oh, He's not going to receive me.
[00:39:15.500 --> 00:39:19.500]   I'd rather just spend my life outside of the church, outside of His realm."
[00:39:19.500 --> 00:39:22.500]   His forgiveness is His prerogative to give.
[00:39:22.500 --> 00:39:28.500]   If He says, "Your sin," and says, "I can forgive that," then He can forgive that.
[00:39:28.500 --> 00:39:31.500]   So the question for you is not sitting there reconciling,
[00:39:31.500 --> 00:39:34.500]   "Oh, what's my responsibility? What's His responsibility?
[00:39:34.500 --> 00:39:37.500]   Is He going to receive me? Is He not going to receive me?" and all of this.
[00:39:37.500 --> 00:39:42.500]   The question for you is, can you come to a point where you humble yourself and repent?
[00:39:42.500 --> 00:39:47.500]   Can you come to a point where you humble yourself and say, "God, I need you desperately."
[00:39:47.500 --> 00:39:50.500]   For any of you who are sitting there wrestling,
[00:39:50.500 --> 00:39:53.500]   anytime someone preaches, "Oh, God keeps you to the very end.
[00:39:53.500 --> 00:39:56.500]   He's the one who's working in you. He's the one who's convicting you.
[00:39:56.500 --> 00:39:58.500]   He's the one who's got the Spirit in you.
[00:39:58.500 --> 00:40:01.500]   And He's the one fully controlling you to the very end."
[00:40:01.500 --> 00:40:04.500]   You want to ask all those questions of, "Well, what's the reconciliation here
[00:40:04.500 --> 00:40:08.500]   between my responsibility and the Lord's sovereignty?"
[00:40:08.500 --> 00:40:14.500]   I just want to tell you guys, "Shh. Put that off until later."
[00:40:14.500 --> 00:40:19.500]   The issue here isn't whether you want to reconcile your responsibility and His responsibility.
[00:40:19.500 --> 00:40:26.500]   The issue here is God just told you that He is willing and capable of keeping you.
[00:40:26.500 --> 00:40:34.500]   Will you apply that in faith? Will you apply that in faith?
[00:40:34.500 --> 00:40:37.500]   Please turn back over to Psalms.
[00:40:37.500 --> 00:40:40.500]   And again, these are songs of ascent, so if you ever have time,
[00:40:40.500 --> 00:40:45.500]   start reading from Psalm 120 and go 15 chapters forward.
[00:40:45.500 --> 00:40:49.500]   But I want to show you Psalm 123.
[00:40:49.500 --> 00:40:53.500]   It is the spiritual thought as we move from fears and failures
[00:40:53.500 --> 00:40:59.500]   to the thought and belief that God is supreme, that God will keep us.
[00:40:59.500 --> 00:41:02.500]   We go to Psalm 123.
[00:41:02.500 --> 00:41:08.500]   "To you I lift up my eyes, O you who are enthroned in the heavens.
[00:41:08.500 --> 00:41:12.500]   Behold, as the eyes of servants look to the hand of their masters,
[00:41:12.500 --> 00:41:16.500]   as the eyes of a maid to the hand of her mistress,
[00:41:16.500 --> 00:41:22.500]   so our eyes look to the Lord our God until He is gracious to us.
[00:41:22.500 --> 00:41:27.500]   Be gracious to us, O Lord, be gracious to us."
[00:41:27.500 --> 00:41:34.500]   I pray for you guys that today as you leave, you would be all the more assured in faith,
[00:41:34.500 --> 00:41:40.500]   "My God is able to help me. My God is willing to help me."
[00:41:40.500 --> 00:41:46.500]   And that belief, I hope it empowers your prayer life.
[00:41:46.500 --> 00:41:49.500]   If you are struggling with giving God worship through the week,
[00:41:49.500 --> 00:41:52.500]   I hope this empowers your prayer life.
[00:41:52.500 --> 00:41:55.500]   For you can go to Him with everything.
[00:41:55.500 --> 00:41:59.500]   "Lord, this is not too small in your eyes. I can go to you for help.
[00:41:59.500 --> 00:42:02.500]   Lord, this is not too big for you to deal with.
[00:42:02.500 --> 00:42:07.500]   I don't even know how to ask for help here, God. I just need you to intervene."
[00:42:07.500 --> 00:42:13.500]   Let this rejuvenate and empower your prayer life through this week.
[00:42:13.500 --> 00:42:16.500]   And that you can go to God and say, "Lord, be gracious to me.
[00:42:16.500 --> 00:42:22.500]   As a servant who is watchfully waiting for the master to say, 'Come,' or the masters to say, 'Here,'
[00:42:22.500 --> 00:42:28.500]   I want you guys to say, 'I look and lift my eyes to the Lord.'"
[00:42:28.500 --> 00:42:32.500]   Let's pray.
[00:42:32.500 --> 00:42:45.500]   Heavenly Father, there are times in our Christian walk
[00:42:45.500 --> 00:42:53.500]   where all we can do is tell you, "Lord, I believe. Thank you so much."
[00:42:53.500 --> 00:43:00.500]   These are one of those moments when we know that our eternal security is in your hands.
[00:43:00.500 --> 00:43:03.500]   And so when you promise, "I am your keeper to the very end,"

