
[00:00:00.000 --> 00:00:03.340]   ♪ Godless righteousness ♪
[00:45:10.920 --> 00:45:14.080]   but take the time to go through the ones
[00:45:14.080 --> 00:45:16.400]   that weigh heavy on your heart.
[00:45:16.400 --> 00:45:18.400]   But before we go into that, let's go ahead,
[00:45:18.400 --> 00:45:20.880]   and I'll give you about five minutes or so
[00:45:20.880 --> 00:45:23.960]   to turn to maybe in groups of three or so
[00:45:23.960 --> 00:45:27.640]   to pray, or to share prayer requests.
[00:45:27.640 --> 00:45:30.080]   And just like last time, please don't take too much time,
[00:45:30.080 --> 00:45:32.200]   because if you do, then at the end,
[00:45:32.200 --> 00:45:34.600]   the last person's gonna be rushing, right?
[00:45:34.600 --> 00:45:35.440]   That's not fair.
[00:45:35.440 --> 00:45:38.080]   So go ahead and turn to each other now.
[00:45:38.080 --> 00:45:40.000]   Write it down on the back of your paper,
[00:45:40.000 --> 00:45:41.600]   and then that's gonna be a part of our list.
[00:45:41.600 --> 00:45:43.440]   I'll bring us back, okay,
[00:45:43.440 --> 00:45:45.240]   and to enter into that time together.
[00:45:45.400 --> 00:45:48.560]   (audience chattering)
[00:45:48.560 --> 00:45:50.720]   (silence)
[00:45:50.720 --> 00:45:52.880]   (silence)
[00:45:52.880 --> 00:45:55.040]   (silence)
[00:45:55.040 --> 00:45:57.200]   (silence)
[00:45:57.200 --> 00:45:59.360]   (silence)
[00:45:59.360 --> 00:46:01.520]   (silence)
[00:46:01.520 --> 00:46:03.680]   (silence)
[00:46:03.680 --> 00:46:05.840]   (silence)
[00:46:05.840 --> 00:46:08.000]   (silence)
[00:46:08.000 --> 00:46:10.160]   (silence)
[00:46:10.160 --> 00:46:12.320]   (silence)
[00:46:12.320 --> 00:46:14.480]   (silence)
[00:46:14.480 --> 00:46:16.640]   (silence)
[00:46:16.640 --> 00:46:18.800]   (silence)
[00:46:18.800 --> 00:46:20.960]   (silence)
[00:46:20.960 --> 00:46:23.120]   (silence)
[00:46:23.120 --> 00:46:25.280]   (silence)
[00:46:25.280 --> 00:46:27.440]   (silence)
[00:46:27.440 --> 00:46:29.600]   (silence)
[00:46:29.600 --> 00:46:31.760]   (silence)
[00:46:31.760 --> 00:46:33.920]   (silence)
[00:46:33.920 --> 00:46:36.080]   (silence)
[00:46:36.080 --> 00:46:38.240]   (silence)
[00:46:38.240 --> 00:46:40.400]   (silence)
[00:46:40.400 --> 00:46:42.560]   (silence)
[00:46:42.560 --> 00:46:44.720]   (silence)
[00:46:44.720 --> 00:46:46.880]   (silence)
[00:46:46.880 --> 00:46:49.040]   (silence)
[00:46:49.040 --> 00:46:51.200]   (silence)
[00:46:51.200 --> 00:46:53.360]   (silence)
[00:46:53.360 --> 00:46:55.520]   (silence)
[00:46:55.520 --> 00:46:57.680]   (silence)
[00:46:57.680 --> 00:46:59.840]   (silence)
[00:46:59.840 --> 00:47:02.000]   (silence)
[00:47:02.000 --> 00:47:04.160]   (silence)
[00:47:04.160 --> 00:47:06.320]   (silence)
[00:47:06.320 --> 00:47:08.480]   (silence)
[00:47:08.480 --> 00:47:10.640]   (silence)
[00:47:10.640 --> 00:47:12.800]   (silence)
[00:47:12.800 --> 00:47:14.960]   (silence)
[00:47:14.960 --> 00:47:17.120]   (silence)
[00:47:17.120 --> 00:47:19.280]   (silence)
[00:47:19.280 --> 00:47:21.440]   (silence)
[00:47:21.440 --> 00:47:23.600]   (silence)
[00:47:23.600 --> 00:47:25.760]   (silence)
[00:47:25.760 --> 00:47:27.920]   (silence)
[00:47:27.920 --> 00:47:30.080]   (silence)
[00:47:30.080 --> 00:47:32.240]   (silence)
[00:47:32.240 --> 00:47:34.400]   (silence)
[00:47:34.400 --> 00:47:36.560]   (silence)
[00:47:36.560 --> 00:47:38.720]   (silence)
[00:47:38.720 --> 00:47:40.880]   (silence)
[00:47:40.880 --> 00:47:43.040]   (silence)
[00:47:43.040 --> 00:47:45.200]   (silence)
[00:47:45.200 --> 00:47:47.360]   (silence)
[00:47:47.360 --> 00:47:49.520]   (silence)
[00:47:49.520 --> 00:47:51.680]   (silence)
[00:47:51.680 --> 00:47:53.840]   (silence)
[00:47:53.840 --> 00:47:56.000]   (silence)
[00:47:56.000 --> 00:47:58.160]   (silence)
[00:47:58.160 --> 00:48:00.320]   (silence)
[00:48:00.320 --> 00:48:02.480]   (silence)
[00:48:02.480 --> 00:48:04.640]   (silence)
[00:48:04.640 --> 00:48:06.800]   (silence)
[00:48:06.800 --> 00:48:08.960]   (silence)
[00:48:08.960 --> 00:48:11.120]   (silence)
[00:48:11.120 --> 00:48:13.280]   (silence)
[00:48:13.280 --> 00:48:15.440]   (silence)
[00:48:15.440 --> 00:48:17.600]   (silence)
[00:48:17.600 --> 00:48:19.760]   (silence)
[00:48:19.760 --> 00:48:21.920]   (silence)
[00:48:21.920 --> 00:48:24.080]   (silence)
[00:48:24.080 --> 00:48:26.240]   (silence)
[00:48:26.240 --> 00:48:28.400]   (silence)
[00:48:28.400 --> 00:48:30.560]   (silence)
[00:48:30.560 --> 00:48:32.720]   (silence)
[00:48:32.720 --> 00:48:34.880]   (silence)
[00:48:34.880 --> 00:48:56.880]   (silence)
[00:48:56.880 --> 00:48:59.040]   (silence)
[00:48:59.040 --> 00:49:20.640]   Maybe just about one more minute.
[00:49:20.640 --> 00:49:22.800]   (silence)
[00:49:22.800 --> 00:49:24.960]   (silence)
[00:49:24.960 --> 00:49:27.120]   (silence)
[00:49:27.120 --> 00:49:29.280]   (silence)
[00:49:29.280 --> 00:49:31.440]   (silence)
[00:49:31.440 --> 00:49:33.600]   (silence)
[00:49:33.600 --> 00:49:35.760]   (silence)
[00:49:35.760 --> 00:49:37.920]   (silence)
[00:49:37.920 --> 00:49:40.080]   (silence)
[00:49:40.080 --> 00:49:42.240]   (silence)
[00:49:42.240 --> 00:49:44.400]   (silence)
[00:49:44.400 --> 00:49:46.560]   (silence)
[00:49:46.560 --> 00:49:48.720]   (silence)
[00:49:48.720 --> 00:49:50.880]   (silence)
[00:49:50.880 --> 00:49:53.040]   (silence)
[00:49:53.040 --> 00:49:55.200]   (silence)
[00:49:55.200 --> 00:50:15.200]   (silence)
[00:50:15.200 --> 00:50:17.360]   (silence)
[00:50:17.360 --> 00:50:31.200]   Okay, all ready or not?
[00:50:31.200 --> 00:50:37.460]   You were given fair warning, so.
[00:50:37.460 --> 00:50:42.800]   Let's bring it back towards the center.
[00:50:42.800 --> 00:50:45.800]   (audience laughing)
[00:50:45.800 --> 00:50:55.960]   All right, so, keeping in mind that you have a whole paper
[00:50:55.960 --> 00:50:58.360]   and don't forget to get to that side.
[00:50:58.360 --> 00:51:01.200]   And a good thing is you can take this home and pray,
[00:51:01.200 --> 00:51:02.560]   like continually pray for these things,
[00:51:02.560 --> 00:51:04.800]   so you don't have to stress out tonight.
[00:51:04.800 --> 00:51:06.960]   Because if you didn't notice last time,
[00:51:06.960 --> 00:51:08.560]   when you were given that big chunk of prayer,
[00:51:08.560 --> 00:51:12.720]   you realized, wow, I could really pray for a long time.
[00:51:13.240 --> 00:51:15.440]   There's a lot to pray for.
[00:51:15.440 --> 00:51:19.040]   And so tonight, let's use the next 30 to 35 minutes
[00:51:19.040 --> 00:51:20.220]   or so to pray.
[00:51:20.220 --> 00:51:25.040]   Please remember, if it is difficult, it's okay.
[00:51:25.040 --> 00:51:27.240]   It's an okay thing for it to be difficult.
[00:51:27.240 --> 00:51:31.920]   We are practicing this together and work through it.
[00:51:31.920 --> 00:51:33.980]   And at the end, after that time,
[00:51:33.980 --> 00:51:36.140]   we're gonna be having the praise team come up.
[00:51:36.140 --> 00:51:38.640]   We're gonna be worshiping together and I pray that,
[00:51:38.640 --> 00:51:41.320]   that really after having been praying to our God
[00:51:41.320 --> 00:51:45.640]   for 30, 35 minutes, even our worship changes.
[00:51:45.640 --> 00:51:48.880]   Even our praise and the songs that we sing to God
[00:51:48.880 --> 00:51:52.720]   is different and that we would be able to be
[00:51:52.720 --> 00:51:56.440]   in full awareness and I just, I pray to God
[00:51:56.440 --> 00:51:59.820]   for the last 30 minutes and we would want to worship Him.
[00:51:59.820 --> 00:52:02.680]   Okay, let me go ahead and pray for us
[00:52:02.680 --> 00:52:04.320]   and then we'll go into this time.
[00:52:04.320 --> 00:52:05.140]   Let's pray.
[00:52:07.920 --> 00:52:12.920]   Heavenly Father, we pray that over the next 30 minutes
[00:52:12.920 --> 00:52:17.840]   or so that you would help us to have the concentration,
[00:52:17.840 --> 00:52:22.720]   to have undistracted, determined motivation.
[00:52:22.720 --> 00:52:27.000]   Father, would you help us to fight through this,
[00:52:27.000 --> 00:52:30.560]   God, to fight to remember you and to give to you
[00:52:30.560 --> 00:52:32.760]   everything that's on our hearts.
[00:52:32.760 --> 00:52:36.840]   Help us, Lord, to dive deep.
[00:52:36.840 --> 00:52:39.680]   Help this not to be just a time where we're dutifully
[00:52:39.680 --> 00:52:42.720]   going through a list but Lord, that we are coming
[00:52:42.720 --> 00:52:44.420]   into your throne room of grace.
[00:52:44.420 --> 00:52:47.280]   And again, as we've learned, Lord,
[00:52:47.280 --> 00:52:48.920]   that we are coming to our Father.
[00:52:48.920 --> 00:52:51.880]   And God, that we might desire so heavily
[00:52:51.880 --> 00:52:53.080]   the things we're asking.
[00:52:53.080 --> 00:52:57.800]   Lord, that we would plead with you and cry out to you
[00:52:57.800 --> 00:53:00.400]   because we know that you are the only sovereign God.
[00:53:00.400 --> 00:53:04.200]   Lord, we're frail and weak but we pray to you
[00:53:04.200 --> 00:53:05.480]   an omnipotent God.
[00:53:06.600 --> 00:53:09.120]   God, we trust in you with all of these prayers.
[00:53:09.120 --> 00:53:13.680]   Lord, allow these things to dissipate our anxieties,
[00:53:13.680 --> 00:53:16.180]   that our trust in you and our faith would be pure.
[00:53:16.180 --> 00:53:19.720]   So God, thank you that you give us such a privilege
[00:53:19.720 --> 00:53:21.160]   and honor to pray to you.
[00:53:21.160 --> 00:53:22.840]   In Jesus' name we pray, amen.
[00:53:22.840 --> 00:53:30.560]   (soft piano music)
[00:53:30.560 --> 00:53:33.480]   (soft piano music)
[00:53:33.480 --> 00:53:36.400]   (soft piano music)
[00:53:36.400 --> 00:53:39.320]   (soft piano music)
[00:53:39.320 --> 00:53:42.240]   (soft piano music)
[00:53:42.240 --> 00:53:45.160]   (soft piano music)
[00:53:45.160 --> 00:53:48.080]   (soft piano music)
[00:53:48.080 --> 00:53:55.960]   (soft piano music)
[00:53:55.960 --> 00:54:02.880]   (soft piano music)
[00:54:02.880 --> 00:54:10.000]   (soft piano music)
[00:54:10.000 --> 00:54:12.920]   (soft piano music)
[00:54:12.920 --> 00:54:25.840]   (soft piano music)
[00:54:25.840 --> 00:54:38.760]   (soft piano music)
[00:54:39.600 --> 00:54:42.520]   (soft piano music)
[00:54:42.520 --> 00:54:51.520]   (soft piano music)
[00:54:51.520 --> 00:55:01.520]   (soft piano music)
[00:55:02.360 --> 00:55:05.280]   (soft piano music)
[00:55:05.280 --> 00:55:14.280]   (soft piano music)
[00:55:14.280 --> 00:55:24.280]   (soft piano music)
[00:55:25.120 --> 00:55:28.040]   (soft piano music)
[00:55:28.040 --> 00:55:41.040]   (soft piano music)
[00:55:41.040 --> 00:55:53.040]   (soft piano music)
[00:55:53.880 --> 00:55:56.800]   (soft piano music)
[00:55:56.800 --> 00:56:07.800]   (soft piano music)
[00:56:07.800 --> 00:56:19.800]   (soft piano music)
[00:56:20.640 --> 00:56:23.560]   (soft piano music)
[00:56:23.560 --> 00:56:32.560]   (soft piano music)
[00:56:32.560 --> 00:56:42.560]   (soft piano music)
[00:56:43.400 --> 00:56:46.320]   (soft piano music)
[00:56:46.320 --> 00:56:59.320]   (soft piano music)
[00:56:59.320 --> 00:57:11.320]   (soft piano music)
[00:57:12.160 --> 00:57:15.080]   (soft piano music)
[00:57:15.080 --> 00:57:28.080]   (soft piano music)
[00:57:40.160 --> 00:57:43.160]   (soft piano music)
[00:57:43.160 --> 00:57:55.160]   (soft piano music)
[00:57:55.160 --> 00:58:09.160]   (soft piano music)
[00:58:09.160 --> 00:58:12.160]   (soft piano music)
[00:58:12.160 --> 00:58:30.160]   (soft piano music)
[00:58:30.160 --> 00:58:33.160]   (soft piano music)
[00:58:33.160 --> 00:58:48.160]   (soft piano music)
[00:58:48.160 --> 00:58:51.160]   (soft piano music)
[00:58:51.160 --> 00:59:06.160]   (soft piano music)
[00:59:15.160 --> 00:59:18.160]   (soft piano music)
[00:59:18.160 --> 00:59:31.160]   (soft piano music)
[00:59:31.160 --> 00:59:43.160]   (soft piano music)
[00:59:44.160 --> 00:59:47.160]   (soft piano music)
[00:59:47.160 --> 01:00:00.160]   (soft piano music)
[01:00:00.160 --> 01:00:03.160]   (soft piano music)
[01:00:03.160 --> 01:00:20.160]   (soft piano music)
[01:00:20.160 --> 01:00:23.160]   (soft piano music)
[01:00:23.160 --> 01:00:41.160]   (soft piano music)
[01:00:42.160 --> 01:00:45.160]   (soft piano music)
[01:00:45.160 --> 01:00:57.160]   (soft piano music)
[01:01:10.160 --> 01:01:13.160]   (soft piano music)
[01:01:13.160 --> 01:01:27.160]   (soft piano music)
[01:01:27.160 --> 01:01:30.160]   (soft piano music)
[01:01:30.160 --> 01:01:51.160]   (soft piano music)
[01:01:52.160 --> 01:01:55.160]   (soft piano music)
[01:01:55.160 --> 01:02:14.160]   (soft piano music)
[01:02:15.160 --> 01:02:18.160]   (soft piano music)
[01:02:18.160 --> 01:02:32.160]   (soft piano music)
[01:02:33.160 --> 01:02:36.160]   (soft piano music)
[01:02:36.160 --> 01:02:47.160]   (soft piano music)
[01:02:47.160 --> 01:02:58.160]   (soft piano music)
[01:02:59.160 --> 01:03:02.160]   (soft piano music)
[01:03:02.160 --> 01:03:11.160]   (soft piano music)
[01:03:11.160 --> 01:03:21.160]   (soft piano music)
[01:03:22.160 --> 01:03:25.160]   (soft piano music)
[01:03:48.160 --> 01:03:51.160]   (soft piano music)
[01:03:51.160 --> 01:04:06.160]   (soft piano music)
[01:04:06.160 --> 01:04:09.160]   (soft piano music)
[01:04:09.160 --> 01:04:24.160]   (soft piano music)
[01:04:25.160 --> 01:04:28.160]   (soft piano music)
[01:04:28.160 --> 01:04:42.160]   (soft piano music)
[01:04:42.160 --> 01:04:45.160]   (soft piano music)
[01:04:45.160 --> 01:05:03.160]   (soft piano music)
[01:05:03.160 --> 01:05:06.160]   (soft piano music)
[01:05:06.160 --> 01:05:21.160]   (soft piano music)
[01:05:21.160 --> 01:05:24.160]   (soft piano music)
[01:05:24.160 --> 01:05:47.160]   (soft piano music)
[01:05:47.160 --> 01:05:50.160]   (soft piano music)
[01:05:50.160 --> 01:06:05.160]   (soft piano music)
[01:06:05.160 --> 01:06:08.160]   (soft piano music)
[01:06:08.160 --> 01:06:23.160]   (soft piano music)
[01:06:23.160 --> 01:06:26.160]   (soft piano music)
[01:06:26.160 --> 01:06:43.160]   (soft piano music)
[01:06:43.160 --> 01:06:46.160]   (soft piano music)
[01:06:46.160 --> 01:07:01.160]   (soft piano music)
[01:07:02.160 --> 01:07:05.160]   (soft piano music)
[01:07:05.160 --> 01:07:17.160]   (soft piano music)
[01:07:17.160 --> 01:07:20.160]   (soft piano music)
[01:07:20.160 --> 01:07:35.160]   (soft piano music)
[01:07:35.160 --> 01:07:38.160]   (soft piano music)
[01:07:38.160 --> 01:07:53.160]   (soft piano music)
[01:07:53.160 --> 01:07:56.160]   (soft piano music)
[01:07:56.160 --> 01:08:20.160]   (soft piano music)
[01:08:20.160 --> 01:08:23.160]   (soft piano music)
[01:08:23.160 --> 01:08:41.160]   (soft piano music)
[01:08:41.160 --> 01:08:44.160]   (soft piano music)
[01:08:44.160 --> 01:09:00.160]   (soft piano music)
[01:09:01.160 --> 01:09:04.160]   (soft piano music)
[01:09:04.160 --> 01:09:18.160]   (soft piano music)
[01:09:19.160 --> 01:09:22.160]   (soft piano music)
[01:09:22.160 --> 01:09:36.160]   (soft piano music)
[01:09:36.160 --> 01:09:39.160]   (soft piano music)
[01:09:39.160 --> 01:09:56.160]   (soft piano music)
[01:09:56.160 --> 01:09:59.160]   (soft piano music)
[01:09:59.160 --> 01:10:14.160]   (soft piano music)
[01:10:14.160 --> 01:10:17.160]   (soft piano music)
[01:10:17.160 --> 01:10:34.160]   (soft piano music)
[01:10:34.160 --> 01:10:37.160]   (soft piano music)
[01:10:37.160 --> 01:10:52.160]   (soft piano music)
[01:10:53.160 --> 01:10:56.160]   (soft piano music)
[01:10:56.160 --> 01:11:10.160]   (soft piano music)
[01:11:11.160 --> 01:11:14.160]   (soft piano music)
[01:11:14.160 --> 01:11:33.160]   (soft piano music)
[01:11:34.160 --> 01:11:37.160]   (soft piano music)
[01:11:37.160 --> 01:11:54.160]   (soft piano music)
[01:11:55.160 --> 01:11:58.160]   (soft piano music)
[01:11:58.160 --> 01:12:15.160]   (soft piano music)
[01:12:16.160 --> 01:12:19.160]   (soft piano music)
[01:12:19.160 --> 01:12:28.160]   (soft piano music)
[01:12:28.160 --> 01:12:31.160]   (soft piano music)
[01:12:31.160 --> 01:12:55.160]   (soft piano music)
[01:12:55.160 --> 01:12:58.160]   (soft piano music)
[01:12:58.160 --> 01:13:09.160]   (soft piano music)
[01:13:09.160 --> 01:13:21.160]   (soft piano music)
[01:13:21.160 --> 01:13:24.160]   (soft piano music)
[01:13:24.160 --> 01:13:49.160]   (soft piano music)
[01:13:49.160 --> 01:13:52.160]   (soft piano music)
[01:13:52.160 --> 01:14:09.160]   (soft piano music)
[01:14:09.160 --> 01:14:12.160]   (soft piano music)
[01:14:12.160 --> 01:14:29.160]   (soft piano music)
[01:14:29.160 --> 01:14:32.160]   (soft piano music)
[01:14:32.160 --> 01:14:47.160]   (soft piano music)
[01:14:47.160 --> 01:14:50.160]   (soft piano music)
[01:14:50.160 --> 01:15:09.160]   (soft piano music)
[01:15:09.160 --> 01:15:12.160]   (soft piano music)
[01:15:12.160 --> 01:15:27.160]   (soft piano music)
[01:15:27.160 --> 01:15:30.160]   (soft piano music)
[01:15:30.160 --> 01:15:45.160]   (soft piano music)
[01:15:45.160 --> 01:15:48.160]   (soft piano music)
[01:15:48.160 --> 01:16:03.160]   (soft piano music)
[01:16:03.160 --> 01:16:06.160]   (soft piano music)
[01:16:06.160 --> 01:16:23.160]   (soft piano music)
[01:16:23.160 --> 01:16:26.160]   (soft piano music)
[01:16:26.160 --> 01:16:36.160]   (soft piano music)
[01:16:36.160 --> 01:16:46.160]   (soft piano music)
[01:16:47.160 --> 01:16:50.160]   (soft piano music)
[01:16:50.160 --> 01:17:03.160]   (soft piano music)
[01:17:04.160 --> 01:17:07.160]   (soft piano music)
[01:17:07.160 --> 01:17:21.160]   (soft piano music)
[01:17:21.160 --> 01:17:24.160]   (soft piano music)
[01:17:24.160 --> 01:17:39.160]   (soft piano music)
[01:17:40.160 --> 01:17:43.160]   (soft piano music)
[01:17:43.160 --> 01:17:57.160]   (soft piano music)
[01:17:58.160 --> 01:18:01.160]   (soft piano music)
[01:18:01.160 --> 01:18:15.160]   (soft piano music)
[01:18:15.160 --> 01:18:18.160]   (soft piano music)
[01:18:18.160 --> 01:18:28.160]   (soft piano music)
[01:18:28.160 --> 01:18:38.160]   (soft piano music)
[01:18:39.160 --> 01:18:42.160]   (soft piano music)
[01:18:42.160 --> 01:18:56.160]   (soft piano music)
[01:18:56.160 --> 01:18:59.160]   (soft piano music)
[01:18:59.160 --> 01:19:21.160]   (soft piano music)
[01:19:22.160 --> 01:19:25.160]   (soft piano music)
[01:19:25.160 --> 01:19:46.160]   (soft piano music)
[01:19:46.160 --> 01:19:49.160]   (soft piano music)
[01:19:49.160 --> 01:20:07.160]   (soft piano music)
[01:20:08.160 --> 01:20:11.160]   (soft piano music)
[01:20:11.160 --> 01:20:25.160]   (soft piano music)
[01:20:25.160 --> 01:20:28.160]   (soft piano music)
[01:20:28.160 --> 01:20:46.160]   (soft piano music)
[01:20:47.160 --> 01:20:50.160]   (soft piano music)
[01:20:50.160 --> 01:21:06.160]   (soft piano music)
[01:21:07.160 --> 01:21:10.160]   (soft piano music)
[01:21:10.160 --> 01:21:29.160]   (soft piano music)
[01:21:29.160 --> 01:21:32.160]   (soft piano music)
[01:21:32.160 --> 01:21:50.160]   (soft piano music)
[01:21:50.160 --> 01:21:53.160]   (soft piano music)
[01:21:53.160 --> 01:22:11.160]   (soft piano music)
[01:22:12.160 --> 01:22:15.160]   (soft piano music)
[01:22:15.160 --> 01:22:24.160]   (soft piano music)
[01:22:24.160 --> 01:22:34.160]   (soft piano music)
[01:22:35.160 --> 01:22:38.160]   (soft piano music)
[01:22:38.160 --> 01:22:52.160]   (soft piano music)
[01:22:52.160 --> 01:22:55.160]   (soft piano music)
[01:22:55.160 --> 01:23:13.160]   (soft piano music)
[01:23:14.160 --> 01:23:17.160]   (soft piano music)
[01:23:17.160 --> 01:23:31.160]   (soft piano music)
[01:23:31.160 --> 01:23:34.160]   (soft piano music)
[01:23:34.160 --> 01:23:53.160]   (soft piano music)
[01:23:53.160 --> 01:23:56.160]   (soft piano music)
[01:23:56.160 --> 01:24:13.160]   (soft piano music)
[01:24:13.160 --> 01:24:16.160]   (soft piano music)
[01:24:16.160 --> 01:24:33.160]   (soft piano music)
[01:24:33.160 --> 01:24:36.160]   (soft piano music)
[01:24:36.160 --> 01:24:53.160]   (soft piano music)
[01:24:53.160 --> 01:24:56.160]   (soft piano music)
[01:24:56.160 --> 01:25:16.160]   (soft piano music)
[01:25:16.160 --> 01:25:19.160]   (soft piano music)
[01:25:19.160 --> 01:25:32.160]   (soft piano music)
[01:25:32.160 --> 01:25:35.160]   (soft piano music)
[01:25:35.160 --> 01:25:54.160]   (soft piano music)
[01:25:54.160 --> 01:25:57.160]   (soft piano music)
[01:25:57.160 --> 01:26:10.160]   (soft piano music)
[01:26:10.160 --> 01:26:13.160]   (soft piano music)
[01:26:13.160 --> 01:26:29.160]   - In a few more minutes, we will transition to praise.
[01:26:29.160 --> 01:26:33.160]   (soft piano music)
[01:26:33.160 --> 01:26:36.160]   (soft piano music)
[01:26:36.160 --> 01:26:53.160]   (soft piano music)
[01:26:53.160 --> 01:26:56.160]   (soft piano music)
[01:26:56.160 --> 01:27:13.160]   (soft piano music)
[01:27:13.160 --> 01:27:16.160]   (soft piano music)
[01:27:16.160 --> 01:27:34.160]   (soft piano music)
[01:27:34.160 --> 01:27:37.160]   (soft piano music)
[01:27:37.160 --> 01:27:47.160]   (soft piano music)
[01:27:47.160 --> 01:27:50.160]   (soft piano music)
[01:27:50.160 --> 01:28:08.160]   If you're ready, would you please join us and stand with us?
[01:28:08.160 --> 01:28:12.160]   (soft piano music)
[01:28:12.160 --> 01:28:15.160]   (soft piano music)
[01:28:15.160 --> 01:28:24.160]   ♪ Oh sovereign God, oh matchless King ♪
[01:28:24.160 --> 01:28:30.160]   ♪ The saints adore, the angels sing ♪
[01:28:30.160 --> 01:28:35.160]   ♪ And fall before the throne of grace ♪
[01:28:35.160 --> 01:28:41.160]   ♪ To you belongs the highest praise ♪
[01:28:41.160 --> 01:28:44.160]   (soft piano music)
[01:28:44.160 --> 01:28:49.160]   ♪ These sufferings, this passing time ♪
[01:28:49.160 --> 01:28:54.160]   ♪ Under your wings I will abide ♪
[01:28:54.160 --> 01:29:00.160]   ♪ And every enemy shall flee ♪
[01:29:00.160 --> 01:29:05.160]   ♪ You are my hope and victory ♪
[01:29:06.160 --> 01:29:11.160]   ♪ Praise the Father, praise the Son ♪
[01:29:11.160 --> 01:29:17.160]   ♪ Praise the Spirit, three in one ♪
[01:29:17.160 --> 01:29:22.160]   ♪ Clothed in power and in grace ♪
[01:29:22.160 --> 01:29:27.160]   ♪ The name above all other names ♪
[01:29:31.160 --> 01:29:36.160]   ♪ You're the valley for my soul ♪
[01:29:36.160 --> 01:29:41.160]   ♪ Thy great descent has made me whole ♪
[01:29:41.160 --> 01:29:46.160]   ♪ Your word my heart has welcomed home ♪
[01:29:46.160 --> 01:29:52.160]   ♪ Now peace like water ever flows ♪
[01:29:52.160 --> 01:29:58.160]   ♪ Praise the Father, praise the Son ♪
[01:29:58.160 --> 01:30:03.160]   ♪ Praise the Spirit, three in one ♪
[01:30:03.160 --> 01:30:08.160]   ♪ Clothed in power and in grace ♪
[01:30:08.160 --> 01:30:13.160]   ♪ The name above all other names ♪
[01:30:13.160 --> 01:30:19.160]   ♪ Oh praise the Father, praise the Son ♪
[01:30:19.160 --> 01:30:24.160]   ♪ And praise the Spirit, three in one ♪
[01:30:25.160 --> 01:30:30.160]   ♪ Clothed in power and in grace ♪
[01:30:30.160 --> 01:30:35.160]   ♪ The name above all other names ♪
[01:30:35.160 --> 01:30:45.160]   ♪ Yours is the kingdom ♪
[01:30:45.160 --> 01:30:50.160]   ♪ Yours is the power ♪
[01:30:51.160 --> 01:31:02.180]   Yours is the glory forever.
[01:31:02.180 --> 01:31:07.580]   Yours is the kingdom,
[01:31:07.580 --> 01:31:13.120]   Yours is the power.
[01:31:13.120 --> 01:31:25.620]   Yours is the glory forever.
[01:31:25.620 --> 01:31:31.120]   Praise the Father, praise the Son,
[01:31:31.120 --> 01:31:36.920]   praise the Spirit, three in one,
[01:31:36.920 --> 01:31:42.220]   both in power and in grace.
[01:31:42.220 --> 01:31:48.320]   The name above all other names.
[01:31:48.320 --> 01:31:56.820]   The name above all other names.
[01:31:56.820 --> 01:31:59.020]   We're going to close our time with a final song,
[01:31:59.020 --> 01:32:03.820]   "Let Your Kingdom Come."
[01:32:03.820 --> 01:32:20.420]   ♪ ♪
[01:32:20.420 --> 01:32:28.220]   ♪ Your glorious cause, O God, engages our hearts. ♪
[01:32:28.220 --> 01:32:36.120]   ♪ May Jesus Christ be known wherever we are. ♪
[01:32:36.120 --> 01:32:44.020]   ♪ We ask not for ourselves, but for Your renown. ♪
[01:32:44.020 --> 01:32:48.920]   ♪ The cross has saved us, so we pray, ♪
[01:32:48.920 --> 01:32:54.420]   ♪ Your kingdom come. ♪
[01:32:54.420 --> 01:32:58.420]   ♪ Let Your kingdom come. ♪
[01:32:58.420 --> 01:33:02.420]   ♪ Let Your will be done, ♪
[01:33:02.420 --> 01:33:10.420]   ♪ so that everyone might know Your name. ♪
[01:33:10.420 --> 01:33:18.420]   ♪ Let Your song be heard everywhere on earth, ♪
[01:33:18.420 --> 01:33:25.420]   ♪ until Your sovereign work on earth is done. ♪
[01:33:25.420 --> 01:33:33.420]   ♪ Let Your kingdom come. ♪
[01:33:33.420 --> 01:33:35.420]   Give us your strength.
[01:33:35.420 --> 01:33:43.420]   ♪ Give us your strength, O God, and courage to speak. ♪
[01:33:43.420 --> 01:33:51.420]   ♪ Perform Your wondrous deeds through those who are weak. ♪
[01:33:51.420 --> 01:33:59.420]   ♪ Lord, use us as You want, whatever the test. ♪
[01:33:59.420 --> 01:34:09.420]   ♪ By grace we'll preach Your gospel, tell our dying breath. ♪
[01:34:09.420 --> 01:34:13.420]   ♪ Let Your kingdom come. ♪
[01:34:13.420 --> 01:34:17.420]   ♪ Let Your will be done, ♪
[01:34:17.420 --> 01:34:24.420]   ♪ so that everyone might know Your name. ♪
[01:34:24.420 --> 01:34:32.420]   ♪ Let Your song be heard everywhere on earth, ♪
[01:34:32.420 --> 01:34:39.420]   ♪ until Your sovereign work on earth is done. ♪
[01:34:39.420 --> 01:34:44.420]   ♪ Let Your kingdom come. ♪
[01:34:44.420 --> 01:34:48.420]   ♪ Let Your will be done, ♪
[01:34:48.420 --> 01:34:56.420]   ♪ so that everyone might know Your name. ♪
[01:34:56.420 --> 01:35:04.420]   ♪ Let Your song be heard everywhere on earth, ♪
[01:35:04.420 --> 01:35:09.420]   ♪ until Your sovereign work on earth is done. ♪
