
[00:00:00.000 --> 00:00:07.000]   Love and sorrow meet
[01:04:43.000 --> 01:04:46.000]   I also want to encourage those of you who are feeling humbled
[01:04:46.000 --> 01:04:48.000]   because you're realizing more and more,
[01:04:48.000 --> 01:04:54.000]   no matter how hard you try, you cannot be holier.
[01:04:54.000 --> 01:04:56.000]   You are rotten to the core.
[01:04:56.000 --> 01:05:04.000]   And sometimes that's a very sobering and very saddening discovery.
[01:05:04.000 --> 01:05:08.000]   The earthly consequences of your sins are already weighing you down,
[01:05:08.000 --> 01:05:13.000]   and you're feeling like the venom of the spiritual serpents in your life.
[01:05:13.000 --> 01:05:15.000]   I want to encourage you.
[01:05:15.000 --> 01:05:17.000]   Numbers 21.
[01:05:17.000 --> 01:05:21.000]   We read the account of the Israelites grumbling yet again.
[01:05:21.000 --> 01:05:26.000]   And God sends this time fiery serpents to bite them.
[01:05:26.000 --> 01:05:28.000]   And many of them repent.
[01:05:28.000 --> 01:05:32.000]   And God tells Moses to fashion a bronze serpent,
[01:05:32.000 --> 01:05:35.000]   place it on a staff, hoist it up,
[01:05:35.000 --> 01:05:44.000]   and those who want to be healed and spared need only to look at the bronze serpent.
[01:05:44.000 --> 01:05:49.000]   And that was one of the many demonstrations of God's mercy in the wilderness.
[01:05:49.000 --> 01:05:56.000]   And through it, through the serpent's visual representation of their curse,
[01:05:56.000 --> 01:05:59.000]   the Israelites learned an important lesson.
[01:05:59.000 --> 01:06:04.000]   Look to live. Look and live.
[01:06:04.000 --> 01:06:07.000]   So for you guys who are feeling bedraggled,
[01:06:07.000 --> 01:06:10.000]   who are weary and heavy laden,
[01:06:10.000 --> 01:06:14.000]   who need hope, who need some strength to persevere,
[01:06:14.000 --> 01:06:17.000]   here is the encouragement.
[01:06:17.000 --> 01:06:24.000]   Isaiah 30.18 says, "The Lord longs to be gracious to you."
[01:06:24.000 --> 01:06:26.000]   Look to Christ.
[01:06:26.000 --> 01:06:28.000]   Look up.
[01:06:28.000 --> 01:06:37.000]   Lift up your eyes to the only one who can and who is more than willing to save.
[01:06:37.000 --> 01:06:43.000]   John 3.14.16 reflects on this wilderness episode.
[01:06:43.000 --> 01:06:47.000]   As Moses lifted up the serpent in the wilderness,
[01:06:47.000 --> 01:06:51.000]   even so the Son of Man must be lifted up,
[01:06:51.000 --> 01:06:56.000]   so that whoever believes in him will have eternal life.
[01:06:56.000 --> 01:07:02.000]   For God, kutos, in this way, for God in this way loved the world,
[01:07:02.000 --> 01:07:04.000]   so that he gave his only begotten Son,
[01:07:04.000 --> 01:07:10.000]   that whoever believes in him shall not perish but have eternal life.
[01:07:10.000 --> 01:07:14.000]   Believe in Jesus, the Messiah of God,
[01:07:14.000 --> 01:07:18.000]   and then in whatever wilderness the Lord ordains,
[01:07:18.000 --> 01:07:21.000]   big or small, long or short,
[01:07:21.000 --> 01:07:23.000]   trust and obey.
[01:07:23.000 --> 01:07:29.000]   Trust and obey, for there's no other way to be what?
[01:07:29.000 --> 01:07:32.000]   To have life.
[01:07:32.000 --> 01:07:39.000]   To have zoway, life to the full.
[01:07:39.000 --> 01:07:44.000]   You cannot save yourself.
[01:07:44.000 --> 01:07:48.000]   Praise God that he is more than willing to save,
[01:07:48.000 --> 01:07:57.000]   and praise God that he is leading us through every and any wilderness that we face.
[01:07:57.000 --> 01:07:59.000]   Amen?
[01:07:59.000 --> 01:08:03.000]   Not because we are good, not because we are able to obey,
[01:08:03.000 --> 01:08:07.000]   but because he is good, and he did obey.
[01:08:07.000 --> 01:08:11.000]   He was the perfect spotless Lamb of God.
[01:08:11.000 --> 01:08:13.000]   He is good.
[01:08:13.000 --> 01:08:17.000]   Wilderness tests are on purpose.
[01:08:17.000 --> 01:08:20.000]   They are for testing, they are for training,
[01:08:20.000 --> 01:08:22.000]   but he will not leave us there.
[01:08:22.000 --> 01:08:29.000]   They will end, and we will be in glory at home with the Lord forever and ever and ever.
[01:08:29.000 --> 01:08:32.000]   What a glorious hope Christians have.
[01:08:32.000 --> 01:08:35.000]   No matter what election results,
[01:08:35.000 --> 01:08:37.000]   no matter what political environments,
[01:08:37.000 --> 01:08:41.000]   no matter what kind of persecution, oppression, and strife we experience,
[01:08:41.000 --> 01:08:49.000]   he is coming back, and he will take us home.
[01:08:49.000 --> 01:08:53.000]   So today, we're going to take some communion,
[01:08:53.000 --> 01:09:03.000]   and there should be a little disposable wafer and a cup there.
[01:09:03.000 --> 01:09:10.000]   So if you find your prepackaged morsel and your cup,
[01:09:10.000 --> 01:09:13.000]   let me read the passage for us,
[01:09:13.000 --> 01:09:17.000]   and we're going to take a little time to pray and to reflect,
[01:09:17.000 --> 01:09:19.000]   and then we're going to eat the bread together.
[01:09:19.000 --> 01:09:21.000]   If you're hungry, wait a little bit.
[01:09:21.000 --> 01:09:23.000]   May God not leave us on bread alone.
[01:09:23.000 --> 01:09:28.000]   Wait a little bit, and then we're going to do the same for the cup.
[01:09:28.000 --> 01:09:30.000]   So the communion is for baptized believers.
[01:09:30.000 --> 01:09:33.000]   So if you're not a believer, and you have not been baptized,
[01:09:33.000 --> 01:09:38.000]   we do ask you to refrain and just observe.
[01:09:38.000 --> 01:09:42.000]   If so willing, pray alongside us.
[01:09:42.000 --> 01:09:47.000]   1 Corinthians 11, 23-27.
[01:09:47.000 --> 01:09:51.000]   I'm going to read just a part of it for you in the beginning.
[01:09:51.000 --> 01:09:56.000]   "For I received from the Lord that which I also delivered to you,
[01:09:56.000 --> 01:10:01.000]   that the Lord Jesus in the night in which he was betrayed took bread.
[01:10:01.000 --> 01:10:03.000]   When he had given thanks,
[01:10:03.000 --> 01:10:09.000]   he broke it and said, 'This is my body which is for you.
[01:10:09.000 --> 01:10:13.000]   Do this in remembrance of me.'"
[01:10:13.000 --> 01:10:22.000]   Let's pray together.
[01:10:22.000 --> 01:10:30.000]   Lord Jesus, we are so thankful for the gift of salvation.
[01:10:30.000 --> 01:10:35.000]   You indeed are the bread of life.
[01:10:35.000 --> 01:10:38.000]   As we take this morsel, as we take this piece of bread,
[01:10:38.000 --> 01:10:41.000]   and we reflect on your broken body,
[01:10:41.000 --> 01:10:47.000]   I pray that you would help us to feel the weight of our sin,
[01:10:47.000 --> 01:10:50.000]   to grow hearts of repentance,
[01:10:50.000 --> 01:10:54.000]   that we would not be spiritually stiff-necked or rebellious,
[01:10:54.000 --> 01:10:58.000]   but in humility, because there is no other way
[01:10:58.000 --> 01:11:02.000]   that we would appreciate the sacrifice of your broken body
[01:11:02.000 --> 01:11:05.000]   that was offered up in our stead.
[01:11:05.000 --> 01:11:06.000]   Amen.
[01:11:06.000 --> 01:11:11.000]   Go ahead and take the morsel.
[01:11:11.000 --> 01:11:13.000]   Wafer?
[01:11:13.000 --> 01:11:15.000]   Disc? Cracker?
[01:11:15.000 --> 01:11:22.000]   Go ahead and take this.
[01:11:22.000 --> 01:11:29.000]   Verse 25, "In the same way, he took the cup also after supper,
[01:11:29.000 --> 01:11:33.000]   saying, 'This cup is the new covenant in my blood.
[01:11:33.000 --> 01:11:38.000]   Do this as often as you drink it in remembrance of me.
[01:11:38.000 --> 01:11:41.000]   For as often as you eat this bread and drink the cup,
[01:11:41.000 --> 01:11:45.000]   you proclaim the Lord's death until he comes.
[01:11:45.000 --> 01:11:47.000]   Therefore, whoever eats the bread or drinks the cup of the Lord
[01:11:47.000 --> 01:11:51.000]   in an unworthy manner shall be guilty of the body and the blood of Christ,
[01:11:51.000 --> 01:11:53.000]   or blood of the Lord.'"
[01:11:53.000 --> 01:12:01.000]   Let's pray.
[01:12:01.000 --> 01:12:06.000]   Father, we reflect on the communion cup,
[01:12:06.000 --> 01:12:09.000]   and we acknowledge that without the shedding of blood,
[01:12:09.000 --> 01:12:12.000]   there is no forgiveness.
[01:12:12.000 --> 01:12:22.000]   And in faith, we trust that the blood that you shed on the cross
[01:12:22.000 --> 01:12:24.000]   was enough for us.
[01:12:24.000 --> 01:12:27.000]   Thank you.
[01:12:27.000 --> 01:12:29.000]   Thank you.
[01:12:29.000 --> 01:12:45.000]   Go ahead and take the cup.
[01:12:45.000 --> 01:12:48.000]   And as the worship team comes back up,
[01:12:48.000 --> 01:12:52.000]   I would like for us to take a moment to reflect on what we heard,
[01:12:52.000 --> 01:12:55.000]   to ask the Lord for strength,
[01:12:55.000 --> 01:12:58.000]   to prepare our hearts just to worship him,
[01:12:58.000 --> 01:13:20.000]   and just even the last song.
[01:13:20.000 --> 01:13:29.000]   Let's rise as we sing our closing praise.
[01:13:29.000 --> 01:13:40.000]   [Music]
[01:13:40.000 --> 01:13:42.000]   When we walk with the Lord.
[01:13:42.000 --> 01:13:46.000]   When we walk with the Lord,
[01:13:46.000 --> 01:13:49.000]   in the light of his word,
[01:13:49.000 --> 01:13:56.000]   what a glory he sheds on our way.
[01:13:56.000 --> 01:13:59.000]   While we do his good will,
[01:13:59.000 --> 01:14:03.000]   he abides with us still,
[01:14:03.000 --> 01:14:08.000]   and with all who will trust and obey.
[01:14:08.000 --> 01:14:10.000]   Trust and obey.
[01:14:10.000 --> 01:14:13.000]   Trust and obey,
[01:14:13.000 --> 01:14:17.000]   for there's no other way
[01:14:17.000 --> 01:14:22.000]   to be happy in Jesus
[01:14:22.000 --> 01:14:36.000]   but to trust and obey.
[01:14:36.000 --> 01:14:38.000]   Not a shadow can rise.
[01:14:38.000 --> 01:14:41.000]   Not a shadow can rise.
[01:14:41.000 --> 01:14:44.000]   Not a cloud in the skies,
[01:14:44.000 --> 01:14:51.000]   but a smile quickly drives it away.
[01:14:51.000 --> 01:14:54.000]   Not a doubt nor a fear.
[01:14:54.000 --> 01:14:58.000]   Not a sigh nor a tear
[01:14:58.000 --> 01:15:05.000]   can abide while we trust and obey.
[01:15:05.000 --> 01:15:08.000]   Trust and obey,
[01:15:08.000 --> 01:15:12.000]   for there's no other way
[01:15:12.000 --> 01:15:17.000]   to be happy in Jesus
[01:15:17.000 --> 01:15:31.000]   but to trust and obey.
[01:15:31.000 --> 01:15:33.000]   But we never can prove.
[01:15:33.000 --> 01:15:36.000]   But we never can prove
[01:15:36.000 --> 01:15:40.000]   the delights of his love
[01:15:40.000 --> 01:15:47.000]   until all on the altar we lay.
[01:15:47.000 --> 01:15:50.000]   For the favor he shows
[01:15:50.000 --> 01:15:54.000]   and the joy he bestows
[01:15:54.000 --> 01:16:01.000]   are for them who will trust and obey.
[01:16:01.000 --> 01:16:04.000]   Trust and obey,
[01:16:04.000 --> 01:16:08.000]   for there's no other way
[01:16:08.000 --> 01:16:13.000]   to be happy in Jesus
[01:16:13.000 --> 01:16:26.000]   but to trust and obey.
[01:16:26.000 --> 01:16:28.000]   Then in fellowship sweet,
[01:16:28.000 --> 01:16:32.000]   then in fellowship sweet,
[01:16:32.000 --> 01:16:35.000]   we will sit at his feet
[01:16:35.000 --> 01:16:42.000]   or we'll walk by his side in the way.
[01:16:42.000 --> 01:16:45.000]   What he says we will do.
[01:16:45.000 --> 01:16:49.000]   Where he sends we will go.
[01:16:49.000 --> 01:16:56.000]   Never fear, only trust and obey.
[01:16:56.000 --> 01:16:59.000]   Trust and obey,
[01:16:59.000 --> 01:17:03.000]   for there's no other way
[01:17:03.000 --> 01:17:08.000]   to be happy in Jesus
[01:17:08.000 --> 01:17:11.000]   but to trust and obey.
[01:17:11.000 --> 01:17:12.000]   Trust and obey,
[01:17:12.000 --> 01:17:15.000]   trust and obey,
[01:17:15.000 --> 01:17:18.000]   for there's no other way
[01:17:18.000 --> 01:17:24.000]   to be happy in Jesus
[01:17:24.000 --> 01:17:28.000]   but to trust and obey.
[01:17:28.000 --> 01:17:44.000]   (gentle music)
[01:17:44.000 --> 01:17:49.000]   - Father, thank you for the truth of your word.
[01:17:49.000 --> 01:17:50.000]   And we thank you
[01:17:50.000 --> 01:17:53.000]   that you have opened our eyes up some
[01:17:53.000 --> 01:17:56.000]   to the wondrous things in your law.
[01:17:56.000 --> 01:17:58.000]   Help us to trust and obey
[01:17:58.000 --> 01:18:03.000]   and help us to live joy-filled, powerful lives.
[01:18:03.000 --> 01:18:06.000]   Now may the grace of our Lord Jesus Christ
[01:18:06.000 --> 01:18:09.000]   and the love of the heavenly Father
[01:18:09.000 --> 01:18:12.000]   and the fellowship of the Holy Spirit
[01:18:12.000 --> 01:18:15.000]   be with each and every one of us
[01:18:15.000 --> 01:18:17.000]   who seeks to honor and worship the Lord
[01:18:17.000 --> 01:18:19.000]   in spirit and in truth
[01:18:19.000 --> 01:18:21.000]   and through the wilderness.
[01:18:21.000 --> 01:18:22.000]   Amen.
[01:18:22.000 --> 01:18:23.000]   (gentle music)
[01:18:23.000 --> 01:18:28.000]   ♪ God sent his Son ♪
[01:18:28.000 --> 01:18:33.000]   ♪ Then called him Jesus ♪
[01:18:33.000 --> 01:18:38.000]   ♪ He came to earth ♪
[01:18:38.000 --> 01:18:44.000]   ♪ He went for good ♪
[01:18:44.000 --> 01:18:49.000]   ♪ He lived and died ♪
[01:18:49.000 --> 01:18:55.000]   ♪ To buy my pocket ♪
[01:18:55.000 --> 01:19:01.000]   ♪ And a day he breathes there to ♪
[01:19:01.000 --> 01:19:06.000]   ♪ Save your lips ♪
[01:19:06.000 --> 01:19:11.000]   ♪ Because he lives ♪
[01:19:11.000 --> 01:19:17.000]   ♪ Like your face tomorrow ♪
[01:19:17.000 --> 01:19:23.000]   ♪ Because he lives ♪
[01:19:23.000 --> 01:19:29.000]   ♪ All fear is gone ♪
[01:19:29.000 --> 01:19:34.000]   ♪ 'Cause I know ♪
[01:19:34.000 --> 01:19:39.000]   ♪ He holds the future ♪
[01:19:39.000 --> 01:19:44.000]   ♪ And life is worth the living ♪
[01:19:44.000 --> 01:19:49.000]   ♪ Just because he lives ♪
[01:19:49.000 --> 01:19:52.000]   (gentle music)
[01:19:52.000 --> 01:19:53.000]   - Amen.
[01:19:53.000 --> 01:19:55.000]   Just for the parents who have children
[01:19:55.000 --> 01:19:57.000]   in the sprouts or in the vine,
[01:19:57.000 --> 01:20:01.000]   we do ask that you pick them up at 12.30.
[01:20:01.000 --> 01:20:04.000]   So last week, they ran out of time to do Bible study,
[01:20:04.000 --> 01:20:06.000]   so they got to self-introduction,
[01:20:06.000 --> 01:20:07.000]   and then it ended there.
[01:20:07.000 --> 01:20:09.000]   So please give them a little bit of time
[01:20:09.000 --> 01:20:11.000]   at 12.30, fellowship,
[01:20:11.000 --> 01:20:14.000]   and mingle, socially distance, of course.
[01:20:14.000 --> 01:20:17.000]   And if you guys are gonna leave the sanctuary,
[01:20:17.000 --> 01:20:20.000]   please do so in kind of an orderly fashion
[01:20:20.000 --> 01:20:22.000]   out that door, all right?
[01:20:22.000 --> 01:20:23.000]   Have a good week.
[01:20:23.000 --> 01:20:30.000]   (gentle music)
[01:20:39.000 --> 01:20:46.000]   ♪ Oh Lord, my rock and my retainer ♪
[01:20:46.000 --> 01:20:54.000]   ♪ Greatest treasure of my longing soul ♪
[01:20:54.000 --> 01:21:01.000]   ♪ My God, like you there is no other ♪
[01:21:01.000 --> 01:21:09.000]   ♪ True delight is found in you alone ♪
[01:21:09.000 --> 01:21:16.000]   ♪ Your grace, a world too deep to fathom ♪
[01:21:16.000 --> 01:21:23.000]   ♪ Your love exceeds the heavens reach ♪
[01:21:23.000 --> 01:21:25.000]   ♪ Your truth ♪

