
[00:00:00.000 --> 00:00:05.000]   - Hi everybody.
[00:36:13.880 --> 00:36:16.140]   Wouldn't it have been more efficient, on the other hand,
[00:36:16.140 --> 00:36:19.660]   for God to make that bread last a whole 40 years?
[00:36:19.660 --> 00:36:20.500]   He could've.
[00:36:20.500 --> 00:36:22.160]   He made bread fall down.
[00:36:22.160 --> 00:36:25.300]   He could've made that bread magically be preserved
[00:36:25.300 --> 00:36:27.020]   for the whole of their life.
[00:36:27.020 --> 00:36:28.740]   He could've made that bread, as soon as you eat it,
[00:36:28.740 --> 00:36:31.660]   just goes bloop, and it comes back into a whole loaf.
[00:36:31.660 --> 00:36:34.120]   I mean, our imagination is the limit to that.
[00:36:34.120 --> 00:36:35.740]   What could God have done?
[00:36:35.740 --> 00:36:38.460]   It's just not gone through all that drama.
[00:36:38.460 --> 00:36:39.900]   What was he doing?
[00:36:39.900 --> 00:36:41.820]   Well, if you look at chapter eight of Deuteronomy,
[00:36:41.820 --> 00:36:42.820]   this is what he says.
[00:36:42.820 --> 00:36:45.320]   Deuteronomy chapter eight, verse one through six.
[00:36:45.320 --> 00:36:48.800]   The whole commandment that I command you today,
[00:36:48.800 --> 00:36:51.220]   you shall be careful to do,
[00:36:51.220 --> 00:36:53.820]   that you may live and multiply and go in
[00:36:53.820 --> 00:36:55.940]   and possess the land that the Lord swore
[00:36:55.940 --> 00:36:57.700]   to give to your fathers.
[00:36:57.700 --> 00:36:59.340]   And you shall remember the whole way
[00:36:59.340 --> 00:37:00.700]   that the Lord your God has led you
[00:37:00.700 --> 00:37:02.980]   these 40 years in the wilderness,
[00:37:02.980 --> 00:37:04.820]   that he might humble you,
[00:37:04.820 --> 00:37:07.500]   testing you to know what was in your heart.
[00:37:07.500 --> 00:37:09.140]   So that's one.
[00:37:09.140 --> 00:37:10.780]   God was testing us.
[00:37:10.780 --> 00:37:12.380]   Are you going to obey?
[00:37:12.380 --> 00:37:14.420]   Are you going to heed my instruction?
[00:37:14.420 --> 00:37:15.260]   And then look at this.
[00:37:15.260 --> 00:37:17.140]   Whether you keep his commandment or not,
[00:37:17.140 --> 00:37:19.240]   and he humbled you to let you hunger
[00:37:19.240 --> 00:37:20.780]   and fed you with manna,
[00:37:20.780 --> 00:37:23.620]   which you did not know, nor did your fathers know,
[00:37:23.620 --> 00:37:26.900]   that he might make you know that man does not live
[00:37:26.900 --> 00:37:29.660]   by bread alone, but man lives by every word
[00:37:29.660 --> 00:37:31.740]   that comes from the mouth of the Lord.
[00:37:31.740 --> 00:37:34.740]   Your clothing you did not wear out on you.
[00:37:34.740 --> 00:37:36.900]   Your foot did not swell these 40 years.
[00:37:36.900 --> 00:37:39.960]   Know that in your heart, that as a man disciplines his son,
[00:37:39.960 --> 00:37:41.940]   the Lord God disciplines you.
[00:37:41.940 --> 00:37:45.140]   So you shall keep the commandments of the Lord your God
[00:37:45.140 --> 00:37:48.240]   by walking in his ways and by fearing him.
[00:37:48.240 --> 00:37:51.100]   For the Lord your God is bringing you into a good land,
[00:37:51.100 --> 00:37:53.740]   a land of brooks and water, of fountains and springs
[00:37:53.740 --> 00:37:55.980]   flowing out in the valleys and the hills,
[00:37:55.980 --> 00:37:57.820]   a land of wheat and barley, of vines,
[00:37:57.820 --> 00:37:59.620]   fig trees and pomegranates,
[00:37:59.620 --> 00:38:01.260]   a land of olive trees and honey,
[00:38:01.260 --> 00:38:03.780]   a land in which you will eat bread without scarcity,
[00:38:03.780 --> 00:38:05.660]   in which you will lack nothing,
[00:38:05.660 --> 00:38:07.540]   a land whose stones are iron,
[00:38:07.540 --> 00:38:10.340]   and out of whose hills you can dig copper.
[00:38:10.340 --> 00:38:11.940]   And you shall eat and full,
[00:38:11.940 --> 00:38:13.500]   and you shall bless the Lord your God
[00:38:13.500 --> 00:38:15.600]   for the good land he has given you.
[00:38:15.600 --> 00:38:17.420]   The reason why I read all of that
[00:38:17.420 --> 00:38:19.580]   is because one thing is very clear.
[00:38:20.580 --> 00:38:25.580]   Earlier we read, you have to obey and listen
[00:38:25.580 --> 00:38:29.300]   to the word of God because that's what God demands
[00:38:29.300 --> 00:38:32.020]   and because that is what's going to be to your blessing,
[00:38:32.020 --> 00:38:33.980]   otherwise you're going to be cursed.
[00:38:33.980 --> 00:38:38.740]   But what's more, the word of God is actually
[00:38:38.740 --> 00:38:41.900]   what is sufficient and good for us.
[00:38:41.900 --> 00:38:43.400]   Do you see that?
[00:38:43.400 --> 00:38:45.740]   The word of God is actually what we need
[00:38:45.740 --> 00:38:49.100]   for our sustenance, provision, and well-being.
[00:38:49.820 --> 00:38:51.900]   It goes beyond simple demand,
[00:38:51.900 --> 00:38:53.780]   it goes to God's love for us,
[00:38:53.780 --> 00:38:56.780]   giving us his truth that we may eat of his truth
[00:38:56.780 --> 00:39:01.000]   and that that truth will continue to fill our lives.
[00:39:01.000 --> 00:39:05.820]   So us obeying and listening to the word of God
[00:39:05.820 --> 00:39:08.080]   is far beyond what we can imagine.
[00:39:08.080 --> 00:39:12.540]   And God and Jesus repeats that phrase,
[00:39:12.540 --> 00:39:15.300]   that man shall not live on bread alone,
[00:39:15.300 --> 00:39:18.220]   but upon every word that proceeds
[00:39:18.220 --> 00:39:19.780]   from the mouth of God.
[00:39:19.780 --> 00:39:23.800]   So when we think about this,
[00:39:23.800 --> 00:39:27.780]   we've been talking a lot about how we do discipleship
[00:39:27.780 --> 00:39:30.020]   at church, right?
[00:39:30.020 --> 00:39:33.420]   We do not want you to become dependent
[00:39:33.420 --> 00:39:37.600]   simply on like Pastor Peter's pulpit.
[00:39:37.600 --> 00:39:43.380]   For if that was the case, what would happen?
[00:39:43.380 --> 00:39:44.300]   What would happen?
[00:39:44.300 --> 00:39:46.500]   You can't show up, if he can't show up,
[00:39:46.500 --> 00:39:48.740]   you would be so dependent on something
[00:39:48.740 --> 00:39:50.240]   that is not sure ground.
[00:39:50.240 --> 00:39:54.160]   So our discipleship is modeled primarily
[00:39:54.160 --> 00:39:57.160]   on your own hunger for the truth.
[00:39:57.160 --> 00:39:58.820]   Discipleship is most effective
[00:39:58.820 --> 00:40:01.260]   when you are desiring of truth,
[00:40:01.260 --> 00:40:04.780]   when you want it so bad that you can learn truth
[00:40:04.780 --> 00:40:07.460]   from your own devotions, from the pulpit,
[00:40:07.460 --> 00:40:10.260]   from the observations and insights
[00:40:10.260 --> 00:40:12.420]   of your peers and small group.
[00:40:12.420 --> 00:40:15.740]   When your heart is eager for the truth of God,
[00:40:15.740 --> 00:40:17.480]   discipleship is going to happen.
[00:40:17.480 --> 00:40:20.780]   And that's really how we want to do discipleship
[00:40:20.780 --> 00:40:23.980]   is that you will be attached to the truth of the Lord
[00:40:23.980 --> 00:40:25.980]   and that you abiding in the truth of God
[00:40:25.980 --> 00:40:28.840]   is what's going to grow you, sustain you,
[00:40:28.840 --> 00:40:30.940]   and keep you going, right?
[00:40:30.940 --> 00:40:34.300]   And so as we think about that,
[00:40:34.300 --> 00:40:38.220]   this next couple points I want to just go through this again,
[00:40:38.220 --> 00:40:41.620]   poof, poof, poof, poof, rapid machine fire kind of points,
[00:40:41.620 --> 00:40:45.380]   that the word of God is absolutely necessary and sufficient.
[00:40:46.060 --> 00:40:49.340]   Okay, that the word of God is absolutely necessary
[00:40:49.340 --> 00:40:52.680]   and sufficient for life in godliness.
[00:40:52.680 --> 00:40:58.380]   Okay, first, for salvation,
[00:40:58.380 --> 00:41:03.380]   the word of God is absolutely necessary, okay?
[00:41:03.380 --> 00:41:06.060]   And I'm gonna, I know I have like,
[00:41:06.060 --> 00:41:07.540]   one, two, three, four, five, like eight points,
[00:41:07.540 --> 00:41:10.540]   but I just want to pause for a moment here, okay?
[00:41:10.540 --> 00:41:14.600]   The word of God is absolutely necessary for salvation.
[00:41:15.600 --> 00:41:18.040]   And in this day and age, there are so many people
[00:41:18.040 --> 00:41:21.980]   who do not have an assurance of salvation.
[00:41:21.980 --> 00:41:24.040]   Where can we turn them?
[00:41:24.040 --> 00:41:25.760]   The truth of God.
[00:41:25.760 --> 00:41:28.840]   Why does, you know, if you turn to,
[00:41:28.840 --> 00:41:29.680]   don't turn to the Bible,
[00:41:29.680 --> 00:41:32.680]   if you look into the book of 1 John,
[00:41:32.680 --> 00:41:34.040]   Apostle John is gonna say,
[00:41:34.040 --> 00:41:38.380]   I write these things to you so that you may know
[00:41:38.380 --> 00:41:40.200]   that you are a child of God.
[00:41:40.200 --> 00:41:43.520]   And when I preach the gospel so that someone will be saved,
[00:41:43.520 --> 00:41:46.320]   I can't just tell them, hey, come follow me to church.
[00:41:46.320 --> 00:41:48.320]   Why, 'cause that's not gonna save them.
[00:41:48.320 --> 00:41:49.640]   What do they need to have?
[00:41:49.640 --> 00:41:53.480]   The truth, the life-giving truth of the gospel.
[00:41:53.480 --> 00:41:55.600]   And that's what scripture says.
[00:41:55.600 --> 00:41:56.680]   In James chapter one, it says,
[00:41:56.680 --> 00:41:59.840]   therefore put away all filthiness and rampant wickedness
[00:41:59.840 --> 00:42:03.120]   and receive with meekness the implanted word
[00:42:03.120 --> 00:42:07.000]   which is able to save your soul.
[00:42:07.000 --> 00:42:09.020]   That's what James says.
[00:42:09.020 --> 00:42:12.000]   What's more, if you're thinking about
[00:42:12.000 --> 00:42:16.240]   how do I grow in faith, so the word is faith,
[00:42:16.240 --> 00:42:18.880]   then we need to turn to the word of God.
[00:42:18.880 --> 00:42:21.280]   In Romans chapter 10, it talks about this whole idea,
[00:42:21.280 --> 00:42:23.760]   it's like, how will they know unless they hear,
[00:42:23.760 --> 00:42:25.760]   unless they have a teacher?
[00:42:25.760 --> 00:42:28.000]   And it talks, and it simply defines,
[00:42:28.000 --> 00:42:31.600]   faith comes by the hearing of the word of God.
[00:42:31.600 --> 00:42:36.360]   For sanctification, for your daily growth,
[00:42:36.360 --> 00:42:39.760]   understand that Jesus Christ himself said this,
[00:42:39.760 --> 00:42:43.880]   sanctify them in the truth, your word is truth.
[00:42:43.880 --> 00:42:47.240]   When the scriptures talks about Jesus' ministry to us,
[00:42:47.240 --> 00:42:48.840]   that beautiful passage in Ephesians
[00:42:48.840 --> 00:42:51.720]   where it talks about Christ's love as a husband,
[00:42:51.720 --> 00:42:54.880]   nurturing and feeding the bride,
[00:42:54.880 --> 00:42:55.720]   do you know what he says?
[00:42:55.720 --> 00:42:59.360]   He says he washes her of water with the word.
[00:42:59.360 --> 00:43:03.840]   That the word of God is the agent,
[00:43:03.840 --> 00:43:07.480]   the means by which he is washing of all that is impure.
[00:43:07.480 --> 00:43:12.040]   Next, for service, if you are to serve,
[00:43:12.040 --> 00:43:15.920]   if you want to be trained, you know what scripture says?
[00:43:15.920 --> 00:43:18.240]   In 2 Timothy chapter three, verse 16 through 17,
[00:43:18.240 --> 00:43:21.880]   it says that the man of God may be equipped,
[00:43:21.880 --> 00:43:23.940]   the word of God is sufficient.
[00:43:23.940 --> 00:43:28.360]   What's more, hope, hope.
[00:43:28.360 --> 00:43:33.960]   I believe we have a weird, paradoxical,
[00:43:33.960 --> 00:43:36.320]   and almost counterintuitive thing
[00:43:36.320 --> 00:43:38.560]   happening in our generation.
[00:43:38.560 --> 00:43:42.720]   We have a very privileged generation.
[00:43:42.720 --> 00:43:46.160]   People have all kinds of liberties, options.
[00:43:46.160 --> 00:43:48.200]   They have excess cash.
[00:43:48.200 --> 00:43:51.040]   You guys are like, I don't have excess cash.
[00:43:51.040 --> 00:43:53.360]   We, generally speaking, in comparison
[00:43:53.360 --> 00:43:57.880]   to the rest of the world, have such a wealth
[00:43:57.880 --> 00:44:01.880]   at our expenditure that we can just use, right?
[00:44:01.880 --> 00:44:03.120]   What's crazy to me, though,
[00:44:03.120 --> 00:44:06.280]   is we have such a hopeless generation.
[00:44:06.280 --> 00:44:09.200]   I was just talking to a student on Friday at college.
[00:44:09.200 --> 00:44:13.400]   I mean, these students are between the age of 18 and 22.
[00:44:13.400 --> 00:44:15.760]   They're at the very start of their,
[00:44:15.760 --> 00:44:17.440]   so to speak, professional careers.
[00:44:17.440 --> 00:44:20.520]   They're at the very beginning of getting academic training,
[00:44:20.520 --> 00:44:22.720]   and a lot of them don't have hope.
[00:44:22.720 --> 00:44:27.560]   You'd be surprised how many people want to quit.
[00:44:27.560 --> 00:44:30.360]   Where do we go for that?
[00:44:30.360 --> 00:44:33.080]   What are you gonna say?
[00:44:33.080 --> 00:44:35.320]   Don't worry, in five years you'll graduate.
[00:44:35.320 --> 00:44:37.240]   I mean, I mean, four, you know?
[00:44:37.240 --> 00:44:39.600]   And then you'll have a better life.
[00:44:39.600 --> 00:44:41.960]   But you know very well that once you start working,
[00:44:41.960 --> 00:44:44.240]   your life is actually harder.
[00:44:44.240 --> 00:44:46.600]   And then every successive stage of your life,
[00:44:46.600 --> 00:44:48.520]   there's more responsibility placed on you,
[00:44:48.520 --> 00:44:51.480]   and then life becomes more, not just burden,
[00:44:51.480 --> 00:44:53.720]   but it just becomes harder.
[00:44:53.720 --> 00:44:56.160]   And if you don't have the right resources,
[00:44:56.160 --> 00:44:58.840]   it's hard for you to cope with the kind of stress,
[00:44:58.840 --> 00:45:00.600]   responsibility, and weight
[00:45:00.600 --> 00:45:02.640]   that is heavy upon your shoulders.
[00:45:02.640 --> 00:45:05.080]   Where are you going to turn for hope?
[00:45:06.080 --> 00:45:09.640]   If you just say, oh, don't worry, there are better days.
[00:45:09.640 --> 00:45:13.280]   I mean, for secular people to say that,
[00:45:13.280 --> 00:45:16.760]   I'm like, man, for secular people to accuse us
[00:45:16.760 --> 00:45:18.520]   of like a blind leap of faith,
[00:45:18.520 --> 00:45:20.960]   that is such a shot in the dark.
[00:45:20.960 --> 00:45:23.760]   Someday in the future, it might get better.
[00:45:23.760 --> 00:45:26.200]   That is darkness.
[00:45:26.200 --> 00:45:27.880]   Straight up, that is just darkness.
[00:45:27.880 --> 00:45:30.360]   If you have hope simply in time,
[00:45:30.360 --> 00:45:34.120]   if you especially have hope in money,
[00:45:34.120 --> 00:45:37.160]   if you have hope in you, in your self-improvement,
[00:45:37.160 --> 00:45:40.800]   and you simply going through the notches of life,
[00:45:40.800 --> 00:45:42.800]   that is darkness.
[00:45:42.800 --> 00:45:45.000]   But the word of God is a light.
[00:45:45.000 --> 00:45:47.160]   It is a lamp unto our feet.
[00:45:47.160 --> 00:45:50.200]   It holds precious treasure and jewel,
[00:45:50.200 --> 00:45:52.120]   and it never lets us down.
[00:45:52.120 --> 00:45:54.600]   The word of God is our hope.
[00:45:54.600 --> 00:45:59.400]   What's more, you guys remember the passage in Psalm?
[00:45:59.400 --> 00:46:02.200]   It says, "Blessed is the man who walks
[00:46:02.200 --> 00:46:03.600]   "not in the counsel of wicked,
[00:46:03.600 --> 00:46:04.960]   "nor stands in the way of sinners,
[00:46:04.960 --> 00:46:07.200]   "nor sits in the seat of scoffers,
[00:46:07.200 --> 00:46:08.980]   "but his delight is in the law of the Lord,
[00:46:08.980 --> 00:46:11.360]   "and on his law he met his taste day and night.
[00:46:11.360 --> 00:46:16.360]   "He is like a tree planted by streams of water
[00:46:16.360 --> 00:46:18.720]   "that yield its fruit in its season,
[00:46:18.720 --> 00:46:20.520]   "and its leaves does not wither.
[00:46:20.520 --> 00:46:23.440]   "In all that he does, he prospers."
[00:46:23.440 --> 00:46:28.800]   This generation is seeking for that, they want that.
[00:46:28.800 --> 00:46:31.360]   I wanna be fruitful, I wanna feel,
[00:46:31.360 --> 00:46:35.640]   I wanna feel be capable, I wanna feel like I can be used,
[00:46:35.640 --> 00:46:37.280]   I wanna feel like I wanna have purpose,
[00:46:37.280 --> 00:46:38.640]   I wanna feel like I can provide,
[00:46:38.640 --> 00:46:40.820]   I wanna feel all this stuff of blessing.
[00:46:40.820 --> 00:46:43.280]   What does scripture say?
[00:46:43.280 --> 00:46:47.080]   The man who is in the word day and night
[00:46:47.080 --> 00:46:48.880]   is the one who's like a tree,
[00:46:48.880 --> 00:46:54.920]   standing firm, fruitful, lively, right?
[00:46:54.920 --> 00:46:59.400]   We want blessings, we have to abide in the word of God.
[00:47:00.240 --> 00:47:04.640]   Next, wisdom, and renewing of the mind.
[00:47:04.640 --> 00:47:08.360]   Should we desire discretion?
[00:47:08.360 --> 00:47:12.080]   Should we desire better discretion and wisdom?
[00:47:12.080 --> 00:47:14.560]   We need to turn to scripture.
[00:47:14.560 --> 00:47:16.480]   So all this again, boom, boom, boom, boom,
[00:47:16.480 --> 00:47:18.120]   Machine Gun went to say this,
[00:47:18.120 --> 00:47:20.560]   that the word of God is absolutely necessary
[00:47:20.560 --> 00:47:21.900]   for every aspect of your life.
[00:47:21.900 --> 00:47:24.520]   I tried to pick things that basically encompass
[00:47:24.520 --> 00:47:26.480]   every single facet of your life,
[00:47:26.480 --> 00:47:29.840]   whether it comes to acts of wisdom and decision making,
[00:47:29.840 --> 00:47:32.680]   whether it comes to your emotions of feeling fruitful,
[00:47:32.680 --> 00:47:34.640]   whether it comes to your own sanctification
[00:47:34.640 --> 00:47:37.400]   and daily practical becoming holier,
[00:47:37.400 --> 00:47:39.880]   whether it comes to you having assurance of salvation
[00:47:39.880 --> 00:47:42.160]   and the beginning stages of your Christian life,
[00:47:42.160 --> 00:47:46.560]   all of it, all of it,
[00:47:46.560 --> 00:47:48.560]   the word of God is sufficient for you.
[00:47:48.560 --> 00:47:53.480]   The word of God is absolutely sufficient for you.
[00:47:53.480 --> 00:47:57.040]   And I pray, I pray that we would have
[00:47:57.040 --> 00:47:58.700]   a deep, deep conviction.
[00:47:59.700 --> 00:48:02.420]   I believe the word of God is powerful,
[00:48:02.420 --> 00:48:07.220]   but I believe the word of God is so powerful
[00:48:07.220 --> 00:48:08.740]   that to every question of my life,
[00:48:08.740 --> 00:48:11.300]   I will go to it for my answers,
[00:48:11.300 --> 00:48:12.800]   that every hurdle and difficulty,
[00:48:12.800 --> 00:48:14.700]   I will go to the scripture in prayer,
[00:48:14.700 --> 00:48:16.540]   seeking the counsel of God.
[00:48:16.540 --> 00:48:19.820]   I believe it's powerful, yes, but to the degree
[00:48:19.820 --> 00:48:22.700]   that every hardship and suffering
[00:48:22.700 --> 00:48:25.940]   or every blessing and joy that I seek,
[00:48:25.940 --> 00:48:28.220]   I will turn to the word of God.
[00:48:28.220 --> 00:48:30.140]   By way of conclusion, please turn your Bible
[00:48:30.140 --> 00:48:33.540]   over to John chapter eight, verse 31 through 47.
[00:48:33.540 --> 00:48:39.080]   John chapter eight, verse 31 through 47.
[00:48:39.080 --> 00:48:47.580]   It's a bit of a longer passage,
[00:48:47.580 --> 00:48:49.940]   but I wanna conclude with this
[00:48:49.940 --> 00:48:53.420]   because it's such a huge theme
[00:48:53.420 --> 00:48:55.500]   and I hope that for the rest of our lives,
[00:48:55.500 --> 00:48:57.820]   we will continue just to focus on this idea.
[00:48:58.740 --> 00:49:01.340]   He says this, "So Jesus said to the Jews
[00:49:01.340 --> 00:49:03.240]   "who had believed him,
[00:49:03.240 --> 00:49:07.660]   "if you abide in my word,
[00:49:07.660 --> 00:49:10.440]   "you are truly my disciples
[00:49:10.440 --> 00:49:12.220]   "and you will know the truth
[00:49:12.220 --> 00:49:14.340]   "and the truth will set you free."
[00:49:14.340 --> 00:49:16.100]   Wow.
[00:49:16.100 --> 00:49:21.100]   That verse alone deserves some meditation.
[00:49:21.100 --> 00:49:22.620]   And then I'm gonna read the rest of the story.
[00:49:22.620 --> 00:49:25.060]   He says, "They answered him,
[00:49:25.060 --> 00:49:26.420]   "we are offsprings of Abraham
[00:49:26.420 --> 00:49:29.060]   "and I've never been enslaved to anyone.
[00:49:29.060 --> 00:49:31.980]   "How is it that you say you will become free?
[00:49:31.980 --> 00:49:33.320]   "And Jesus answered them,
[00:49:33.320 --> 00:49:34.780]   "truly, truly I say to you,
[00:49:34.780 --> 00:49:39.100]   "everyone who practices sin is a slave to sin.
[00:49:39.100 --> 00:49:40.900]   "The slave does not remain in the house forever,
[00:49:40.900 --> 00:49:42.180]   "the son remains.
[00:49:42.180 --> 00:49:45.260]   "So if the son sets you free, you will be free indeed.
[00:49:45.260 --> 00:49:47.060]   "I know that you are offsprings of Abraham,
[00:49:47.060 --> 00:49:48.220]   "yet you seek to kill me
[00:49:48.220 --> 00:49:52.900]   "because my word finds no place in you.
[00:49:52.900 --> 00:49:54.860]   "I speak of what I have seen from my father
[00:49:54.860 --> 00:49:59.380]   "and you do what you have heard from your father.
[00:49:59.380 --> 00:50:00.720]   "And they answered him,
[00:50:00.720 --> 00:50:03.540]   "what, Abraham is our father.
[00:50:03.540 --> 00:50:04.660]   "Jesus said to them,
[00:50:04.660 --> 00:50:06.220]   "if you were Abraham's children,
[00:50:06.220 --> 00:50:08.720]   "you would be doing the works Abraham did.
[00:50:08.720 --> 00:50:10.060]   "But now you seek to kill me,
[00:50:10.060 --> 00:50:13.660]   "a man who has told you the truth that I heard from God.
[00:50:13.660 --> 00:50:16.160]   "This is not what Abraham did.
[00:50:16.160 --> 00:50:19.560]   "You are doing the works your father did.
[00:50:19.560 --> 00:50:20.760]   "And they said to him,
[00:50:20.760 --> 00:50:23.140]   "we were not born of sexual immorality.
[00:50:23.140 --> 00:50:25.700]   "We have one father, even God.
[00:50:25.700 --> 00:50:27.220]   "And Jesus said to them,
[00:50:27.220 --> 00:50:29.020]   "if God were your father, you would love me,
[00:50:29.020 --> 00:50:31.220]   "for I came from God and I am here.
[00:50:31.220 --> 00:50:34.200]   "I came not of my own accord, but he sent me.
[00:50:34.200 --> 00:50:37.400]   "Why do you not understand what I say?
[00:50:37.400 --> 00:50:42.220]   "It is because you cannot bear to hear my word.
[00:50:42.220 --> 00:50:43.680]   "You are of your father, the devil,
[00:50:43.680 --> 00:50:47.380]   "and you will do, your will is to do your father's desire.
[00:50:47.380 --> 00:50:49.460]   "He was a murderer from the beginning
[00:50:49.460 --> 00:50:51.720]   "and does not stand in the truth
[00:50:51.720 --> 00:50:53.760]   "because there is no truth in him.
[00:50:53.760 --> 00:50:56.080]   "When he lies, he speaks out of his own character,
[00:50:56.080 --> 00:50:58.680]   "for he is a liar and the father of lies.
[00:50:58.680 --> 00:51:02.120]   "But because I tell the truth, you do not believe me.
[00:51:02.120 --> 00:51:04.200]   "Which one of you convicts me of sin?
[00:51:04.200 --> 00:51:08.840]   "If I tell the truth, why do you not believe me?"
[00:51:08.840 --> 00:51:10.120]   And then he says this,
[00:51:10.120 --> 00:51:13.860]   "Whoever is of God hears the words of God.
[00:51:13.860 --> 00:51:16.180]   "The reason why you do not hear them
[00:51:16.180 --> 00:51:18.740]   "is that you are not of God."
[00:51:20.880 --> 00:51:25.460]   That passage is incredibly sobering, right?
[00:51:25.460 --> 00:51:27.320]   Incredibly sobering.
[00:51:27.320 --> 00:51:29.060]   Because essentially, for your blank there,
[00:51:29.060 --> 00:51:34.060]   it says the word defines who you are as a Christian.
[00:51:34.060 --> 00:51:40.680]   A definitive characteristic of somebody
[00:51:40.680 --> 00:51:45.560]   who is truly regenerate and truly a disciple of Christ,
[00:51:45.560 --> 00:51:47.680]   truly a child of God,
[00:51:49.400 --> 00:51:53.440]   is going to be the word of God implanted into their lives.
[00:51:53.440 --> 00:51:57.120]   Is going to be existence of the truth
[00:51:57.120 --> 00:52:00.560]   and their reception of that truth into their lives.
[00:52:00.560 --> 00:52:04.520]   And so should we be in a habit of subtle
[00:52:04.520 --> 00:52:07.280]   or of overt neglect of the truth,
[00:52:07.280 --> 00:52:10.360]   and then when we are confronted with the truth,
[00:52:10.360 --> 00:52:12.240]   we have a pattern of rejecting it,
[00:52:12.240 --> 00:52:14.240]   where we stand above it and we say,
[00:52:14.240 --> 00:52:15.360]   "Ah, I don't care."
[00:52:15.360 --> 00:52:18.880]   Even if the scripture says, "Thus says the Lord."
[00:52:18.880 --> 00:52:19.720]   Whatever.
[00:52:19.720 --> 00:52:24.580]   This passage is absolutely clear.
[00:52:24.580 --> 00:52:26.680]   If the word of God has no part in you,
[00:52:26.680 --> 00:52:28.840]   then God has no part in you.
[00:52:28.840 --> 00:52:33.440]   I pray that we would be a people,
[00:52:33.440 --> 00:52:37.060]   so defined that we would be a people of his truth.
[00:52:37.060 --> 00:52:38.280]   Why?
[00:52:38.280 --> 00:52:41.640]   Because only then can we have an accurate view of God,
[00:52:41.640 --> 00:52:44.880]   and only when we have an accurate view of God
[00:52:44.880 --> 00:52:47.640]   will we arise to what God has called us to,
[00:52:47.640 --> 00:52:50.280]   which is true worship in spirit and in truth.
[00:52:50.280 --> 00:52:51.280]   Amen?
[00:52:51.280 --> 00:52:52.680]   Let's take a moment to pray.
[00:52:52.680 --> 00:53:04.880]   Lord God, we want to thank you so much.
[00:53:04.880 --> 00:53:07.800]   Lord, I thank you so much
[00:53:07.800 --> 00:53:12.200]   because we know what a privilege we have.
[00:53:12.200 --> 00:53:15.560]   We realize, God, we've been endowed with so much.
[00:53:15.560 --> 00:53:19.960]   We remember in history, Lord, that there were generations,
[00:53:19.960 --> 00:53:24.480]   hundreds of years where there was a famine of your word.
[00:53:24.480 --> 00:53:26.800]   And even if people wanted to listen,
[00:53:26.800 --> 00:53:29.920]   even if people wanted to read, they'd have to go searching.
[00:53:29.920 --> 00:53:32.760]   Father God, thank you so much
[00:53:32.760 --> 00:53:35.480]   that rather than leaving us in the dark,
[00:53:35.480 --> 00:53:38.600]   you give us the precious light of your word.
[00:53:38.600 --> 00:53:39.480]   We thank you so much
[00:53:39.480 --> 00:53:42.600]   that rather than leaving us to our own devices,
[00:53:42.600 --> 00:53:44.640]   leaving us to our own naivety,
[00:53:44.640 --> 00:53:47.120]   leaving us to our own sins,
[00:53:47.120 --> 00:53:49.480]   you give us your truth to draw us,
[00:53:49.480 --> 00:53:52.240]   to sanctify us and redeem us.
[00:53:52.240 --> 00:53:54.200]   God, I pray that every single one of us
[00:53:54.200 --> 00:53:58.320]   would have such a deep devotion and commitment
[00:53:58.320 --> 00:54:01.520]   to carefully observe, to remember, and retain
[00:54:01.520 --> 00:54:02.720]   what is in your word,
[00:54:02.720 --> 00:54:06.520]   that, God, we might be careful to do it.
[00:54:06.520 --> 00:54:08.560]   We thank you so much for the spirit of God
[00:54:08.560 --> 00:54:11.880]   who allows us and continues to empower us
[00:54:11.880 --> 00:54:13.480]   to remember your truth.
[00:54:13.480 --> 00:54:15.360]   We thank you for the presence of your son
[00:54:15.360 --> 00:54:17.120]   that continues to guide us.
[00:54:17.120 --> 00:54:20.320]   I pray that in obedience we would follow.
[00:54:20.320 --> 00:54:22.720]   We thank you, Lord, it's in Christ's name, amen.
[00:54:22.720 --> 00:54:24.980]   (foghorn blowing)

