
[00:00:00.000 --> 00:00:07.000]   [silence]
[00:44:46.320 --> 00:44:49.180]   and if I bring my non-Christian friend,
[00:44:49.180 --> 00:44:51.220]   they may not understand your preaching.
[00:44:51.220 --> 00:44:54.400]   So they're kind of requesting
[00:44:54.400 --> 00:44:58.640]   that I would bring the sermon down a little bit, right?
[00:44:58.640 --> 00:45:00.240]   Now let me make this very clear.
[00:45:00.240 --> 00:45:05.320]   We are here gathered for worship, right?
[00:45:05.320 --> 00:45:09.280]   So the target of my sermon are Christians,
[00:45:09.280 --> 00:45:11.320]   so that his sheep may be fed.
[00:45:11.320 --> 00:45:14.120]   So are non-Christians welcome?
[00:45:14.120 --> 00:45:15.360]   Of course they're welcome.
[00:45:15.360 --> 00:45:17.680]   They're more than welcome to come ask questions
[00:45:17.680 --> 00:45:20.480]   so that we can share the gospel with them.
[00:45:20.480 --> 00:45:21.640]   But this is worship.
[00:45:22.600 --> 00:45:25.680]   Non-Christians cannot worship God.
[00:45:25.680 --> 00:45:27.760]   My target is not non-Christians
[00:45:27.760 --> 00:45:29.960]   when I stand here on Sunday morning.
[00:45:29.960 --> 00:45:31.380]   They're more than welcome.
[00:45:31.380 --> 00:45:33.920]   We hope that you will evangelize.
[00:45:33.920 --> 00:45:36.320]   We hope that you would share the gospel with them.
[00:45:36.320 --> 00:45:39.200]   We hope that you would share the love of Christ with them.
[00:45:39.200 --> 00:45:42.160]   But we are gathered here for the purpose of worship
[00:45:42.160 --> 00:45:43.780]   so that you may be fed.
[00:45:43.780 --> 00:45:48.240]   This is the body of Christ.
[00:45:48.240 --> 00:45:51.800]   Non-Christians are not part of the body of Christ.
[00:45:52.800 --> 00:45:54.840]   We want to present the body.
[00:45:54.840 --> 00:45:57.400]   We want the body of Christ to be the light to them,
[00:45:57.400 --> 00:45:59.400]   but they are not part of the body of Christ.
[00:45:59.400 --> 00:46:02.120]   Now, the first soil is easy
[00:46:02.120 --> 00:46:04.960]   because the first soil people have heard the word of God
[00:46:04.960 --> 00:46:07.640]   and openly said I'm not a Christian.
[00:46:07.640 --> 00:46:08.760]   I don't believe this.
[00:46:08.760 --> 00:46:11.160]   So these are things that have fallen on the side.
[00:46:11.160 --> 00:46:14.240]   So either they have heard it outside or heard it inside,
[00:46:14.240 --> 00:46:17.040]   but they never, there's no confusion here.
[00:46:17.040 --> 00:46:20.480]   Where the confusion begins is the second and the third.
[00:46:20.480 --> 00:46:25.480]   So if you're offended by the second soil, hold on, right?
[00:46:25.480 --> 00:46:27.640]   Because we're gonna get to the third soil next week
[00:46:27.640 --> 00:46:31.000]   and you're really gonna be bothered by it, okay?
[00:46:31.000 --> 00:46:35.120]   Second soil is the one that falls on the rocky soil.
[00:46:35.120 --> 00:46:38.200]   They respond with joy, but because they have no roots,
[00:46:38.200 --> 00:46:39.920]   they eventually die.
[00:46:39.920 --> 00:46:42.840]   So the first thing that it says is they respond with joy.
[00:46:42.840 --> 00:46:46.000]   So they look like everybody else.
[00:46:46.000 --> 00:46:49.240]   So because they responded with enthusiasm,
[00:46:49.240 --> 00:46:52.040]   they make a decision and so some of them
[00:46:52.040 --> 00:46:55.600]   may even be baptized, may even become members of the church,
[00:46:55.600 --> 00:47:00.240]   but they say that eventually when they are tested
[00:47:00.240 --> 00:47:03.200]   and temptation come, they fold and they walk away.
[00:47:03.200 --> 00:47:07.560]   So their faith wasn't genuine,
[00:47:07.560 --> 00:47:10.160]   but initially it says they responded with joy.
[00:47:10.160 --> 00:47:16.120]   Now, again, in a post-Christian culture,
[00:47:16.120 --> 00:47:18.000]   when somebody raised their hands,
[00:47:18.000 --> 00:47:20.360]   we say, well, one saved, always saved.
[00:47:20.360 --> 00:47:25.560]   Years ago, Billy Graham contacted Dawson Trotman,
[00:47:25.560 --> 00:47:28.240]   who was the leader of the Navigators,
[00:47:28.240 --> 00:47:31.280]   and Navigators was known for strict discipleship, right?
[00:47:31.280 --> 00:47:34.560]   And so Billy Graham contacted Dawson Trotman
[00:47:34.560 --> 00:47:37.880]   because he was starting to hear of the study
[00:47:37.880 --> 00:47:40.040]   of the people who make a decision for Christ
[00:47:40.040 --> 00:47:42.480]   and they would ask people to come and make a decision,
[00:47:42.480 --> 00:47:43.520]   raise their hand, come down,
[00:47:43.520 --> 00:47:45.920]   and they would do the sinner's prayer and they would go.
[00:47:45.920 --> 00:47:50.920]   But the studies found out that 97%
[00:47:50.920 --> 00:47:54.760]   of the people who make the decision
[00:47:54.760 --> 00:47:56.440]   never end up going to church.
[00:47:56.440 --> 00:48:02.760]   So initially they said only 6% who make a decision,
[00:48:02.760 --> 00:48:06.440]   they come down this aisle, only 6% end up going to church,
[00:48:06.440 --> 00:48:09.520]   and out of the 6%, more than half of them
[00:48:09.520 --> 00:48:11.800]   end up leaving the church and only,
[00:48:11.800 --> 00:48:15.000]   so 3% of all the people who come down.
[00:48:15.000 --> 00:48:17.000]   Now, that study was done years ago
[00:48:17.000 --> 00:48:20.480]   and then they did a recent study of the Harvest Crusade.
[00:48:20.480 --> 00:48:21.800]   And this has nothing to do with like,
[00:48:21.800 --> 00:48:23.040]   oh, the Harvest Crusade is bad,
[00:48:23.040 --> 00:48:26.440]   or it has nothing to do with that, it's just facts.
[00:48:26.440 --> 00:48:27.960]   It's for all the people who come
[00:48:27.960 --> 00:48:30.360]   and make a decision for Jesus,
[00:48:30.360 --> 00:48:33.880]   only 3% are walking with Christ.
[00:48:33.880 --> 00:48:38.880]   Now, the problem with that is that 95, 7% of them
[00:48:38.880 --> 00:48:43.120]   will walk away and say, one saved, always saved.
[00:48:43.120 --> 00:48:44.800]   I raised my hand, I went down.
[00:48:44.800 --> 00:48:46.000]   I got a free Bible.
[00:48:46.000 --> 00:48:48.440]   But the word of God is not going into them.
[00:48:48.440 --> 00:48:51.560]   They don't know what it means to be a follower of Christ.
[00:48:51.560 --> 00:48:55.660]   And maybe their faith isn't real, we don't know.
[00:48:55.660 --> 00:49:01.760]   Because the gospel in and of itself is taught
[00:49:01.760 --> 00:49:05.560]   so that the maximum number of people can come in
[00:49:05.560 --> 00:49:08.000]   to the church, the maximum number.
[00:49:08.000 --> 00:49:12.200]   If the gospel that you hear is,
[00:49:12.200 --> 00:49:14.680]   Jesus loves you, has a wonderful plan for your life,
[00:49:14.680 --> 00:49:18.040]   and your hardship comes because you're separated from God,
[00:49:18.040 --> 00:49:20.440]   and he forgives us unconditionally.
[00:49:20.440 --> 00:49:22.240]   He loves you unconditionally.
[00:49:22.240 --> 00:49:24.360]   He receives you unconditionally.
[00:49:24.360 --> 00:49:25.640]   And so you live your life.
[00:49:25.640 --> 00:49:28.440]   Yeah, we may struggle, but thank God it is by grace.
[00:49:28.440 --> 00:49:30.200]   And so when you die, you're gonna go to heaven.
[00:49:30.200 --> 00:49:32.720]   And then you've given that, like, who wouldn't want this?
[00:49:32.720 --> 00:49:33.800]   What have you got to lose?
[00:49:33.800 --> 00:49:35.880]   Raise your hand and come down and get a free Bible.
[00:49:35.880 --> 00:49:37.000]   And then they walk away,
[00:49:37.000 --> 00:49:39.880]   and you have a generation filled with people
[00:49:39.880 --> 00:49:43.760]   who are absolutely convinced that when they die,
[00:49:43.760 --> 00:49:45.320]   that they're gonna be in heaven,
[00:49:45.320 --> 00:49:49.440]   not knowing the warnings of scripture.
[00:49:49.440 --> 00:49:54.000]   He says they have no roots.
[00:49:54.000 --> 00:49:57.000]   Roots is underneath the ground, so you can't see it.
[00:49:57.000 --> 00:49:59.160]   So when somebody receives with joy, we don't know.
[00:49:59.160 --> 00:50:03.960]   But the root is what's connected to the nutrients,
[00:50:03.960 --> 00:50:07.240]   to the water, the living water.
[00:50:07.240 --> 00:50:12.240]   And so when the sun shines, when the temptation comes,
[00:50:12.340 --> 00:50:16.960]   what was meant to sustain them withers them.
[00:50:16.960 --> 00:50:20.580]   In James chapter one, two to four, it says,
[00:50:20.580 --> 00:50:22.700]   consider all joy, my brethren,
[00:50:22.700 --> 00:50:24.060]   when you encounter various trials,
[00:50:24.060 --> 00:50:27.900]   knowing that the testing of your faith produces endurance.
[00:50:27.900 --> 00:50:29.700]   And let endurance have its perfect results
[00:50:29.700 --> 00:50:32.620]   so that you may be perfect and complete, lacking in nothing.
[00:50:32.620 --> 00:50:34.820]   See, for a believer,
[00:50:34.820 --> 00:50:36.280]   when the testing and the trials come in,
[00:50:36.280 --> 00:50:37.300]   it strengthens their faith.
[00:50:37.300 --> 00:50:38.800]   It tests their faith through,
[00:50:38.800 --> 00:50:42.260]   and they're almost like there's a greater resolve.
[00:50:42.260 --> 00:50:44.900]   You grow in your faith as your faith is tested.
[00:50:44.900 --> 00:50:48.100]   You learn to persevere, and eventually, you are perfected.
[00:50:48.100 --> 00:50:51.780]   You are sanctified because of trials and difficulty.
[00:50:51.780 --> 00:50:54.980]   But an unbeliever who may, on the surface, look the same,
[00:50:54.980 --> 00:50:57.420]   an exact same trial comes into their life,
[00:50:57.420 --> 00:50:58.740]   and they completely wither.
[00:50:58.740 --> 00:51:00.740]   Why did God do this to me?
[00:51:00.740 --> 00:51:03.820]   Why did they do this to me?
[00:51:03.820 --> 00:51:04.940]   And they don't see,
[00:51:04.940 --> 00:51:08.160]   because what's precious to them is not Christ.
[00:51:08.160 --> 00:51:11.460]   What's precious to them is this world,
[00:51:11.460 --> 00:51:13.820]   and Christ is only the avenue to get there,
[00:51:13.820 --> 00:51:16.500]   and when that is taken away,
[00:51:16.500 --> 00:51:19.460]   it is enough reason for them to walk away from their faith.
[00:51:19.460 --> 00:51:22.500]   That's what the second soil looks like.
[00:51:22.500 --> 00:51:27.700]   They have added the church without adding Christ.
[00:51:27.700 --> 00:51:30.100]   In a post-Christian culture,
[00:51:30.100 --> 00:51:32.620]   there's all kinds of reasons to come to Christ,
[00:51:32.620 --> 00:51:34.540]   'cause we don't have community.
[00:51:34.540 --> 00:51:37.540]   So you come to church and look for people who are like you.
[00:51:37.540 --> 00:51:39.260]   You go to church,
[00:51:39.260 --> 00:51:41.860]   and there's other people raising children like you.
[00:51:41.860 --> 00:51:47.060]   You go to church and looking for purpose, community.
[00:51:47.060 --> 00:51:50.960]   So everything that you want as a social human being,
[00:51:50.960 --> 00:51:52.100]   you don't have it in the world,
[00:51:52.100 --> 00:51:54.140]   so you find it in the church.
[00:51:54.140 --> 00:51:56.060]   You get to play softball with people.
[00:51:56.060 --> 00:52:00.440]   You get to play BBA, right?
[00:52:00.440 --> 00:52:03.860]   Maybe find your future girlfriend, your wife.
[00:52:03.860 --> 00:52:06.180]   You raise your kids, teaching good morals.
[00:52:07.140 --> 00:52:10.820]   You have all kinds of reasons to come to church
[00:52:10.820 --> 00:52:13.860]   without actually knowing Christ.
[00:52:13.860 --> 00:52:15.300]   2 Timothy 3, one through five, he said,
[00:52:15.300 --> 00:52:16.940]   "But realize this, that in the last days,
[00:52:16.940 --> 00:52:18.820]   "difficult times will come."
[00:52:18.820 --> 00:52:21.840]   In verse five, "They are holding to a form of godliness,
[00:52:21.840 --> 00:52:23.780]   "although they have denied its power.
[00:52:23.780 --> 00:52:26.900]   "Avoid such men as these."
[00:52:26.900 --> 00:52:28.100]   Holding to a form of godliness,
[00:52:28.100 --> 00:52:29.980]   meaning that this is a group of people
[00:52:29.980 --> 00:52:32.500]   who have learned to play the game.
[00:52:32.500 --> 00:52:33.580]   They know what to say.
[00:52:33.580 --> 00:52:35.840]   They know how to behave.
[00:52:35.840 --> 00:52:37.380]   They know what to do,
[00:52:37.380 --> 00:52:38.500]   because they've been in the church
[00:52:38.500 --> 00:52:39.560]   and they've been educated,
[00:52:39.560 --> 00:52:41.500]   so they know how to play the game,
[00:52:41.500 --> 00:52:43.660]   but the affection for Christ never grows
[00:52:43.660 --> 00:52:47.220]   because the root is not connected to the living water.
[00:52:47.220 --> 00:52:49.400]   So they hear it, they're learning,
[00:52:49.400 --> 00:52:51.420]   but never able to come to the knowledge of the truth,
[00:52:51.420 --> 00:52:53.580]   just like it's in 2 Timothy 3, seven.
[00:52:53.580 --> 00:52:56.480]   Always learning, never able to come
[00:52:56.480 --> 00:52:58.840]   to the knowledge of the truth.
[00:52:58.840 --> 00:53:01.260]   Always learning, always hearing,
[00:53:01.260 --> 00:53:03.100]   always adding more knowledge.
[00:53:03.100 --> 00:53:05.380]   And if you've been in the church long enough,
[00:53:05.380 --> 00:53:08.100]   you know how to, you know how to behave.
[00:53:08.100 --> 00:53:10.380]   You know how to serve.
[00:53:10.380 --> 00:53:13.640]   You know how to talk to people.
[00:53:13.640 --> 00:53:16.100]   You know how to get the attention of the leaders.
[00:53:16.100 --> 00:53:21.100]   You learn to play the game, and you play it well,
[00:53:21.100 --> 00:53:24.740]   but you've never really repented.
[00:53:24.740 --> 00:53:29.540]   You're holding on to your old life,
[00:53:29.540 --> 00:53:34.540]   because you see Christ as a conduit to get what you want.
[00:53:35.100 --> 00:53:40.100]   In order to accommodate the unbelieving and the uncommitted,
[00:53:40.100 --> 00:53:42.060]   the church has created a culture
[00:53:42.060 --> 00:53:44.900]   that looks no different than the world.
[00:53:44.900 --> 00:53:47.460]   We want the uncommitted, unconverted,
[00:53:47.460 --> 00:53:48.500]   people with no roots,
[00:53:48.500 --> 00:53:51.620]   who have spiritually walked away from their faith,
[00:53:51.620 --> 00:53:54.360]   to feel comfortable at church,
[00:53:54.360 --> 00:53:56.540]   week after week, year after year,
[00:53:56.540 --> 00:53:58.140]   and no wonder the church doesn't look
[00:53:58.140 --> 00:54:00.100]   any different than the world.
[00:54:00.100 --> 00:54:01.260]   And so every once in a while,
[00:54:01.260 --> 00:54:04.420]   we hear statistics of sexual sin,
[00:54:04.420 --> 00:54:06.940]   about divorce, about all kinds of things
[00:54:06.940 --> 00:54:07.980]   that the church does and says,
[00:54:07.980 --> 00:54:10.660]   "Well, Christians are no different."
[00:54:10.660 --> 00:54:12.400]   But I realize that these statistics
[00:54:12.400 --> 00:54:14.040]   are not about Christians.
[00:54:14.040 --> 00:54:19.260]   They're about the church, about professing Christians.
[00:54:19.260 --> 00:54:23.160]   In 1 Corinthians 3, 16, and 17, it said,
[00:54:23.160 --> 00:54:25.320]   "Do you not know that you are a temple of God,
[00:54:25.320 --> 00:54:26.940]   "and the Spirit of God dwells in you?
[00:54:26.940 --> 00:54:28.660]   "If any man destroys the temple of God,
[00:54:28.660 --> 00:54:29.580]   "God will destroy him,
[00:54:29.580 --> 00:54:31.200]   "for the temple of God is holy,
[00:54:31.200 --> 00:54:32.780]   "and that is what you are."
[00:54:32.780 --> 00:54:34.140]   Paul is writing to the Corinthians,
[00:54:34.140 --> 00:54:37.320]   because all kinds of chaos is coming into the church.
[00:54:37.320 --> 00:54:40.900]   Because the leaders were hungry for power,
[00:54:40.900 --> 00:54:42.940]   and they were one-upping each other,
[00:54:42.940 --> 00:54:44.360]   it caused divisions in the church,
[00:54:44.360 --> 00:54:46.120]   and they allowed all kinds of sins
[00:54:46.120 --> 00:54:47.960]   to enter into the church.
[00:54:47.960 --> 00:54:49.320]   The worship was in chaos,
[00:54:49.320 --> 00:54:51.440]   the spiritual gifts were in chaos,
[00:54:51.440 --> 00:54:54.040]   the communion table was in chaos.
[00:54:54.040 --> 00:54:56.960]   And he said, "Do you not know that your assembly,
[00:54:56.960 --> 00:55:00.620]   "your gathering, is a temple of God?"
[00:55:00.620 --> 00:55:02.660]   Every Jew knew exactly what he meant.
[00:55:02.660 --> 00:55:07.940]   If you enter the temple of God with blasphemous thoughts,
[00:55:07.940 --> 00:55:10.840]   you're asking for judgment.
[00:55:10.840 --> 00:55:18.080]   The high priest couldn't linger in the Holy of Holies.
[00:55:18.080 --> 00:55:22.020]   Just by lingering beyond what he should have been, he died.
[00:55:22.020 --> 00:55:25.020]   So when he said, "Do you not know that your body,
[00:55:25.020 --> 00:55:26.580]   "your church, is a temple of God?"
[00:55:26.580 --> 00:55:27.580]   They knew exactly what he meant.
[00:55:27.580 --> 00:55:32.420]   He was saying, "Hey, stop acting like the world.
[00:55:32.420 --> 00:55:34.320]   "Recognize what the church is."
[00:55:34.320 --> 00:55:36.520]   In Jude 4, it says,
[00:55:36.520 --> 00:55:39.580]   "For certain persons have crept in unnoticed,
[00:55:39.580 --> 00:55:41.040]   "those who were long beforehand
[00:55:41.040 --> 00:55:42.600]   "marked out for this condemnation,
[00:55:42.600 --> 00:55:45.160]   "ungodly persons who turn the grace of our God
[00:55:45.160 --> 00:55:48.160]   "into licentiousness and deny our only master
[00:55:48.160 --> 00:55:50.260]   "and Lord Jesus Christ."
[00:55:50.260 --> 00:55:52.500]   It says, "They have crept in."
[00:55:52.500 --> 00:55:54.980]   Sad thing about our generation, they did not creep in.
[00:55:54.980 --> 00:55:57.820]   We opened the door wide open and put a sign out saying,
[00:55:57.820 --> 00:55:59.600]   "Everyone is welcome."
[00:55:59.600 --> 00:56:02.300]   Of course, they're welcome to come to church
[00:56:02.300 --> 00:56:04.660]   'cause we want to share the gospel with you.
[00:56:04.660 --> 00:56:08.200]   Of course, they're welcome to come and ask questions.
[00:56:08.200 --> 00:56:10.160]   We have events so that non-Christian can come
[00:56:10.160 --> 00:56:12.220]   so we can share the gospel with them.
[00:56:12.220 --> 00:56:14.260]   But the problem is,
[00:56:14.260 --> 00:56:17.140]   unbelievers have been welcomed in the church,
[00:56:17.140 --> 00:56:19.500]   serving in the church, have become members in the church,
[00:56:19.500 --> 00:56:22.680]   and oftentimes, even become leaders in the church.
[00:56:24.140 --> 00:56:25.260]   This is the temple of God.
[00:56:25.260 --> 00:56:27.520]   And then he says in Jude chapter, verse 12,
[00:56:27.520 --> 00:56:32.100]   "These are men who are hidden reefs in your love feasts,
[00:56:32.100 --> 00:56:33.960]   "in your fellowship, when they feast with you,
[00:56:33.960 --> 00:56:36.460]   "without fear, caring for themselves,
[00:56:36.460 --> 00:56:38.560]   "clouds without water, carried along by winds,
[00:56:38.560 --> 00:56:43.220]   "autumn trees without fruit, doubly dead, uprooted."
[00:56:43.220 --> 00:56:45.460]   These are people who have a memory
[00:56:45.460 --> 00:56:47.980]   of what they were like when they were young.
[00:56:49.380 --> 00:56:51.620]   When Christianity was manufactured
[00:56:51.620 --> 00:56:54.260]   in their college ministry,
[00:56:54.260 --> 00:56:56.020]   where they were constantly surrounded
[00:56:56.020 --> 00:56:58.300]   by constant encouragement,
[00:56:58.300 --> 00:57:01.660]   and you were almost peer-pressured to be a Christian.
[00:57:01.660 --> 00:57:04.940]   And so you went to camp, you went to small group,
[00:57:04.940 --> 00:57:07.180]   you participated because all your friends did it,
[00:57:07.180 --> 00:57:09.100]   and so the only time you remember
[00:57:09.100 --> 00:57:11.080]   when you were in love with Christ
[00:57:11.080 --> 00:57:14.100]   was when Christianity was manufactured for you
[00:57:14.100 --> 00:57:18.660]   to pressure you to live like a Christian.
[00:57:19.500 --> 00:57:22.300]   But those are many years behind.
[00:57:22.300 --> 00:57:25.180]   You physically didn't walk away from Christ,
[00:57:25.180 --> 00:57:29.740]   but in every other aspect, outside of what you say,
[00:57:29.740 --> 00:57:32.020]   no one would know the difference.
[00:57:32.020 --> 00:57:38.340]   He says, "They are reefs in your feasts,
[00:57:38.340 --> 00:57:40.180]   "in your fellowship."
[00:57:40.180 --> 00:57:44.100]   In the church, we have the universal church,
[00:57:44.100 --> 00:57:45.980]   which is unseen.
[00:57:45.980 --> 00:57:47.740]   And the membership of the universal church
[00:57:47.740 --> 00:57:49.620]   is the Holy Spirit.
[00:57:49.620 --> 00:57:52.620]   And so the Holy Spirit doesn't make mistakes.
[00:57:52.620 --> 00:57:54.980]   Nobody comes into the universal church by accident,
[00:57:54.980 --> 00:57:56.020]   by acting a certain way,
[00:57:56.020 --> 00:57:57.780]   'cause the Holy Spirit will know.
[00:57:57.780 --> 00:57:59.580]   The local church is the expression
[00:57:59.580 --> 00:58:02.540]   of that universal church in the local body.
[00:58:02.540 --> 00:58:09.020]   But in the local church, we make mistakes.
[00:58:09.020 --> 00:58:12.520]   'Cause oftentimes, we can't tell.
[00:58:12.520 --> 00:58:13.960]   'Cause the roots, sometimes you can't tell.
[00:58:13.960 --> 00:58:14.800]   It takes time.
[00:58:14.800 --> 00:58:16.380]   We have to see the fruit.
[00:58:16.380 --> 00:58:18.460]   That's why Jesus says to be careful
[00:58:18.460 --> 00:58:21.380]   that we uproot the wheat with the tares,
[00:58:21.380 --> 00:58:23.140]   because they look the same until time passes
[00:58:23.140 --> 00:58:25.220]   and you can see the fruit.
[00:58:25.220 --> 00:58:28.740]   So in the local church, we have mixtures.
[00:58:28.740 --> 00:58:30.340]   So it's one thing to make a mistake.
[00:58:30.340 --> 00:58:34.100]   It's another thing to defile the church deliberately.
[00:58:34.100 --> 00:58:37.500]   There is no fellowship.
[00:58:37.500 --> 00:58:42.100]   There is no fellowship in the church
[00:58:42.100 --> 00:58:44.700]   who are not part of the universal church.
[00:58:45.700 --> 00:58:47.520]   There is no fellowship.
[00:58:47.520 --> 00:58:50.780]   There can't be fellowship,
[00:58:50.780 --> 00:58:52.420]   because fellowship is to partner
[00:58:52.420 --> 00:58:54.760]   with another person who has the Holy Spirit,
[00:58:54.760 --> 00:58:57.260]   whether it is financial, whether it is encouragement,
[00:58:57.260 --> 00:58:59.420]   whether it is preaching the gospel,
[00:58:59.420 --> 00:59:02.000]   where we are partnering together.
[00:59:02.000 --> 00:59:05.160]   But in the church, we call softball fellowship,
[00:59:05.160 --> 00:59:07.460]   hiking fellowship, ski fellowship,
[00:59:07.460 --> 00:59:09.700]   and anybody is welcome to this fellowship.
[00:59:11.140 --> 00:59:15.000]   No, fellowship can only happen with genuine believers.
[00:59:15.000 --> 00:59:20.020]   The church cannot be the light
[00:59:20.020 --> 00:59:23.740]   if you can't distinguish between the church and the world.
[00:59:23.740 --> 00:59:32.120]   These are people, according to John chapter six,
[00:59:32.120 --> 00:59:35.440]   who are excited about Jesus.
[00:59:35.440 --> 00:59:38.620]   After Jesus feeds the 5,000,
[00:59:38.620 --> 00:59:42.060]   this crowd hit its peak.
[00:59:42.060 --> 00:59:44.280]   It says 5,000, but probably the actual number
[00:59:44.280 --> 00:59:45.340]   is closer to 20,000.
[00:59:45.340 --> 00:59:47.620]   So 20,000 people are packing up their bags
[00:59:47.620 --> 00:59:51.380]   and their children, forgetting to pack lunch,
[00:59:51.380 --> 00:59:52.900]   and they're following Jesus everywhere.
[00:59:52.900 --> 00:59:54.400]   So you would think, wow,
[00:59:54.400 --> 00:59:57.100]   Jesus' ministry is very successful.
[00:59:57.100 --> 00:59:59.180]   It actually tells us in verse 14,
[00:59:59.180 --> 01:00:01.220]   "Therefore, when the people saw the sign,"
[01:00:01.220 --> 01:00:03.700]   the feeding of the 5,000, "which he had performed,
[01:00:03.700 --> 01:00:05.580]   "they said, 'This is truly the prophet
[01:00:05.580 --> 01:00:06.900]   "'who has come into the world.'"
[01:00:06.900 --> 01:00:10.040]   Jesus, verse 15, "So Jesus, perceiving
[01:00:10.040 --> 01:00:11.700]   "that they were intending to come
[01:00:11.700 --> 01:00:14.340]   "and take him by force to make him king,
[01:00:14.340 --> 01:00:17.340]   "withdrew again to the mountain by himself."
[01:00:17.340 --> 01:00:21.380]   You say, wow, this crowd, like they know Jesus.
[01:00:21.380 --> 01:00:23.260]   They wanted to make him king.
[01:00:23.260 --> 01:00:26.220]   But when they finally catch up to Jesus
[01:00:26.220 --> 01:00:30.580]   on the other side of the sea, John 6, 26, 27,
[01:00:30.580 --> 01:00:32.840]   Jesus is not impressed.
[01:00:32.840 --> 01:00:33.680]   And he warns them.
[01:00:33.680 --> 01:00:34.720]   He said, "Jesus answered them and said,
[01:00:34.720 --> 01:00:35.980]   "'Truly, truly, I say to you,
[01:00:35.980 --> 01:00:38.500]   "'you seek me not because you saw signs,
[01:00:38.500 --> 01:00:41.940]   "'because you ate of the loaves and were filled.
[01:00:41.940 --> 01:00:43.640]   "'Do not work for the food which perishes,
[01:00:43.640 --> 01:00:45.840]   "'but for the food which endures to eternal life,
[01:00:45.840 --> 01:00:47.460]   "'which the Son of Man will give to you,
[01:00:47.460 --> 01:00:51.620]   "'for on him the Father, God, has set his seal.'"
[01:00:51.620 --> 01:00:53.820]   He says, "You're not coming to me because you know me.
[01:00:53.820 --> 01:00:56.660]   "You're coming to me because you got something from me."
[01:00:56.660 --> 01:01:03.340]   We have a clear distinction in our generation.
[01:01:03.340 --> 01:01:06.380]   We know what the health and wealth gospel people look like.
[01:01:06.380 --> 01:01:09.020]   'Cause they're open about it.
[01:01:09.020 --> 01:01:10.300]   They'll tell you.
[01:01:10.300 --> 01:01:11.980]   If you believe in Jesus, you're gonna be healthy.
[01:01:11.980 --> 01:01:13.860]   You're gonna be wealthy.
[01:01:13.860 --> 01:01:16.500]   And the preachers are the wealthiest person in that church,
[01:01:16.500 --> 01:01:19.300]   and they brag about how many cars they have
[01:01:19.300 --> 01:01:22.100]   and how they got jets that they fly on.
[01:01:22.100 --> 01:01:23.540]   And so they're very open about it.
[01:01:23.540 --> 01:01:27.740]   It is the false gospel, but they're very open about it.
[01:01:29.160 --> 01:01:33.620]   But in a Bible-teaching church, it creeps it.
[01:01:33.620 --> 01:01:36.780]   How many people follow Christ
[01:01:36.780 --> 01:01:40.560]   because of the benefit of following Christ?
[01:01:40.560 --> 01:01:42.720]   But when the trials and the temptation
[01:01:42.720 --> 01:01:45.780]   and the struggle comes, we question God.
[01:01:45.780 --> 01:01:48.080]   So when he answers our prayer,
[01:01:48.080 --> 01:01:50.680]   and we were sick and we become healthy, praise God.
[01:01:50.680 --> 01:01:53.840]   We get a better job, better pay, praise God.
[01:01:53.840 --> 01:01:55.380]   When our children do well, praise God.
[01:01:55.380 --> 01:01:56.380]   God is blessing us.
[01:01:56.380 --> 01:01:58.560]   But as soon as difficulty and trials come,
[01:01:58.560 --> 01:01:59.400]   where is he?
[01:01:59.400 --> 01:02:03.840]   Is this a God worthy of worship?
[01:02:03.840 --> 01:02:05.520]   Is this a God that I'm going to trust
[01:02:05.520 --> 01:02:09.360]   if this is what he's going to allow happen in my life?
[01:02:09.360 --> 01:02:12.640]   How is that any different than a health and wealth gospel?
[01:02:12.640 --> 01:02:14.600]   We just didn't make it clear.
[01:02:14.600 --> 01:02:20.560]   But our life reflects that we're not loyal to Christ.
[01:02:20.560 --> 01:02:24.280]   We're loyal to what he can give,
[01:02:25.720 --> 01:02:29.440]   the bread and the sustenance and the healing.
[01:02:29.440 --> 01:02:32.180]   And that's exactly what Jesus was pointing out.
[01:02:32.180 --> 01:02:34.080]   You're not coming to me because you know me.
[01:02:34.080 --> 01:02:36.480]   You're coming to me because you ate.
[01:02:36.480 --> 01:02:40.560]   When Jesus says, "I am the bread, I am the bread.
[01:02:40.560 --> 01:02:42.760]   "I gave you physical bread so that you may know
[01:02:42.760 --> 01:02:45.340]   "that I am the bread, I am the life."
[01:02:45.340 --> 01:02:49.040]   And then they turned away from God.
[01:02:49.040 --> 01:02:51.000]   And they walked away, just like Jesus told.
[01:02:51.000 --> 01:02:54.640]   And the very reason why he was telling this parable
[01:02:54.640 --> 01:02:57.980]   gets fulfilled after the feeding of the 5,000.
[01:02:57.980 --> 01:03:02.120]   So many people have walked away from their faith
[01:03:02.120 --> 01:03:05.020]   and yet functioning in the church.
[01:03:05.020 --> 01:03:11.000]   So many people, and for every practical purposes,
[01:03:11.000 --> 01:03:13.260]   Jesus Christ is not their king.
[01:03:13.260 --> 01:03:17.280]   The word of God is open,
[01:03:17.280 --> 01:03:19.540]   but it doesn't have final authority over your life.
[01:03:19.540 --> 01:03:24.000]   You test the word of God to see if you like it or not.
[01:03:24.000 --> 01:03:25.680]   But the word of God doesn't have final authority
[01:03:25.680 --> 01:03:26.520]   over your life.
[01:03:26.520 --> 01:03:28.400]   It is your own conscience, your own pleasure,
