
[00:00:00.000 --> 00:00:06.000]   [ Inaudible ]
[00:54:08.000 --> 00:54:14.000]   And again, all of it is a response of worship unto the Lord.
[00:54:14.000 --> 00:54:21.000]   And so too, you and I must learn to feel the heaviness of God's Lord.
[00:54:21.000 --> 00:54:25.000]   We must grow to appreciate how weighty our God is.
[00:54:25.000 --> 00:54:30.000]   Because if our view of God is weak, then our worship of God will be weak.
[00:54:30.000 --> 00:54:35.000]   And if our view of God is cold, then our worship of God will be cold.
[00:54:35.000 --> 00:54:39.000]   If our view of God is shallow, then our worship of God will be shallow.
[00:54:39.000 --> 00:54:47.000]   Because the fact of the matter is, your worship of God will never rise above your understanding of who God is.
[00:54:47.000 --> 00:54:56.000]   So if you feel this morning a distance, an apathy, an indifference,
[00:54:56.000 --> 00:55:03.000]   if you feel that it is hard to stir up feelings of emotion, of worship,
[00:55:03.000 --> 00:55:07.000]   of desire to worship and praise and exalt Christ,
[00:55:07.000 --> 00:55:12.000]   I think one of the most practically beneficial things that you and I can do
[00:55:12.000 --> 00:55:16.000]   is to try to pursue a deeper knowledge of who He is.
[00:55:16.000 --> 00:55:20.000]   Read books like "Knowing God" by G.I. Cochran,
[00:55:20.000 --> 00:55:23.000]   or "The Holiness of God" by R.C. Sproul.
[00:55:23.000 --> 00:55:29.000]   Ask your pastors, "What books will convey to me how great my God truly is?"
[00:55:29.000 --> 00:55:33.000]   Do a Bible study on the attributes of God.
[00:55:33.000 --> 00:55:40.000]   Do whatever you need to do in order to feel the weight of God's glory in your life.
[00:55:40.000 --> 00:55:44.000]   And by pursuing that deeper understanding, that deeper knowledge of who God is,
[00:55:44.000 --> 00:55:51.000]   I guarantee you, your heart will respond in praise.
[00:55:51.000 --> 00:55:57.000]   So far in this passage, we've seen how mysterious celestial beings, the Saracens, can worship God.
[00:55:57.000 --> 00:55:59.000]   We've heard about the whole earth.
[00:55:59.000 --> 00:56:05.000]   That is, the entire created order from sky to sea and everything in between gives worship to God.
[00:56:05.000 --> 00:56:11.000]   We've even witnessed how the foundations of the temple itself give worship to God.
[00:56:11.000 --> 00:56:19.000]   But now in verse 5, it's the prophet Isaiah's turn to feel the heaviness of God's glory.
[00:56:19.000 --> 00:56:24.000]   And as he does, he responds in a rather interesting way.
[00:56:24.000 --> 00:56:30.000]   For he says, "Woe is me."
[00:56:30.000 --> 00:56:38.000]   Just a chapter before, in Isaiah chapter 5, God used the prophet to pronounce woes upon sinners.
[00:56:38.000 --> 00:56:40.000]   Sinners in Judah.
[00:56:40.000 --> 00:56:49.000]   In fact, six times in Isaiah 5, the prophet pronounces woes upon the complacent, upon idolaters, upon drunkards.
[00:56:49.000 --> 00:56:56.000]   But here, just one chapter later, Isaiah the prophet is pronouncing woes upon himself.
[00:56:56.000 --> 00:57:09.000]   Remember, Isaiah was the most righteous, most upright, most moral, most ethical man in the entire land of Judah at this time.
[00:57:09.000 --> 00:57:15.000]   Isaiah spent his entire life interacting with kings and with those in authority.
[00:57:15.000 --> 00:57:18.000]   He was highly respected and esteemed by his peers.
[00:57:18.000 --> 00:57:24.000]   He was a statesman, a diplomat, a man of considerable significance and repute.
[00:57:24.000 --> 00:57:28.000]   In other words, Isaiah was a man of great weight.
[00:57:28.000 --> 00:57:33.000]   And yet, he feels outweighed by the glory of God.
[00:57:33.000 --> 00:57:38.000]   So he says, "I'm lost."
[00:57:38.000 --> 00:57:41.000]   Other translations read, "I'm ruined."
[00:57:41.000 --> 00:57:43.000]   "I'm undone."
[00:57:43.000 --> 00:57:45.000]   "I'm falling apart."
[00:57:45.000 --> 00:57:53.000]   Isaiah has come face to face with the glory of God, and he's absolutely crushed beneath its weight.
[00:57:53.000 --> 00:57:58.000]   He feels himself literally unraveling as a whip.
[00:57:58.000 --> 00:58:05.000]   And he goes on to say, "For I am a man of unclean lips, and I draw the midst of a people of unclean lips.
[00:58:05.000 --> 00:58:10.000]   For my eyes have seen the King, the Lord of hosts."
[00:58:10.000 --> 00:58:19.000]   As he sees God seated on his throne, high and lifted up, the only thing that Isaiah can feel is his own unworthiness.
[00:58:19.000 --> 00:58:28.000]   And throughout the course of redemptive history, that has always been the response of those who have truly come face to face with the living God.
[00:58:28.000 --> 00:58:37.000]   When Adam and Eve heard God walking in the garden after they fell, they didn't run up to Him to embrace Him.
[00:58:37.000 --> 00:58:41.000]   They hit themselves.
[00:58:41.000 --> 00:58:44.000]   When Job saw the Lord, what did he say?
[00:58:44.000 --> 00:58:49.000]   He said, "I despise myself, and I repent of dust and ashes."
[00:58:49.000 --> 00:59:00.000]   When the Apostle Peter was confronted by the risen Christ, he cried out to the part of him, "Go away, for I am a sinful man."
[00:59:00.000 --> 00:59:09.000]   When John saw Jesus in His war-cry saved by the nations, it says that He fell at His feet as though dead.
[00:59:09.000 --> 00:59:18.000]   All of those men, from Isaiah to Job to Peter to John, they reacted in the ways that they did,
[00:59:18.000 --> 00:59:27.000]   because it was only after they saw God for who He truly was that they were able to see themselves clearly and accurately as well.
[00:59:27.000 --> 00:59:34.000]   For despite outward appearances, despite their reputation, they in the end were broken men.
[00:59:34.000 --> 00:59:36.000]   They were sinful men.
[00:59:36.000 --> 00:59:38.000]   They were wicked men.
[00:59:38.000 --> 00:59:43.000]   And so they cursed themselves in repentance before this Lord's God.
[00:59:43.000 --> 00:59:49.000]   See, as we grow in knowledge of God, we grow in knowledge of self.
[00:59:49.000 --> 00:59:52.000]   It's not something that the world forgets.
[00:59:52.000 --> 00:59:58.000]   The world wants to understand thyself so well, but they do it devoid of God.
[00:59:58.000 --> 01:00:03.000]   But God is the mirror by which we see ourselves rightly.
[01:00:03.000 --> 01:00:08.000]   God is the prism through which we see ourselves accurately.
[01:00:08.000 --> 01:00:18.000]   When we compare ourselves with others, we grow in pride, because there's always going to be somebody next to you who's more sinful, who's less obedient than you are.
[01:00:18.000 --> 01:00:27.000]   But when you measure yourselves against the holiness and the glory of God, that's when you respond as Isaiah did.
[01:00:27.000 --> 01:00:29.000]   What was he like?
[01:00:29.000 --> 01:00:30.000]   Brian was.
[01:00:30.000 --> 01:00:36.000]   Brian was a man of unclean lips, and they grew up against him a people of unclean lips.
[01:00:36.000 --> 01:00:40.000]   These are the words of a broken and contrived man.
[01:00:40.000 --> 01:00:43.000]   Isaiah was lamenting his sin.
[01:00:43.000 --> 01:00:51.000]   He was confessing his sin because his eyes had seen the King, the Lord of Hosts.
[01:00:51.000 --> 01:00:58.000]   See, the fundamental problem with sin is not that it makes us stop worshiping.
[01:00:58.000 --> 01:01:04.000]   The fundamental problem with sin is that it causes us to worship other things.
[01:01:04.000 --> 01:01:06.000]   That's what sin does.
[01:01:06.000 --> 01:01:08.000]   It doesn't cause worship to cease.
[01:01:08.000 --> 01:01:12.000]   It just causes worship to change directions.
[01:01:12.000 --> 01:01:21.000]   So instead of worshiping God, maker of heaven and earth, we exchange the glory of God for a religion of false gods.
[01:01:21.000 --> 01:01:23.000]   It might be a person.
[01:01:23.000 --> 01:01:25.000]   It might be a relationship.
[01:01:25.000 --> 01:01:31.000]   It might be material wealth, comfort, sex, acclaim, power, you name it.
[01:01:31.000 --> 01:01:43.000]   But regardless of what it is, every single time we sin, we are exchanging worship of the one true God for a bunch of false, counterfeit gods.
[01:01:43.000 --> 01:01:47.000]   And that is why every sinner who stands before the Lord stands condemned.
[01:01:47.000 --> 01:01:50.000]   Not because he or she doesn't worship.
[01:01:50.000 --> 01:01:54.000]   It's because he or she worships the wrong thing.
[01:01:54.000 --> 01:01:57.000]   For God and I alone is worthy of our prayers.
[01:01:57.000 --> 01:02:04.000]   So I want to ask you, church, in self-examination, what have you been worshiping lately?
[01:02:04.000 --> 01:02:10.000]   Maybe you don't frame it that way in your mind or in your heart, but let me phrase it this way.
[01:02:10.000 --> 01:02:14.000]   What's been preoccupying your thoughts?
[01:02:14.000 --> 01:02:16.000]   What are you distracted by?
[01:02:16.000 --> 01:02:18.000]   What are you controlled by?
[01:02:18.000 --> 01:02:25.000]   What are the things that dictate your behavior, your emotion, your decision?
[01:02:25.000 --> 01:02:34.000]   If it's not the holy, glorious God that we're seeing here in Isaiah 6, then chances are you might be worshiping something else.
[01:02:34.000 --> 01:02:42.000]   And if that's the case, that automatically renders you guilty and condemned before you.
[01:02:42.000 --> 01:02:52.000]   But before we close our time together, we have to uncover one final truth about this God that makes him deserving of all of our worship.
[01:02:52.000 --> 01:02:59.000]   Third point, worship to God with grace.
[01:02:59.000 --> 01:03:06.000]   Isaiah is totally broken over the realization of his own sin.
[01:03:06.000 --> 01:03:10.000]   In my mind, I think of Isaiah as a dignified man.
[01:03:10.000 --> 01:03:15.000]   I picture him as he sits or stands out in front of God.
[01:03:15.000 --> 01:03:22.000]   I see him covering his face, following the pattern, the example of the seraphim before him.
[01:03:22.000 --> 01:03:29.000]   I see him covering his face, trembling in fear.
[01:03:29.000 --> 01:03:34.000]   Isaiah expects for judgment to be handed down by the holy, glorious God.
[01:03:34.000 --> 01:03:40.000]   But much to his surprise, instead of receiving judgment, he gets something else instead.
[01:03:40.000 --> 01:03:43.000]   He gets a piece of burning wood.
[01:03:43.000 --> 01:03:48.000]   Now, the seraphim in Isaiah 6, then what did the seraph include?
[01:03:48.000 --> 01:03:53.000]   Having in his hand a burning coal that he had taken with Tom from the altar.
[01:03:53.000 --> 01:03:57.000]   Now notice again from where the seraph gets this burning coal.
[01:03:57.000 --> 01:04:01.000]   He gets it from the altar, and that's significant.
[01:04:01.000 --> 01:04:10.000]   At the Temple in Jerusalem, the altar was the main place from which burnt offerings and sacrifices were made to the pope for sin.
[01:04:10.000 --> 01:04:15.000]   The altar represented forgiveness, cleansing, and pardon.
[01:04:15.000 --> 01:04:22.000]   So it's significant that it's from the altar that the seraph grabs this coal as it flies toward Isaiah.
[01:04:22.000 --> 01:04:28.000]   And when the seraph reaches him, he places that coal upon the prophet's mouth.
[01:04:28.000 --> 01:04:34.000]   And as he does, the angel tells him in verse 7, "Behold, this has clutched your lips.
[01:04:34.000 --> 01:04:40.000]   Your guilt is taken away, and your sin is home."
[01:04:40.000 --> 01:04:47.000]   So even though it was the lips of Isaiah which made contact with that burnt piece of coal,
[01:04:47.000 --> 01:04:52.000]   it's the entire person of Isaiah that ended up in clemency.
[01:04:52.000 --> 01:05:00.000]   To the Jews, notice this close, symbiotic relationship shared between one's mouth and one's heart.
[01:05:00.000 --> 01:05:05.000]   That's why it was our Lord who said, "It is out of the abundance of one's heart that the mouth speaks,"
[01:05:05.000 --> 01:05:08.000]   because those two things are connected.
[01:05:08.000 --> 01:05:15.000]   And so as the seraph reaches out and touches Isaiah's lips with that burning piece of coal,
[01:05:15.000 --> 01:05:20.000]   it's Isaiah's inner being which ends up being renewed and cleansed.
[01:05:20.000 --> 01:05:23.000]   So here's what's happening as we take a step back.
[01:05:23.000 --> 01:05:30.000]   Isaiah's being confronted by the holiness and glory of this God, this King who sits in front of him.
[01:05:30.000 --> 01:05:34.000]   He repents. He pronounces curses upon himself.
[01:05:34.000 --> 01:05:40.000]   But rather than handing down the judgment, God responds by showing him grace.
[01:05:40.000 --> 01:05:47.000]   He shows him grace by forgiving him and cleansing him of his sin.
[01:05:47.000 --> 01:05:53.000]   What's taking place here, this interaction, this encounter between Isaiah and God,
[01:05:53.000 --> 01:05:59.000]   is embodiment of what God later says in this book, in Isaiah 57, verse 15.
[01:05:59.000 --> 01:06:08.000]   "For thus says the one who is high and lifted up, who inhabits eternity, whose name is holy,
[01:06:08.000 --> 01:06:13.000]   'I dwell in the high and holy place,' all by myself, no.
[01:06:13.000 --> 01:06:21.000]   'I dwell in the high and holy place, and also with him who is of a contrite and lowly spirit,
[01:06:21.000 --> 01:06:28.000]   to revive the spirit of lowliness and to revive the heart of the contrite.'"
[01:06:28.000 --> 01:06:35.000]   Friends, the only way that you and I can worship the God who is high and lifted up
[01:06:35.000 --> 01:06:39.000]   is by bringing ourselves low before him.
[01:06:39.000 --> 01:06:42.000]   That's the paradox of worship.
[01:06:42.000 --> 01:06:44.000]   You want to worship the God who is high and lifted up?
[01:06:44.000 --> 01:06:46.000]   You don't try to meet him at his level.
[01:06:46.000 --> 01:06:52.000]   You come low. You bow down low. You humble yourself.
[01:06:52.000 --> 01:06:58.000]   Do you want to know how you, a sinful person, can approach this holy and glorious God of Isaiah 6?
[01:06:58.000 --> 01:07:03.000]   You must confess and repent of sin.
[01:07:03.000 --> 01:07:09.000]   Confession and contrition are what open the door, so to speak, for us to have fellowship with God.
[01:07:09.000 --> 01:07:14.000]   Apart from the regular confession of sin, we have no business trying to worship God.
[01:07:14.000 --> 01:07:17.000]   Forget vision number one. We can't do that by ourselves,
[01:07:17.000 --> 01:07:24.000]   for our sin and our iniquities automatically disqualify us from being worshipers.
[01:07:24.000 --> 01:07:28.000]   But it's through confession and it's through contrition
[01:07:28.000 --> 01:07:34.000]   that God has offered us a way of access to his throne of grace.
[01:07:34.000 --> 01:07:37.000]   It's a principle that's repeated elsewhere in Scripture in 1 John 1.9.
[01:07:37.000 --> 01:07:39.000]   You know the words well.
[01:07:39.000 --> 01:07:45.000]   If we confess our sins, God is faithful and just to forgive us our sins
[01:07:45.000 --> 01:07:51.000]   and to cleanse us from all unrighteousness.
[01:07:51.000 --> 01:07:56.000]   So then it's the glory of God which makes him highly exalted.
[01:07:56.000 --> 01:08:00.000]   And it's the holiness of God that sets him apart.
[01:08:00.000 --> 01:08:05.000]   But it's the grace of God which compels him to stoop down
[01:08:05.000 --> 01:08:07.000]   so that he might receive our prayers,
[01:08:07.000 --> 01:08:11.000]   so that he will not even forgive and cleanse from our sins.
[01:08:11.000 --> 01:08:16.000]   And that's what's so amazing about these passages.
[01:08:16.000 --> 01:08:22.000]   So often today, God is portrayed by our culture as a therapist,
[01:08:22.000 --> 01:08:26.000]   as a buddy, as our homeboy.
[01:08:26.000 --> 01:08:30.000]   We've relegated him to the status of a cosmic genie,
[01:08:30.000 --> 01:08:32.000]   a Santa Claus living up in the sky,
[01:08:32.000 --> 01:08:38.000]   and his sole purpose in life is to dispense blessings upon his creation,
[01:08:38.000 --> 01:08:41.000]   to fulfill the wishes of all of us.
[01:08:41.000 --> 01:08:45.000]   But the God of Isaiah 6 is none other than Christ.
[01:08:45.000 --> 01:08:49.000]   He is not a friar. He is not a leader.
[01:08:49.000 --> 01:08:52.000]   He is the transcendent God.
[01:08:52.000 --> 01:08:56.000]   He is the Lord of all creation, second to none.
[01:08:56.000 --> 01:09:03.000]   We cannot worship this God until we begin to see him for who he truly is.
[01:09:03.000 --> 01:09:06.000]   And church, I want to remind you this morning
[01:09:06.000 --> 01:09:10.000]   that this God, he knows you and me.
[01:09:10.000 --> 01:09:15.000]   And so in grace, he's met that by providing you a means of cleansing
[01:09:15.000 --> 01:09:19.000]   which makes it possible for you and I to worship him.
[01:09:19.000 --> 01:09:22.000]   Old Testament scholars throughout the history of the church
[01:09:22.000 --> 01:09:28.000]   have highlighted the fact that the burning hole that took away Isaiah's guilt that day
[01:09:28.000 --> 01:09:31.000]   and which ultimately atoned for Isaiah's sin,
[01:09:31.000 --> 01:09:37.000]   that that burning hole foreshadowed the future sacrifice that would well be in need
[01:09:37.000 --> 01:09:42.000]   when Jesus Christ, our Lord, was hung upon the cross.
[01:09:42.000 --> 01:09:49.000]   All throughout his earthly life and ministry, Jesus, he was the perfect worshiper.
[01:09:49.000 --> 01:09:53.000]   He obeyed his God wholeheartedly.
[01:09:53.000 --> 01:09:59.000]   He fulfilled the law without any kind of falsity.
[01:09:59.000 --> 01:10:02.000]   He served others unrelentingly.
[01:10:02.000 --> 01:10:08.000]   There was no aspect, no feature of his life that could be open to the accusation of sin.
[01:10:08.000 --> 01:10:13.000]   Everything that Jesus did was an act of worship unto his heavenly Father.
[01:10:13.000 --> 01:10:16.000]   And yet as we know, it was Christ.
[01:10:16.000 --> 01:10:20.000]   It was Christ who was pierced for our transgressions.
[01:10:20.000 --> 01:10:26.000]   It was Christ who laid down his life upon the altar of God's holiness.
[01:10:26.000 --> 01:10:30.000]   It was Christ who was crushed for our iniquities
[01:10:30.000 --> 01:10:34.000]   in order that he might become the sacrifice for our sins.
[01:10:34.000 --> 01:10:42.000]   Why? Also that our guilt could be taken away and our sin could be atoned for.
[01:10:42.000 --> 01:10:47.000]   Friends, Isaiah 6 is all about Jesus.
[01:10:47.000 --> 01:10:53.000]   I know his name doesn't appear here, but this passage is all about Jesus.
[01:10:53.000 --> 01:10:58.000]   Isaiah is standing before the pre-incarnate Christ.
[01:10:58.000 --> 01:11:02.000]   And we know this because John chapter 12 verse 41 says
[01:11:02.000 --> 01:11:07.000]   that the prophet Isaiah said what he said, and he did what he did because, and I quote,
[01:11:07.000 --> 01:11:13.000]   "He saw Jesus glory."
[01:11:13.000 --> 01:11:18.000]   And likewise, this morning, the God of holiness,
[01:11:18.000 --> 01:11:25.000]   he's made himself known to you as a man, and a person of word, his son, Jesus Christ.
[01:11:25.000 --> 01:11:31.000]   When you begin to see God for who he truly is, and all his holiness, and all his glory, and all his grace,
[01:11:31.000 --> 01:11:37.000]   and you see yourself as who you truly are in all your sin, in all your iniquity, in all your guilt,
[01:11:37.000 --> 01:11:43.000]   and you would consider the fact that this God would send his son to die for your sin,
[01:11:43.000 --> 01:11:52.000]   the only proper and sensible response we can have is one to worship him.
[01:11:52.000 --> 01:11:56.000]   That God would forgive my sin.
[01:11:56.000 --> 01:11:59.000]   It's just like the hymn writer says.
[01:11:59.000 --> 01:12:04.000]   "My sin, O the bliss of this glorious thought,
[01:12:04.000 --> 01:12:08.000]   My sin, not in part, but the whole,
[01:12:08.000 --> 01:12:12.000]   Is nailed to the cross, and I bear it no more.
[01:12:12.000 --> 01:12:18.000]   Praise the Lord, praise the Lord, O my soul."
[01:12:18.000 --> 01:12:21.000]   Christ has paid it all.
[01:12:21.000 --> 01:12:26.000]   He's taken all your sin, and all your iniquity, and all your guilt,
[01:12:26.000 --> 01:12:32.000]   and upon the cross he drank the full cup of God's judgment and wrath against your sin and love,
[01:12:32.000 --> 01:12:37.000]   and from that cross he declared, "It is finished."
[01:12:37.000 --> 01:12:42.000]   And so this morning we don't have to end up cowering before God,
[01:12:42.000 --> 01:12:49.000]   but we can rejoice in worship, because we're forgiven, we're cleansed,
[01:12:49.000 --> 01:12:54.000]   for your guilt is taken away, and your sin is atoned for,
[01:12:54.000 --> 01:12:59.000]   all thanks to the person and work of Jesus Christ, the Son of God.
[01:12:59.000 --> 01:13:05.000]   I think it would be so much easier for us to worship if we could see Isaiah,
[01:13:05.000 --> 01:13:09.000]   if we could see God as Isaiah saw God that day.
[01:13:09.000 --> 01:13:12.000]   We wouldn't have to, again, motivate ourselves,
[01:13:12.000 --> 01:13:15.000]   we wouldn't have to pry and remind ourselves to worship God,
[01:13:15.000 --> 01:13:20.000]   we would just immediately be in a worship class if we saw God and Isaiah saw God.
[01:13:20.000 --> 01:13:23.000]   So make no mistake.
[01:13:23.000 --> 01:13:28.000]   The God that we're worshiping this morning has not changed.
[01:13:28.000 --> 01:13:32.000]   He's still the God of forgiveness, he's still the God of remorse,
[01:13:32.000 --> 01:13:35.000]   and he's still the God of praise.
[01:13:35.000 --> 01:13:38.000]   So let's bring the praise that he deserves.
[01:13:38.000 --> 01:13:43.000]   Let's bring the praise that he deserves by establishing a church
[01:13:43.000 --> 01:13:48.000]   that is engaged in God-centered worship.
[01:13:48.000 --> 01:13:50.000]   Let's bow our heads.
[01:13:51.000 --> 01:13:57.000]   [BLANK_AUDIO]
[01:13:57.000 --> 01:14:00.000]   Heavenly Father, we confess before you,
[01:14:00.000 --> 01:14:03.000]   [BLANK_AUDIO]
[01:14:03.000 --> 01:14:07.000]   That so seldom do we fully appreciate and
[01:14:07.000 --> 01:14:12.000]   understand how majestic, glorious, and holy you truly are.
[01:14:12.000 --> 01:14:14.000]   [BLANK_AUDIO]
[01:14:14.000 --> 01:14:18.000]   Father, we pray that at this moment,
[01:14:18.000 --> 01:14:23.000]   you would cause us to focus our eyes upon you.
[01:14:23.000 --> 01:14:28.000]   That for a moment, we would stop being preoccupied with that which so
[01:14:28.000 --> 01:14:30.000]   often distracts us.
[01:14:30.000 --> 01:14:36.000]   Now, Father, we would see a vision of you the same way that Isaiah saw that vision.
[01:14:36.000 --> 01:14:40.000]   Now, we would feel, Lord God, what Isaiah felt.
[01:14:40.000 --> 01:14:45.000]   That we would feel your heaviness, your weightiness upon our souls.
[01:14:45.000 --> 01:14:51.000]   But Father, as we do, and as we come to a growing realization of our own sin,
[01:14:51.000 --> 01:14:56.000]   and our own unworthiness before you, we pray also at the same time,
[01:14:56.000 --> 01:14:59.000]   you would remind us of your grace.
[01:14:59.000 --> 01:15:03.000]   How just like you are a God who is unlike any other,
[01:15:03.000 --> 01:15:07.000]   that Father, you would remind us that your grace is unlike anything else that we've
[01:15:07.000 --> 01:15:09.000]   ever experienced.
[01:15:09.000 --> 01:15:14.000]   That Father, in your son, you provided for us a means of cleansing.
[01:15:14.000 --> 01:15:20.000]   That if we would just grab hold to him by faith, that if we would trust that his
[01:15:20.000 --> 01:15:26.000]   person and his word are enough for us, that we can have a means of access to worship.
[01:15:26.000 --> 01:15:31.000]   So Father, I pray, Lord God, for all of us who are here this morning,
[01:15:31.000 --> 01:15:35.000]   who believe in the gospel by faith, that right now,
[01:15:35.000 --> 01:15:39.000]   we would respond by singing and worshiping.
[01:15:39.000 --> 01:15:44.000]   And we would lift up your name to your glory and your exaltation.
[01:15:44.000 --> 01:15:46.000]   To Christ, I will pray.
[01:15:46.000 --> 01:15:54.000]   [BLANK_AUDIO]

