
[00:00:00.000 --> 00:00:06.120]   - Good morning, okay.
[00:46:54.760 --> 00:46:59.720]   And the reason that is difficult is because the wolf will come in sheep's clothing.
[00:46:59.720 --> 00:47:04.840]   And when the shepherd defends the sheep from the other wolf, the sheep are looking at you
[00:47:04.840 --> 00:47:10.880]   because the wolf is dressed in sheep's clothing, thinking, "What are you doing?
[00:47:10.880 --> 00:47:13.480]   What are you doing?"
[00:47:13.480 --> 00:47:15.840]   Because the wolf is dressed in sheep's clothing.
[00:47:15.840 --> 00:47:20.920]   But the shepherd must continue to feed the sheep.
[00:47:20.920 --> 00:47:27.000]   And sometimes maybe the hand that feeds them might get bitten, but nonetheless the shepherd
[00:47:27.000 --> 00:47:30.760]   must continue to feed the sheep.
[00:47:30.760 --> 00:47:36.920]   All of these requirements taken in aggregate, the execution of what an elder must do is
[00:47:36.920 --> 00:47:39.400]   humanly impossible.
[00:47:39.400 --> 00:47:41.080]   It is humanly impossible.
[00:47:41.080 --> 00:47:44.040]   Let's go back to Christ in the temple.
[00:47:44.040 --> 00:47:47.520]   You see any apostles there?
[00:47:47.520 --> 00:47:49.640]   I don't see any apostles there.
[00:47:49.640 --> 00:47:51.360]   He's by himself.
[00:47:51.360 --> 00:47:56.400]   What about the throngs of people that shouted "Hosanna" to the King of David, the Son of
[00:47:56.400 --> 00:47:59.360]   David, the King of Israel?
[00:47:59.360 --> 00:48:01.120]   Where are they?
[00:48:01.120 --> 00:48:04.080]   I don't see anyone there.
[00:48:04.080 --> 00:48:13.440]   I see a lone man taking on the corrupt religious establishment, making sure that everyone has
[00:48:13.440 --> 00:48:16.720]   a chance to know the actual true way.
[00:48:16.720 --> 00:48:19.680]   I see Christ by himself.
[00:48:19.680 --> 00:48:22.720]   I see Christ by himself.
[00:48:22.720 --> 00:48:28.720]   It should not be news to you that at some point in your Christian life, in some circumstance,
[00:48:28.720 --> 00:48:33.760]   maybe God calls you to be by yourself.
[00:48:33.760 --> 00:48:41.440]   And as elders, and as elders, we visit this a lot because we are under-shepherds.
[00:48:41.440 --> 00:48:47.520]   We are deputy shepherds.
[00:48:47.520 --> 00:48:49.720]   They must hold the line.
[00:48:49.720 --> 00:48:58.040]   The requirements and the execution of what we have to do is humanly impossible.
[00:48:58.040 --> 00:49:07.200]   Knowing all that, knowing all that, will you submit to us?
[00:49:07.200 --> 00:49:10.800]   Will you submit to us?
[00:49:10.800 --> 00:49:12.800]   I know it's scary.
[00:49:12.800 --> 00:49:15.280]   It is risky.
[00:49:15.280 --> 00:49:19.040]   Because what if we abuse our power?
[00:49:19.040 --> 00:49:20.720]   I understand.
[00:49:20.720 --> 00:49:21.720]   And you're right.
[00:49:21.720 --> 00:49:22.720]   We're men.
[00:49:22.720 --> 00:49:28.000]   Not sinless.
[00:49:28.000 --> 00:49:32.120]   But I don't want to tell you, the Scripture commands it.
[00:49:32.120 --> 00:49:33.120]   It does.
[00:49:33.120 --> 00:49:34.800]   It does.
[00:49:34.800 --> 00:49:39.460]   But nobody wants that kind of submission.
[00:49:39.460 --> 00:49:41.000]   Nobody wants that kind of submission.
[00:49:41.000 --> 00:49:43.480]   Hebrews 13 to 17, I go back to it.
[00:49:43.480 --> 00:49:49.800]   "Obey your leaders and submit to them, for they keep watch over your souls as those who
[00:49:49.800 --> 00:49:53.160]   will give an account."
[00:49:53.160 --> 00:49:54.400]   We have to give an account.
[00:49:54.400 --> 00:50:02.960]   "Let them do this with joy and not with grief, for this would be unprofitable for you."
[00:50:02.960 --> 00:50:09.720]   This would be unprofitable for you.
[00:50:09.720 --> 00:50:16.400]   There's another horizontal relationship that has the word "submission" implied, explicitly
[00:50:16.400 --> 00:50:17.400]   commanded.
[00:50:17.400 --> 00:50:18.400]   I just talked about it.
[00:50:18.400 --> 00:50:21.240]   It's marriage, right?
[00:50:21.240 --> 00:50:23.720]   The wife is called to submit to the husband.
[00:50:23.720 --> 00:50:25.800]   That's what the Scriptures say.
[00:50:25.800 --> 00:50:29.000]   And the wife takes that risk with this dude.
[00:50:29.000 --> 00:50:31.960]   How is he going to be in five, ten years?
[00:50:31.960 --> 00:50:35.280]   But what is the husband's call?
[00:50:35.280 --> 00:50:38.440]   It's to love.
[00:50:38.440 --> 00:50:40.120]   But love in what manner?
[00:50:40.120 --> 00:50:42.280]   As Christ loved the church.
[00:50:42.280 --> 00:50:46.480]   To love unconditionally and to love deeply.
[00:50:46.480 --> 00:50:49.600]   And so we will do the same.
[00:50:49.600 --> 00:51:00.400]   We will love you unconditionally and we will love you deeply, no matter what you do.
[00:51:00.400 --> 00:51:07.880]   But just like in marriage, when submission is practiced correctly, within the confines
[00:51:07.880 --> 00:51:14.360]   of Scripture, maybe it'll become a witness to a dying world.
[00:51:14.360 --> 00:51:20.720]   A dying world where their picture of submission is encapsulated.
[00:51:20.720 --> 00:51:25.560]   It is filled with everything that is sin and corruption.
[00:51:25.560 --> 00:51:34.660]   But maybe when they step inside the church and they see submission done the way of Christ,
[00:51:34.660 --> 00:51:36.280]   maybe it'll glorify God.
[00:51:36.280 --> 00:51:40.240]   And maybe it'll be a witness to many.
[00:51:40.240 --> 00:51:43.920]   Isn't that the picture of marriage?
[00:51:43.920 --> 00:51:47.440]   Isn't that the picture of marriage?
[00:51:47.440 --> 00:51:54.640]   It is the same exact picture within the church.
[00:51:54.640 --> 00:51:56.480]   Accountability to what end?
[00:51:56.480 --> 00:51:59.280]   Submission to what end?
[00:51:59.280 --> 00:52:04.520]   Because of the example, the reason, and the goal.
[00:52:04.520 --> 00:52:07.160]   I know what I stated this morning is difficult.
[00:52:07.160 --> 00:52:08.680]   There's no doubt about it.
[00:52:08.680 --> 00:52:10.260]   It is difficult.
[00:52:10.260 --> 00:52:16.680]   And just like I said earlier, I love questions, and if you want to talk, let's talk.
[00:52:16.680 --> 00:52:23.840]   If some of you here are offended by what I said, before you act on your state of being
[00:52:23.840 --> 00:52:28.700]   offended, think to yourself, what is propositional truth?
[00:52:28.700 --> 00:52:30.560]   What does the Bible say?
[00:52:30.560 --> 00:52:31.980]   And then work from there.
[00:52:31.980 --> 00:52:34.400]   Don't be offended and then read into the Scripture.
[00:52:34.400 --> 00:52:36.000]   What does the Scripture say?
[00:52:36.000 --> 00:52:39.000]   And then go from there.
[00:52:39.000 --> 00:52:45.160]   There are others of you who are rebuked, who are challenged.
[00:52:45.160 --> 00:52:49.940]   Maybe you're even despondent because the Word of God tends to cut.
[00:52:49.940 --> 00:52:51.080]   Don't stay there.
[00:52:51.080 --> 00:52:52.640]   Don't stay there.
[00:52:52.640 --> 00:52:57.320]   Repent, abide, and God will make you strong.

