
[00:00:00.000 --> 00:00:20.000]   For my God is the Ancient of Days. For my God is the Ancient of Days.
[00:51:39.280 --> 00:51:41.280]   We all stand for our closing praise.
[00:51:41.280 --> 00:52:02.280]   Though the nations
[00:52:02.280 --> 00:52:07.280]   Though the nations rage
[00:52:07.280 --> 00:52:12.280]   Kingdoms rise and fall
[00:52:12.280 --> 00:52:16.280]   There is still one King
[00:52:16.280 --> 00:52:21.280]   Reigning over all
[00:52:21.280 --> 00:52:26.280]   Oh, I will not fear
[00:52:26.280 --> 00:52:31.280]   For this truth remains
[00:52:31.280 --> 00:52:41.280]   That my God is the Ancient of Days
[00:52:41.280 --> 00:52:46.280]   None above Him, none before Him
[00:52:46.280 --> 00:52:51.280]   All of time in His hands
[00:52:51.280 --> 00:53:00.280]   For His throne it shall remain and ever stand
[00:53:00.280 --> 00:53:05.280]   All the power, all the glory
[00:53:05.280 --> 00:53:10.280]   I will trust in His name
[00:53:10.280 --> 00:53:17.280]   For my God is the Ancient of Days
[00:53:17.280 --> 00:53:19.280]   Though the dread
[00:53:19.280 --> 00:53:24.280]   Though the dread of night
[00:53:24.280 --> 00:53:29.280]   Overwhelms my soul
[00:53:29.280 --> 00:53:34.280]   He is here with me
[00:53:34.280 --> 00:53:39.280]   I am not alone
[00:53:39.280 --> 00:53:44.280]   Oh, His love is sure
[00:53:44.280 --> 00:53:49.280]   And He knows my name
[00:53:49.280 --> 00:53:58.280]   For my God is the Ancient of Days
[00:53:58.280 --> 00:54:03.280]   None above Him, none before Him
[00:54:03.280 --> 00:54:08.280]   All of time in His hands
[00:54:08.280 --> 00:54:18.280]   For His throne it shall remain and ever stand
[00:54:18.280 --> 00:54:23.280]   All the power, all the glory
[00:54:23.280 --> 00:54:27.280]   I will trust in His name
[00:54:27.280 --> 00:54:35.280]   For my God is the Ancient of Days
[00:54:35.280 --> 00:54:56.280]   Though I may not see
[00:54:56.280 --> 00:55:01.280]   What the future brings
[00:55:01.280 --> 00:55:06.280]   I will watch and wait
[00:55:06.280 --> 00:55:11.280]   For the Savior King
[00:55:11.280 --> 00:55:15.280]   Then my joy completes
[00:55:15.280 --> 00:55:20.280]   Standing face to face
[00:55:20.280 --> 00:55:25.280]   In the presence of the Ancient
[00:55:25.280 --> 00:55:30.280]   of Days
[00:55:30.280 --> 00:55:35.280]   None above Him, none before Him
[00:55:35.280 --> 00:55:40.280]   All of time in His hands
[00:55:40.280 --> 00:55:49.280]   For His throne it shall remain and ever stand
[00:55:49.280 --> 00:55:54.280]   All the power, all the glory
[00:55:54.280 --> 00:55:59.280]   I will trust in His name
[00:55:59.280 --> 00:56:07.280]   For my God is the Ancient of Days
[00:56:07.280 --> 00:56:17.280]   For my God is the Ancient of Days
[00:56:20.280 --> 00:56:25.280]   Would you take a moment to pray on your own and I'll close us in prayer.
[00:56:25.280 --> 00:56:27.280]   Amen.
[00:56:27.280 --> 00:56:29.280]   Amen.
[00:56:30.280 --> 00:56:32.280]   Amen.
[00:56:32.280 --> 00:56:34.280]   Amen.
[00:56:34.280 --> 00:56:36.280]   Amen.
[00:56:36.280 --> 00:56:38.280]   Amen.
[00:56:38.280 --> 00:56:40.280]   Amen.
[00:56:40.280 --> 00:56:42.280]   Amen.
[00:56:42.280 --> 00:56:44.280]   Amen.
[00:56:44.280 --> 00:56:54.280]   [Silence]
[00:56:54.280 --> 00:57:20.280]   [Silence]
[00:57:20.280 --> 00:57:26.280]   So Father, as we continue just gathering together, what a joy and privilege it is to do that.
[00:57:26.280 --> 00:57:34.280]   God, I pray that the cross, though it happened 2,000 years ago, would have so much relevance for us,
[00:57:34.280 --> 00:57:37.280]   not only at the moment of our conversion, but today.
[00:57:37.280 --> 00:57:42.280]   And so Lord, we want to thank you that you, our God, walked amongst us,
[00:57:42.280 --> 00:57:48.280]   that you would care so much, that you would dwell amongst your people.
[00:57:48.280 --> 00:57:52.280]   And Father, that we will give you the worship that you rightly deserve.
[00:57:52.280 --> 00:57:54.280]   In Jesus' name we pray. Amen.
[00:57:54.280 --> 00:57:59.280]   Alright, well tonight, again, we're going to be keeping this place open until 9.30 and we're shutting it down.
[00:57:59.280 --> 00:58:04.280]   So feel free to fellowship with one another until then, and we'll see you tomorrow night.

