
[00:00:00.000 --> 00:00:05.000]   - Hello everyone.
[00:34:12.640 --> 00:34:14.800]   because there's a TV show.
[00:34:14.800 --> 00:34:16.320]   And think about Michael Jordan,
[00:34:16.320 --> 00:34:18.600]   best player ever basketball-wise, right?
[00:34:18.600 --> 00:34:20.520]   Imagine you're in the locker room though.
[00:34:20.520 --> 00:34:21.720]   And you realize, you know what?
[00:34:21.720 --> 00:34:23.880]   I'm better than somebody else.
[00:34:23.880 --> 00:34:24.840]   Let's say you're in the locker room
[00:34:24.840 --> 00:34:26.720]   and you're better than that third string guy
[00:34:26.720 --> 00:34:27.920]   who never got playing minutes.
[00:34:27.920 --> 00:34:29.400]   So you're just like, "Man, look at you, dude.
[00:34:29.400 --> 00:34:31.120]   Oh, bench warmer," right?
[00:34:31.120 --> 00:34:35.600]   You saying that means you're just looking at that person
[00:34:35.600 --> 00:34:37.680]   but you don't recognize Michael Jordan's in the room.
[00:34:37.680 --> 00:34:41.080]   He's gonna sit there and be like, "Oh, you're talking big.
[00:34:41.080 --> 00:34:44.120]   You're talking big, man."
[00:34:44.120 --> 00:34:45.720]   And in front of him, he gets,
[00:34:45.720 --> 00:34:46.920]   you're gonna look like a fool
[00:34:46.920 --> 00:34:49.240]   because like you think you're that good.
[00:34:49.240 --> 00:34:52.080]   Do you understand saying that kind of stuff in front of me?
[00:34:52.080 --> 00:34:52.920]   Right?
[00:34:52.920 --> 00:34:54.520]   And if you've ever seen this, like if you're an adult
[00:34:54.520 --> 00:34:57.160]   and you see kids like fighting each other in front of them
[00:34:57.160 --> 00:34:58.080]   and saying all this stuff,
[00:34:58.080 --> 00:35:00.360]   he may be better than the other kid.
[00:35:00.360 --> 00:35:03.120]   But in the presence of an adult,
[00:35:03.120 --> 00:35:07.080]   and so for us as Christians,
[00:35:07.080 --> 00:35:10.360]   understanding and knowing that God is ever present,
[00:35:10.360 --> 00:35:13.320]   that before God, yes, I may be slightly better
[00:35:13.320 --> 00:35:16.840]   than another individual at something very specific.
[00:35:16.840 --> 00:35:21.520]   To say that in his presence, it's just silly.
[00:35:21.520 --> 00:35:23.320]   It's absolute foolishness.
[00:35:23.320 --> 00:35:26.200]   I don't want you to think about this though.
[00:35:26.200 --> 00:35:28.000]   Obviously this passage is not challenging us like,
[00:35:28.000 --> 00:35:29.880]   "Hey, don't say arrogant stuff."
[00:35:29.880 --> 00:35:33.040]   It actually challenged us to submit to one another.
[00:35:33.040 --> 00:35:34.480]   And I wanna ask you this question.
[00:35:34.480 --> 00:35:35.880]   Did you think about what that means
[00:35:35.880 --> 00:35:39.920]   for you to subject yourself underneath somebody else?
[00:35:39.920 --> 00:35:41.480]   And the scripture is challenging us.
[00:35:41.480 --> 00:35:44.680]   If you know the gospel and you know what Christ has done
[00:35:44.680 --> 00:35:47.840]   and you've seen him serve other people,
[00:35:47.840 --> 00:35:52.520]   for you to say like, "I can't, not that guy."
[00:35:52.520 --> 00:35:57.560]   That kind of logic has a disconnect
[00:35:57.560 --> 00:35:59.720]   and therefore makes you a fool.
[00:35:59.720 --> 00:36:03.920]   You've seen the Lord of all, master, authority,
[00:36:03.920 --> 00:36:05.000]   serve sinners.
[00:36:05.000 --> 00:36:10.280]   And for us, then to humble ourselves
[00:36:10.280 --> 00:36:12.600]   and be subservient to serve the better good
[00:36:12.600 --> 00:36:17.040]   of that other individual is just a logical connection.
[00:36:17.040 --> 00:36:19.120]   That's the only thing that makes sense.
[00:36:19.120 --> 00:36:21.960]   That's the way Christ projects the gospel.
[00:36:21.960 --> 00:36:25.160]   If you, though being such a sinner, have been forgiven
[00:36:25.160 --> 00:36:27.880]   and you cannot forgive that other person,
[00:36:27.880 --> 00:36:32.400]   and you can't take your righteous standard
[00:36:32.400 --> 00:36:36.040]   and subject yourself to serve that other individual,
[00:36:36.040 --> 00:36:37.040]   you don't make sense.
[00:36:37.040 --> 00:36:38.880]   You're a fool, right?
[00:36:38.880 --> 00:36:41.600]   That must've mean you haven't seen.
[00:36:41.600 --> 00:36:44.680]   That must be that you don't see the realities.
[00:36:44.680 --> 00:36:46.440]   And so as we take a look at these commandments,
[00:36:46.440 --> 00:36:49.680]   wow, what a challenge to be wise,
[00:36:49.680 --> 00:36:52.240]   logically consistent through the gospel,
[00:36:52.240 --> 00:36:55.640]   to be very careful in paying attention to what we're doing.
[00:36:55.640 --> 00:36:58.160]   And we realize being filled with the knowledge of God to us
[00:36:58.160 --> 00:37:00.600]   and being aware of his presence,
[00:37:00.600 --> 00:37:03.160]   that to us is our greatest wisdom.
[00:37:03.160 --> 00:37:04.080]   I mean, in our day,
[00:37:04.080 --> 00:37:07.000]   trying to focus on the spiritual is hard,
[00:37:07.000 --> 00:37:10.120]   but that to us actually is our greatest reality.
[00:37:10.120 --> 00:37:12.120]   And it prevents us being fools,
[00:37:12.120 --> 00:37:14.400]   not only just simply in this moment,
[00:37:14.400 --> 00:37:18.640]   but fools in terms of the context of all of eternity.
[00:37:18.640 --> 00:37:21.240]   And so I pray that we would've been challenged
[00:37:21.240 --> 00:37:23.400]   to be all the more cautious
[00:37:23.400 --> 00:37:25.760]   and to be all the more wise in our daily living.
[00:37:25.760 --> 00:37:26.600]   Let's pray.
[00:37:28.120 --> 00:37:32.160]   God, thank you so much for your grace.
[00:37:32.160 --> 00:37:35.400]   Lord, your instruction for us to be wise
[00:37:35.400 --> 00:37:37.320]   according to your wisdom.
[00:37:37.320 --> 00:37:40.000]   I pray, Lord, that you give us eyes to see the difference
[00:37:40.000 --> 00:37:42.200]   between what is the wisdom of man and the world
[00:37:42.200 --> 00:37:43.680]   versus the wisdom of God.
[00:37:43.680 --> 00:37:46.840]   I also pray, Father God,
[00:37:46.840 --> 00:37:47.680]   that through those eyes,
[00:37:47.680 --> 00:37:51.520]   we're better able to assess and evaluate what is valuable,
[00:37:51.520 --> 00:37:53.940]   what is important and what is not.
[00:37:53.940 --> 00:37:55.320]   I also pray, Father God,
[00:37:55.320 --> 00:37:58.840]   that all of this would translate into expressing
[00:37:58.840 --> 00:38:02.200]   and living in accordance to the wisdom of Christ.
[00:38:02.200 --> 00:38:05.700]   I pray, Lord, that we would exhibit greater humility,
[00:38:05.700 --> 00:38:08.680]   that God, we would rely all the more on your wisdom
[00:38:08.680 --> 00:38:10.720]   for everyday scenarios.
[00:38:10.720 --> 00:38:13.420]   And I pray that in doing so, we would exalt you.
[00:38:13.420 --> 00:38:15.720]   We thank you in some Christ name we pray, amen.
[00:38:15.720 --> 00:38:25.720]   [BLANK_AUDIO]

