
[00:00:00.000 --> 00:00:08.400]   Okay, all right.
[00:44:17.220 --> 00:44:21.260]   of stuff, and then it turns around, and then they start expecting things from you.
[00:44:21.260 --> 00:44:25.140]   They start trying to bully you and correct you, and now all of a sudden, everything they've
[00:44:25.140 --> 00:44:28.300]   done is kind of like, "Whoa."
[00:44:28.300 --> 00:44:30.340]   Then what was all that for?
[00:44:30.340 --> 00:44:31.340]   Right?
[00:44:31.340 --> 00:44:36.780]   Likewise, Apostle Peter challenges those who would take the responsibility in church and
[00:44:36.780 --> 00:44:37.940]   encourages them.
[00:44:37.940 --> 00:44:45.660]   "You shall not exercise your oversight, lording over people, exercising your arrogance more
[00:44:45.660 --> 00:44:47.900]   than the love of Christ."
[00:44:47.900 --> 00:44:52.980]   And so rather, he says, in contrast to that lording over and dominance over people, he
[00:44:52.980 --> 00:44:56.620]   says, "You need to be a good example.
[00:44:56.620 --> 00:45:00.660]   You need to have a pattern of godliness that people will desire to follow.
[00:45:00.660 --> 00:45:07.540]   There is a difference between a man who's skilled and can perform versus a man who is
[00:45:07.540 --> 00:45:15.460]   a model Christian, godly at heart, and every aspect of his life is exemplary as they follow
[00:45:15.460 --> 00:45:16.460]   Christ."
[00:45:16.460 --> 00:45:19.460]   That's a huge challenge.
[00:45:19.460 --> 00:45:23.100]   That's a huge, huge challenge.
[00:45:23.100 --> 00:45:27.620]   And so, as we think about this, Apostle Peter, when he makes that huge challenge, he's the
[00:45:27.620 --> 00:45:32.980]   one who both encourages and he himself follows that example.
[00:45:32.980 --> 00:45:35.320]   What do I mean by that?
[00:45:35.320 --> 00:45:41.220]   Going back to verse 1, we see when Apostle Peter says, "Therefore, I exert you, the elders
[00:45:41.220 --> 00:45:42.880]   among you," right?
[00:45:42.880 --> 00:45:43.880]   And what does he say?
[00:45:43.880 --> 00:45:50.240]   "As your fellow elders and as basically your fellow witnesses of the sufferings of Christ
[00:45:50.240 --> 00:45:53.880]   and the partaker also of the glory that is to be revealed."
[00:45:53.880 --> 00:45:54.880]   So what does he say?
[00:45:54.880 --> 00:45:57.840]   Essentially, remember I said he understands.
[00:45:57.840 --> 00:46:00.320]   We have a common witness.
[00:46:00.320 --> 00:46:06.080]   We have a common hope for the glory that's to come, and I'm with you in this experience.
[00:46:06.080 --> 00:46:08.400]   So he essentially practices what he preaches.
[00:46:08.400 --> 00:46:09.600]   He is humble at heart.
[00:46:09.600 --> 00:46:10.600]   He is with them.
[00:46:10.600 --> 00:46:11.600]   He wants to serve them.
[00:46:11.600 --> 00:46:17.760]   He wants to be a humble participant in the work of God rather than over them.
[00:46:17.760 --> 00:46:20.300]   We easily could have said, "I'm an apostle.
[00:46:20.300 --> 00:46:23.360]   You guys are the ones I say, I convert it.
[00:46:23.360 --> 00:46:24.360]   Do it.
[00:46:24.360 --> 00:46:25.360]   Do what I say."
[00:46:25.360 --> 00:46:31.280]   But rather, he puts himself, identifies in that position, and when he does that, you
[00:46:31.280 --> 00:46:36.500]   realize not only is he saying, "I have the same witness and the same hope as you," he's
[00:46:36.500 --> 00:46:39.960]   also saying, "Then I'm going through the same danger.
[00:46:39.960 --> 00:46:42.000]   I'm going through the same risk.
[00:46:42.000 --> 00:46:47.200]   I'm going through the same pain, and I'm going through the same hurt," right?
[00:46:47.200 --> 00:46:53.400]   He is willing, more than willing, to walk with them in this rather than lording it over
[00:46:53.400 --> 00:46:54.400]   them.
[00:46:54.400 --> 00:46:55.400]   There is a difference.
[00:46:55.400 --> 00:47:00.160]   There is a difference when a man is willing only to command versus a man who is willing
[00:47:00.160 --> 00:47:03.280]   to walk with those he's leading.
[00:47:03.280 --> 00:47:06.160]   It's two entirely different things.
[00:47:06.160 --> 00:47:12.920]   And that's why the idea of a shepherd, the metaphor of a shepherd, is good.
[00:47:12.920 --> 00:47:19.360]   God did not call us in ministry, in encouraging people, in really trying to edify the people
[00:47:19.360 --> 00:47:21.920]   around you to be policemen.
[00:47:21.920 --> 00:47:25.440]   He didn't call us to be drivers in the back, like, "Here's the whip.
[00:47:25.440 --> 00:47:26.440]   Use it, okay?"
[00:47:26.440 --> 00:47:28.200]   Like, that's not what He said to us.
[00:47:28.200 --> 00:47:36.000]   We're trying to be shepherds, disciples, partakers, fellowship, brothers and sisters.
[00:47:36.000 --> 00:47:40.640]   And that's the idea, the contrast you see there between those who would lord it over
[00:47:40.640 --> 00:47:46.760]   versus those who would prove to be an example walking with the flock.
[00:47:46.760 --> 00:47:51.920]   I want to say, now that we've kind of covered some really important parts here, right?
[00:47:51.920 --> 00:47:56.960]   We talked about two essential elements of a good shepherd, that he sees the weight of
[00:47:56.960 --> 00:48:02.080]   responsibility, he sees the value of the flock, and he's going to have these characteristic
[00:48:02.080 --> 00:48:09.040]   heart issues where he's not, you know, "I can't do it," you know, "these dirty sheep."
[00:48:09.040 --> 00:48:11.960]   No, he's desiring voluntarily.
[00:48:11.960 --> 00:48:16.460]   He's not in it for sword gain, but he is eager to give sacrifice and he believes it's better
[00:48:16.460 --> 00:48:18.440]   to give than to receive.
[00:48:18.440 --> 00:48:23.500]   And he's not lording it over with arrogance, but he's walking with them, right?
[00:48:23.500 --> 00:48:28.720]   But all in all, in terms of a characteristic of a good shepherd, in the end it comes down
[00:48:28.720 --> 00:48:36.200]   to having such a care that would resemble the care of Christ.
[00:48:36.200 --> 00:48:42.800]   Having such a love that it would resemble the love of Christ.
[00:48:42.800 --> 00:48:48.420]   Having such an affection that just as Christ would be moved when he looks upon the people,
[00:48:48.420 --> 00:48:53.380]   and whenever he sees a flock without a shepherd, whenever he sees people who are lost, he's
[00:48:53.380 --> 00:49:02.980]   broken in his heart, that, that heart attitude, those eyes, that care defines a good shepherd.
[00:49:02.980 --> 00:49:10.500]   Remember, I remember for me, what brought me into ministry was the Bible.
[00:49:10.500 --> 00:49:13.960]   I told Pastor Peter, I said, "The Bible is the bomb.
[00:49:13.960 --> 00:49:15.460]   It's so good.
[00:49:15.460 --> 00:49:17.740]   I want to teach it."
[00:49:17.740 --> 00:49:22.180]   And I remember the elders sat me down and they were trying to teach me leadership in
[00:49:22.180 --> 00:49:23.660]   the church.
[00:49:23.660 --> 00:49:27.660]   You might think it's like, "Yeah, you're going to study in your office and then you're going
[00:49:27.660 --> 00:49:30.940]   to like research and you're going to write and you're going to," yeah, there are pastors
[00:49:30.940 --> 00:49:32.940]   who do that.
[00:49:32.940 --> 00:49:39.060]   But in terms of the calling of God that he's given us is to love his flock, to love his
[00:49:39.060 --> 00:49:41.260]   people.
[00:49:41.260 --> 00:49:44.300]   And that's what we need to aspire to.
[00:49:44.300 --> 00:49:47.660]   That's what we need to desire.
[00:49:47.660 --> 00:49:52.060]   Now I'm just kind of confessing to you early on when I first heard that, I was kind of
[00:49:52.060 --> 00:49:53.700]   like, "I don't know.
[00:49:53.700 --> 00:49:54.900]   I'm not that good with people.
[00:49:54.900 --> 00:49:57.980]   I just want to teach."
[00:49:57.980 --> 00:50:03.420]   But over the years I realized, I mean, the bulk of all ministry is to make sure that
[00:50:03.420 --> 00:50:08.700]   you are being attentive to the needs of God's flock, to make sure you care enough to know
[00:50:08.700 --> 00:50:15.420]   where are people hurting, to understand who they are, to understand what they need.
[00:50:15.420 --> 00:50:22.340]   And I want to give an exhortation to you again, that does not require the title pastor.
[00:50:22.340 --> 00:50:27.580]   That requires you just simply to put yourself in the shoes of Christ and to look with his
[00:50:27.580 --> 00:50:32.740]   eyes and to feel with his heart, to look at people with compassion, to look at people
[00:50:32.740 --> 00:50:38.420]   with earnest desire to do them good, to humble yourself and say, "I consider your needs
[00:50:38.420 --> 00:50:41.060]   more important than mine."
[00:50:41.060 --> 00:50:45.180]   And that's what Apostle Peter is saying that the leader should do, but that's also what
[00:50:45.180 --> 00:50:51.020]   the Apostle Peter is saying, "These are the kind of examples you as a church need to follow."
[00:50:51.020 --> 00:50:55.140]   So I want to conclude with a final thought.
[00:50:55.140 --> 00:51:01.580]   As we think about that, I'm now relaying to you that the exhortation Apostle Peter gave
[00:51:01.580 --> 00:51:05.020]   to the elders and said, "You need to shepherd the church."
[00:51:05.020 --> 00:51:12.820]   There's a responsibility obviously, yes, weighty, incredibly, you know, serious delegated stewardship
[00:51:12.820 --> 00:51:17.580]   for the elders, but it's also the responsibility of the whole church.
[00:51:17.580 --> 00:51:26.580]   And now we have as a concluding thought, we all have to account and meet the chief shepherd.
[00:51:26.580 --> 00:51:32.700]   We all at one point have to meet the chief shepherd and be held accountable for that.
[00:51:32.700 --> 00:51:35.500]   Earlier I was talking a lot about responsibility.
[00:51:35.500 --> 00:51:38.260]   I use that word intentionally a lot, right?
[00:51:38.260 --> 00:51:39.980]   The elders have a responsibility.
[00:51:39.980 --> 00:51:41.260]   We have a responsibility.
[00:51:41.260 --> 00:51:42.700]   We have this calling.
[00:51:42.700 --> 00:51:47.220]   Well where there is responsibility, there is going to be somebody who then holds you
[00:51:47.220 --> 00:51:52.140]   responsible, right?
[00:51:52.140 --> 00:51:58.580]   Where there is responsibility, then there is going to be someone who holds you responsible.
[00:51:58.580 --> 00:52:03.260]   And we, we have to meet the chief shepherd.
[00:52:03.260 --> 00:52:06.940]   That thought sobers me so deep.
[00:52:06.940 --> 00:52:09.460]   And as I think about that, how am I going to prepare for this?
[00:52:09.460 --> 00:52:13.980]   How am I going to, you know, answer to Christ and all that kind of stuff?
[00:52:13.980 --> 00:52:17.940]   Then I recall in 1 Corinthians chapter 4, you can turn there, it's an important passage
[00:52:17.940 --> 00:52:18.940]   please.
[00:52:18.940 --> 00:52:23.420]   1 Corinthians chapter 4 verses 1 through 6.
[00:52:23.420 --> 00:52:29.740]   That in light of the sobering truth, what we do in ministry, the labor of love, that
[00:52:29.740 --> 00:52:35.500]   we're really doing this on the call, on the account of what our chief shepherd has
[00:52:35.500 --> 00:52:40.140]   designed, then to him we're going to give an answer.
[00:52:40.140 --> 00:52:46.500]   But the way Apostle Paul sees it, he says this, "Let a man regard us in this manner
[00:52:46.500 --> 00:52:51.060]   as servants of Christ and stewards of the mysteries of God.
[00:52:51.060 --> 00:52:57.060]   In this case, moreover, it is required of stewards that one be found trustworthy.
[00:52:57.060 --> 00:53:01.460]   But to me it is a very small thing that I may be examined by you or any human court.
[00:53:01.460 --> 00:53:06.460]   In fact, I do not even examine myself, for I am conscious of nothing against myself.
[00:53:06.460 --> 00:53:12.860]   Yet I am not by this acquitted, but the one who examines me is the Lord.
[00:53:12.860 --> 00:53:16.700]   For do not go on passing judgment before the time, but wait until the Lord comes, who will
[00:53:16.700 --> 00:53:21.020]   both bring to light the things hidden in the darkness and disclose the motives of men's
[00:53:21.020 --> 00:53:22.180]   hearts.
[00:53:22.180 --> 00:53:26.440]   And then each man's praise will come to him from God."
[00:53:26.440 --> 00:53:33.980]   So as we look at that, the key concept I want to leave you with is, in terms of your desires
[00:53:33.980 --> 00:53:38.100]   to be engaged in the life of the church and the ministry of the church, and for me in
[00:53:38.100 --> 00:53:43.340]   terms of my own heart's desire of thinking through, like, man, I really want to be faithful
[00:53:43.340 --> 00:53:49.260]   to the opportunity, the privilege, right, to be able to work for Him.
[00:53:49.260 --> 00:53:52.820]   The privilege to be able to serve Him in this fashion.
[00:53:52.820 --> 00:53:59.960]   The main thing I want to say is, just like Apostle Paul, I want to be found trustworthy.
[00:53:59.960 --> 00:54:05.500]   If God has so thought it wise to place the flock in the hands of those who would be His
[00:54:05.500 --> 00:54:13.180]   under shepherds, then my great ambition is that I will be proven to be trustworthy.
[00:54:13.180 --> 00:54:18.180]   That God would look, that the church would look and say, "This is an individual who is
[00:54:18.180 --> 00:54:23.660]   trustworthy because they're handling the precious flock of God with the same kind of care and
[00:54:23.660 --> 00:54:24.660]   love."
[00:54:24.660 --> 00:54:25.660]   Amen?
[00:54:25.660 --> 00:54:30.740]   All right, let's take some time to pray.
[00:54:30.740 --> 00:54:39.020]   Father Lord, we realize, God, that, you know, over the course of studying 1 Peter, you've
[00:54:39.020 --> 00:54:42.700]   given us such a great purpose.
[00:54:42.700 --> 00:54:46.020]   You've called us to be your holy temple.
[00:54:46.020 --> 00:54:50.140]   You've called us to be a great nation and possession for you.
[00:54:50.140 --> 00:54:53.420]   You've called us to proclaim your excellencies.
[00:54:53.420 --> 00:54:57.420]   What's more, you've called us to be involved in the work of your ministry, making sure
[00:54:57.420 --> 00:55:00.020]   that the flock is doing well.
[00:55:00.020 --> 00:55:06.620]   I ask, Lord, that, you know, God, we just repent of the fact that we live in a generation
[00:55:06.620 --> 00:55:10.900]   that's truly so selfish and we look out for our own ends.
[00:55:10.900 --> 00:55:15.020]   But I ask, Lord, that you would give us the humility of Christ and, Lord, that you would
[00:55:15.020 --> 00:55:20.340]   give us, grant to us the love and heart of Christ, that we would look out and love each
[00:55:20.340 --> 00:55:24.180]   other truly with sincerity and from the heart.
[00:55:24.180 --> 00:55:29.220]   And I ask, Lord, that as we do that, God, your work would be done and you would be glorified.
[00:55:29.220 --> 00:55:31.200]   In Christ's name we pray, amen.

