
[00:00:00.000 --> 00:00:06.600]   (Pause)
[00:36:46.320 --> 00:36:48.280]   the God who justified us.
[00:36:48.280 --> 00:36:51.480]   And remember the glory that's coming in this God.
[00:36:51.480 --> 00:36:55.160]   In a little while.
[00:36:55.160 --> 00:36:57.120]   How can you even say a little while?
[00:36:57.120 --> 00:36:59.360]   It's been 2,000 years.
[00:36:59.360 --> 00:37:01.760]   That preaches well, but what does that mean
[00:37:01.760 --> 00:37:03.440]   after 2,000 years?
[00:37:03.440 --> 00:37:08.520]   Well, time is really relative, right?
[00:37:08.520 --> 00:37:11.600]   If I say a year to a 50, 60 year old,
[00:37:11.600 --> 00:37:13.960]   the year's like, "Oh, that's just around the corner."
[00:37:13.960 --> 00:37:16.160]   You tell that to a five year old, a year!
[00:37:16.360 --> 00:37:18.200]   That's 20% of my life.
[00:37:18.200 --> 00:37:23.680]   Let me illustrate it this way.
[00:37:23.680 --> 00:37:26.200]   Imagine if you're on a cruise.
[00:37:26.200 --> 00:37:27.840]   I don't know if any of you have been on a cruise.
[00:37:27.840 --> 00:37:30.520]   You're on a cruise and they drop you off
[00:37:30.520 --> 00:37:31.840]   at a nice, beautiful island.
[00:37:31.840 --> 00:37:34.040]   You go on and you're supposed to enjoy yourselves.
[00:37:34.040 --> 00:37:35.480]   You're supposed to come back by four o'clock
[00:37:35.480 --> 00:37:37.560]   because the ship's gonna take off.
[00:37:37.560 --> 00:37:38.400]   And once they take off,
[00:37:38.400 --> 00:37:39.800]   they're not gonna be able to come back.
[00:37:39.800 --> 00:37:42.240]   There's not some train that you can just drive
[00:37:42.240 --> 00:37:43.480]   and meet up with.
[00:37:43.480 --> 00:37:45.080]   Once they're gone, they're gone.
[00:37:45.080 --> 00:37:46.520]   Once they're gone, they're gone.
[00:37:46.520 --> 00:37:47.640]   They told you to come at four.
[00:37:47.640 --> 00:37:50.440]   You ventured out 'cause you wanted to see the hills,
[00:37:50.440 --> 00:37:51.640]   but then you got a flat.
[00:37:51.640 --> 00:37:55.240]   And you know they're gonna leave at four.
[00:37:55.240 --> 00:37:56.880]   And there's no other ride to get back,
[00:37:56.880 --> 00:37:58.280]   and so you put on the backpack,
[00:37:58.280 --> 00:37:59.440]   you put on your running shoes,
[00:37:59.440 --> 00:38:00.840]   and you try to run as fast as you could.
[00:38:00.840 --> 00:38:02.280]   You're looking at your time,
[00:38:02.280 --> 00:38:04.560]   and you're running and running and running.
[00:38:04.560 --> 00:38:06.280]   And the ship's about to go.
[00:38:06.280 --> 00:38:08.840]   Four o'clock hits and you're not there.
[00:38:08.840 --> 00:38:11.560]   They're going through the list and you're not there.
[00:38:11.560 --> 00:38:13.400]   And so they're waiting and waiting and waiting.
[00:38:13.400 --> 00:38:15.880]   And then 20 minutes, 30 minutes go by,
[00:38:15.880 --> 00:38:18.160]   and they wait as long as they could.
[00:38:18.160 --> 00:38:19.480]   And at about five o'clock, they say,
[00:38:19.480 --> 00:38:20.520]   "You know what?
[00:38:20.520 --> 00:38:21.560]   "We've waited."
[00:38:21.560 --> 00:38:25.440]   And so they shut the thing and then they go.
[00:38:25.440 --> 00:38:29.800]   And so for the people who are running to get to the boat,
[00:38:29.800 --> 00:38:32.360]   they've done everything that they could,
[00:38:32.360 --> 00:38:33.960]   but they left too early.
[00:38:33.960 --> 00:38:35.800]   They missed it.
[00:38:35.800 --> 00:38:38.440]   But the ones who are sitting in the boat,
[00:38:38.440 --> 00:38:40.480]   it's like, "Oh my gosh, what is wrong with this boat?
[00:38:40.480 --> 00:38:42.920]   "They said four o'clock, but now it's five o'clock.
[00:38:42.920 --> 00:38:45.200]   "They didn't keep their promise.
[00:38:45.200 --> 00:38:46.640]   "I told my friends that I was gonna meet them
[00:38:46.640 --> 00:38:48.920]   "at the other side, but they left at five."
[00:38:48.920 --> 00:38:51.960]   So to one group, they didn't keep their promise
[00:38:51.960 --> 00:38:53.720]   and they didn't leave on time.
[00:38:53.720 --> 00:38:56.520]   And then the other group saying they left too early.
[00:38:56.520 --> 00:39:00.440]   See, 2 Peter 3.9, it says,
[00:39:00.440 --> 00:39:02.320]   "The Lord is not slow about his promise,
[00:39:02.320 --> 00:39:06.280]   "as some count slowness, but is patient toward you,
[00:39:06.280 --> 00:39:08.840]   "not wishing for any to perish,
[00:39:08.840 --> 00:39:12.160]   "but for all to come to repentance."
[00:39:12.160 --> 00:39:13.440]   Do you know why this was written?
[00:39:13.440 --> 00:39:14.280]   First century.
[00:39:14.280 --> 00:39:19.160]   About 30 years after the death and resurrection of Christ,
[00:39:19.160 --> 00:39:22.040]   the early church, early people say, "Where is he?"
[00:39:22.040 --> 00:39:23.880]   Do you know why he was probably saying that?
[00:39:23.880 --> 00:39:26.840]   If you know the context of the letter, 1 Peter,
[00:39:26.840 --> 00:39:28.200]   he's writing during a period
[00:39:28.200 --> 00:39:31.200]   of Nero's intense persecution.
[00:39:31.200 --> 00:39:33.320]   So they wanted relief.
[00:39:33.320 --> 00:39:35.440]   So they're saying, "Why isn't he coming?"
[00:39:35.440 --> 00:39:39.640]   I mean, our friends are being dragged in the Colosseum,
[00:39:39.640 --> 00:39:41.400]   being torn apart by lions.
[00:39:41.720 --> 00:39:43.000]   Why isn't he coming?
[00:39:43.000 --> 00:39:47.000]   He said he's going to come, he's not going to delay.
[00:39:47.000 --> 00:39:48.240]   Where is he?
[00:39:48.240 --> 00:39:50.600]   They were saying that in the first century.
[00:39:50.600 --> 00:39:54.400]   It's been 2,000 years since.
[00:39:54.400 --> 00:39:59.640]   But the reason why he hasn't come yet is because of me,
[00:39:59.640 --> 00:40:00.640]   is because of you.
[00:40:00.640 --> 00:40:05.120]   'Cause he was holding up the boat until we got in.
[00:40:05.120 --> 00:40:08.840]   So when he says he's not going to delay,
[00:40:08.840 --> 00:40:12.840]   he's not going to delay any longer than he needs to
[00:40:12.840 --> 00:40:15.760]   until the full number of his elect come in.
[00:40:15.760 --> 00:40:20.680]   And he will not delay any more
[00:40:20.680 --> 00:40:23.680]   than until everyone whose name is written
[00:40:23.680 --> 00:40:25.840]   in the book of life comes in to the boat.
[00:40:25.840 --> 00:40:30.080]   But let's see it from another perspective.
[00:40:30.080 --> 00:40:31.360]   No matter how long we've waited,
[00:40:31.360 --> 00:40:33.040]   there's nobody in human history
[00:40:33.040 --> 00:40:34.680]   that waited more than 100 years.
[00:40:34.680 --> 00:40:37.200]   Nobody.
[00:40:38.120 --> 00:40:41.920]   Unless you were born and you got saved at three months old
[00:40:41.920 --> 00:40:43.320]   and then you lived to 100.
[00:40:43.320 --> 00:40:47.840]   Even if we did wait eagerly,
[00:40:47.840 --> 00:40:53.760]   I got saved 37 years ago
[00:40:53.760 --> 00:40:55.800]   and I've been waiting 37 years.
[00:40:55.800 --> 00:40:58.880]   I don't know how many more years to go,
[00:40:58.880 --> 00:41:01.320]   but at some point I won't be here.
[00:41:01.320 --> 00:41:03.320]   My waiting will end.
[00:41:05.160 --> 00:41:08.920]   So no human being has really waited 2,000 years.
[00:41:08.920 --> 00:41:13.920]   At best, maybe one, I don't know of any, possibly 100.
[00:41:13.920 --> 00:41:18.360]   But when he says he will not delay,
[00:41:18.360 --> 00:41:19.880]   this is not an exaggeration.
[00:41:19.880 --> 00:41:23.600]   But he says we are not of those
[00:41:23.600 --> 00:41:26.000]   who shrink back in our disorder.
[00:41:26.000 --> 00:41:27.120]   That's not who we are.
[00:41:27.120 --> 00:41:31.400]   If the Holy Spirit is in you,
[00:41:32.680 --> 00:41:36.920]   you will not feel joy outside of Christ.
[00:41:36.920 --> 00:41:40.640]   If you are a Christian,
[00:41:40.640 --> 00:41:44.760]   even in the midst of pursuing the world,
[00:41:44.760 --> 00:41:47.280]   there will be an emptiness in your heart,
[00:41:47.280 --> 00:41:49.000]   even if you don't recognize it.
[00:41:49.000 --> 00:41:52.000]   Something is off.
[00:41:52.000 --> 00:41:53.960]   You may not be able to pinpoint it,
[00:41:53.960 --> 00:41:55.800]   but something is off.
[00:41:55.800 --> 00:41:58.520]   Even as you're pursuing, even as you make money,
[00:41:58.520 --> 00:42:02.000]   even as your business is thriving, something is off.
[00:42:02.960 --> 00:42:06.240]   Because God created us to be creatures of light.
[00:42:06.240 --> 00:42:09.680]   You may stumble in the darkness.
[00:42:09.680 --> 00:42:14.040]   You may find a little bit of life in the darkness,
[00:42:14.040 --> 00:42:16.040]   but there is no true light.
[00:42:16.040 --> 00:42:17.160]   And that's why he doesn't say,
[00:42:17.160 --> 00:42:19.040]   "Hey, prove yourself to be in the light."
[00:42:19.040 --> 00:42:21.160]   He said, "No, we are not.
[00:42:21.160 --> 00:42:23.240]   "We are not of those who shrink back."
[00:42:23.240 --> 00:42:25.600]   So let me conclude with this.
[00:42:25.600 --> 00:42:28.320]   In 1 John 3, 1 through 3, he says,
[00:42:28.320 --> 00:42:33.240]   "See how great a love the Father has bestowed on us."
[00:42:33.240 --> 00:42:37.120]   The word see is translated in other parts of the Bible
[00:42:37.120 --> 00:42:39.720]   as translations behold.
[00:42:39.720 --> 00:42:42.120]   It wasn't just meant to be just kind of casually look.
[00:42:42.120 --> 00:42:44.960]   It says, "Behold how great a love
[00:42:44.960 --> 00:42:46.360]   "the Father has bestowed on us."
[00:42:46.360 --> 00:42:50.120]   In other words, think carefully, meditate carefully.
[00:42:50.120 --> 00:42:55.120]   If you do not see the great gift of salvation
[00:42:55.120 --> 00:42:57.000]   that we have in Christ,
[00:42:57.000 --> 00:42:59.240]   behold what love the Father has bestowed on us
[00:42:59.240 --> 00:43:01.960]   that we would be called the children of God.
[00:43:01.960 --> 00:43:05.640]   You know your sins.
[00:43:05.640 --> 00:43:10.240]   Even before you came in, we're all nicely dressed.
[00:43:10.240 --> 00:43:13.000]   Our hair's combed nice, right?
[00:43:13.000 --> 00:43:14.520]   Most of us.
[00:43:14.520 --> 00:43:19.200]   And we were presenting our best, but you know your sins.
[00:43:19.200 --> 00:43:25.240]   You know the lust in your heart.
[00:43:25.240 --> 00:43:27.720]   You know the bitterness.
[00:43:27.720 --> 00:43:28.640]   You know the hatred.
[00:43:28.640 --> 00:43:31.280]   You know how you've drifted.
[00:43:31.280 --> 00:43:34.040]   When we recognize who he is,
[00:43:34.040 --> 00:43:37.720]   and we look carefully of what he calls us,
[00:43:37.720 --> 00:43:42.000]   that's why he says, "Behold, behold,
[00:43:42.000 --> 00:43:45.240]   "how great a love the Father has bestowed on us
[00:43:45.240 --> 00:43:47.360]   "that we would be called the children of God,
[00:43:47.360 --> 00:43:49.160]   "and such we are."
[00:43:49.160 --> 00:43:54.360]   Anchor in Christ, and anchor in Christ to come.
[00:43:54.960 --> 00:43:56.640]   For this reason, the world does not know us
[00:43:56.640 --> 00:43:57.720]   because it did not know him.
[00:43:57.720 --> 00:43:59.280]   Beloved, now we are children of God,
[00:43:59.280 --> 00:44:02.640]   and it has not appeared as yet what we will be.
[00:44:02.640 --> 00:44:05.480]   If you consider carefully,
[00:44:05.480 --> 00:44:09.680]   behold what manner of love and who we are in Christ,
[00:44:09.680 --> 00:44:13.440]   that what we are experiencing now is only temporary
[00:44:13.440 --> 00:44:17.400]   and is only partial, and whatever we are beholding,
[00:44:17.400 --> 00:44:20.640]   the true ramification of this is coming in Christ.
[00:44:20.640 --> 00:44:23.360]   We know that when he appears, he will be like him.
[00:44:23.360 --> 00:44:28.040]   We will be like him because we will see him just as he is,
[00:44:28.040 --> 00:44:31.400]   and everyone who has this hope fixed on him
[00:44:31.400 --> 00:44:34.360]   purifies himself just as he is pure.
[00:44:34.360 --> 00:44:39.320]   So as we are wrestling,
[00:44:39.320 --> 00:44:40.800]   and I know there's every single one of us,
[00:44:40.800 --> 00:44:42.080]   no matter what stage in life you are,
[00:44:42.080 --> 00:44:43.240]   we are all wrestling.
[00:44:43.240 --> 00:44:47.320]   The temptation to drift is tremendous.
[00:44:47.320 --> 00:44:51.120]   And if we don't actively, purposefully,
[00:44:51.120 --> 00:44:55.200]   deliberately, willfully anchor ourselves in Christ,
[00:44:55.200 --> 00:44:56.240]   we will drift.
[00:44:56.240 --> 00:45:00.480]   So behold what manner of love that is given to us,
[00:45:00.480 --> 00:45:02.160]   that we are called the children of God,
[00:45:02.160 --> 00:45:03.920]   and those who fix their eyes upon him
[00:45:03.920 --> 00:45:07.000]   will purify himself and will endure.
[00:45:07.000 --> 00:45:07.840]   Let's pray.
[00:45:07.840 --> 00:45:16.080]   Heavenly Father, we thank you for your continued blessing.
[00:45:16.080 --> 00:45:19.960]   I pray especially for my brothers and sisters
[00:45:19.960 --> 00:45:23.520]   who are drifting now,
[00:45:23.520 --> 00:45:28.040]   whether here or whether online and at home,
[00:45:28.040 --> 00:45:32.080]   and we caught ourselves, our hearts being hardened,
[00:45:32.080 --> 00:45:35.160]   and the things that are eternal
[00:45:35.160 --> 00:45:37.680]   just doesn't seem to matter as much as it used to.
[00:45:37.680 --> 00:45:43.360]   Help us, Lord God, that your word would strengthen us.
[00:45:43.360 --> 00:45:46.560]   The Holy Spirit that you've deposited in us
[00:45:46.560 --> 00:45:49.480]   that is groaning on our behalf,
[00:45:49.480 --> 00:45:52.720]   that we may be united with you for eternity.
[00:45:52.720 --> 00:45:57.400]   Help us, Lord God, to groan along with the Holy Spirit.
[00:45:57.400 --> 00:46:00.080]   Help us, Lord God, to be desperate
[00:46:00.080 --> 00:46:01.840]   and to seek you with all our heart.
[00:46:01.840 --> 00:46:06.040]   Help us, Lord, that our confidence is in what you have done
[00:46:06.040 --> 00:46:08.520]   and not in our own righteousness,
[00:46:08.520 --> 00:46:10.880]   that we would not forsake our confidence.
[00:46:10.880 --> 00:46:14.240]   Especially, especially now, Father,
[00:46:14.240 --> 00:46:18.800]   as the world becomes darker and more and more lost
[00:46:18.800 --> 00:46:20.080]   every single week,
[00:46:20.080 --> 00:46:25.200]   I pray, Father God, that your spirit would be mightier,
[00:46:25.200 --> 00:46:27.760]   that your word would be more powerful,
[00:46:27.760 --> 00:46:30.440]   and that your church would do what you called us to do,
[00:46:30.440 --> 00:46:32.920]   to be a light in this dark world.
[00:46:32.920 --> 00:46:34.920]   So for that end, we pray for your blessing.
[00:46:34.920 --> 00:46:36.880]   In Jesus' name we pray, amen.

