
[00:00:00.000 --> 00:00:07.000]   Let me see.
[00:51:53.240 --> 00:51:58.440]   all throughout his ministry too. And so, perhaps that's one of the reasons why
[00:51:58.440 --> 00:52:03.000]   they chose not to fast. Because Jesus was saying to them like,
[00:52:03.000 --> 00:52:05.880]   "I'm going to introduce a new system for you guys."
[00:52:05.880 --> 00:52:10.360]   That could be one of the reasons why too. So,
[00:52:10.360 --> 00:52:13.400]   I'll try to give you a better answer afterwards. So,
[00:52:13.400 --> 00:52:17.560]   good question. All right, I'm going to move on now.
[00:52:17.560 --> 00:52:22.360]   I'm just kidding. All right, the reason why I'm moving on is because we only
[00:52:22.360 --> 00:52:25.400]   have two minutes left and I want to give you guys plenty of time to pray
[00:52:25.400 --> 00:52:32.280]   afterwards. So, good question though. The fourth offense.
[00:52:32.280 --> 00:52:36.120]   And this is the one that breaks the camel's back.
[00:52:36.120 --> 00:52:40.200]   The fourth offense in chapter 2 verse 23,
[00:52:40.200 --> 00:52:46.840]   until chapter 3 verse 6. And it's Jesus clarifying the Sabbath.
[00:52:47.000 --> 00:52:55.080]   Here, Jesus challenges the Jewish system of the Sabbath.
[00:52:55.080 --> 00:52:59.320]   And we see in verse 23 to 28, Jesus is challenging
[00:52:59.320 --> 00:53:02.440]   the Pharisees in their understanding of the Sabbath because
[00:53:02.440 --> 00:53:07.560]   the Pharisees accused Jesus' disciples of not upholding the Sabbath
[00:53:07.560 --> 00:53:11.080]   while they're plucking ears of corn.
[00:53:11.400 --> 00:53:17.160]   Or ears of grain. All right.
[00:53:17.160 --> 00:53:21.240]   And so, Jesus responds to their accusation by
[00:53:21.240 --> 00:53:29.560]   by recalling a story of King David when he was fleeing Saul.
[00:53:29.560 --> 00:53:36.840]   And David comes to, I think it was a,
[00:53:36.840 --> 00:53:42.440]   I want to say a temple, but anyways. So he comes and he's hungry, his men
[00:53:42.440 --> 00:53:45.720]   are hungry, and he's eating the bread of, the show
[00:53:45.720 --> 00:53:48.840]   bread, as some of the Bible translation
[00:53:48.840 --> 00:53:52.920]   calls it, or the bread of presents. And basically
[00:53:52.920 --> 00:53:55.640]   the point of that story that Jesus is recalling to them
[00:53:55.640 --> 00:54:01.320]   is that King David needed food to sustain his life.
[00:54:01.320 --> 00:54:05.800]   And God, in his grace, allowed a violation of the law
[00:54:05.800 --> 00:54:09.960]   to occur because the show bread, or the bread of presents, can only be eaten by
[00:54:09.960 --> 00:54:12.520]   the priest.
[00:54:12.520 --> 00:54:17.320]   And so basically he's showing, he's teaching them that God's grace
[00:54:17.320 --> 00:54:22.440]   showed that human need overruled ceremonial regulations.
[00:54:22.440 --> 00:54:26.360]   And I got that from the commentary that I recommended last week from
[00:54:26.360 --> 00:54:33.080]   D. Edmund Hebert. And so human need overruled
[00:54:33.080 --> 00:54:37.160]   ceremonial regulation. And so his disciples were hungry, and it happens to
[00:54:37.160 --> 00:54:39.560]   be the Sabbath, and so they're working to get their
[00:54:39.560 --> 00:54:44.120]   food, working in the Jewish, in Jewish terms. And the Jews were
[00:54:44.120 --> 00:54:47.080]   offended by the fact that they were breaking the
[00:54:47.080 --> 00:54:50.680]   Sabbath, which was very sacred to them.
[00:54:52.760 --> 00:54:57.000]   Now on top of that, we go in chapter 3 verse 1 and 6,
[00:54:57.000 --> 00:55:00.360]   he entered again into the synagogue and inside there was a man with a withered
[00:55:00.360 --> 00:55:05.000]   hand. And they were watching him, the
[00:55:05.000 --> 00:55:09.960]   Pharisees were watching Jesus to see if he would heal him on the Sabbath,
[00:55:09.960 --> 00:55:16.360]   so that they might accuse him. Again, breaking the Sabbath was a big deal
[00:55:16.360 --> 00:55:21.720]   to the Jewish leaders. And so they were watching him. They were
[00:55:21.720 --> 00:55:24.840]   watching him with great intent.
[00:55:24.840 --> 00:55:29.640]   Yeah, I was trying to think of an analogy right now, but I can't think of one, but
[00:55:29.640 --> 00:55:34.920]   anyways. And so Jesus goes to the man and he says, "Get up and come forward."
[00:55:34.920 --> 00:55:37.560]   And he, and he says to them, he knows that the
[00:55:37.560 --> 00:55:41.000]   Pharisees were looking at him, he says, "Is it lawful to do good or to do harm on
[00:55:41.000 --> 00:55:45.080]   the Sabbath, to save a life or to kill?" But they were
[00:55:45.080 --> 00:55:47.560]   silent.
[00:55:48.280 --> 00:55:52.280]   And what ends up happening is that Jesus looked around at them with anger
[00:55:52.280 --> 00:55:55.640]   and grieved at the hardness of their heart. Again,
[00:55:55.640 --> 00:55:59.720]   one of the patterns of Gospel of Mark is the fact that there's intense details
[00:55:59.720 --> 00:56:03.160]   involved. Jesus was angry at the Pharisees and he
[00:56:03.160 --> 00:56:07.720]   grieved. And he healed the hand of
[00:56:07.720 --> 00:56:13.320]   this man. And that concludes the fourth offense.
[00:56:13.320 --> 00:56:18.120]   But like I mentioned before, that was the offense that broke the camel's back.
[00:56:18.120 --> 00:56:21.640]   And after the fourth offense, the Pharisees were filled with madness,
[00:56:21.640 --> 00:56:26.600]   right, in Luke chapter 6 verse 11. That gives you a little additional details.
[00:56:26.600 --> 00:56:30.440]   And they immediately began plotting to destroy Jesus.
[00:56:30.440 --> 00:56:36.280]   There was an unlikely alliance between the Pharisees and the Herodians.
[00:56:36.280 --> 00:56:40.840]   And the Herodians were people who were like, they're more politically bound.
[00:56:40.840 --> 00:56:45.560]   They followed Herod. And their religious background was very
[00:56:45.560 --> 00:56:49.000]   diverse. And so you wouldn't think that the
[00:56:49.000 --> 00:56:53.320]   Pharisees and the Herodians, and later on the Sadducees, would come together
[00:56:53.320 --> 00:56:57.080]   to plot this plan to try to destroy Jesus. But yet,
[00:56:57.080 --> 00:57:00.440]   because of their immense hatred for Jesus,
[00:57:00.440 --> 00:57:07.080]   they came together. The Herodians, again, they wanted to maintain the status quo
[00:57:07.080 --> 00:57:10.520]   and Jesus was like just messing everything up.
[00:57:10.520 --> 00:57:14.280]   And so they wanted to get rid of Jesus as well.
[00:57:14.760 --> 00:57:19.720]   And so that's how we end this section tonight.
[00:57:19.720 --> 00:57:24.280]   We see that the Pharisees and the Herodians were so angry
[00:57:24.280 --> 00:57:30.520]   that they want to murder Jesus. And again, just something that came to my
[00:57:30.520 --> 00:57:34.520]   mind when I was reading this was that, you know, on the Sabbath,
[00:57:34.520 --> 00:57:39.960]   Jesus healed. But on the Sabbath as well, we had the Pharisees, the religious
[00:57:39.960 --> 00:57:44.040]   leaders of that time, plotting murder. And that's a stark
[00:57:44.040 --> 00:57:49.240]   contrast that we have between Jesus, the Son of God, the servant of Yahweh,
[00:57:49.240 --> 00:57:53.560]   and those who proclaim to be near to God.
[00:57:53.560 --> 00:57:59.640]   And so with that, we conclude
[00:57:59.640 --> 00:58:05.880]   tonight's session. In conclusion, just we have the
[00:58:05.880 --> 00:58:08.920]   baptism of Jesus. I'm just highlighting some big points.
[00:58:08.920 --> 00:58:13.400]   We have the great battle cry. We have Jesus's authoritative amazing
[00:58:13.400 --> 00:58:16.760]   beginnings. We have the four offenses. And we
[00:58:16.760 --> 00:58:19.640]   conclude with the religious leaders plotting to
[00:58:19.640 --> 00:58:27.720]   destroy Jesus. And so with that, we conclude our time.
[00:58:27.720 --> 00:58:31.800]   Any questions or comments, maybe even from your own reading, something that
[00:58:31.800 --> 00:58:37.960]   maybe stuck out to you that caused you to be amazed of Christ?
[00:58:37.960 --> 00:58:48.600]   Yes, Jason. What would you say, looking back to
[00:58:48.600 --> 00:58:52.200]   chapter one, verses two to three, when John Mark
[00:58:52.200 --> 00:58:56.680]   quotes Isaiah, that he not only involves Isaiah, chapter 40, verse 3, but also
[00:58:56.680 --> 00:59:01.800]   Malachi, chapter 3, verse 1, the beginning of his quotation?
[00:59:02.920 --> 00:59:06.360]   What do I think of it?
[00:59:06.360 --> 00:59:11.400]   He says that he's quoting from Isaiah, yet also involves Malachi in his quotation.
[00:59:11.400 --> 00:59:19.160]   Mm-hmm. I'll get back to you on that one. All right.
[00:59:19.160 --> 00:59:21.400]   Yes.
[00:59:21.400 --> 00:59:28.840]   Yes. There you go. Glad to serve.
[00:59:31.480 --> 00:59:35.400]   Any other questions? Yes, Tanya.
[00:59:35.400 --> 01:00:01.640]   Yeah, there were, the Pharisees were looking at how they wanted to be baptized, but they weren't able to, because they weren't considered to be confessed. And then Jesus came and they were able to be baptized without confessing. But then, when you say the crowd would be over here, God's voice, saying, "This is my Son, who I will always be with," does that include the Pharisees hearing this?
[01:00:01.720 --> 01:00:08.280]   Yes, the Pharisees heard. And I think it really depicts just the hardness of their
[01:00:08.280 --> 01:00:11.320]   own heart. And they had multiple examples of Jesus
[01:00:11.320 --> 01:00:15.720]   proclaiming himself as being the Son of God or the Son of Man,
[01:00:15.720 --> 01:00:19.560]   and that they still chose to not believe. And so,
[01:00:19.560 --> 01:00:24.120]   yeah, it was made loud and clear to them.
[01:00:24.120 --> 01:00:29.000]   Does that answer your question? Okay.
[01:00:29.320 --> 01:00:34.360]   Any comments from your readings? Anything that encouraged you?
[01:00:34.360 --> 01:00:45.160]   All right. Okay. So again, like we did last week,
[01:00:45.160 --> 01:00:50.600]   break off into pairs. Pair off with someone that you believe
[01:00:50.600 --> 01:00:55.800]   is a Pharisee at heart and is in need of much grace in their life.
[01:00:55.800 --> 01:00:59.960]   And remind them of the love of Jesus Christ. And pray with them.
[01:00:59.960 --> 01:01:03.720]   Pray with them. Share with them your thoughts about the reading.
[01:01:03.720 --> 01:01:09.560]   And we'll conclude it there. If you have your homework, please turn
[01:01:09.560 --> 01:01:14.200]   it in the back. I think Dede is back there. Is the money
[01:01:14.200 --> 01:01:20.280]   still back there, man? Are you a tax collector? Who has it?
[01:01:20.280 --> 01:01:23.880]   All right, still there. All right. Pray for Stephen.
[01:01:23.880 --> 01:01:28.680]   Pray for Dede. No, I'm just kidding. And also, in regards to your homework
[01:01:28.680 --> 01:01:31.400]   assignment, please keep up with it because at the
[01:01:31.400 --> 01:01:34.840]   end, I'm going to ask you guys to turn in like a big project.
[01:01:34.840 --> 01:01:39.080]   Basically, a project is like compiling all of it into one document and then
[01:01:39.080 --> 01:01:43.000]   put in a folder like what you have there now.
[01:01:43.000 --> 01:01:47.000]   Or you can email it to me if you want to save trees.
[01:01:47.000 --> 01:01:50.680]   So again, keep up with your homework assignment.
[01:01:50.680 --> 01:01:55.000]   Yeah.
[01:01:55.000 --> 01:02:03.640]   15 observations. I gave you the examples of observations in there.
[01:02:03.640 --> 01:02:07.480]   Basically, it's just you're kind of making simple statements
[01:02:07.480 --> 01:02:14.520]   and citing the verse that it came from. Yeah, so it's very simple. 15.
[01:02:14.520 --> 01:02:21.240]   Yeah. Yeah. Yeah. All right. So go ahead and pair off with someone
[01:02:21.240 --> 01:02:23.800]   that you believe needs the grace of God in their life and
[01:02:23.800 --> 01:02:29.960]   then we'll conclude there. All right. Thank you.

