
[00:00:00.000 --> 00:00:05.000]   Can we try for the tag the second time we do it
[01:08:26.860 --> 01:08:30.860]   [SILENCE]
[01:08:30.860 --> 01:08:34.860]   [SILENCE]
[01:08:34.860 --> 01:08:38.860]   [SILENCE]
[01:08:38.860 --> 01:08:42.860]   [SILENCE]
[01:08:43.860 --> 01:08:46.860]   [SILENCE]
[01:08:46.860 --> 01:08:50.860]   [SILENCE]
[01:08:50.860 --> 01:08:54.860]   [SILENCE]
[01:08:54.860 --> 01:08:58.860]   [SILENCE]
[01:08:58.860 --> 01:09:02.860]   [SILENCE]
[01:09:02.860 --> 01:09:06.860]   [SILENCE]
[01:09:06.860 --> 01:09:10.860]   [SILENCE]
[01:09:11.860 --> 01:09:14.860]   [SILENCE]
[01:09:14.860 --> 01:09:18.860]   [SILENCE]
[01:09:18.860 --> 01:09:22.860]   [SILENCE]
[01:09:22.860 --> 01:09:26.860]   [SILENCE]
[01:09:26.860 --> 01:09:30.860]   [SILENCE]
[01:09:30.860 --> 01:09:34.860]   [SILENCE]
[01:09:34.860 --> 01:09:38.860]   [SILENCE]
[01:09:39.860 --> 01:09:42.860]   [SILENCE]
[01:09:42.860 --> 01:09:46.860]   [SILENCE]
[01:09:46.860 --> 01:09:50.860]   [SILENCE]
[01:09:50.860 --> 01:09:54.860]   [SILENCE]
[01:09:54.860 --> 01:09:58.860]   [SILENCE]
[01:09:58.860 --> 01:10:02.860]   [SILENCE]
[01:10:02.860 --> 01:10:06.860]   [SILENCE]
[01:10:07.860 --> 01:10:10.860]   [SILENCE]
[01:10:10.860 --> 01:10:14.860]   [SILENCE]
[01:10:14.860 --> 01:10:18.860]   [SILENCE]
[01:10:18.860 --> 01:10:22.860]   [SILENCE]
[01:10:22.860 --> 01:10:26.860]   [SILENCE]
[01:10:26.860 --> 01:10:30.860]   [SILENCE]
[01:10:30.860 --> 01:10:34.860]   [SILENCE]
[01:10:35.860 --> 01:10:38.860]   [SILENCE]
[01:10:38.860 --> 01:10:42.860]   [SILENCE]
[01:10:42.860 --> 01:10:46.860]   [SILENCE]
[01:10:46.860 --> 01:10:50.860]   [SILENCE]
[01:10:50.860 --> 01:10:54.860]   [SILENCE]
[01:10:54.860 --> 01:10:58.860]   [SILENCE]
[01:10:58.860 --> 01:11:02.860]   [SILENCE]
[01:11:03.860 --> 01:11:06.860]   [SILENCE]
[01:11:06.860 --> 01:11:10.860]   [SILENCE]
[01:11:10.860 --> 01:11:14.860]   [SILENCE]
[01:11:14.860 --> 01:11:18.860]   [SILENCE]
[01:11:18.860 --> 01:11:22.860]   [SILENCE]
[01:11:22.860 --> 01:11:26.860]   [SILENCE]
[01:11:26.860 --> 01:11:30.860]   [SILENCE]
[01:11:31.860 --> 01:11:34.860]   [SILENCE]
[01:11:34.860 --> 01:11:38.860]   [SILENCE]
[01:11:38.860 --> 01:11:42.860]   [SILENCE]
[01:11:42.860 --> 01:11:46.860]   [SILENCE]
[01:11:46.860 --> 01:11:50.860]   [SILENCE]
[01:11:50.860 --> 01:11:54.860]   [SILENCE]
[01:11:54.860 --> 01:11:58.860]   [SILENCE]
[01:11:59.860 --> 01:12:02.860]   [SILENCE]
[01:12:02.860 --> 01:12:06.860]   [SILENCE]
[01:12:06.860 --> 01:12:10.860]   [SILENCE]
[01:12:10.860 --> 01:12:14.860]   [SILENCE]
[01:12:14.860 --> 01:12:18.860]   [SILENCE]
[01:12:18.860 --> 01:12:22.860]   [SILENCE]
[01:12:22.860 --> 01:12:26.860]   [SILENCE]
[01:12:27.860 --> 01:12:30.860]   [SILENCE]
[01:12:30.860 --> 01:12:34.860]   [SILENCE]
[01:12:34.860 --> 01:12:38.860]   [SILENCE]
[01:12:38.860 --> 01:12:42.860]   [SILENCE]
[01:12:42.860 --> 01:12:46.860]   [SILENCE]
[01:12:46.860 --> 01:12:50.860]   [SILENCE]
[01:12:50.860 --> 01:12:54.860]   [SILENCE]
[01:12:55.860 --> 01:12:58.860]   [SILENCE]
[01:12:58.860 --> 01:13:02.860]   [SILENCE]
[01:13:02.860 --> 01:13:06.860]   [SILENCE]
[01:13:06.860 --> 01:13:10.860]   [SILENCE]
[01:13:10.860 --> 01:13:14.860]   [SILENCE]
[01:13:14.860 --> 01:13:18.860]   [SILENCE]
[01:13:18.860 --> 01:13:22.860]   [SILENCE]
[01:13:23.860 --> 01:13:26.860]   [SILENCE]
[01:13:26.860 --> 01:13:30.860]   [SILENCE]
[01:13:30.860 --> 01:13:34.860]   [SILENCE]
[01:13:34.860 --> 01:13:38.860]   [SILENCE]
[01:13:38.860 --> 01:13:42.860]   [SILENCE]
[01:13:42.860 --> 01:13:46.860]   [SILENCE]
[01:13:46.860 --> 01:13:50.860]   [SILENCE]
[01:13:51.860 --> 01:13:54.860]   [SILENCE]
[01:13:54.860 --> 01:13:58.860]   [SILENCE]
[01:13:58.860 --> 01:14:02.860]   [SILENCE]
[01:14:02.860 --> 01:14:06.860]   [SILENCE]
[01:14:06.860 --> 01:14:10.860]   [SILENCE]
[01:14:10.860 --> 01:14:14.860]   [SILENCE]
[01:14:14.860 --> 01:14:18.860]   [SILENCE]
[01:14:19.860 --> 01:14:22.860]   [SILENCE]
[01:14:22.860 --> 01:14:26.860]   [SILENCE]
[01:14:26.860 --> 01:14:30.860]   [SILENCE]
[01:14:30.860 --> 01:14:34.860]   [SILENCE]
[01:14:34.860 --> 01:14:38.860]   [SILENCE]
[01:14:38.860 --> 01:14:42.860]   [SILENCE]
[01:14:42.860 --> 01:14:46.860]   [SILENCE]
[01:14:47.860 --> 01:14:50.860]   [SILENCE]
[01:14:50.860 --> 01:14:54.860]   [SILENCE]
[01:14:54.860 --> 01:14:58.860]   [SILENCE]
[01:14:58.860 --> 01:15:02.860]   [SILENCE]
[01:15:02.860 --> 01:15:06.860]   [SILENCE]
[01:15:06.860 --> 01:15:10.860]   [SILENCE]
[01:15:10.860 --> 01:15:14.860]   [SILENCE]
[01:15:15.860 --> 01:15:18.860]   [SILENCE]
[01:15:18.860 --> 01:15:22.860]   [SILENCE]
[01:15:22.860 --> 01:15:26.860]   [SILENCE]
[01:15:26.860 --> 01:15:30.860]   [SILENCE]
[01:15:30.860 --> 01:15:34.860]   [SILENCE]
[01:15:34.860 --> 01:15:38.860]   [SILENCE]
[01:15:38.860 --> 01:15:42.860]   [SILENCE]
[01:15:43.860 --> 01:15:46.860]   [SILENCE]
[01:15:46.860 --> 01:15:50.860]   [SILENCE]
[01:15:50.860 --> 01:15:54.860]   [SILENCE]
[01:15:54.860 --> 01:15:58.860]   [SILENCE]
[01:15:58.860 --> 01:16:02.860]   [SILENCE]
[01:16:02.860 --> 01:16:06.860]   [SILENCE]
[01:16:06.860 --> 01:16:10.860]   [SILENCE]
[01:16:11.860 --> 01:16:14.860]   [SILENCE]
[01:16:14.860 --> 01:16:18.860]   [SILENCE]
[01:16:18.860 --> 01:16:22.860]   [SILENCE]
[01:16:22.860 --> 01:16:26.860]   [SILENCE]
[01:16:26.860 --> 01:16:30.860]   [SILENCE]
[01:16:30.860 --> 01:16:34.860]   [SILENCE]
[01:16:34.860 --> 01:16:38.860]   [SILENCE]
[01:16:39.860 --> 01:16:42.860]   [SILENCE]
[01:16:42.860 --> 01:16:46.860]   [SILENCE]
[01:16:46.860 --> 01:16:50.860]   [SILENCE]
[01:16:50.860 --> 01:16:54.860]   [SILENCE]
[01:16:54.860 --> 01:16:58.860]   [SILENCE]
[01:16:58.860 --> 01:17:02.860]   [SILENCE]
[01:17:02.860 --> 01:17:06.860]   [SILENCE]
[01:17:07.860 --> 01:17:10.860]   [SILENCE]
[01:17:10.860 --> 01:17:14.860]   [SILENCE]
[01:17:14.860 --> 01:17:18.860]   [SILENCE]
[01:17:18.860 --> 01:17:22.860]   [SILENCE]
[01:17:22.860 --> 01:17:26.860]   [SILENCE]
[01:17:26.860 --> 01:17:30.860]   [SILENCE]
[01:17:30.860 --> 01:17:34.860]   [SILENCE]
[01:17:35.860 --> 01:17:38.860]   [SILENCE]
[01:17:38.860 --> 01:17:42.860]   [SILENCE]
[01:17:42.860 --> 01:17:46.860]   [SILENCE]
[01:17:46.860 --> 01:17:50.860]   [SILENCE]
[01:17:50.860 --> 01:17:54.860]   [SILENCE]
[01:17:54.860 --> 01:17:58.860]   [SILENCE]
[01:17:58.860 --> 01:18:02.860]   [SILENCE]
[01:18:03.860 --> 01:18:06.860]   [SILENCE]
[01:18:06.860 --> 01:18:10.860]   [SILENCE]
[01:18:10.860 --> 01:18:14.860]   [SILENCE]
[01:18:14.860 --> 01:18:18.860]   [SILENCE]
[01:18:18.860 --> 01:18:22.860]   [SILENCE]
[01:18:22.860 --> 01:18:26.860]   [SILENCE]
[01:18:26.860 --> 01:18:30.860]   [SILENCE]
[01:18:31.860 --> 01:18:34.860]   [SILENCE]
[01:18:34.860 --> 01:18:38.860]   [SILENCE]
[01:18:38.860 --> 01:18:42.860]   [SILENCE]
[01:18:42.860 --> 01:18:46.860]   [SILENCE]
[01:18:46.860 --> 01:18:50.860]   [SILENCE]
[01:18:50.860 --> 01:18:54.860]   [SILENCE]
[01:18:54.860 --> 01:18:58.860]   [SILENCE]
[01:18:59.860 --> 01:19:02.860]   [SILENCE]
[01:19:02.860 --> 01:19:06.860]   [SILENCE]
[01:19:06.860 --> 01:19:10.860]   [SILENCE]
[01:19:10.860 --> 01:19:14.860]   [SILENCE]
[01:19:14.860 --> 01:19:18.860]   [SILENCE]
[01:19:18.860 --> 01:19:22.860]   [SILENCE]
[01:19:22.860 --> 01:19:26.860]   [SILENCE]
[01:19:27.860 --> 01:19:30.860]   [SILENCE]
[01:19:30.860 --> 01:19:34.860]   [SILENCE]
[01:19:34.860 --> 01:19:38.860]   [SILENCE]
[01:19:38.860 --> 01:19:42.860]   [SILENCE]
[01:19:42.860 --> 01:19:46.860]   [SILENCE]
[01:19:46.860 --> 01:19:50.860]   [SILENCE]
[01:19:50.860 --> 01:19:54.860]   [SILENCE]
[01:19:55.860 --> 01:19:58.860]   [SILENCE]
[01:19:58.860 --> 01:20:02.860]   [SILENCE]
[01:20:02.860 --> 01:20:06.860]   [SILENCE]
[01:20:06.860 --> 01:20:10.860]   [SILENCE]
[01:20:10.860 --> 01:20:14.860]   [SILENCE]
[01:20:14.860 --> 01:20:18.860]   [SILENCE]
[01:20:18.860 --> 01:20:22.860]   [SILENCE]
[01:20:23.860 --> 01:20:26.860]   [SILENCE]
[01:20:26.860 --> 01:20:30.860]   [SILENCE]
[01:20:30.860 --> 01:20:34.860]   [SILENCE]
[01:20:34.860 --> 01:20:38.860]   [SILENCE]
[01:20:38.860 --> 01:20:42.860]   [SILENCE]
[01:20:42.860 --> 01:20:46.860]   [SILENCE]
[01:20:46.860 --> 01:20:50.860]   [SILENCE]
[01:20:51.860 --> 01:20:54.860]   [SILENCE]
[01:20:54.860 --> 01:20:58.860]   [SILENCE]
[01:20:58.860 --> 01:21:02.860]   [SILENCE]
[01:21:02.860 --> 01:21:06.860]   [SILENCE]
[01:21:06.860 --> 01:21:10.860]   [SILENCE]
[01:21:10.860 --> 01:21:14.860]   [SILENCE]
[01:21:14.860 --> 01:21:18.860]   [SILENCE]
[01:21:19.860 --> 01:21:22.860]   [SILENCE]
[01:21:22.860 --> 01:21:26.860]   [SILENCE]
[01:21:26.860 --> 01:21:30.860]   [SILENCE]
[01:21:30.860 --> 01:21:34.860]   [SILENCE]
[01:21:34.860 --> 01:21:38.860]   [SILENCE]
[01:21:38.860 --> 01:21:42.860]   [SILENCE]
[01:21:42.860 --> 01:21:46.860]   [SILENCE]
[01:21:47.860 --> 01:21:50.860]   [SILENCE]
[01:21:50.860 --> 01:21:54.860]   [SILENCE]
[01:21:54.860 --> 01:21:58.860]   [SILENCE]
[01:21:58.860 --> 01:22:02.860]   [SILENCE]
[01:22:02.860 --> 01:22:06.860]   [SILENCE]
[01:22:06.860 --> 01:22:10.860]   [SILENCE]
[01:22:10.860 --> 01:22:14.860]   [SILENCE]
[01:22:15.860 --> 01:22:18.860]   [SILENCE]
[01:22:18.860 --> 01:22:22.860]   [SILENCE]
[01:22:22.860 --> 01:22:26.860]   [SILENCE]
[01:22:26.860 --> 01:22:30.860]   [SILENCE]
[01:22:30.860 --> 01:22:34.860]   [SILENCE]
[01:22:34.860 --> 01:22:38.860]   [SILENCE]
[01:22:38.860 --> 01:22:42.860]   [SILENCE]
[01:22:43.860 --> 01:22:46.860]   [SILENCE]
[01:22:46.860 --> 01:22:50.860]   [SILENCE]
[01:22:50.860 --> 01:22:54.860]   [SILENCE]
[01:22:54.860 --> 01:22:58.860]   [SILENCE]
[01:22:58.860 --> 01:23:02.860]   [SILENCE]
[01:23:02.860 --> 01:23:06.860]   [SILENCE]
[01:23:06.860 --> 01:23:10.860]   [SILENCE]
[01:23:11.860 --> 01:23:14.860]   [SILENCE]
[01:23:14.860 --> 01:23:18.860]   [SILENCE]
[01:23:18.860 --> 01:23:22.860]   [SILENCE]
[01:23:22.860 --> 01:23:26.860]   [SILENCE]
[01:23:26.860 --> 01:23:30.860]   [SILENCE]
[01:23:30.860 --> 01:23:34.860]   [SILENCE]
[01:23:34.860 --> 01:23:38.860]   [SILENCE]
[01:23:39.860 --> 01:23:42.860]   [SILENCE]
[01:23:42.860 --> 01:23:46.860]   [SILENCE]
[01:23:46.860 --> 01:23:50.860]   [SILENCE]
[01:23:50.860 --> 01:23:54.860]   [SILENCE]
[01:23:54.860 --> 01:23:58.860]   [SILENCE]
[01:23:58.860 --> 01:24:02.860]   [SILENCE]
[01:24:02.860 --> 01:24:06.860]   [SILENCE]
[01:24:07.860 --> 01:24:10.860]   [SILENCE]
[01:24:10.860 --> 01:24:14.860]   [SILENCE]
[01:24:14.860 --> 01:24:18.860]   [SILENCE]
[01:24:18.860 --> 01:24:22.860]   [SILENCE]
[01:24:22.860 --> 01:24:26.860]   [SILENCE]
[01:24:26.860 --> 01:24:30.860]   [SILENCE]
[01:24:30.860 --> 01:24:34.860]   [SILENCE]
[01:24:35.860 --> 01:24:38.860]   [SILENCE]
[01:24:38.860 --> 01:24:42.860]   [SILENCE]
[01:24:42.860 --> 01:24:46.860]   [SILENCE]
[01:24:46.860 --> 01:24:50.860]   [SILENCE]
[01:24:50.860 --> 01:24:54.860]   [SILENCE]
[01:24:54.860 --> 01:24:58.860]   [SILENCE]
[01:24:58.860 --> 01:25:02.860]   [SILENCE]
[01:25:03.860 --> 01:25:06.860]   [SILENCE]
[01:25:06.860 --> 01:25:10.860]   [SILENCE]
[01:25:10.860 --> 01:25:14.860]   [SILENCE]
[01:25:14.860 --> 01:25:18.860]   [SILENCE]
[01:25:18.860 --> 01:25:22.860]   [SILENCE]
[01:25:22.860 --> 01:25:26.860]   [SILENCE]
[01:25:26.860 --> 01:25:30.860]   [SILENCE]
[01:25:31.860 --> 01:25:34.860]   [SILENCE]
[01:25:34.860 --> 01:25:38.860]   [SILENCE]
[01:25:38.860 --> 01:25:42.860]   [SILENCE]
[01:25:42.860 --> 01:25:46.860]   [SILENCE]
[01:25:46.860 --> 01:25:50.860]   [SILENCE]
[01:25:50.860 --> 01:25:54.860]   [SILENCE]
[01:25:54.860 --> 01:25:58.860]   [SILENCE]
[01:25:59.860 --> 01:26:02.860]   [SILENCE]
[01:26:02.860 --> 01:26:06.860]   [SILENCE]
[01:26:06.860 --> 01:26:10.860]   [SILENCE]
[01:26:10.860 --> 01:26:14.860]   [SILENCE]
[01:26:14.860 --> 01:26:18.860]   [SILENCE]
[01:26:18.860 --> 01:26:22.860]   [SILENCE]
[01:26:22.860 --> 01:26:26.860]   [SILENCE]
[01:26:27.860 --> 01:26:30.860]   [SILENCE]
[01:26:30.860 --> 01:26:34.860]   [SILENCE]
[01:26:34.860 --> 01:26:38.860]   [SILENCE]
[01:26:38.860 --> 01:26:42.860]   [SILENCE]
[01:26:42.860 --> 01:26:46.860]   [SILENCE]
[01:26:46.860 --> 01:26:50.860]   [SILENCE]
[01:26:50.860 --> 01:26:54.860]   [SILENCE]
[01:26:55.860 --> 01:26:58.860]   [SILENCE]
[01:26:58.860 --> 01:27:02.860]   [SILENCE]
[01:27:02.860 --> 01:27:06.860]   [SILENCE]
[01:27:06.860 --> 01:27:10.860]   [SILENCE]
[01:27:10.860 --> 01:27:14.860]   [SILENCE]
[01:27:14.860 --> 01:27:18.860]   [SILENCE]
[01:27:18.860 --> 01:27:22.860]   [SILENCE]
[01:27:23.860 --> 01:27:26.860]   [SILENCE]
[01:27:26.860 --> 01:27:30.860]   [SILENCE]
[01:27:30.860 --> 01:27:34.860]   [SILENCE]
[01:27:34.860 --> 01:27:38.860]   [SILENCE]
[01:27:38.860 --> 01:27:42.860]   [SILENCE]
[01:27:42.860 --> 01:27:46.860]   [SILENCE]
[01:27:46.860 --> 01:27:50.860]   [SILENCE]
[01:27:51.860 --> 01:27:54.860]   [SILENCE]
[01:27:54.860 --> 01:27:58.860]   [SILENCE]
[01:27:58.860 --> 01:28:02.860]   [SILENCE]
[01:28:02.860 --> 01:28:06.860]   [SILENCE]
[01:28:06.860 --> 01:28:10.860]   [SILENCE]
[01:28:10.860 --> 01:28:14.860]   [SILENCE]
[01:28:14.860 --> 01:28:18.860]   [SILENCE]
[01:28:19.860 --> 01:28:22.860]   [SILENCE]
[01:28:22.860 --> 01:28:26.860]   [SILENCE]
[01:28:26.860 --> 01:28:30.860]   [SILENCE]
[01:28:30.860 --> 01:28:34.860]   [SILENCE]
[01:28:34.860 --> 01:28:38.860]   [SILENCE]
[01:28:38.860 --> 01:28:42.860]   [SILENCE]
[01:28:42.860 --> 01:28:46.860]   [SILENCE]
[01:28:47.860 --> 01:28:50.860]   [SILENCE]
[01:28:50.860 --> 01:28:54.860]   [SILENCE]
[01:28:54.860 --> 01:28:58.860]   [SILENCE]
[01:28:58.860 --> 01:29:02.860]   [SILENCE]
[01:29:02.860 --> 01:29:06.860]   [SILENCE]
[01:29:06.860 --> 01:29:10.860]   [SILENCE]
[01:29:10.860 --> 01:29:14.860]   [SILENCE]
[01:29:15.860 --> 01:29:18.860]   [SILENCE]
[01:29:18.860 --> 01:29:22.860]   [SILENCE]
[01:29:22.860 --> 01:29:26.860]   [SILENCE]
[01:29:26.860 --> 01:29:30.860]   [SILENCE]
[01:29:30.860 --> 01:29:34.860]   [SILENCE]
[01:29:34.860 --> 01:29:38.860]   [SILENCE]
[01:29:38.860 --> 01:29:42.860]   [SILENCE]
[01:29:43.860 --> 01:29:46.860]   [SILENCE]
[01:29:46.860 --> 01:29:50.860]   [SILENCE]
[01:29:50.860 --> 01:29:54.860]   [SILENCE]
[01:29:54.860 --> 01:29:58.860]   [SILENCE]
[01:29:58.860 --> 01:30:02.860]   [SILENCE]
[01:30:02.860 --> 01:30:06.860]   [SILENCE]
[01:30:06.860 --> 01:30:10.860]   [SILENCE]
[01:30:11.860 --> 01:30:14.860]   [SILENCE]
[01:30:14.860 --> 01:30:18.860]   [SILENCE]
[01:30:18.860 --> 01:30:22.860]   [SILENCE]
[01:30:22.860 --> 01:30:26.860]   [SILENCE]
[01:30:26.860 --> 01:30:30.860]   [SILENCE]
[01:30:30.860 --> 01:30:34.860]   [SILENCE]
[01:30:34.860 --> 01:30:38.860]   [SILENCE]
[01:30:39.860 --> 01:30:42.860]   [SILENCE]
[01:30:42.860 --> 01:30:46.860]   [SILENCE]
[01:30:46.860 --> 01:30:50.860]   [SILENCE]
[01:30:50.860 --> 01:30:54.860]   [SILENCE]
[01:30:54.860 --> 01:30:58.860]   [SILENCE]
[01:30:58.860 --> 01:31:02.860]   [SILENCE]
[01:31:02.860 --> 01:31:06.860]   [SILENCE]
[01:31:07.860 --> 01:31:10.860]   [SILENCE]
[01:31:10.860 --> 01:31:14.860]   [SILENCE]
[01:31:14.860 --> 01:31:18.860]   [SILENCE]
[01:31:18.860 --> 01:31:22.860]   [SILENCE]
[01:31:22.860 --> 01:31:26.860]   [SILENCE]
[01:31:26.860 --> 01:31:30.860]   [SILENCE]
[01:31:30.860 --> 01:31:34.860]   [SILENCE]
[01:31:35.860 --> 01:31:38.860]   [SILENCE]
[01:31:38.860 --> 01:31:42.860]   [SILENCE]
[01:31:42.860 --> 01:31:46.860]   [SILENCE]
[01:31:46.860 --> 01:31:50.860]   [SILENCE]
[01:31:50.860 --> 01:31:54.860]   [SILENCE]
[01:31:54.860 --> 01:31:58.860]   [SILENCE]
[01:31:58.860 --> 01:32:02.860]   [SILENCE]
[01:32:03.860 --> 01:32:06.860]   [SILENCE]
[01:32:06.860 --> 01:32:10.860]   [SILENCE]
[01:32:10.860 --> 01:32:14.860]   [SILENCE]
[01:32:14.860 --> 01:32:18.860]   [SILENCE]
[01:32:18.860 --> 01:32:22.860]   [SILENCE]
[01:32:22.860 --> 01:32:26.860]   [SILENCE]
[01:32:26.860 --> 01:32:30.860]   [SILENCE]
[01:32:31.860 --> 01:32:34.860]   [SILENCE]
[01:32:34.860 --> 01:32:38.860]   [SILENCE]
[01:32:38.860 --> 01:32:42.860]   [SILENCE]
[01:32:42.860 --> 01:32:46.860]   [SILENCE]
[01:32:46.860 --> 01:32:50.860]   [SILENCE]
[01:32:50.860 --> 01:32:54.860]   [SILENCE]
[01:32:54.860 --> 01:32:58.860]   [SILENCE]
[01:32:59.860 --> 01:33:02.860]   [SILENCE]
[01:33:02.860 --> 01:33:06.860]   [SILENCE]
[01:33:06.860 --> 01:33:10.860]   [SILENCE]
[01:33:10.860 --> 01:33:14.860]   [SILENCE]
[01:33:14.860 --> 01:33:18.860]   [SILENCE]
[01:33:18.860 --> 01:33:22.860]   [SILENCE]
[01:33:22.860 --> 01:33:26.860]   [SILENCE]
[01:33:27.860 --> 01:33:30.860]   [SILENCE]
[01:33:30.860 --> 01:33:34.860]   [SILENCE]
[01:33:34.860 --> 01:33:38.860]   [SILENCE]
[01:33:38.860 --> 01:33:42.860]   [SILENCE]
[01:33:42.860 --> 01:33:46.860]   [SILENCE]
[01:33:46.860 --> 01:33:50.860]   [SILENCE]
[01:33:50.860 --> 01:33:54.860]   [SILENCE]
[01:33:55.860 --> 01:33:58.860]   [SILENCE]
[01:33:58.860 --> 01:34:02.860]   [SILENCE]
[01:34:02.860 --> 01:34:06.860]   [SILENCE]
[01:34:06.860 --> 01:34:10.860]   [SILENCE]
[01:34:10.860 --> 01:34:14.860]   [SILENCE]
[01:34:14.860 --> 01:34:18.860]   [SILENCE]
[01:34:18.860 --> 01:34:22.860]   [SILENCE]
[01:34:23.860 --> 01:34:26.860]   [SILENCE]
[01:34:26.860 --> 01:34:30.860]   [SILENCE]
[01:34:30.860 --> 01:34:34.860]   [SILENCE]
[01:34:34.860 --> 01:34:38.860]   [SILENCE]
[01:34:38.860 --> 01:34:42.860]   [SILENCE]
[01:34:42.860 --> 01:34:46.860]   [SILENCE]
[01:34:46.860 --> 01:34:50.860]   [SILENCE]
[01:34:51.860 --> 01:34:54.860]   [SILENCE]
[01:34:54.860 --> 01:34:58.860]   [SILENCE]
[01:34:58.860 --> 01:35:02.860]   [SILENCE]
[01:35:02.860 --> 01:35:06.860]   [SILENCE]
[01:35:06.860 --> 01:35:10.860]   [SILENCE]
[01:35:10.860 --> 01:35:14.860]   [SILENCE]
[01:35:14.860 --> 01:35:18.860]   [SILENCE]
[01:35:19.860 --> 01:35:22.860]   [SILENCE]
[01:35:22.860 --> 01:35:26.860]   [SILENCE]
[01:35:26.860 --> 01:35:30.860]   [SILENCE]
[01:35:30.860 --> 01:35:34.860]   [SILENCE]
[01:35:34.860 --> 01:35:38.860]   [SILENCE]
[01:35:38.860 --> 01:35:42.860]   [SILENCE]
[01:35:42.860 --> 01:35:46.860]   [SILENCE]
[01:35:47.860 --> 01:35:50.860]   [SILENCE]
[01:35:50.860 --> 01:35:54.860]   [SILENCE]
[01:35:54.860 --> 01:35:58.860]   [SILENCE]
[01:35:58.860 --> 01:36:02.860]   [SILENCE]
[01:36:02.860 --> 01:36:06.860]   [SILENCE]
[01:36:06.860 --> 01:36:10.860]   [SILENCE]
[01:36:10.860 --> 01:36:14.860]   [SILENCE]
[01:36:15.860 --> 01:36:18.860]   [SILENCE]
[01:36:18.860 --> 01:36:22.860]   [SILENCE]
[01:36:22.860 --> 01:36:26.860]   [SILENCE]
[01:36:26.860 --> 01:36:30.860]   [SILENCE]
[01:36:30.860 --> 01:36:34.860]   [SILENCE]
[01:36:34.860 --> 01:36:38.860]   [SILENCE]
[01:36:38.860 --> 01:36:42.860]   [SILENCE]
[01:36:43.860 --> 01:36:46.860]   [SILENCE]
[01:36:46.860 --> 01:36:50.860]   [SILENCE]
[01:36:50.860 --> 01:36:54.860]   [SILENCE]
[01:36:54.860 --> 01:36:58.860]   [SILENCE]
[01:36:58.860 --> 01:37:02.860]   [SILENCE]
[01:37:02.860 --> 01:37:06.860]   [SILENCE]
[01:37:06.860 --> 01:37:10.860]   [SILENCE]
[01:37:11.860 --> 01:37:14.860]   [SILENCE]
[01:37:14.860 --> 01:37:18.860]   [SILENCE]
[01:37:18.860 --> 01:37:22.860]   [SILENCE]
[01:37:22.860 --> 01:37:26.860]   [SILENCE]
[01:37:26.860 --> 01:37:30.860]   [SILENCE]
[01:37:30.860 --> 01:37:34.860]   [SILENCE]
[01:37:34.860 --> 01:37:38.860]   [SILENCE]
[01:37:39.860 --> 01:37:42.860]   [SILENCE]
[01:37:42.860 --> 01:37:46.860]   [SILENCE]
[01:37:46.860 --> 01:37:50.860]   [SILENCE]
[01:37:50.860 --> 01:37:54.860]   [SILENCE]
[01:37:54.860 --> 01:37:58.860]   [SILENCE]
[01:37:58.860 --> 01:38:02.860]   [SILENCE]
[01:38:02.860 --> 01:38:06.860]   [SILENCE]
[01:38:07.860 --> 01:38:10.860]   [SILENCE]
[01:38:10.860 --> 01:38:14.860]   [SILENCE]
[01:38:14.860 --> 01:38:18.860]   [SILENCE]
[01:38:18.860 --> 01:38:22.860]   [SILENCE]
[01:38:22.860 --> 01:38:26.860]   [SILENCE]
[01:38:26.860 --> 01:38:30.860]   [SILENCE]
[01:38:30.860 --> 01:38:34.860]   [SILENCE]
[01:38:35.860 --> 01:38:38.860]   [SILENCE]
[01:38:38.860 --> 01:38:42.860]   [SILENCE]
[01:38:42.860 --> 01:38:46.860]   [SILENCE]
[01:38:46.860 --> 01:38:50.860]   [SILENCE]
[01:38:50.860 --> 01:38:54.860]   [SILENCE]
[01:38:54.860 --> 01:38:58.860]   [SILENCE]
[01:38:58.860 --> 01:39:02.860]   [SILENCE]
[01:39:03.860 --> 01:39:06.860]   [SILENCE]
[01:39:06.860 --> 01:39:10.860]   [SILENCE]
[01:39:10.860 --> 01:39:14.860]   [SILENCE]
[01:39:14.860 --> 01:39:18.860]   [SILENCE]
[01:39:18.860 --> 01:39:22.860]   [SILENCE]
[01:39:22.860 --> 01:39:26.860]   [SILENCE]
[01:39:26.860 --> 01:39:30.860]   [SILENCE]
[01:39:31.860 --> 01:39:34.860]   [SILENCE]
[01:39:34.860 --> 01:39:38.860]   [SILENCE]
[01:39:38.860 --> 01:39:42.860]   [SILENCE]
[01:39:42.860 --> 01:39:46.860]   [SILENCE]
[01:39:46.860 --> 01:39:50.860]   [SILENCE]
[01:39:50.860 --> 01:39:54.860]   [SILENCE]
[01:39:54.860 --> 01:39:58.860]   [SILENCE]
[01:39:59.860 --> 01:40:02.860]   [SILENCE]
[01:40:02.860 --> 01:40:06.860]   [SILENCE]
[01:40:06.860 --> 01:40:10.860]   [SILENCE]
[01:40:10.860 --> 01:40:14.860]   [SILENCE]
[01:40:14.860 --> 01:40:18.860]   [SILENCE]
[01:40:18.860 --> 01:40:22.860]   [SILENCE]
[01:40:22.860 --> 01:40:26.860]   [SILENCE]
[01:40:27.860 --> 01:40:34.860]   I will confess to you that when ministry is at its sweetest,
