
[00:00:00.000 --> 00:00:08.280]   - Good morning, everybody.
[00:42:06.260 --> 00:42:09.260]   You guys have heard this before.
[00:42:09.260 --> 00:42:14.980]   Christian faith is not, "Oh, I think, you know, like Jehovah's Witness, and then Mormonism,
[00:42:14.980 --> 00:42:22.700]   Catholicism, and then Christianity, I compared it, and this doctrinal system really works."
[00:42:22.700 --> 00:42:25.980]   That's not Christianity.
[00:42:25.980 --> 00:42:32.740]   Christianity is, you were an evil person with evil desires engaged in evil deeds, and God
[00:42:32.740 --> 00:42:37.300]   just lavished this little being with grace.
[00:42:37.300 --> 00:42:44.340]   And then you felt this massive load of love come to you, and you're forever changed.
[00:42:44.340 --> 00:42:45.900]   Yes?
[00:42:45.900 --> 00:42:49.140]   Have you felt that?
[00:42:49.140 --> 00:42:51.900]   That's to you everything.
[00:42:51.900 --> 00:42:54.660]   Only then can you say, "Give me more of that.
[00:42:54.660 --> 00:42:55.740]   Take away the world.
[00:42:55.740 --> 00:42:58.220]   I may have nothing in this life.
[00:42:58.220 --> 00:43:06.100]   I may have nothing in this world, but my portion is full because God has filled my life."
[00:43:06.100 --> 00:43:07.860]   Let me ask another way.
[00:43:07.860 --> 00:43:13.220]   Not just simply have you felt the love of God, but in some weird, odd way, have you
[00:43:13.220 --> 00:43:22.500]   drifted from the Lord, where this teaching, "Brothers and sisters, the Lord loves you,"
[00:43:22.500 --> 00:43:26.980]   does it not feel any different?
[00:43:26.980 --> 00:43:31.740]   Any different than, let's say, if a random stranger came to you and said, "What's wrong,
[00:43:31.740 --> 00:43:32.740]   buddy?
[00:43:32.740 --> 00:43:33.740]   You sad?
[00:43:33.740 --> 00:43:34.740]   It's okay, man.
[00:43:34.740 --> 00:43:36.660]   I love you."
[00:43:36.660 --> 00:43:39.260]   Does it feel the same way?
[00:43:39.260 --> 00:43:40.260]   Let me ask another way.
[00:43:40.260 --> 00:43:45.500]   Does God's love to you feel like some kind of weird consolation prize?
[00:43:45.500 --> 00:43:48.140]   "Thanks for participating in this game.
[00:43:48.140 --> 00:43:49.660]   That guy won the reward.
[00:43:49.660 --> 00:43:52.940]   But at least for you, we have participation trophy."
[00:43:52.940 --> 00:43:56.660]   Does God's love feel like that for you?
[00:43:56.660 --> 00:44:02.300]   Where you hear the words like the Lord of the universe who created you, who sustains
[00:44:02.300 --> 00:44:08.780]   everything that has breath, He loves you, and yet all it feels like is some kind of
[00:44:08.780 --> 00:44:10.140]   consolation prize?
[00:44:10.140 --> 00:44:14.580]   I'm going to be honest.
[00:44:14.580 --> 00:44:19.820]   There are moments in our lives where perhaps it may feel like that.
[00:44:19.820 --> 00:44:23.140]   But we have to really check our hearts.
[00:44:23.140 --> 00:44:28.140]   Asaph, for him, the reality that absolutely changed everything.
[00:44:28.140 --> 00:44:33.980]   Oh my goodness, I have God, right?
[00:44:33.980 --> 00:44:39.940]   I may not have the dream of Orange County Christianity where I have a three-bedroom
[00:44:39.940 --> 00:44:44.420]   house with 2.5 bathrooms because you got to have that .5 bathroom for guests.
[00:44:44.420 --> 00:44:47.180]   I've got 2.5 kids because three is too many.
[00:44:47.180 --> 00:44:51.100]   I've got 2.5 cars and three cars in the garage, like whatever it may be, right?
[00:44:51.100 --> 00:44:54.460]   I may not have that.
[00:44:54.460 --> 00:44:55.460]   I got everything.
[00:44:55.460 --> 00:44:59.140]   I've got God.
[00:44:59.140 --> 00:45:04.420]   That's the reality where it has radically changed Asaph's life.
[00:45:05.140 --> 00:45:09.860]   And if you can't get there and it feels weird, I want to challenge you right now.
[00:45:09.860 --> 00:45:16.780]   How have you drifted where the Lord's presence is not enough?
[00:45:16.780 --> 00:45:22.140]   What has gripped your heart so much you want it so bad where someone says,
[00:45:22.140 --> 00:45:23.980]   "But you have God," and you're like, "I get it.
[00:45:23.980 --> 00:45:28.220]   I have God, but I don't have this yet."
[00:45:28.220 --> 00:45:28.420]   Right?
[00:45:28.420 --> 00:45:30.420]   Is it the job?
[00:45:30.420 --> 00:45:31.380]   Like what good is God's love?
[00:45:31.380 --> 00:45:33.260]   I don't have a job right now.
[00:45:33.260 --> 00:45:39.460]   If that's your words, you got to come to the Lord in repentance.
[00:45:39.460 --> 00:45:45.180]   What has so gripped your soul where the love of God is not enough?
[00:45:45.180 --> 00:45:48.620]   Remember, brothers and sisters, that our Christian faith, again,
[00:45:48.620 --> 00:45:52.540]   is not a religious system, is not a doctrinal system.
[00:45:52.540 --> 00:45:56.260]   It is an access to God Almighty.
[00:45:56.260 --> 00:46:01.460]   Christ died on the cross, tore the veil, and he became the high priest of all to
[00:46:01.460 --> 00:46:04.140]   bring you to God.
[00:46:04.140 --> 00:46:06.620]   End game.
[00:46:06.620 --> 00:46:10.740]   To bring you to his eternal presence forever.
[00:46:10.740 --> 00:46:14.180]   God was not in the business of trying to make you succeed.
[00:46:14.180 --> 00:46:15.420]   "Oh, I know life is hard.
[00:46:15.420 --> 00:46:18.780]   I just want to get you from one-year-old to 80-year-old."
[00:46:18.780 --> 00:46:22.220]   That is not God's dream.
[00:46:22.220 --> 00:46:25.620]   He wants to give you eternity with Christ.
[00:46:25.620 --> 00:46:32.980]   He wants to give you eternity with him as your loving father and you as his child.
[00:46:32.980 --> 00:46:39.020]   Lastly, once Asaph started to realize that, look, once Asaph started to realize,
[00:46:39.020 --> 00:46:41.020]   "Oh, my goodness, look at them people."
[00:46:41.020 --> 00:46:43.540]   Initially, he said, "They have it so good."
[00:46:43.540 --> 00:46:46.020]   And then he looked at God and he was like, "Oh, wait a minute.
[00:46:46.020 --> 00:46:48.620]   God's about to pour out his wrath.
[00:46:48.620 --> 00:46:49.940]   They're doomed."
[00:46:49.940 --> 00:46:52.100]   He looked at himself like, "Oh, my gosh.
[00:46:52.100 --> 00:46:54.540]   My heart wanted that.
[00:46:54.540 --> 00:46:55.620]   I'm like wicked inside.
[00:46:55.620 --> 00:46:57.020]   I'm not pure."
[00:46:57.020 --> 00:46:57.220]   Right?
[00:46:57.220 --> 00:46:58.660]   That's what he's saying.
[00:46:58.660 --> 00:47:02.340]   And then he realizes, "Oh, my gosh.
[00:47:02.340 --> 00:47:03.460]   Why did I want that stuff?
[00:47:03.460 --> 00:47:05.460]   I have God."
[00:47:05.460 --> 00:47:09.260]   And then now he comes to a point where he redefines everything.
[00:47:09.260 --> 00:47:11.180]   He redefines what is good.
[00:47:11.180 --> 00:47:14.140]   Verse 26 through 28, we're going to finish off here.
[00:47:14.140 --> 00:47:15.980]   Go in your Bibles and take a look.
[00:47:15.980 --> 00:47:19.980]   Psalm 73 of 26 to 28 says, "My flesh and my heart may fail,
[00:47:19.980 --> 00:47:21.740]   but God is my strength."
[00:47:21.740 --> 00:47:25.380]   That is a redefining of life.
[00:47:25.380 --> 00:47:26.180]   What's my strength?
[00:47:26.180 --> 00:47:26.740]   My money?
[00:47:26.740 --> 00:47:26.980]   No.
[00:47:26.980 --> 00:47:27.980]   What's my strength?
[00:47:27.980 --> 00:47:28.980]   My skills.
[00:47:28.980 --> 00:47:31.220]   No, it's not your skills, right?
[00:47:31.220 --> 00:47:32.140]   It's my job title.
[00:47:32.140 --> 00:47:33.220]   It's not your job title.
[00:47:33.220 --> 00:47:34.820]   That is not your strength.
[00:47:34.820 --> 00:47:38.060]   When he realizes by faith, God is my strength.
[00:47:38.060 --> 00:47:40.780]   He's the strength of my heart and my portion forever.
[00:47:40.780 --> 00:47:44.100]   For behold, those who are far from you will perish.
[00:47:44.100 --> 00:47:49.340]   He realizes far from God means destruction, close to God means life.
[00:47:49.340 --> 00:47:51.980]   You have destroyed all those who are unfaithful to you.
[00:47:51.980 --> 00:47:54.780]   But as for me, highlight this, you guys.
[00:47:54.780 --> 00:47:59.620]   Star it, underline it, do whatever you can to memorize this.
[00:47:59.620 --> 00:48:05.420]   For me, the nearness of God is my good.
[00:48:05.420 --> 00:48:08.140]   That's Christianity in a nutshell.
[00:48:08.140 --> 00:48:17.500]   I have made the Lord God my refuge that I may tell of all your works.
[00:48:17.500 --> 00:48:21.940]   Wow, that is the beautiful reality.
[00:48:21.940 --> 00:48:26.820]   That's the beautiful reality that Asaph have come to conclusion.
[00:48:26.820 --> 00:48:29.020]   That's his judgment now.
[00:48:29.020 --> 00:48:34.260]   I may be poor, but I'm good, right?
[00:48:34.260 --> 00:48:36.300]   Can you say that?
[00:48:36.300 --> 00:48:40.900]   You may not have the perfect family, but I'm good.
[00:48:40.900 --> 00:48:42.020]   I'm full.
[00:48:42.020 --> 00:48:44.900]   And the devil may come as like, "Look at this new phone.
[00:48:44.900 --> 00:48:46.420]   Look at this new gadget.
[00:48:46.420 --> 00:48:51.060]   Look at this better house, better car, better everything.
[00:48:51.060 --> 00:48:53.020]   Look at the freedom you can have.
[00:48:53.020 --> 00:48:56.140]   You don't have to worry anymore."
[00:48:56.140 --> 00:48:59.260]   Dude, I'm good.
[00:48:59.260 --> 00:49:03.220]   How do you fight the temptation of the enemy?
[00:49:03.220 --> 00:49:08.660]   When you recognize who you have in God and you use the new mechanism,
[00:49:08.660 --> 00:49:13.140]   a new definitive standard, the standard by which I'm going to say,
[00:49:13.140 --> 00:49:18.020]   "My life sucks," versus, "My life is good," is no longer the video I saw
[00:49:18.020 --> 00:49:20.940]   on YouTube, is no longer the guy who's traveling the world.
[00:49:20.940 --> 00:49:25.420]   My standard is the presence of God.
[00:49:25.420 --> 00:49:28.540]   That to me is my good.
[00:49:28.540 --> 00:49:30.860]   That's the Christian faith.
[00:49:30.860 --> 00:49:34.820]   Prosperity, shalom, peace.
[00:49:34.820 --> 00:49:38.100]   That doesn't come with you being able to sell yourself.
[00:49:38.100 --> 00:49:41.780]   That doesn't come with you being able to market, take photos of all that you've
[00:49:41.780 --> 00:49:44.100]   been doing in life.
[00:49:44.100 --> 00:49:48.700]   It comes with you being absolutely content in God.
[00:49:48.700 --> 00:49:55.300]   Now, I want to wrap up and review these four things in a kind of comedic way
[00:49:55.300 --> 00:49:57.780]   because I want to talk about maturity.
[00:49:57.780 --> 00:50:01.460]   A lot of times when I speak in front of our church, many of you have been
[00:50:01.460 --> 00:50:06.780]   Christians for a long time, 20 years, more.
[00:50:06.780 --> 00:50:09.860]   These aren't things that you haven't heard before.
[00:50:09.860 --> 00:50:14.060]   So I want to challenge you, are you maturing?
[00:50:14.060 --> 00:50:18.300]   And the way I want to review this is by saying, ladies in the room who are
[00:50:18.300 --> 00:50:22.340]   single, because a family retreat is happening and there's a bunch of you here,
[00:50:22.340 --> 00:50:23.900]   okay?
[00:50:23.900 --> 00:50:26.340]   I like to give free dating advice and that dating advice is,
[00:50:26.340 --> 00:50:30.980]   "How can you tell if the man you are interested in is a mature man?"
[00:50:30.980 --> 00:50:33.060]   Well, let me tell you the difference.
[00:50:33.060 --> 00:50:41.180]   Ladies, a mature man is going to have a vision that is a holistic Christian
[00:50:41.180 --> 00:50:44.820]   worldview, meaning he's going to see clearly.
[00:50:44.820 --> 00:50:50.260]   A kid is going to have tunnel vision and he can't see the pain coming, right?
[00:50:50.260 --> 00:50:54.260]   When you see a little kid, it's like, "God, you're going to get hurt," right?
[00:50:54.260 --> 00:50:55.780]   That's a child.
[00:50:55.780 --> 00:50:59.020]   Mature individual sees the end game.
[00:50:59.020 --> 00:51:03.060]   What's more, a mature man can humbly judge his own desires.
[00:51:03.060 --> 00:51:03.780]   You know what?
[00:51:03.780 --> 00:51:07.340]   I got a weird, like, "I love the Lord, but I love myself."
[00:51:07.340 --> 00:51:11.100]   I got this weird pride as like, "I boast in Jesus, but I want to boast in myself,"
[00:51:11.100 --> 00:51:15.700]   and they have a humility that's open, right?
[00:51:15.700 --> 00:51:19.860]   A child, he can't see nothing but his own impulses.
[00:51:19.860 --> 00:51:22.500]   He doesn't work off of humble evaluation.
[00:51:22.500 --> 00:51:24.860]   He just, "I see it, I do it," right?
[00:51:24.860 --> 00:51:28.700]   He thinks it's great, but that's just a child.
[00:51:28.700 --> 00:51:34.700]   A man who is mature has a perspective that recognizes what's good.
[00:51:34.700 --> 00:51:36.340]   He values God because it's good.
[00:51:36.340 --> 00:51:38.700]   He values a good woman because it's good in God's eyes.
[00:51:38.700 --> 00:51:44.020]   He knows the difference between this is a jewel of God versus this is not.
[00:51:44.020 --> 00:51:47.500]   A child, a kid, all he knows is what he wants.
[00:51:47.500 --> 00:51:50.580]   That's all he sees and he's not happy until he gets it.
[00:51:50.580 --> 00:51:55.300]   A mature man is already secure.
[00:51:55.300 --> 00:52:00.180]   He's found where to be content in God.
[00:52:00.180 --> 00:52:03.900]   If a kid is sitting there like, "Oh, I don't have what I want," right?
[00:52:03.900 --> 00:52:05.460]   He's always disheveled.
[00:52:05.460 --> 00:52:06.820]   "I don't have my life."
[00:52:06.820 --> 00:52:12.340]   You know, and then, typically, an insecure individual will look at you as the source
[00:52:12.340 --> 00:52:13.940]   of his security.
[00:52:13.940 --> 00:52:17.140]   When you see that, it all fits together.
[00:52:17.140 --> 00:52:21.300]   He doesn't know who he has, he doesn't have a vision of his own heart,
[00:52:21.300 --> 00:52:26.660]   and typically, his vision is short-sighted.
[00:52:26.660 --> 00:52:32.620]   For us, by way of conclusion, this to us is not just simply a nutshell
[00:52:32.620 --> 00:52:34.340]   of Christianity.
[00:52:34.340 --> 00:52:37.860]   This to you, for those of you who have been Christian for a long time,
[00:52:37.860 --> 00:52:40.660]   is also your maturity.
[00:52:40.660 --> 00:52:42.060]   Let's pray.
[00:52:49.340 --> 00:52:58.420]   Lord God, today, Lord, through this beautiful song written by Asaph,
[00:52:58.420 --> 00:53:01.980]   we see the wrestle of the heart.
[00:53:01.980 --> 00:53:06.020]   And God, although maybe we might not be able to sympathize or relate in every
[00:53:06.020 --> 00:53:13.380]   single way, we confess, God, some of these things are real and near temptations.
[00:53:13.380 --> 00:53:17.660]   I ask, Lord, that your spirit would convict us and cause us to grow in faith
[00:53:17.660 --> 00:53:24.660]   to the degree where we see you, we see you clearly and accurately,
[00:53:24.660 --> 00:53:29.260]   and that our hearts would follow and to love you and desire you
[00:53:29.260 --> 00:53:31.740]   above everything else.
[00:53:31.740 --> 00:53:36.060]   God, we will confess, Lord, nothing in this world satisfies,
[00:53:36.060 --> 00:53:42.380]   nothing in this world lasts, not anybody else and definitely not ourselves.
[00:53:42.380 --> 00:53:48.260]   But Father God, you are eternal, and only you can be the full provision
[00:53:48.260 --> 00:53:49.900]   of our hearts.
[00:53:49.900 --> 00:53:54.340]   And so, God, we thank you that in your love, you give yourself to us.
[00:53:54.340 --> 00:53:55.940]   It's in Christ's name we pray. Amen.

