
[00:00:00.000 --> 00:00:06.480]   - Hello everyone.
[00:33:42.100 --> 00:33:43.300]   I'm very agreeable.
[00:33:43.300 --> 00:33:44.220]   That's all good.
[00:33:44.220 --> 00:33:45.500]   I was thinking about it.
[00:33:46.420 --> 00:33:48.900]   But it was never already done, right?
[00:33:48.900 --> 00:33:52.300]   And I think that's one of the issues here
[00:33:52.300 --> 00:33:54.340]   with the priorities of God for us
[00:33:54.340 --> 00:33:57.180]   in preparation for the hard days to come.
[00:33:57.180 --> 00:33:58.700]   Every single one of you who've been Christian
[00:33:58.700 --> 00:34:00.280]   for more than 10 years, please know,
[00:34:00.280 --> 00:34:04.260]   you have probably been at one point on Satan's hit list.
[00:34:04.260 --> 00:34:06.460]   Because if you've been faithful for this long,
[00:34:06.460 --> 00:34:09.980]   then he better make sure that he knocks you down, okay?
[00:34:09.980 --> 00:34:11.820]   And so many people say,
[00:34:11.820 --> 00:34:14.100]   should it be getting easier as you become
[00:34:14.100 --> 00:34:16.580]   like aged at the Christian, more mature as a Christian?
[00:34:16.580 --> 00:34:18.940]   No, it's probably gonna get harder.
[00:34:18.940 --> 00:34:20.780]   And our Lord is saying to us,
[00:34:20.780 --> 00:34:24.180]   make this a priority to get it done.
[00:34:24.180 --> 00:34:26.580]   Put on the full armor of God.
[00:34:26.580 --> 00:34:27.860]   Be ready, amen?
[00:34:27.860 --> 00:34:28.680]   Let's pray.
[00:34:28.680 --> 00:34:35.400]   Heavenly Father, we thank you so much for your love.
[00:34:35.400 --> 00:34:38.740]   We remember and recall,
[00:34:38.740 --> 00:34:41.660]   Lord Christ's love for his disciples
[00:34:41.660 --> 00:34:42.980]   as he was about to leave.
[00:34:43.860 --> 00:34:46.540]   We felt his angst.
[00:34:46.540 --> 00:34:48.180]   We felt his trouble.
[00:34:48.180 --> 00:34:50.260]   In the passion of his words,
[00:34:50.260 --> 00:34:52.960]   he desired to prepare his disciples for his departure.
[00:34:52.960 --> 00:34:56.460]   And for us, Father God, you have told us,
[00:34:56.460 --> 00:34:58.480]   you did not leave us.
[00:34:58.480 --> 00:35:01.180]   You have already given to us the spirit.
[00:35:01.180 --> 00:35:05.000]   And you're reminding us that you have granted power
[00:35:05.000 --> 00:35:06.440]   in the name of Christ.
[00:35:06.440 --> 00:35:08.900]   And it is my prayer, Lord,
[00:35:08.900 --> 00:35:12.300]   that every believer experiences that power in their life
[00:35:12.300 --> 00:35:14.020]   starting now.
[00:35:14.020 --> 00:35:18.500]   Not to think that that's only for a distant, distant future
[00:35:18.500 --> 00:35:20.140]   when you return,
[00:35:20.140 --> 00:35:22.900]   but that we need to be walking with you steadily,
[00:35:22.900 --> 00:35:25.060]   abiding in you now.
[00:35:25.060 --> 00:35:27.340]   Lord, right now, there's so many things in the day,
[00:35:27.340 --> 00:35:30.500]   like the distractions, but also the worries,
[00:35:30.500 --> 00:35:33.060]   the unrest, the divisions,
[00:35:33.060 --> 00:35:36.620]   and all these things are wearisome, grievous.
[00:35:36.620 --> 00:35:40.060]   I pray, God, you'd grant to us sobriety of mind,
[00:35:40.060 --> 00:35:41.220]   of fortitude, Lord God,
[00:35:41.220 --> 00:35:43.980]   where our minds are saturated in your truth,
[00:35:43.980 --> 00:35:48.300]   to be able to prove, approve what is godly in your sight,
[00:35:48.300 --> 00:35:51.300]   so that, Lord, we would both be pleasing to you,
[00:35:51.300 --> 00:35:53.780]   but that we would also be able to endure.
[00:35:53.780 --> 00:35:54.620]   Lord, we wanna thank you.
[00:35:54.620 --> 00:35:56.220]   It's in Christ's name we pray, amen.
[00:35:56.220 --> 00:36:05.900]   [BLANK_AUDIO]

