
[00:00:00.000 --> 00:00:04.000]   I first believed
[00:48:07.000 --> 00:48:09.000]   He never broke the Sabbath.
[00:48:09.000 --> 00:48:12.000]   He broke their application of the Sabbath.
[00:48:12.000 --> 00:48:15.000]   The tradition that they created saying, "You know what?
[00:48:15.000 --> 00:48:17.000]   Keeping the Sabbath means that you can go this far,
[00:48:17.000 --> 00:48:21.000]   but if you go beyond that, you're breaking the Sabbath."
[00:48:21.000 --> 00:48:25.000]   So they were judging people based upon what they thought breaking the Sabbath meant.
[00:48:25.000 --> 00:48:30.000]   Not what the Bible said, but what they thought breaking the Sabbath meant.
[00:48:30.000 --> 00:48:32.000]   So they kept on saying, "Why are you breaking the Sabbath?
[00:48:32.000 --> 00:48:34.000]   Why are you breaking the Sabbath?"
[00:48:34.000 --> 00:48:36.000]   Jesus answered them in Mark 2, 27.
[00:48:36.000 --> 00:48:40.000]   Jesus said to them, "The Sabbath was made for man, not man for Sabbath.
[00:48:40.000 --> 00:48:46.000]   So the man is Lord even of the Sabbath."
[00:48:46.000 --> 00:48:51.000]   The very name Sabbath means to rest.
[00:48:51.000 --> 00:48:54.000]   And you made it a to-do list.
[00:48:54.000 --> 00:48:59.000]   And instead of finding rest and making Christ Lord of the Sabbath,
[00:48:59.000 --> 00:49:04.000]   it becomes an additional burden for you to carry out.
[00:49:04.000 --> 00:49:08.000]   Instead of bringing you to Christ, it's keeping you away from Christ.
[00:49:08.000 --> 00:49:10.000]   And that's what he was saying. He was reversing that.
[00:49:10.000 --> 00:49:13.000]   He said, "You missed the whole point of the Sabbath.
[00:49:13.000 --> 00:49:17.000]   Sabbath was made for you so that you can recuperate,
[00:49:17.000 --> 00:49:20.000]   so you can rest, so you can worship God,
[00:49:20.000 --> 00:49:23.000]   so your faith would increase in who He is."
[00:49:23.000 --> 00:49:27.000]   But because you made it into rules,
[00:49:27.000 --> 00:49:30.000]   now Sabbath is destroying you.
[00:49:30.000 --> 00:49:34.000]   That's exactly what John was trying to say in the book of John.
[00:49:34.000 --> 00:49:38.000]   What Jesus was saying with the seven "I am" statements.
[00:49:38.000 --> 00:49:42.000]   People were coming to Him and said, "You're eating bread and you want more bread."
[00:49:42.000 --> 00:49:45.000]   He says, "I am the bread."
[00:49:45.000 --> 00:49:48.000]   You're looking for the Messiah to come.
[00:49:48.000 --> 00:49:51.000]   And just like God used the clouds and the light,
[00:49:51.000 --> 00:49:53.000]   the pillar of light to lead people,
[00:49:53.000 --> 00:49:56.000]   you're looking for the Messiah to come and shed light.
[00:49:56.000 --> 00:49:59.000]   He says, "I am the light."
[00:49:59.000 --> 00:50:01.000]   You're looking for, like, you know, which, where do we go?
[00:50:01.000 --> 00:50:03.000]   Do we want to be part of the synagogue?
[00:50:03.000 --> 00:50:05.000]   Do we want to be accepted in a community?
[00:50:05.000 --> 00:50:08.000]   And Jesus says, "I am the door."
[00:50:08.000 --> 00:50:12.000]   They were begging Him, "Won't You come and make sure that our brother Lazarus
[00:50:12.000 --> 00:50:15.000]   lives a little bit longer? Make him healthy so that he doesn't die."
[00:50:15.000 --> 00:50:19.000]   And Jesus allows him to die so that He can make it point.
[00:50:19.000 --> 00:50:22.000]   "I am the resurrection and the life."
[00:50:22.000 --> 00:50:25.000]   These are the people who are looking for leaders to guide them and lead them.
[00:50:25.000 --> 00:50:28.000]   Who should we follow? The Pharisees or the Sadducees?
[00:50:28.000 --> 00:50:31.000]   And Jesus says, "I am the Good Shepherd."
[00:50:31.000 --> 00:50:34.000]   Where do we go? If you leave us, where are we going to go?
[00:50:34.000 --> 00:50:39.000]   He says, "I am the way and the truth and the life."
[00:50:39.000 --> 00:50:42.000]   Well, if you leave us, how are we going to bear fruit?
[00:50:42.000 --> 00:50:46.000]   How are we going to know what to do? Jesus says, "I am the vine."
[00:50:46.000 --> 00:50:52.000]   Every one of these "I am" statements is to shatter through the idols
[00:50:52.000 --> 00:50:57.000]   that they were hanging their hats on and then saying, "I am."
[00:50:57.000 --> 00:51:01.000]   That's exactly what He was trying to teach Abraham.
[00:51:01.000 --> 00:51:05.000]   Even though Isaac is the promised child, the only begotten child,
[00:51:05.000 --> 00:51:10.000]   the promise isn't based upon Isaac and his health and how long he's going to live,
[00:51:10.000 --> 00:51:13.000]   how many children he's going to have, because there's going to come times
[00:51:13.000 --> 00:51:16.000]   when that's not going to make sense.
[00:51:16.000 --> 00:51:21.000]   He may come to the verge of death, but you should not be shaken.
[00:51:21.000 --> 00:51:27.000]   He might even die, but your faith should not be shaken.
[00:51:27.000 --> 00:51:32.000]   Because the promise is not based upon him, but God.
[00:51:32.000 --> 00:51:37.000]   Abraham, by this time, knew this.
[00:51:37.000 --> 00:51:40.000]   That was not the faith that he had. He believed in God enough to walk out,
[00:51:40.000 --> 00:51:43.000]   but that's not the faith that he had early on.
[00:51:43.000 --> 00:51:48.000]   Remember early on, he was like, "How come it's taking so long?"
[00:51:48.000 --> 00:51:53.000]   He was going to fulfill it himself because he couldn't see what God was going to do.
[00:51:53.000 --> 00:51:58.000]   It was hard in the beginning, but after 25 years, when he turned 100,
[00:51:58.000 --> 00:52:01.000]   his wife was 90 years old, now it's impossible.
[00:52:01.000 --> 00:52:04.000]   But by this time, what does he say? Genesis 22.3, when God told him,
[00:52:04.000 --> 00:52:09.000]   he just said, "Abraham rose early in the morning, saddled his donkey, and just left."
[00:52:09.000 --> 00:52:12.000]   Now, I'm not sure if Abraham said anything because it's not recorded,
[00:52:12.000 --> 00:52:16.000]   but all it says was he believed God and he just did it.
[00:52:16.000 --> 00:52:22.000]   Because he believed that even if he dies, he can raise him.
[00:52:22.000 --> 00:52:28.000]   In other words, I trust him. He's proven himself to me.
[00:52:28.000 --> 00:52:31.000]   When times I didn't believe him and I questioned him,
[00:52:31.000 --> 00:52:35.000]   and I self-willed myself to fulfill this promise,
[00:52:35.000 --> 00:52:38.000]   he broke into all of that and he showed me to trust him.
[00:52:38.000 --> 00:52:40.000]   And that's what he was trying to fulfill here.
[00:52:40.000 --> 00:52:44.000]   And that's why in Psalm 20.7, the psalmist says,
[00:52:44.000 --> 00:52:52.000]   "Some trust in chariots, some trust in horses, but we trust the name of the Lord."
[00:52:52.000 --> 00:52:57.000]   So that's a lesson that every person of faith not only needs to have,
[00:52:57.000 --> 00:53:01.000]   but continue to increase and grow.
[00:53:01.000 --> 00:53:04.000]   That the stability and foundation of the refuge
[00:53:04.000 --> 00:53:09.000]   does not base upon who's around us, promises of the economy,
[00:53:09.000 --> 00:53:12.000]   who's going to be the leader, how much money did you save for retirement,
[00:53:12.000 --> 00:53:15.000]   do you have enough friends around you, what community do you belong to,
[00:53:15.000 --> 00:53:20.000]   but in the end, all that God promises hinges upon his faithfulness
[00:53:20.000 --> 00:53:24.000]   despite all that happens around us.
[00:53:24.000 --> 00:53:30.000]   Secondly, the test is to prove something even deeper than that.
[00:53:30.000 --> 00:53:34.000]   The test was to see whom Abraham loved.
[00:53:34.000 --> 00:53:38.000]   It says in Genesis 22, 1-2, "Now it came about after these things
[00:53:38.000 --> 00:53:41.000]   that God tested Abraham and said to him, 'Abraham,' and he said, 'Here I am.'
[00:53:41.000 --> 00:53:44.000]   And he said, 'Take now your son, your only son,'"
[00:53:44.000 --> 00:53:51.000]   and then he has "whom you love," and "offer him."
[00:53:51.000 --> 00:53:57.000]   I mean, can you imagine how much this child was loved?
[00:53:57.000 --> 00:54:05.000]   They left everything, risked everything, and they waited for so long.
[00:54:05.000 --> 00:54:10.000]   Every once in a while, you'll--and maybe some of you are in that category
[00:54:10.000 --> 00:54:14.000]   where you wanted a child for so long, and you prayed and prayed,
[00:54:14.000 --> 00:54:17.000]   and you thought maybe you weren't going to have a child,
[00:54:17.000 --> 00:54:19.000]   and you saw all the other people having children,
[00:54:19.000 --> 00:54:23.000]   and the pain that kind of comes with that, like, "Why isn't God blessing me?"
[00:54:23.000 --> 00:54:27.000]   And then when you lost all hope, and then you have a child, right?
[00:54:27.000 --> 00:54:30.000]   I've walked with some people who went through that.
[00:54:30.000 --> 00:54:33.000]   I had a friend who actually was a pastor of a church nearby,
[00:54:33.000 --> 00:54:39.000]   and he prayed for over 10, 11 years, and didn't have a child.
[00:54:39.000 --> 00:54:41.000]   And they were almost kind of getting ready to, like,
[00:54:41.000 --> 00:54:44.000]   "Okay, maybe that's just going to be our lot in life,"
[00:54:44.000 --> 00:54:47.000]   and he was ready to move on, and for 10 years, that's what he was praying for,
[00:54:47.000 --> 00:54:52.000]   and then on the 11th year, he had kids.
[00:54:52.000 --> 00:54:57.000]   And I don't even have to describe to you the kind of joy that fell on this family.
[00:54:57.000 --> 00:55:02.000]   Can you imagine how much joy was brought to this family?
[00:55:02.000 --> 00:55:08.000]   Sarai was barren before she trusted God, and waited years,
[00:55:08.000 --> 00:55:14.000]   and when they tried to fulfill it, it caused all kinds of problems with Ishmael.
[00:55:14.000 --> 00:55:16.000]   "No, trust me."
[00:55:16.000 --> 00:55:21.000]   And they actually named the son Isaac because it was so hard to believe.
[00:55:21.000 --> 00:55:24.000]   They laughed. They giggled.
[00:55:24.000 --> 00:55:27.000]   I think the name Isaac laughed is given for two reasons.
[00:55:27.000 --> 00:55:30.000]   One, because in unbelief, they turned around, they laughed.
[00:55:30.000 --> 00:55:33.000]   But the second reason, Sarai means princess.
[00:55:33.000 --> 00:55:37.000]   Sarah means joy and delight.
[00:55:37.000 --> 00:55:40.000]   Isaac was the fulfillment of that joy and delight.
[00:55:40.000 --> 00:55:44.000]   That's why he's named Isaac, because of the way they reacted
[00:55:44.000 --> 00:55:49.000]   and because of what God intended to bring into that home.
[00:55:49.000 --> 00:55:57.000]   So I don't think it's an exaggeration to say that he was very, very, very loved.
[00:55:57.000 --> 00:56:00.000]   In fact, I don't think, again, it's an exaggeration.
[00:56:00.000 --> 00:56:05.000]   I think we would all agree he was probably the most precious thing that they had.
[00:56:05.000 --> 00:56:09.000]   And God not only said he's the fulfillment of your promise,
[00:56:09.000 --> 00:56:12.000]   he's something that you love more than anything else.
[00:56:12.000 --> 00:56:16.000]   Offer him up.
[00:56:16.000 --> 00:56:20.000]   I mean, put yourself in that situation.
[00:56:20.000 --> 00:56:26.000]   Not only is sacrificing Isaac means the future and everything else that God said,
[00:56:26.000 --> 00:56:29.000]   but even if that wasn't the case,
[00:56:29.000 --> 00:56:33.000]   even if he wasn't the fulfillment of all of that,
[00:56:33.000 --> 00:56:37.000]   just offering up your son that you love so much,
[00:56:37.000 --> 00:56:41.000]   that you enjoyed so much, brought so much delight into your lives,
[00:56:41.000 --> 00:56:44.000]   and for God said to offer him up.
[00:56:44.000 --> 00:56:50.000]   God was not only testing to see his faith, he was testing to see his affection.
[00:56:50.000 --> 00:56:54.000]   Who do you love? What do you love more than anything else?
[00:56:54.000 --> 00:56:58.000]   I mean, the Bible clearly says the greatest command that God desires from us
[00:56:58.000 --> 00:57:01.000]   is to love the Lord your God with all your heart, soul, mind, and strength.
[00:57:01.000 --> 00:57:03.000]   That's what he desires more than anything else.
[00:57:03.000 --> 00:57:06.000]   That's why in the book of Revelation, when he talks to the church of Ephesus,
[00:57:06.000 --> 00:57:11.000]   he says you have right doctrine, you persevere, you have a lot of good works.
[00:57:11.000 --> 00:57:15.000]   On the surface, they have everything that a good church should have.
[00:57:15.000 --> 00:57:18.000]   And he says, yet I have this one thing against you.
[00:57:18.000 --> 00:57:22.000]   You have forsaken your first love.
[00:57:22.000 --> 00:57:25.000]   The word for first here is protos.
[00:57:25.000 --> 00:57:29.000]   Protos is not the word that they would use to describe first, second, third, or fourth.
[00:57:29.000 --> 00:57:32.000]   Protos basically means in priority.
[00:57:32.000 --> 00:57:34.000]   The most.
[00:57:34.000 --> 00:57:37.000]   So when he says proto agapen,
[00:57:37.000 --> 00:57:41.000]   he's basically saying you're doing all the externally, you're doing all of these things,
[00:57:41.000 --> 00:57:45.000]   but I'm not your greatest love.
[00:57:45.000 --> 00:57:47.000]   I'm not your greatest love.
[00:57:47.000 --> 00:57:50.000]   God is not simply saying you should love me.
[00:57:50.000 --> 00:57:54.000]   I think most Christians will say that we love God to a certain degree.
[00:57:54.000 --> 00:57:58.000]   Whether it's small love or big love, we say we love God.
[00:57:58.000 --> 00:58:01.000]   We sing about him.
[00:58:01.000 --> 00:58:04.000]   Is he our greatest love?
[00:58:04.000 --> 00:58:08.000]   Protos agapen.
[00:58:08.000 --> 00:58:13.000]   Remember when Peter denies Christ and then after the resurrection,
[00:58:13.000 --> 00:58:17.000]   he sees them at the shore and he restores Peter.
[00:58:17.000 --> 00:58:20.000]   John chapter 21, 15-17.
[00:58:20.000 --> 00:58:23.000]   So when they had finished breakfast, Jesus said to Simon Peter,
[00:58:23.000 --> 00:58:28.000]   Simon son of John, do you love me more than these?
[00:58:28.000 --> 00:58:31.000]   He said to him, yes Lord, you know that I love you.
[00:58:31.000 --> 00:58:34.000]   He said, tend my lambs then.
[00:58:34.000 --> 00:58:37.000]   He said to him again a second time, Simon son of John, do you love me?
[00:58:37.000 --> 00:58:40.000]   He said to him, yes Lord, you know that I love you.
[00:58:40.000 --> 00:58:42.000]   He said to him, shepherd my sheep.
[00:58:42.000 --> 00:58:45.000]   He said to him a third time, Simon son of John, do you love me?
[00:58:45.000 --> 00:58:48.000]   Peter was grieved because he said to him the third time, do you love me?
[00:58:48.000 --> 00:58:50.000]   And he said to him, Lord, you know all things.
[00:58:50.000 --> 00:58:52.000]   You know that I love you.
[00:58:52.000 --> 00:58:54.000]   Jesus said to him, tend my sheep.
[00:58:54.000 --> 00:58:57.000]   Some people have taken this tax and said, you know what,
[00:58:57.000 --> 00:59:01.000]   the reason why he asked him three times is because Peter answered wrong.
[00:59:01.000 --> 00:59:04.000]   So in the Greek, Jesus asked, do you agape me?
[00:59:04.000 --> 00:59:09.000]   And the first time he says, yes Lord, you know I phileo you.
[00:59:09.000 --> 00:59:11.000]   And then the second time Jesus says, do you agape me?
[00:59:11.000 --> 00:59:14.000]   And he says, yes Lord, you know I phileo you.
[00:59:14.000 --> 00:59:17.000]   Third time Jesus says, do you really phileo me?
[00:59:17.000 --> 00:59:19.000]   And Jesus said, you know all things, Lord.
[00:59:19.000 --> 00:59:21.000]   You know I phileo you.
[00:59:21.000 --> 00:59:25.000]   So some people have looked at that and said, you know, God was asking for agape
[00:59:25.000 --> 00:59:27.000]   and he said phileo, so he got it wrong.
[00:59:27.000 --> 00:59:30.000]   So the third time Jesus gave in.
[00:59:30.000 --> 00:59:33.000]   Clearly you're not going to agape me, so do you phileo me?
[00:59:33.000 --> 00:59:37.000]   I'm going to accept a lesser love, phileo, so he said yes.
[00:59:37.000 --> 00:59:41.000]   That's how some people look at that, and I don't think that's what's going on.
[00:59:41.000 --> 00:59:46.000]   Because in the Greek, the word agape and phileo is often used interchangeably,
[00:59:46.000 --> 00:59:48.000]   and this is a perfect example of that.
[00:59:48.000 --> 00:59:52.000]   Because when Jesus asked you agape me, Peter doesn't say, no, I phileo you.
[00:59:52.000 --> 00:59:57.000]   He says, yes, I phileo you.
[00:59:57.000 --> 01:00:00.000]   Do you agape me? Yes, Lord.
[01:00:00.000 --> 01:00:03.000]   Of course I phileo you.
[01:00:03.000 --> 01:00:06.000]   Jesus said, do you really phileo me?
[01:00:06.000 --> 01:00:08.000]   And he got hurt.
[01:00:08.000 --> 01:00:13.000]   If he was answering wrong, right, he said, why would he get hurt?
[01:00:13.000 --> 01:00:16.000]   Clearly you're failing the exam.
[01:00:16.000 --> 01:00:20.000]   Clearly I'm asking you agape, you're saying phileo, and Jesus gave in.
[01:00:20.000 --> 01:00:24.000]   He said, no, it was being used interchangeably.
[01:00:24.000 --> 01:00:27.000]   Then why does he ask him three times?
[01:00:27.000 --> 01:00:31.000]   Because the number three is the number of completion.
[01:00:31.000 --> 01:00:35.000]   So if you read in the Bible, it says where two or three are gathered together.
[01:00:35.000 --> 01:00:39.000]   Do not entertain an accusation against it unless there's two or three.
[01:00:39.000 --> 01:00:43.000]   The number three Jesus was crucified was resurrected on the third day
[01:00:43.000 --> 01:00:48.000]   to make sure that he actually was dead so that the resurrection was actually a resurrection.
[01:00:48.000 --> 01:00:54.000]   So the number three is the number of completion, of completeness.
[01:00:54.000 --> 01:01:00.000]   So when Peter denied Jesus, he said he denied him how many times?
[01:01:00.000 --> 01:01:01.000]   Three times.
[01:01:01.000 --> 01:01:04.000]   Now why did he deny him three times?
[01:01:04.000 --> 01:01:08.000]   Maybe if he denied once, he'd say, oh, that was a slip of his tongue.
[01:01:08.000 --> 01:01:11.000]   He was just under pressure.
[01:01:11.000 --> 01:01:17.000]   He said, no, he denied him three times, meaning that it was a very willful rejection.
[01:01:17.000 --> 01:01:22.000]   So in order to restore him, he restores him three times.
[01:01:22.000 --> 01:01:24.000]   Do you love me?
[01:01:24.000 --> 01:01:29.000]   Just as it was confirmed that he denied Christ, it is confirmed his love for him.
[01:01:29.000 --> 01:01:32.000]   But you know what's interesting here?
[01:01:32.000 --> 01:01:39.000]   If he failed that exam to be loyal to Christ, you would think that that's what he would say.
[01:01:39.000 --> 01:01:44.000]   Especially if he's going to be established to feed the sheep.
[01:01:44.000 --> 01:01:46.000]   Now I'm going to go.
[01:01:46.000 --> 01:01:49.000]   When I was going to the cross, it was a test.
[01:01:49.000 --> 01:01:53.000]   It wasn't the final test.
[01:01:53.000 --> 01:01:55.000]   It was kind of like a quarter test.
[01:01:55.000 --> 01:01:57.000]   It only counts for 10%.
[01:01:57.000 --> 01:02:01.000]   Now this one's going to count for all your grade.
[01:02:01.000 --> 01:02:04.000]   So you failed that time, so don't fail this time.
[01:02:04.000 --> 01:02:08.000]   So when I leave, you better not deny me.
[01:02:08.000 --> 01:02:10.000]   You would think that that's what Jesus would be asking.
[01:02:10.000 --> 01:02:12.000]   Are you going to stay loyal?
[01:02:12.000 --> 01:02:13.000]   Yes, Lord.
[01:02:13.000 --> 01:02:16.000]   You sure you're going to stay loyal?
[01:02:16.000 --> 01:02:18.000]   Yes, Lord.
[01:02:18.000 --> 01:02:20.000]   You better not fail.
[01:02:20.000 --> 01:02:22.000]   You sure you're going to stay loyal?
[01:02:22.000 --> 01:02:27.000]   Because after I leave and you fall, James and John's going to fall.
[01:02:27.000 --> 01:02:30.000]   Matthew for sure is going to fall.
[01:02:30.000 --> 01:02:34.000]   Peter the zealot for sure is going to fall.
[01:02:34.000 --> 01:02:37.000]   They're all going to fall, so you better get this right.
[01:02:37.000 --> 01:02:40.000]   That's not what he says.
[01:02:40.000 --> 01:02:46.000]   In order to establish him, to use him, the only thing that he checks is,
[01:02:46.000 --> 01:02:52.000]   "Do you love me? Do you love me?"
[01:02:52.000 --> 01:02:54.000]   Not, "Are you going to fail me?
[01:02:54.000 --> 01:02:56.000]   Are you sure you're going to be pure?
[01:02:56.000 --> 01:02:58.000]   Are you going to get your doctrines right?
[01:02:58.000 --> 01:03:01.000]   Are you sure you're going to be disciplined?
[01:03:01.000 --> 01:03:04.000]   Are you sure you know how to make disciples?
[01:03:04.000 --> 01:03:08.000]   Are you sure you're going to be holy?"
[01:03:08.000 --> 01:03:12.000]   No, "Do you love me?"
[01:03:12.000 --> 01:03:14.000]   But not only does he ask him, "Do you love me?"
[01:03:14.000 --> 01:03:17.000]   He said, "Do you love me more than these?"
[01:03:17.000 --> 01:03:20.000]   So there's a debate as to what the "these" he's talking about.
[01:03:20.000 --> 01:03:25.000]   Obviously, he was fishing, so some people say he's pointing to the fish.
[01:03:25.000 --> 01:03:26.000]   Right?
[01:03:26.000 --> 01:03:28.000]   "Do you love me more than sushi?
[01:03:28.000 --> 01:03:30.000]   Do you love me?"
[01:03:30.000 --> 01:03:34.000]   So some people say maybe that's one of the interpretations.
[01:03:34.000 --> 01:03:41.000]   That because Jesus was referring to Peter's statement before he went to the cross,
[01:03:41.000 --> 01:03:45.000]   he said, "You know, all of them are going to fail you, but I will not."
[01:03:45.000 --> 01:03:48.000]   So it could be that Jesus is pointing to the disciples.
[01:03:48.000 --> 01:03:52.000]   "Do you love me more than these guys here?
[01:03:52.000 --> 01:03:55.000]   They may fail me again. Are you?"
[01:03:55.000 --> 01:03:58.000]   I thought that that was a better interpretation.
[01:03:58.000 --> 01:04:05.000]   But I think there's a reason why that's left ambiguous.
[01:04:05.000 --> 01:04:11.000]   Because I don't think he was necessarily referring to one particular thing.
[01:04:11.000 --> 01:04:15.000]   When he says "these," he's talking about everything else,
[01:04:15.000 --> 01:04:18.000]   which includes sushi,
[01:04:18.000 --> 01:04:22.000]   which includes the other companions.
[01:04:22.000 --> 01:04:26.000]   "Do you love me more than these?"
[01:04:26.000 --> 01:04:29.000]   More than anything else.
[01:04:29.000 --> 01:04:33.000]   And even your own life.
[01:04:33.000 --> 01:04:36.000]   I believe that that's what Jesus was asking him.
[01:04:36.000 --> 01:04:39.000]   Because that's what God is pursuing with us.
[01:04:39.000 --> 01:04:42.000]   He's not simply saving us so that we don't go to hell.
[01:04:42.000 --> 01:04:45.000]   That in and of itself, we should be praising God.
[01:04:45.000 --> 01:04:52.000]   The fact that he knows our name alone should cause us to be all in worshiping God.
[01:04:52.000 --> 01:04:56.000]   But he made us his son,
[01:04:56.000 --> 01:05:01.000]   so that we can come into the inner chamber of God and call him our Abba Father,
[01:05:01.000 --> 01:05:04.000]   to enter the throne of grace with confidence.
[01:05:04.000 --> 01:05:08.000]   We become co-heirs with Christ.
[01:05:08.000 --> 01:05:13.000]   He's not pursuing a proper legal standing in eternity.
[01:05:13.000 --> 01:05:16.000]   He adopted us.
[01:05:16.000 --> 01:05:18.000]   He loved us.
[01:05:18.000 --> 01:05:21.000]   So we love him back.
[01:05:21.000 --> 01:05:24.000]   Isn't that the greatest reward?
[01:05:24.000 --> 01:05:26.000]   Isn't that the greatest reward if you, you know,
[01:05:26.000 --> 01:05:28.000]   like people in our church are adopting children,
[01:05:28.000 --> 01:05:30.000]   and we're very encouraged by that?
[01:05:30.000 --> 01:05:34.000]   The greatest reward of adopting a child is not he become an Olympic champion,
[01:05:34.000 --> 01:05:38.000]   and one day I'm going to be famous because of this child.
[01:05:38.000 --> 01:05:41.000]   Imagine the pressure that that child is under.
[01:05:41.000 --> 01:05:44.000]   That he's going to be a famous baseball star.
[01:05:44.000 --> 01:05:48.000]   That he's going to found another Facebook, and he's going to become a millionaire.
[01:05:48.000 --> 01:05:52.000]   Imagine if somebody actually adopted a child with that intent.
[01:05:52.000 --> 01:05:54.000]   How that would ruin that child.
[01:05:54.000 --> 01:05:56.000]   It would have been better for him to be orphaned.
[01:05:56.000 --> 01:06:02.000]   No, the greatest reward that a child can give to parents who adopted him is what?
[01:06:02.000 --> 01:06:06.000]   To embrace his parents as his own.
[01:06:06.000 --> 01:06:13.000]   To love them as much as they loved that child.
[01:06:13.000 --> 01:06:16.000]   It's clear that that's what God is pursuing with us.
[01:06:16.000 --> 01:06:21.000]   That's why even when Paul told Timothy to teach certain men not to teach false doctrines,
[01:06:21.000 --> 01:06:25.000]   he makes sure he qualifies that because he's sending him to battle, and he says,
[01:06:25.000 --> 01:06:29.000]   "But the goal of this instruction is love."
[01:06:29.000 --> 01:06:30.000]   Love.
[01:06:30.000 --> 01:06:35.000]   Not simple purity, not simple doctrinal correctness.
[01:06:35.000 --> 01:06:37.000]   It's love.
[01:06:37.000 --> 01:06:41.000]   To make sure that when you enter into this battle, that you examine yourself.
[01:06:41.000 --> 01:06:45.000]   You make sure that this goal, the end product of it, isn't simply we got the right doctrine,
[01:06:45.000 --> 01:06:47.000]   we're doing the right thing, we're organized a certain way,
[01:06:47.000 --> 01:06:53.000]   but that what comes out of that is greater love.
[01:06:53.000 --> 01:07:00.000]   You know, I'm starting to get at that age where one by one, my close friends that I have,
[01:07:00.000 --> 01:07:05.000]   they have had children a little bit before me, are starting to have kids who are getting married,
[01:07:05.000 --> 01:07:10.000]   and then some of them, a few of them, are starting to have grandkids.
[01:07:10.000 --> 01:07:11.000]   You know?
[01:07:11.000 --> 01:07:12.000]   So it's surreal.
[01:07:12.000 --> 01:07:14.000]   It's not like when we first got married, we'd say, you know, we were young,
[01:07:14.000 --> 01:07:16.000]   and say, "Who's going to get married first?"
[01:07:16.000 --> 01:07:18.000]   And, "Well, that person got married, this person got married."
[01:07:18.000 --> 01:07:22.000]   So I have roommates and I have friends that we've known for a long time,
[01:07:22.000 --> 01:07:25.000]   and now, you know, their kids are a little bit older, they're in their mid to late 20s,
[01:07:25.000 --> 01:07:30.000]   and so now they're having kids, and so I asked them, "So what is it like being a grandparent?"
[01:07:30.000 --> 01:07:32.000]   You know?
[01:07:32.000 --> 01:07:35.000]   And they said, "Most of the time, it's awesome."
[01:07:35.000 --> 01:07:36.000]   Right?
[01:07:36.000 --> 01:07:37.000]   I said, "So what's different?"
[01:07:37.000 --> 01:07:40.000]   They said, "Man, when we were parents,
[01:07:40.000 --> 01:07:44.000]   we were so busy raising the kids that we didn't enjoy them.
[01:07:44.000 --> 01:07:47.000]   Now we just enjoy them."
[01:07:47.000 --> 01:07:48.000]   We said, "We love them just as much.
[01:07:48.000 --> 01:07:52.000]   We love our grandkids as much as we love our own children,
[01:07:52.000 --> 01:07:59.000]   but we didn't enjoy our kids like we enjoy the grandkids."
[01:07:59.000 --> 01:08:04.000]   So much of what we do as Christians,
[01:08:04.000 --> 01:08:07.000]   we get so wrapped up in trying to be good Christians,
[01:08:07.000 --> 01:08:12.000]   and we miss the whole point of why God saved us.
[01:08:12.000 --> 01:08:15.000]   We get caught up in trying to fix the church,
[01:08:15.000 --> 01:08:19.000]   not realizing the church is a gift to us to enjoy.
[01:08:19.000 --> 01:08:24.000]   We get so caught up preaching the gospel that we don't celebrate the gospel.
[01:08:24.000 --> 01:08:29.000]   We get so caught up in trying to make godly marriages
[01:08:29.000 --> 01:08:32.000]   that we don't actually enjoy the marriage.
[01:08:32.000 --> 01:08:36.000]   We work so hard to be obedient and follow God
[01:08:36.000 --> 01:08:42.000]   that we don't actually enjoy God and worship God.
[01:08:42.000 --> 01:08:48.000]   He came to give life and to give life abundantly.
[01:08:48.000 --> 01:08:54.000]   The best way to thank God is to enjoy the life that He has given us
[01:08:54.000 --> 01:08:57.000]   and to love Him in response.
[01:08:57.000 --> 01:09:00.000]   And so church is an avenue for us to do that.
[01:09:00.000 --> 01:09:02.000]   Fellowship is to remind us to do that.
[01:09:02.000 --> 01:09:07.000]   We study the Word of God so that would take us so that we could love God.
[01:09:07.000 --> 01:09:10.000]   But if we're not careful, we can make all that God has given us,
[01:09:10.000 --> 01:09:14.000]   just like the Pharisees made the Sabbath.
[01:09:14.000 --> 01:09:19.000]   Be burdened by the church, burdened by the fellowship, burdened by commands.
[01:09:19.000 --> 01:09:26.000]   And if the central thing that you and I have fallen short of is the glory of God,
[01:09:26.000 --> 01:09:33.000]   shouldn't the primary thing that God restores is His glory?
[01:09:33.000 --> 01:09:37.000]   To be in all of His glory.
[01:09:37.000 --> 01:09:41.000]   I mean, that guy really loves God.
[01:09:41.000 --> 01:09:44.000]   That lady really loves God.
[01:09:44.000 --> 01:09:49.000]   What happened? What is it about God that He would love God that much?
[01:09:49.000 --> 01:09:56.000]   But if we're not careful, we make idols of the gift that God has given us,
[01:09:56.000 --> 01:10:03.000]   and we give so much of our energy, hope, into the crutch that God may have given
[01:10:03.000 --> 01:10:06.000]   so that we can walk better.
[01:10:06.000 --> 01:10:09.000]   And then now that has become a burden.
[01:10:09.000 --> 01:10:16.000]   See, Isaac, he loved more than anything else.
[01:10:16.000 --> 01:10:21.000]   But remember the covenant that God made with Abraham was not to be burdensome
[01:10:21.000 --> 01:10:24.000]   because God gave it to him unilaterally.
[01:10:24.000 --> 01:10:26.000]   It was a gift.
[01:10:26.000 --> 01:10:31.000]   You know, when two people get married, the Christian answer that we give,
[01:10:31.000 --> 01:10:35.000]   "For the glory of God, two are better than one."
