
[00:00:00.000 --> 00:00:09.400]   Let's pray.
[00:42:22.540 --> 00:42:25.060]   Any time I say, "Hey, we need—" I'll do it.
[00:42:25.060 --> 00:42:26.460]   "Hey, we need more people."
[00:42:26.460 --> 00:42:27.460]   I'll do it.
[00:42:27.460 --> 00:42:28.460]   "We need more people."
[00:42:28.460 --> 00:42:29.460]   I'll do it.
[00:42:29.460 --> 00:42:36.380]   So you know like 14 different community groups, 14 different—I mean, you just love to serve.
[00:42:36.380 --> 00:42:38.060]   You know, and sometimes we go, "Hey, calm down.
[00:42:38.060 --> 00:42:41.180]   Just pick a couple and just be faithful at those stuff."
[00:42:41.180 --> 00:42:45.900]   I remember when we were going through that one week before we came in here and it was
[00:42:45.900 --> 00:42:46.900]   kind of like giving birth.
[00:42:46.900 --> 00:42:51.500]   It was like nine months of labor and then we thought we were going to have a C-section
[00:42:51.500 --> 00:42:53.620]   and then it just normally—normal birth happened.
[00:42:53.620 --> 00:42:57.580]   Remember, some of you guys know what I'm talking about, right?
[00:42:57.580 --> 00:43:01.540]   You guys came out here and some of you guys were here till four in the morning, went to
[00:43:01.540 --> 00:43:04.260]   work, came back.
[00:43:04.260 --> 00:43:07.660]   Were here till four in the morning, went to work and came back and swinging hammers.
[00:43:07.660 --> 00:43:11.460]   And I was praying behind the scene, "Please God, let nobody get hurt."
[00:43:11.460 --> 00:43:16.460]   But my heart was so full because you guys—I mean, there's some of you guys who are just
[00:43:16.460 --> 00:43:17.460]   good at serving.
[00:43:17.460 --> 00:43:21.180]   I mean, just beyond my comprehension.
[00:43:21.180 --> 00:43:26.700]   Some of you guys are so good at administration, you know.
[00:43:26.700 --> 00:43:31.540]   And whenever you're in charge of something, just everything runs better.
[00:43:31.540 --> 00:43:34.940]   And I'm just so encouraged by that, that you guys are detail-oriented and you just want
[00:43:34.940 --> 00:43:40.300]   to be excellent at everything that you're doing, you know, because that's not me.
[00:43:40.300 --> 00:43:42.100]   I'm more the big picture guy constantly.
[00:43:42.100 --> 00:43:44.940]   So if the big picture is okay, I don't worry about the details.
[00:43:44.940 --> 00:43:47.260]   But I need detailed people in my life.
[00:43:47.260 --> 00:43:48.820]   And so when I watch that, I get discipled.
[00:43:48.820 --> 00:43:52.900]   I get discipled by the various gift in the church and the way that you guys are serving
[00:43:52.900 --> 00:43:57.980]   God because it rebukes me, it encourages me, and it challenges me all at the same time.
[00:43:57.980 --> 00:44:02.640]   And I'm discipled in the body of Christ.
[00:44:02.640 --> 00:44:05.500]   It doesn't have to be one person meeting up with one person.
[00:44:05.500 --> 00:44:06.500]   Now that's a method.
[00:44:06.500 --> 00:44:08.580]   I'm not saying there's anything wrong with that.
[00:44:08.580 --> 00:44:10.460]   I think there's benefits to that.
[00:44:10.460 --> 00:44:13.180]   But the beauty of the church is God has given various gifts.
[00:44:13.180 --> 00:44:17.040]   So if you're only being discipled one person to another person, that one person has all
[00:44:17.040 --> 00:44:18.700]   kinds of flaws too.
[00:44:18.700 --> 00:44:21.540]   That one person doesn't have all the gifts.
[00:44:21.540 --> 00:44:24.220]   So you're not going to learn everything from that one person.
[00:44:24.220 --> 00:44:27.500]   You're going to learn something from that person, but not everything.
[00:44:27.500 --> 00:44:32.800]   He gave the body of Christ and he distributed the gifts so that we may humble ourselves,
[00:44:32.800 --> 00:44:37.200]   recognize what we're good at, use it as an act of worship, and when we worship God through
[00:44:37.200 --> 00:44:41.840]   the gifts that God has given us, we disciple each other.
[00:44:41.840 --> 00:44:45.720]   So some of you guys who are good at mercy, that challenges the church.
[00:44:45.720 --> 00:44:46.720]   That stirs us up.
[00:44:46.720 --> 00:44:48.880]   And a lot of times it doesn't require a movement.
[00:44:48.880 --> 00:44:52.720]   A lot of times it's just one person.
[00:44:52.720 --> 00:45:00.440]   One person who is just so faithfully serving God and worried about the homeless and the
[00:45:00.440 --> 00:45:05.880]   orphans and how that just begins to spread.
[00:45:05.880 --> 00:45:09.020]   Not because they're complaining, not because of some movement, it's just they watch that
[00:45:09.020 --> 00:45:11.440]   person's life and it's like, "Yeah, I need to do that too."
[00:45:11.440 --> 00:45:14.240]   Some people are just good at evangelism.
[00:45:14.240 --> 00:45:16.060]   And you just faithfully evangelize.
[00:45:16.060 --> 00:45:19.580]   You're just faithfully constantly telling your coworkers to come and sharing the gospel
[00:45:19.580 --> 00:45:21.300]   and asking for prayer.
[00:45:21.300 --> 00:45:25.220]   And because you're worshiping God through those gifts, other people in the congregation
[00:45:25.220 --> 00:45:28.100]   are like, "Wow, that's something that I need to work on."
[00:45:28.100 --> 00:45:30.980]   And it challenges me, encourages me.
[00:45:30.980 --> 00:45:33.300]   Instead of putting you down, it encourages me.
[00:45:33.300 --> 00:45:37.520]   So we disciple one another with the various gifts that God has given in the church and
[00:45:37.520 --> 00:45:42.740]   all in the process of humbling ourselves.
[00:45:42.740 --> 00:45:45.120]   We humble ourselves in justification.
[00:45:45.120 --> 00:45:46.820]   We humble ourselves in sanctification.
[00:45:46.820 --> 00:45:50.300]   So let me conclude what I promised you.
[00:45:50.300 --> 00:45:52.760]   What I started in the beginning, let me finish with the end.
[00:45:52.760 --> 00:45:58.240]   So if you remember anything of today's, this morning's passage, remember this.
[00:45:58.240 --> 00:46:01.980]   Justification happens when we humble ourselves before God.
[00:46:01.980 --> 00:46:06.060]   Sanctification begins when we humble ourselves before man.
[00:46:06.060 --> 00:46:10.540]   Let's take some time to pray as our worship team comes up.
[00:46:10.540 --> 00:46:21.020]   Again, I want to encourage you that as you heard the Word of God, apply it specifically.
[00:46:21.020 --> 00:46:24.620]   What is an area of my life that I'm using either as an excuse because I'm better than
[00:46:24.620 --> 00:46:28.300]   other people or I'm, you know, like I got nothing to offer.
[00:46:28.300 --> 00:46:33.300]   And so either way, we're not thinking ourselves soberly.
[00:46:33.300 --> 00:46:37.380]   Think specifically how should I apply today's Word into my life.
[00:46:37.380 --> 00:46:39.980]   So let's take some time to pray and ask the Lord, "Search me in normalcy.
[00:46:39.980 --> 00:46:43.380]   If there's any hurtful ways in me, how can I apply this in a practical way?"
[00:46:43.380 --> 00:46:45.740]   So as our worship team leads us, let's take some time to pray.

