
[00:00:00.000 --> 00:00:01.400]   Let's bring him out.
[00:27:05.720 --> 00:27:06.200]   Oh, you should.
[00:27:06.200 --> 00:27:07.040]   Aren't the mouths open?
[00:27:07.040 --> 00:27:07.840]   Yeah, the mouths are open.
[00:27:07.840 --> 00:27:08.320]   Oh, yeah.
[00:27:08.320 --> 00:27:08.760]   I would close them.
[00:27:08.760 --> 00:27:10.600]   I mean, there's something different about--
[00:27:10.600 --> 00:27:10.840]   James, another--
[00:27:10.840 --> 00:27:11.920]   Each week of--
[00:27:11.920 --> 00:27:14.200]   Especially for this age group, definitely close them.
[00:27:14.200 --> 00:27:14.700]   Well, no.
[00:27:14.700 --> 00:27:15.440]   I mean, there's--
[00:27:15.440 --> 00:27:15.940]   [LAUGHTER]
[00:27:15.940 --> 00:27:17.400]   No one wants to see a shock face.
[00:27:17.400 --> 00:27:20.320]   There's something distinctly different about what you do.
[00:27:20.320 --> 00:27:22.240]   Every week, it's something new.
[00:27:22.240 --> 00:27:23.680]   It's something original.
[00:27:23.680 --> 00:27:26.160]   We're trying to have a conversation, McLaughlin group--
[00:27:26.160 --> 00:27:26.660]   Of course.
[00:27:26.660 --> 00:27:27.400]   --kind of format.
[00:27:27.400 --> 00:27:29.720]   So I think some of those tips don't work.
[00:27:29.720 --> 00:27:30.480]   But our audience--
[00:27:30.480 --> 00:27:31.040]   Agreed.
[00:27:31.040 --> 00:27:35.080]   --on YouTube, I think, now will exceed what we're doing
[00:27:35.080 --> 00:27:36.960]   in podcasting, ultimately, because it
[00:27:36.960 --> 00:27:40.120]   does seem that people like to watch us
[00:27:40.120 --> 00:27:41.560]   and put it on in the background.
[00:27:41.560 --> 00:27:42.440]   So we're seeing that.
[00:27:42.440 --> 00:27:43.480]   I think we have 380,000.
[00:27:43.480 --> 00:27:44.320]   You guys are doing great.
[00:27:44.320 --> 00:27:46.000]   To be honest, I remember when you first started it.
[00:27:46.000 --> 00:27:48.040]   And I was like, oh, this is an interesting combo.
[00:27:48.040 --> 00:27:48.720]   But it works.
[00:27:48.720 --> 00:27:51.120]   [LAUGHTER]
[00:27:51.120 --> 00:27:53.640]   And whenever something weird in the world happens, I'm like,
[00:27:53.640 --> 00:27:55.560]   oh, I'm going to go see what they think of it.
[00:27:55.560 --> 00:27:56.560]   It's cool.
[00:27:56.560 --> 00:27:57.560]   Where do you see this--
[00:27:57.560 --> 00:27:59.520]   We met Jimmy at poker, by the way.
[00:27:59.520 --> 00:28:00.520]   Do you think we could--
[00:28:00.520 --> 00:28:02.840]   No, where do you think this is going to be in 20 years?
[00:28:02.840 --> 00:28:03.920]   What, your podcast?
[00:28:03.920 --> 00:28:04.420]   You.
[00:28:04.420 --> 00:28:06.040]   [LAUGHTER]
[00:28:06.040 --> 00:28:08.120]   No, I mean, we have an idea where this is going.
[00:28:08.120 --> 00:28:09.920]   I don't know where this will be in 20 days.
[00:28:09.920 --> 00:28:13.040]   But to be honest, the only thing in front of us right now
[00:28:13.040 --> 00:28:16.520]   are The Daily from The New York Times,
[00:28:16.520 --> 00:28:19.440]   A Priest Reading the Bible, and Serial Killer Podcast.
[00:28:19.440 --> 00:28:20.440]   Serial Killer Podcast.
[00:28:20.440 --> 00:28:22.440]   Yeah, I mean, it's really not much ahead of us.
[00:28:22.440 --> 00:28:24.720]   But all the podcasts are in news.
[00:28:24.720 --> 00:28:26.840]   All the podcasting, those are the three ahead of us.
[00:28:26.840 --> 00:28:27.340]   Yeah.
[00:28:27.340 --> 00:28:30.120]   And just to build on J-Kal's question,
[00:28:30.120 --> 00:28:31.120]   are you being--
[00:28:31.120 --> 00:28:34.680]   do you feel pressured to elongate the content?
[00:28:34.680 --> 00:28:36.600]   Or you feel like you've optimized now
[00:28:36.600 --> 00:28:38.920]   the amount of time where you maximize viewership?
[00:28:38.920 --> 00:28:40.280]   Well, yeah, I mean, that's actually
[00:28:40.280 --> 00:28:41.880]   something we've been focused on a lot recently.
[00:28:41.880 --> 00:28:44.760]   I think the problem is people are like, we waited two weeks,
[00:28:44.760 --> 00:28:46.320]   and it was just 15 minutes of content.
[00:28:46.320 --> 00:28:48.560]   They actually get annoyed when it's too short.
[00:28:48.560 --> 00:28:50.240]   So we're working on elongating it,
[00:28:50.240 --> 00:28:52.200]   but not because of algorithms or anything.
[00:28:52.200 --> 00:28:54.040]   It's just like people just actually
[00:28:54.040 --> 00:28:56.720]   don't like waiting two weeks for just 15 minutes of content.
[00:28:56.720 --> 00:28:59.240]   They want more or more frequent videos.
[00:28:59.240 --> 00:29:01.480]   And the problem is the spectacles are so big,
[00:29:01.480 --> 00:29:04.440]   it's much easier just to make it longer than do a whole new one
[00:29:04.440 --> 00:29:05.600]   to upload more.
[00:29:05.600 --> 00:29:07.880]   So yeah, they're naturally getting longer and longer
[00:29:07.880 --> 00:29:08.400]   right now.
[00:29:08.400 --> 00:29:11.480]   I wonder if you did a behind the scenes on the off week
[00:29:11.480 --> 00:29:12.680]   and just had another group--
[00:29:12.680 --> 00:29:15.080]   because I was watching the one you did where you were all
[00:29:15.080 --> 00:29:19.320]   on a raft, and you decided to torture your team.
[00:29:19.320 --> 00:29:21.560]   We spent seven days on a raft in the ocean.
[00:29:21.560 --> 00:29:22.560]   I mean, it was torture.
[00:29:22.560 --> 00:29:23.880]   I mean, it was painful to watch.
[00:29:23.880 --> 00:29:25.360]   But a behind the scenes of that done
[00:29:25.360 --> 00:29:27.760]   by another group of video editors on the off week,
[00:29:27.760 --> 00:29:29.200]   I bet you would do as many views.
[00:29:29.200 --> 00:29:31.040]   Yeah, the thing is, though, the mystery
[00:29:31.040 --> 00:29:32.200]   is part of what's cool.
[00:29:32.200 --> 00:29:34.640]   How does this random YouTuber give a million dollars
[00:29:34.640 --> 00:29:36.720]   away to someone on the street or things like that?
[00:29:36.720 --> 00:29:39.840]   So part of it is them not knowing how it's even possible
[00:29:39.840 --> 00:29:42.280]   is why it's so interesting, and they click on it,
[00:29:42.280 --> 00:29:43.640]   if that makes sense.
[00:29:43.640 --> 00:29:47.200]   Can you talk a little bit about the point of view
[00:29:47.200 --> 00:29:50.680]   where folks say content creators on YouTube have an audience,
[00:29:50.680 --> 00:29:53.280]   and that audience ages out, and then they lose that audience?
[00:29:53.280 --> 00:29:55.520]   And how you continue to be able to grow your audience?
[00:29:55.520 --> 00:29:56.680]   Yeah, well, everything is--
[00:29:56.680 --> 00:29:57.800]   Some of the folks you started with have gotten older.
[00:29:57.800 --> 00:30:01.680]   Yeah, it's just like the problem is every advice is--
[00:30:01.680 --> 00:30:04.400]   there's no one size fits all advice.
[00:30:04.400 --> 00:30:06.920]   And so obviously, if we're talking to someone who
[00:30:06.920 --> 00:30:09.880]   unboxes toys, their audience is going to grow,
[00:30:09.880 --> 00:30:11.840]   and there's nothing they can do about it.
[00:30:11.840 --> 00:30:15.480]   But for us, ideally, one day, you guys
[00:30:15.480 --> 00:30:17.400]   aren't going to be like, oh, my kid loves you.
[00:30:17.400 --> 00:30:19.640]   You'll be like, I also like your content.
[00:30:19.640 --> 00:30:23.000]   But we try to make content that no matter what age you are,
[00:30:23.000 --> 00:30:23.680]   you'll enjoy it.
[00:30:23.680 --> 00:30:24.640]   So usually, they don't--
[00:30:24.640 --> 00:30:26.680]   Who here personally watches Beast?
[00:30:26.680 --> 00:30:27.200]   Yeah.
[00:30:27.200 --> 00:30:28.360]   Oh, more than I would have thought.
[00:30:28.360 --> 00:30:29.560]   Oh, yeah, us too.
[00:30:29.560 --> 00:30:31.160]   All right, everybody.
[00:30:31.160 --> 00:30:31.880]   Jimmy Donaldson.
[00:30:31.880 --> 00:30:33.680]   And the timer says 25 seconds.
[00:30:33.680 --> 00:30:34.840]   Oh, we went over 25 seconds.
[00:30:34.840 --> 00:30:35.440]   We went over.
[00:30:35.440 --> 00:30:36.560]   We gave you an extra.
[00:30:36.560 --> 00:30:38.240]   Well, you can stay up here if you want.
[00:30:38.240 --> 00:30:39.800]   We're going to take questions from the audience.
[00:30:39.800 --> 00:30:41.400]   I'll take a question from the audience.
[00:30:41.400 --> 00:30:41.720]   All right, well--
[00:30:41.720 --> 00:30:42.800]   I flew out here for this.
[00:30:42.800 --> 00:30:43.680]   Let's do some more.
[00:30:43.680 --> 00:30:45.300]   OK, I'm going to moderate the question.
[00:30:45.300 --> 00:30:47.440]   Raise your hand.
[00:30:47.440 --> 00:30:51.720]   How do you stay consistent with executing so frequently?
[00:30:51.720 --> 00:30:53.840]   I think that's the hardest thing for entrepreneurs.
[00:30:53.840 --> 00:30:54.720]   I'm going to repeat.
[00:30:54.720 --> 00:30:55.800]   I'll repeat it.
[00:30:55.800 --> 00:30:58.440]   How do you stay so consistent with what?
[00:30:58.440 --> 00:31:00.720]   With your execution.
[00:31:00.720 --> 00:31:02.960]   So incredible execution, so hard,
[00:31:02.960 --> 00:31:04.600]   being spot on all the time.
[00:31:04.600 --> 00:31:07.840]   Yeah, he said, how do you be so consistent with execution,
[00:31:07.840 --> 00:31:09.760]   spot on all the time?
[00:31:09.760 --> 00:31:12.000]   So the thing is, you just have to obviously just
[00:31:12.000 --> 00:31:13.240]   train great people.
[00:31:13.240 --> 00:31:15.080]   Because if you're doing everything yourself,
[00:31:15.080 --> 00:31:16.920]   eventually you're going to burn out, get different interests,
[00:31:16.920 --> 00:31:17.620]   blah, blah, blah.
[00:31:17.620 --> 00:31:19.440]   And so I actually--
[00:31:19.440 --> 00:31:20.960]   my top people--
[00:31:20.960 --> 00:31:23.560]   I bought a house, and we all lived together for years.
[00:31:23.560 --> 00:31:25.440]   I just kind of trained them to think like me
[00:31:25.440 --> 00:31:26.760]   and see the world like me.
[00:31:26.760 --> 00:31:31.400]   And so my top probably 12 people, 95% of the time,
[00:31:31.400 --> 00:31:33.800]   if you ask them something and ask me in different rooms,
[00:31:33.800 --> 00:31:35.200]   we'll give the exact same answer.
[00:31:35.200 --> 00:31:36.400]   And the other 5% of the time will just
[00:31:36.400 --> 00:31:37.560]   be very slightly different.
[00:31:37.560 --> 00:31:39.200]   Have you thrown away a video because you
[00:31:39.200 --> 00:31:40.240]   were unsatisfied with it?
[00:31:40.240 --> 00:31:41.480]   Oh, of course, all the time.
[00:31:41.480 --> 00:31:42.760]   That happens all the time.
[00:31:42.760 --> 00:31:44.440]   So out of 10 videos, how many would be--
[00:31:44.440 --> 00:31:47.460]   Well, the thing is, if you want to build viewership over time,
[00:31:47.460 --> 00:31:49.080]   if you want to go from 10 million to 20 million views
[00:31:49.080 --> 00:31:50.420]   a video to 30 million views a video,
[00:31:50.420 --> 00:31:52.800]   you just have to get it where every time they show up,
[00:31:52.800 --> 00:31:53.800]   they're happy.
[00:31:53.800 --> 00:31:55.720]   They feel like they got value out of it.
[00:31:55.720 --> 00:31:57.320]   It was worth their time and investment.
[00:31:57.320 --> 00:32:00.680]   So yeah, if something's not good and they click on it,
[00:32:00.680 --> 00:32:02.800]   then they're less likely to click on future videos.
[00:32:02.800 --> 00:32:04.640]   So you can only-- yeah, to grow viewership like that,
[00:32:04.640 --> 00:32:05.360]   it has to be--
[00:32:05.360 --> 00:32:06.160]   Want to take a second one?
[00:32:06.160 --> 00:32:06.800]   Yeah, take one.
[00:32:06.800 --> 00:32:07.300]   Right here.
[00:32:07.300 --> 00:32:07.800]   [INAUDIBLE]
[00:32:07.800 --> 00:32:24.660]   Thank you.
[00:32:24.660 --> 00:32:27.080]   [INAUDIBLE]
[00:32:27.080 --> 00:32:28.120]   You repeat the question.
[00:32:28.120 --> 00:32:28.620]   [LAUGHTER]
[00:32:28.620 --> 00:32:30.120]   I don't know how to repeat that one.
[00:32:30.120 --> 00:32:32.120]   Not as easy as it looks.
[00:32:32.120 --> 00:32:33.120]   That's how he does it.
[00:32:33.120 --> 00:32:36.400]   He would like to know how you're a normal person
[00:32:36.400 --> 00:32:39.520]   and you stay so authentic given this incredible--
[00:32:39.520 --> 00:32:40.360]   Keep your humility.
[00:32:40.360 --> 00:32:41.360]   Yeah, how do you keep your humility?
[00:32:41.360 --> 00:32:41.760]   And stay humble, yeah.
[00:32:41.760 --> 00:32:44.120]   Well, I think the beauty of it is I usually spend 99%
[00:32:44.120 --> 00:32:45.120]   of my time in my studio.
[00:32:45.120 --> 00:32:46.200]   So I don't really--
[00:32:46.200 --> 00:32:48.200]   like, the 100 million number on the video
[00:32:48.200 --> 00:32:49.960]   just looks like pixels on a screen.
[00:32:49.960 --> 00:32:51.880]   Like, I don't really experience it that much.
[00:32:51.880 --> 00:32:53.620]   So I think that's kind of the best part.
[00:32:53.620 --> 00:32:55.840]   How do you walk through an airport these days
[00:32:55.840 --> 00:32:58.720]   or walk through a city?
[00:32:58.720 --> 00:33:00.120]   It is pretty crazy, huh?
[00:33:00.120 --> 00:33:01.960]   I was really worried about getting you here.
[00:33:01.960 --> 00:33:04.360]   I kept asking them, how are we going to get him through LAX?
[00:33:04.360 --> 00:33:06.320]   I don't understand how this is going to happen.
[00:33:06.320 --> 00:33:09.200]   The thing is you throw a hood on and wear some glasses,
[00:33:09.200 --> 00:33:10.200]   and you're pretty good.
[00:33:10.200 --> 00:33:10.520]   You're pretty good, yeah.
[00:33:10.520 --> 00:33:13.040]   And you just don't talk out loud or anything like that.
[00:33:13.040 --> 00:33:13.560]   Yeah, I know.
[00:33:13.560 --> 00:33:14.640]   [LAUGHTER]
[00:33:14.640 --> 00:33:15.320]   Same thing.
[00:33:15.320 --> 00:33:16.240]   All right, everybody.
[00:33:16.240 --> 00:33:17.560]   Give it up for Jimmy Donaldson.
[00:33:17.560 --> 00:33:18.060]   Thank you.
[00:33:18.060 --> 00:33:18.560]   [APPLAUSE]
[00:33:18.560 --> 00:33:20.520]   It was fun.
[00:33:20.520 --> 00:33:21.320]   That was awesome.
[00:33:21.320 --> 00:33:22.020]   These are great.
[00:33:22.020 --> 00:33:25.000]   [MUSIC PLAYING]
[00:33:25.000 --> 00:33:27.420]   [INAUDIBLE]
[00:33:27.420 --> 00:33:28.620]   Rain Man David Sass.
[00:33:28.620 --> 00:33:31.500]   [MUSIC PLAYING]
[00:33:31.500 --> 00:33:32.340]   And it said--
[00:33:32.340 --> 00:33:34.300]   We open sourced it to the fans, and they've
[00:33:34.300 --> 00:33:35.820]   just gone crazy with it.
[00:33:35.820 --> 00:33:36.420]   Love you, Wes.
[00:33:36.420 --> 00:33:37.820]   I'm the queen of Kinwan.
[00:33:37.820 --> 00:33:40.780]   [MUSIC PLAYING]
[00:33:40.780 --> 00:33:41.280]   What?
[00:33:41.280 --> 00:33:42.740]   You're Winners Live.
[00:33:42.740 --> 00:33:44.620]   [INAUDIBLE]
[00:33:44.620 --> 00:33:45.740]   Besties are gone.
[00:33:45.740 --> 00:33:47.140]   [LAUGHTER]
[00:33:47.140 --> 00:33:49.340]   That is my dog taking a piss in your driveway.
[00:33:49.340 --> 00:33:52.300]   [LAUGHTER]
[00:33:52.300 --> 00:33:52.800]   Oh, man.
[00:33:52.800 --> 00:33:54.800]   My athlete, Asher, will meet me at place.
[00:33:54.800 --> 00:33:57.300]   We should all just get a room and just have one big huge
[00:33:57.300 --> 00:33:58.800]   orgy, because they're all just useless.
[00:33:58.800 --> 00:34:00.800]   It's like this sexual tension, but they just
[00:34:00.800 --> 00:34:02.800]   need to release themselves.
[00:34:02.800 --> 00:34:03.300]   What?
[00:34:03.300 --> 00:34:04.800]   You're the B.
[00:34:04.800 --> 00:34:05.300]   What?
[00:34:05.300 --> 00:34:05.800]   You're a B.
[00:34:05.800 --> 00:34:06.300]   You're a B.
[00:34:06.300 --> 00:34:06.800]   B.
[00:34:06.800 --> 00:34:07.300]   What?
[00:34:07.300 --> 00:34:08.300]   That's going to be good.
[00:34:08.300 --> 00:34:09.300]   We need to get merch.
[00:34:09.300 --> 00:34:09.800]   Besties are gone.
[00:34:09.800 --> 00:34:12.800]   [MUSIC PLAYING]
[00:34:12.800 --> 00:34:16.160]   [MUSIC PLAYING]
[00:34:17.160 --> 00:34:20.520]   [MUSIC PLAYING]
[00:34:20.520 --> 00:34:29.120]   [BLANK_AUDIO]

