
[00:00:00.000 --> 00:00:02.920]   (crowd chattering)
[00:35:50.540 --> 00:35:51.820]   in building the body of Christ.
[00:35:51.820 --> 00:35:54.880]   So you're only playing a part, right?
[00:35:54.880 --> 00:35:56.060]   Whatever part that may be,
[00:35:56.060 --> 00:35:58.780]   whether you're a foot or your hand, you're playing a part.
[00:35:58.780 --> 00:36:00.760]   So if you're not part of the church,
[00:36:00.760 --> 00:36:02.780]   you can be doing stuff,
[00:36:02.780 --> 00:36:05.280]   but you're not building the church, right?
[00:36:07.580 --> 00:36:10.060]   Again, I just took some sample verses
[00:36:10.060 --> 00:36:12.260]   and I'm not gonna read it all out to you,
[00:36:12.260 --> 00:36:14.300]   but it says Romans 12,
[00:36:14.300 --> 00:36:15.700]   "To be devoted to one another,
[00:36:15.700 --> 00:36:16.860]   "live in harmony with one another,
[00:36:16.860 --> 00:36:18.100]   "instruct one another, serve one another,
[00:36:18.100 --> 00:36:19.740]   "submit to one another, teach one another,
[00:36:19.740 --> 00:36:22.440]   "encourage one another, spur on one another,
[00:36:22.440 --> 00:36:24.020]   "show hospitality toward one another,
[00:36:24.020 --> 00:36:25.820]   "clothe yourself with humility toward one another,
[00:36:25.820 --> 00:36:27.780]   "love one another."
[00:36:27.780 --> 00:36:30.280]   So everything that we see in scripture
[00:36:30.280 --> 00:36:32.420]   is to be practiced with one another.
[00:36:32.420 --> 00:36:33.300]   And the one another,
[00:36:33.300 --> 00:36:36.620]   every one of these letters are written to who?
[00:36:37.620 --> 00:36:38.460]   Right?
[00:36:38.460 --> 00:36:41.100]   With the, to churches.
[00:36:41.100 --> 00:36:45.400]   Not universal church, but to local churches, right?
[00:36:45.400 --> 00:36:47.540]   Typically it was delivered to the elder
[00:36:47.540 --> 00:36:50.840]   and the elder would read it to the church that he's with.
[00:36:50.840 --> 00:36:51.680]   Right?
[00:36:51.680 --> 00:36:56.680]   So you can't practice Christianity outside of the church.
[00:36:56.680 --> 00:36:57.680]   There is no one another.
[00:36:57.680 --> 00:37:01.660]   You don't know what your gift is outside the church, right?
[00:37:01.660 --> 00:37:03.380]   You can go outside the church and say,
[00:37:03.380 --> 00:37:05.560]   my gift is in singing,
[00:37:05.560 --> 00:37:08.620]   but if the church doesn't confirm that that's your gift,
[00:37:08.620 --> 00:37:10.660]   you can say whatever you want.
[00:37:10.660 --> 00:37:11.500]   Right?
[00:37:11.500 --> 00:37:13.340]   You can say, you know, I'm so good with hospitality.
[00:37:13.340 --> 00:37:15.220]   And everybody around you say, no.
[00:37:15.220 --> 00:37:16.580]   (audience laughing)
[00:37:16.580 --> 00:37:17.420]   You know what I mean?
[00:37:17.420 --> 00:37:18.820]   I'm so humble, no.
[00:37:18.820 --> 00:37:19.660]   (audience laughing)
[00:37:19.660 --> 00:37:22.420]   You know, I really love to give, no.
[00:37:22.420 --> 00:37:23.300]   Right?
[00:37:23.300 --> 00:37:26.260]   How do we know what kind of gifts God has given us
[00:37:26.260 --> 00:37:27.780]   and what we're good at, what we're not good at,
[00:37:27.780 --> 00:37:29.860]   or even our weaknesses?
[00:37:29.860 --> 00:37:33.400]   You know, most of what is taught about choosing elders,
[00:37:33.400 --> 00:37:35.780]   being hospitable, and not being a drunkard,
[00:37:35.780 --> 00:37:37.780]   all of that stuff is tested in the community
[00:37:37.780 --> 00:37:39.220]   that you belong.
[00:37:39.220 --> 00:37:40.060]   Right?
[00:37:40.060 --> 00:37:41.380]   So let me say this on a side note.
[00:37:41.380 --> 00:37:47.800]   If you have been getting consistent complaints
[00:37:47.800 --> 00:37:50.300]   from various people about the same thing,
[00:37:50.300 --> 00:37:51.940]   and every time you hear it,
[00:37:51.940 --> 00:37:56.100]   you're always saying those people are unfair, right?
[00:37:56.100 --> 00:38:01.060]   There's a great chance that that's your blind spot.
[00:38:01.060 --> 00:38:05.580]   There's a great chance that there is an issue with you
[00:38:05.580 --> 00:38:06.900]   that you just refuse,
[00:38:06.900 --> 00:38:09.560]   your pride just would not allow it to yield, right?
[00:38:09.560 --> 00:38:12.020]   So sanctification oftentimes happens
[00:38:12.020 --> 00:38:13.300]   in the context of a community.
[00:38:13.300 --> 00:38:16.580]   In fact, not often, all the time, right?
[00:38:16.580 --> 00:38:18.740]   That's why when people come to church,
[00:38:18.740 --> 00:38:20.820]   initially they love it because everybody's so nice
[00:38:20.820 --> 00:38:23.220]   and you don't know each other's sin.
[00:38:23.220 --> 00:38:25.680]   But real sanctification happens
[00:38:25.680 --> 00:38:28.980]   when you're sick of each other, right?
[00:38:28.980 --> 00:38:31.140]   No, that's when sanctification happens.
[00:38:31.140 --> 00:38:33.600]   Real sanctification happens when all of a sudden
[00:38:33.600 --> 00:38:35.580]   it's hard to love these people.
[00:38:35.580 --> 00:38:37.660]   There's certain people that rub you the wrong way,
[00:38:37.660 --> 00:38:39.280]   there's certain people who don't behave the way
[00:38:39.280 --> 00:38:41.140]   that you want them to behave.
[00:38:41.140 --> 00:38:43.280]   That's when your graciousness,
[00:38:43.280 --> 00:38:45.780]   that's when your patience, your temperance,
[00:38:45.780 --> 00:38:48.140]   that's when hospitality, your love,
[00:38:48.140 --> 00:38:51.740]   all of that, that's when it's tested, right?
[00:38:51.740 --> 00:38:53.820]   Sanctification happens when you're rubbing each other.
[00:38:53.820 --> 00:38:56.460]   So tell me somebody who doesn't know how to love somebody
[00:38:56.460 --> 00:38:57.300]   who's lovable.
[00:38:58.560 --> 00:38:59.400]   Right?
[00:38:59.400 --> 00:39:02.260]   I mean, you're just a miserable fool if that's the case.
[00:39:02.260 --> 00:39:04.340]   I mean, Christians and non-Christians alike,
[00:39:04.340 --> 00:39:06.720]   if you have somebody lovable at work,
[00:39:06.720 --> 00:39:10.020]   I bet you they receive a lot of love, right?
[00:39:10.020 --> 00:39:11.420]   Somebody who's gracious and loving,
[00:39:11.420 --> 00:39:12.780]   I mean, everybody knows how to do that.
[00:39:12.780 --> 00:39:15.820]   It's the love that Christ calls us to love
[00:39:15.820 --> 00:39:17.220]   is unlike the love of the world.
[00:39:17.220 --> 00:39:20.420]   That's why he puts us in the context of a church.
[00:39:20.420 --> 00:39:24.860]   And again, if you're in a habit of running from people
[00:39:24.860 --> 00:39:27.340]   that rub you the wrong way because of certain things,
[00:39:27.340 --> 00:39:31.660]   then there's a huge blind spot even in your life, right?
[00:39:31.660 --> 00:39:33.400]   There's an area that you're not growing in
[00:39:33.400 --> 00:39:34.520]   and you refuse to grow in
[00:39:34.520 --> 00:39:36.960]   because you refuse to submit to that.
[00:39:36.960 --> 00:39:40.680]   So the body of Christ is given to us,
[00:39:40.680 --> 00:39:42.760]   again, ultimately for the worship of God,
[00:39:42.760 --> 00:39:45.560]   but for our own sanctification, right?
[00:39:45.560 --> 00:39:47.120]   'Cause I guarantee you, if you're around people
[00:39:47.120 --> 00:39:48.080]   and they know you long enough,
[00:39:48.080 --> 00:39:49.360]   they're gonna know your weak spot.
[00:39:49.360 --> 00:39:51.360]   And if they know your weak spot, they're sinners,
[00:39:51.360 --> 00:39:53.980]   so they're gonna point at that too, right?
[00:39:53.980 --> 00:39:55.680]   But that's what causes us to grow.
[00:39:57.080 --> 00:40:01.080]   Okay, we practice accountability, right?
[00:40:01.080 --> 00:40:03.240]   Again, several scriptures,
[00:40:03.240 --> 00:40:04.840]   I'm not gonna go through all of them,
[00:40:04.840 --> 00:40:08.800]   it talks about purging the evil person from among you.
[00:40:08.800 --> 00:40:10.000]   Again, in our generation,
[00:40:10.000 --> 00:40:12.920]   the idea of church discipline is so foreign
[00:40:12.920 --> 00:40:15.580]   because we've taught and preached grace
[00:40:15.580 --> 00:40:18.120]   to the point where the holiness of God
[00:40:18.120 --> 00:40:21.640]   sounds very strange in the church, right?
[00:40:21.640 --> 00:40:23.520]   But again, when you see it from top down,
[00:40:23.520 --> 00:40:28.040]   when God-centered worship, God-centered scripture,
[00:40:28.040 --> 00:40:30.240]   God-centered church, high view of the church,
[00:40:30.240 --> 00:40:32.920]   then we can understand why God tells us
[00:40:32.920 --> 00:40:34.920]   to keep the church holy, right?
[00:40:34.920 --> 00:40:36.200]   And again, this is not to say,
[00:40:36.200 --> 00:40:38.040]   go around and point out everybody's sin.
[00:40:38.040 --> 00:40:42.440]   When a sin is elevated to the extent
[00:40:42.440 --> 00:40:43.840]   that it's not only harmful to them,
[00:40:43.840 --> 00:40:45.520]   it starts to be harmful to the church
[00:40:45.520 --> 00:40:47.440]   and they're unrepentant,
[00:40:47.440 --> 00:40:50.120]   then it is elevated to church discipline, right?
[00:40:50.120 --> 00:40:52.000]   So we practice accountability in the church.
[00:40:52.000 --> 00:40:54.600]   And this, again, accountability happens two ways.
[00:40:54.600 --> 00:40:57.560]   One is when it's elevated to that extent
[00:40:57.560 --> 00:41:00.840]   and the church leaders need to get involved officially,
[00:41:00.840 --> 00:41:03.120]   but the real accountability on the day-to-day basis
[00:41:03.120 --> 00:41:07.320]   where we don't just sweep sin under the rug, right?
[00:41:07.320 --> 00:41:09.600]   Like if somebody sins, it's pretty obvious,
[00:41:09.600 --> 00:41:11.100]   and you're concerned for them,
[00:41:11.100 --> 00:41:14.640]   it is not loving to just turn the other way, right?
[00:41:14.640 --> 00:41:15.920]   If you have somebody you care about,
[00:41:15.920 --> 00:41:17.800]   your son or daughter or your brother or sister
[00:41:17.800 --> 00:41:20.080]   or mom or dad, is headed down the path
[00:41:20.080 --> 00:41:21.560]   that's destructive to them,
[00:41:21.560 --> 00:41:23.400]   it is not loving to look the other way
[00:41:23.400 --> 00:41:26.720]   and pretend like that's not happening, right?
[00:41:26.720 --> 00:41:28.720]   And typically in a church like this,
[00:41:28.720 --> 00:41:30.440]   you can feel safe, like, oh, I'm glad
[00:41:30.440 --> 00:41:32.760]   that the leaders practice church discipline.
[00:41:32.760 --> 00:41:36.360]   There's only about five or six of us, right?
[00:41:36.360 --> 00:41:40.240]   If the church is going to be viewed highly,
[00:41:40.240 --> 00:41:43.440]   the church members have to practice accountability
[00:41:43.440 --> 00:41:45.480]   in love, right?
[00:41:45.480 --> 00:41:48.680]   If you practice accountability with people you don't like,
[00:41:48.680 --> 00:41:50.320]   that's not accountability.
[00:41:50.320 --> 00:41:52.760]   That's vengeance, right?
[00:41:52.760 --> 00:41:55.640]   That's judgmentalism, that's gossip, right?
[00:41:55.640 --> 00:41:57.520]   We're talking about people that are close to you,
[00:41:57.520 --> 00:41:59.800]   they're your friends, the people that are very awkward
[00:41:59.800 --> 00:42:02.400]   for you to bring up, right?
[00:42:02.400 --> 00:42:04.200]   Especially those people, those are the people
[00:42:04.200 --> 00:42:05.500]   that you need to keep accountable
[00:42:05.500 --> 00:42:07.800]   because everybody has blind spots.
[00:42:07.800 --> 00:42:09.960]   So if the community is only dependent
[00:42:09.960 --> 00:42:11.960]   on the leaders to point out sin,
[00:42:11.960 --> 00:42:15.480]   there's no way that the church is gonna remain holy, right?
[00:42:15.480 --> 00:42:18.000]   So there needs to be accountability
[00:42:18.000 --> 00:42:19.840]   in the lives of the people when you see it.
[00:42:19.840 --> 00:42:22.480]   Again, when you point out sin,
[00:42:22.480 --> 00:42:23.920]   the purpose of this is not to say,
[00:42:23.920 --> 00:42:27.000]   hey, you're sinning, I pointed out, I did my job, right?
[00:42:27.000 --> 00:42:29.840]   The purpose of that is to turn them from their sin
[00:42:29.840 --> 00:42:31.480]   and then point them back to Christ,
[00:42:31.480 --> 00:42:34.120]   and that we have a community of believers
[00:42:34.120 --> 00:42:36.160]   that actually try to practice that.
[00:42:36.160 --> 00:42:39.660]   Again, there's a fine line between being judgmental
[00:42:39.660 --> 00:42:41.300]   and practicing grace and love
[00:42:41.300 --> 00:42:43.140]   by speaking the truth in love,
[00:42:43.140 --> 00:42:44.680]   but that's part of sanctification,
[00:42:44.680 --> 00:42:47.400]   learning how to do that and do that well, right?
[00:42:48.200 --> 00:42:50.960]   (pages rustling)
[00:42:50.960 --> 00:42:55.200]   Okay, so we are accountable to each other,
[00:42:55.200 --> 00:42:58.240]   Joshua 7, 16 to 18, okay?
[00:42:58.240 --> 00:42:59.820]   You can just write it down, look at it later.
[00:42:59.820 --> 00:43:03.320]   This is where God is judging the nation of Israel
[00:43:03.320 --> 00:43:07.080]   because of a man named Achan.
[00:43:07.080 --> 00:43:09.600]   He took certain things that God told him not to touch
[00:43:09.600 --> 00:43:12.120]   in the city of Jericho, and as a result of that,
[00:43:12.120 --> 00:43:13.560]   they get judged.
[00:43:13.560 --> 00:43:15.800]   And so when God is ready to judge him,
[00:43:15.800 --> 00:43:18.360]   he doesn't just say, "Achan, you come out."
[00:43:18.360 --> 00:43:20.560]   If you notice, he goes through,
[00:43:20.560 --> 00:43:23.280]   he brings the whole nation of Israel out, right?
[00:43:23.280 --> 00:43:25.120]   It's because of this one guy's sin.
[00:43:25.120 --> 00:43:30.120]   One guy's sin, over a million people have to stand in line,
[00:43:30.120 --> 00:43:34.760]   and then out of all of Israel, he calls out Judah
[00:43:34.760 --> 00:43:36.520]   because that's the tribe he comes from,
[00:43:36.520 --> 00:43:39.440]   and then from there, he calls the clan of the Zerrites,
[00:43:39.440 --> 00:43:41.960]   and then from there, he calls the family of Zimri,
[00:43:41.960 --> 00:43:44.920]   and then from there, he calls the family,
[00:43:44.920 --> 00:43:47.000]   and then ultimately, he gets to Achan.
[00:43:47.000 --> 00:43:49.120]   So why does he go through all of that drama,
[00:43:49.120 --> 00:43:52.480]   a million people to call out this one guy, right?
[00:43:52.480 --> 00:43:56.680]   And we see this consistently throughout scripture
[00:43:56.680 --> 00:44:01.040]   because God sees us in communities, right?
[00:44:01.040 --> 00:44:02.240]   Are we our brother's keepers?
[00:44:02.240 --> 00:44:05.160]   Yes, we're accountable to each other.
[00:44:05.160 --> 00:44:08.920]   If somebody is living in sin
[00:44:08.920 --> 00:44:11.600]   and you choose to ignore that, right?
[00:44:11.600 --> 00:44:13.480]   That's just like if something is happening to,
[00:44:13.480 --> 00:44:15.000]   like my children are doing something
[00:44:15.000 --> 00:44:17.440]   and the older brother and younger brother,
[00:44:17.440 --> 00:44:20.120]   and you say, "Ah, it's his problem, he doesn't care."
[00:44:20.120 --> 00:44:22.240]   There's some responsibility to the older brother
[00:44:22.240 --> 00:44:26.160]   for not caring enough to say something or do something,
[00:44:26.160 --> 00:44:28.160]   right, it's because we see,
[00:44:28.160 --> 00:44:30.120]   there's a perfect illustration of this
[00:44:30.120 --> 00:44:33.120]   in how God deals with sin of Achan
[00:44:33.120 --> 00:44:34.680]   in this particular passage.
[00:44:34.680 --> 00:44:40.280]   And this is, again, why biblical leadership
[00:44:40.280 --> 00:44:42.560]   is so important, right?
[00:44:42.560 --> 00:44:43.920]   In 1 Timothy 3, two,
[00:44:43.920 --> 00:44:47.680]   and Titus gives a list of qualifications of an elder.
[00:44:47.680 --> 00:44:50.120]   Obviously, he must be a Christian, right?
[00:44:50.120 --> 00:44:51.360]   That's a given.
[00:44:51.360 --> 00:44:52.360]   But there's all these other,
[00:44:52.360 --> 00:44:55.640]   like he must be above reproach,
[00:44:55.640 --> 00:44:57.920]   basically meaning that there's no accusation
[00:44:57.920 --> 00:44:59.400]   that can be brought against him.
[00:44:59.400 --> 00:45:02.840]   Husband of one wife, that he needs to be proven at home.
[00:45:02.840 --> 00:45:04.600]   And so all these other qualities.
[00:45:04.600 --> 00:45:07.080]   And then he says, "Make sure that he's not a recent convert
[00:45:07.080 --> 00:45:09.520]   "because the greatest concern of leadership
[00:45:09.520 --> 00:45:11.580]   "that he may become puffed up and conceited
[00:45:11.580 --> 00:45:14.040]   "and fall into condemnation of the devil."
[00:45:14.040 --> 00:45:14.880]   Right?
[00:45:14.880 --> 00:45:18.480]   So one of the most important qualification of an elder
[00:45:18.480 --> 00:45:20.960]   that he is not going to get to his head
[00:45:20.960 --> 00:45:23.720]   because once it gets to his head, what happens?
[00:45:23.720 --> 00:45:27.520]   His whole calling is to serve the church
[00:45:27.520 --> 00:45:29.160]   and to magnify Christ.
[00:45:29.160 --> 00:45:33.200]   But if somebody stands in between pointing to Christ
[00:45:33.200 --> 00:45:37.200]   and then he wants some of the glory, right, what happens?
[00:45:37.200 --> 00:45:41.020]   He can't do his job, right?
[00:45:41.020 --> 00:45:43.080]   So one of the greatest, he said,
[00:45:43.080 --> 00:45:45.400]   "You don't put in newcomers because the greatest fear
[00:45:45.400 --> 00:45:47.960]   "is that he may become conceited and become proud."
[00:45:47.960 --> 00:45:51.000]   And then that in and of itself would disqualify all of this
[00:45:51.000 --> 00:45:55.000]   because he's doing all of this for his own glory, right?
[00:45:55.000 --> 00:45:57.000]   So if a church is to glorify God,
[00:45:57.000 --> 00:45:59.440]   we need men who are gonna be humbled
[00:45:59.440 --> 00:46:02.920]   and not take the glory and give the glory to God, right?
[00:46:02.920 --> 00:46:06.400]   And that's why we follow biblical mandate of leadership.
[00:46:06.400 --> 00:46:09.720]   No matter how gifted you are or talented
[00:46:09.720 --> 00:46:13.180]   or how respected you are in society,
[00:46:13.180 --> 00:46:15.100]   if we are first and foremost,
[00:46:15.100 --> 00:46:16.740]   like we're talking about on Sunday,
[00:46:16.740 --> 00:46:20.980]   not broken, not humbled, and not compassionate, right?
[00:46:20.980 --> 00:46:24.340]   At some point, that's gonna manifest in the leadership.
[00:46:24.340 --> 00:46:26.340]   So that's the first thing that, again,
[00:46:26.340 --> 00:46:27.540]   in order to glorify God.
[00:46:27.540 --> 00:46:30.640]   Communion, baptism.
[00:46:30.640 --> 00:46:35.860]   Just shout it down.
[00:46:35.860 --> 00:46:37.780]   I'm just gonna pass by this for the sake of time.
[00:46:38.380 --> 00:46:39.220]   Okay.
[00:46:39.220 --> 00:46:44.240]   God-centered evangelism, and I'm gonna talk about this
[00:46:44.240 --> 00:46:45.780]   and then we'll end it tonight, okay?
[00:46:45.780 --> 00:46:48.840]   God-centered evangelism and not man-centered.
[00:46:48.840 --> 00:46:51.200]   Man-centered evangelism attempts to make the gospel
[00:46:51.200 --> 00:46:53.960]   the most attractive to the most people.
[00:46:53.960 --> 00:46:56.480]   God-centered evangelism focuses on representing God
[00:46:56.480 --> 00:46:58.960]   and his message accurately, right?
[00:46:58.960 --> 00:47:01.240]   So we don't change the message,
[00:47:01.240 --> 00:47:05.560]   we don't change the method, simply because it works, right?
[00:47:05.560 --> 00:47:10.540]   Our primary goal is to make sure that what he meant
[00:47:10.540 --> 00:47:13.740]   in the scripture is presented accurately, right?
[00:47:13.740 --> 00:47:19.040]   What happens when you have evangelism that's man-centered?
[00:47:19.040 --> 00:47:26.580]   Highlight the positive and kind of sweep under the rug
[00:47:26.580 --> 00:47:28.860]   the negative, and so what's the negative?
[00:47:28.860 --> 00:47:32.460]   Judgment, right?
[00:47:32.460 --> 00:47:33.300]   Commitment.
[00:47:35.140 --> 00:47:37.460]   Anything that you think a modern man would not be interested
[00:47:37.460 --> 00:47:39.540]   in talking about hell, right?
[00:47:39.540 --> 00:47:41.220]   Things that are hard to explain,
[00:47:41.220 --> 00:47:43.380]   so we just kind of dummy those things down
[00:47:43.380 --> 00:47:45.860]   and then just kind of highlight the good stuff, right?
[00:47:45.860 --> 00:47:49.420]   God loves you, you know, like God loves you unconditionally.
[00:47:49.420 --> 00:47:52.620]   So we end up highlighting, and all of that is true,
[00:47:52.620 --> 00:47:54.580]   but we end up kind of taking certain things out,
[00:47:54.580 --> 00:47:57.420]   taking the edges of the gospel away,
[00:47:57.420 --> 00:48:00.460]   and then so they hear a partial gospel, right?
[00:48:00.460 --> 00:48:03.860]   So the goal of evangelism, again, in me speaking,
[00:48:03.860 --> 00:48:05.660]   God-centered, not man-centered, right?
[00:48:05.660 --> 00:48:10.660]   Man-centered evangelism ends justify any means, right?
[00:48:10.660 --> 00:48:11.980]   So they'll use all kinds of means.
[00:48:11.980 --> 00:48:16.140]   If that's gonna get people to church, we'll try it, right?
[00:48:16.140 --> 00:48:18.140]   If we do this and tweak this and do this,
[00:48:18.140 --> 00:48:19.860]   and if we have the right people here doing that,
[00:48:19.860 --> 00:48:21.740]   if we had enough money, right?
[00:48:21.740 --> 00:48:27.100]   And the God-centered evangelism emphasizes the fact
[00:48:27.100 --> 00:48:30.660]   that God has ordained the means as well as the ends,
[00:48:30.660 --> 00:48:33.580]   and that's why in John chapter 15, he said,
[00:48:33.580 --> 00:48:35.680]   if you wanna bear fruit, what does he say?
[00:48:35.680 --> 00:48:41.060]   Remain in me, abide in me, right?
[00:48:41.060 --> 00:48:46.420]   So when the Holy Spirit, when we abide in the Holy Spirit,
[00:48:46.420 --> 00:48:49.180]   the Holy Spirit is gonna cause us to bear fruit, right?
[00:48:49.180 --> 00:48:55.020]   So it is not by being clever, by new methods,
[00:48:55.020 --> 00:48:57.940]   and I'm always weary when I get invitations
[00:48:57.940 --> 00:49:00.860]   to either conferences or some seminar,
[00:49:00.860 --> 00:49:01.980]   and they found a new way.
[00:49:01.980 --> 00:49:03.580]   I mean, it's the old way,
[00:49:03.580 --> 00:49:05.380]   the way we used to do evangelism 20 years ago
[00:49:05.380 --> 00:49:07.140]   is no longer relevant today,
[00:49:07.140 --> 00:49:08.900]   and now we have a new relevant thing,
[00:49:08.900 --> 00:49:10.100]   and then another 15 years later,
[00:49:10.100 --> 00:49:11.740]   they're gonna find another new relevant thing
[00:49:11.740 --> 00:49:13.460]   that we're gonna do, you know?
[00:49:13.460 --> 00:49:19.180]   If you look at scripture, God constantly points backward.
[00:49:19.180 --> 00:49:20.340]   He doesn't point forward.
[00:49:20.340 --> 00:49:22.020]   The only time he points forward
[00:49:22.020 --> 00:49:24.980]   is to tell us that end's coming, right?
[00:49:24.980 --> 00:49:27.260]   That Jesus is gonna come and judgment is gonna come
[00:49:27.260 --> 00:49:28.420]   and heaven is gonna come.
[00:49:28.420 --> 00:49:30.180]   That's the only time he points forward.
[00:49:30.180 --> 00:49:32.140]   Every time he points backwards to show,
[00:49:32.140 --> 00:49:35.060]   remember, remember who I am, remember what I did,
[00:49:35.060 --> 00:49:37.140]   remember how I delivered Egypt,
[00:49:37.140 --> 00:49:39.500]   not Egypt, but Israel, right?
[00:49:39.500 --> 00:49:41.700]   Remember when I was faithful to you, remember.
[00:49:41.700 --> 00:49:46.700]   So our means in bringing people to Christ
[00:49:46.700 --> 00:49:50.180]   should be no different than what the apostles did.
[00:49:50.180 --> 00:49:51.620]   Our message should be no different
[00:49:51.620 --> 00:49:53.420]   than the early church, right?
[00:49:53.420 --> 00:49:57.300]   And I know that, again, humanly speaking,
[00:49:57.300 --> 00:49:58.260]   we think like, well, you know,
[00:49:58.300 --> 00:50:01.060]   we have people with MBAs and marketing degrees
[00:50:01.060 --> 00:50:03.340]   and all this stuff and contract people.
[00:50:03.340 --> 00:50:05.220]   Yes, do those things work?
[00:50:05.220 --> 00:50:06.980]   It works, right?
[00:50:06.980 --> 00:50:10.660]   If you have a master's in marketing,
[00:50:10.660 --> 00:50:15.580]   those techniques will work to bring people to church,
[00:50:15.580 --> 00:50:19.780]   but it's absolutely useless to bring people to Christ.
[00:50:19.780 --> 00:50:22.340]   It's absolutely useless to bring people to Christ.
[00:50:22.340 --> 00:50:25.660]   There's no, God wasn't waiting for people to get an MBA
[00:50:25.660 --> 00:50:28.660]   so that we can do evangelism effectively, right?
[00:50:28.660 --> 00:50:30.580]   He says when the Holy Spirit comes upon you,
[00:50:30.580 --> 00:50:33.420]   you will be my witnesses, right?
[00:50:33.420 --> 00:50:36.020]   That's why these fishermen who knew nothing,
[00:50:36.020 --> 00:50:39.420]   who were uneducated, was able to rock the world
[00:50:39.420 --> 00:50:40.860]   because the Holy Spirit was upon them
[00:50:40.860 --> 00:50:42.340]   and they were remaining in Christ.
[00:50:42.340 --> 00:50:46.180]   So why is that any different today, right?
[00:50:46.180 --> 00:50:48.380]   Why do we all of a sudden, 2,000 years later,
[00:50:48.380 --> 00:50:50.740]   that we found something new, right?
[00:50:50.740 --> 00:50:53.660]   And again, I'm not saying that we shouldn't be sophisticated.
[00:50:53.660 --> 00:50:58.060]   I'm not saying that all of that stuff is absolutely useless,
[00:50:58.060 --> 00:51:02.020]   but at the core of how we understand bare fruit,
[00:51:02.020 --> 00:51:06.100]   that ultimately, God gets the glory, right?
[00:51:06.100 --> 00:51:09.900]   It wasn't because, you know, got a doctor of ministry
[00:51:09.900 --> 00:51:13.140]   and how to do ministry and learned all the new techniques
[00:51:13.140 --> 00:51:14.780]   that all the great churches are doing,
[00:51:14.780 --> 00:51:15.660]   and if we applied that,
[00:51:15.660 --> 00:51:17.420]   that our church is gonna be greater.
[00:51:17.420 --> 00:51:19.220]   Yeah, it may help you feel better.
[00:51:19.220 --> 00:51:22.220]   It may help to bring maybe cohesiveness
[00:51:22.220 --> 00:51:23.640]   and help us to communicate better,
[00:51:23.640 --> 00:51:26.260]   and none of that is evil, none of that is bad,
[00:51:26.260 --> 00:51:29.780]   but it's absolutely useless to bring people to Christ, right?
[00:51:29.780 --> 00:51:31.700]   Because the only thing God has ordained
[00:51:31.700 --> 00:51:35.340]   to bring people to Christ is to preach Christ crucified,
[00:51:35.340 --> 00:51:37.720]   in season and out of season, okay?
[00:51:37.720 --> 00:51:42.820]   Man-centered evangelism focuses on profession.
[00:51:42.820 --> 00:51:45.100]   If they say they accept, that's enough.
[00:51:45.100 --> 00:51:49.100]   God-centered evangelism focuses on conversion, right?
[00:51:49.100 --> 00:51:52.500]   When people encounter God and there's an actual conversion.
[00:51:53.440 --> 00:51:54.840]   And when I say conversion,
[00:51:54.840 --> 00:51:58.280]   I'm talking about not just your thoughts, your life,
[00:51:58.280 --> 00:52:00.160]   your profession, your affection, your love,
[00:52:00.160 --> 00:52:04.080]   what you pursue, there's actual conversion that takes place.
[00:52:04.080 --> 00:52:10.920]   Man-centered evangelism focus on a better life here.
[00:52:10.920 --> 00:52:13.280]   If you believe in God, you know,
[00:52:13.280 --> 00:52:14.880]   these things will happen, God will answer your prayer,
[00:52:14.880 --> 00:52:19.000]   maybe he'll bless your family and your business,
[00:52:19.000 --> 00:52:20.480]   but God-centered evangelism
[00:52:20.480 --> 00:52:22.740]   always focuses on a better eternity.
[00:52:22.740 --> 00:52:28.040]   But like I said, every time God points to the future,
[00:52:28.040 --> 00:52:33.040]   it's always to tell us that there's hope at the end, right?
[00:52:33.040 --> 00:52:35.560]   And so the purpose of preaching the gospel
[00:52:35.560 --> 00:52:38.960]   and being Christ-centered and God-exalting
[00:52:38.960 --> 00:52:42.000]   is that we wanna make sure that, one,
[00:52:42.000 --> 00:52:45.620]   that in the church that God is exalted, not man, right?
[00:52:47.560 --> 00:52:50.760]   But secondly, whatever fruit that we bear,
[00:52:50.760 --> 00:52:54.380]   that we want that to be true fruit, right?
[00:52:54.380 --> 00:52:56.400]   We don't want that to be kind of fruit
[00:52:56.400 --> 00:52:59.760]   that church is growing because of these methods
[00:52:59.760 --> 00:53:02.800]   that we're implementing in the church, right?
[00:53:02.800 --> 00:53:03.920]   Again, don't get me wrong,
[00:53:03.920 --> 00:53:05.840]   I don't have any problem with methods.
[00:53:05.840 --> 00:53:08.000]   Some of you are much better at communication
[00:53:08.000 --> 00:53:10.400]   and all this stuff, and I hope that you would use your gifts
[00:53:10.400 --> 00:53:14.320]   to help the church, but at the core, if you're asking me,
[00:53:14.320 --> 00:53:16.920]   like I have so many hours of the week,
[00:53:16.920 --> 00:53:20.360]   how to invest my time, I will always invest my time
[00:53:20.360 --> 00:53:23.240]   to His word, right, to His word
[00:53:23.240 --> 00:53:26.080]   and what the word of God says, right?
[00:53:26.080 --> 00:53:29.240]   Instead of running around trying to attend seminars
[00:53:29.240 --> 00:53:33.160]   to see the latest method, whatever it is working, right?
[00:53:33.160 --> 00:53:36.920]   'Cause like I said, I think I've shared this so many times,
[00:53:36.920 --> 00:53:43.560]   I figured out very early on how to grow a church, right?
