
[00:00:00.000 --> 00:00:07.000]   Okay, good morning.
[00:53:45.260 --> 00:53:52.860]   resurrection of Jesus Christ means to us on Sunday, right?
[00:53:52.860 --> 00:53:58.380]   So I come to the end of my message.
[00:53:58.380 --> 00:54:04.380]   It would be great if I could just end here, we are all encouraged, but there's also a
[00:54:04.380 --> 00:54:10.420]   part where we have to talk about the application of this.
[00:54:10.420 --> 00:54:11.700]   What does it mean, right?
[00:54:11.700 --> 00:54:19.100]   I'm going through the covenant, the fourth covenant that I commit to coming Sunday service
[00:54:19.100 --> 00:54:24.740]   at BCC to the best of my ability.
[00:54:24.740 --> 00:54:32.280]   So looking at verse 25 of Hebrews chapter 10, so when the Hebrew writer was writing
[00:54:32.280 --> 00:54:38.200]   this letter, I wonder if he paused at verse 25, I wonder if he paused there and was thinking
[00:54:38.200 --> 00:54:45.020]   to himself, okay, I'm going to call out some people, but do I need to do it?
[00:54:45.020 --> 00:54:47.220]   Do I really need to do it?
[00:54:47.220 --> 00:54:51.300]   Do I need to point out the sins of others?
[00:54:51.300 --> 00:55:01.060]   And I feel the same way because in calling out some of the, you know, some of, you know,
[00:55:01.060 --> 00:55:07.820]   maybe the deficiencies, you know, no one wants to do it, but I realized it needs to be done.
[00:55:07.820 --> 00:55:15.580]   So I am going to address a couple of issues that one, regarding the idea or the question
[00:55:15.580 --> 00:55:17.620]   of do I have to come to Sunday every Sunday?
[00:55:17.620 --> 00:55:20.380]   Do I have to come every Sunday?
[00:55:20.380 --> 00:55:26.840]   And the other is in a general sense and also a couple of specific things.
[00:55:26.840 --> 00:55:32.240]   In a general sense regarding coming and committing to coming on Sunday, you know, I can't come
[00:55:32.240 --> 00:55:34.380]   because of this or that.
[00:55:34.380 --> 00:55:39.800]   It's hard to say, okay, on this you can, on this you can't, this is not good or not.
[00:55:39.800 --> 00:55:45.640]   But if you look at verse 25, it is calling out those people who, it says, not forsaking
[00:55:45.640 --> 00:55:50.440]   our own assembly together as is the habit of some.
[00:55:50.440 --> 00:55:57.380]   So the word habit here, in other, the same Greek word in other passages, it means custom,
[00:55:57.380 --> 00:55:58.380]   right?
[00:55:58.380 --> 00:56:00.180]   It means custom.
[00:56:00.180 --> 00:56:06.260]   So here is a group of people who are not gathering, who are neglecting to gather, and it had become
[00:56:06.260 --> 00:56:08.880]   a habit, right?
[00:56:08.880 --> 00:56:14.780]   So I say to those that a habit is something that is done on a regular basis, that there
[00:56:14.780 --> 00:56:25.460]   are some who regularly miss the Sunday service and it does not, you know, pass you by or
[00:56:25.460 --> 00:56:26.460]   it's nothing.
[00:56:26.460 --> 00:56:35.460]   So that is the people who Hebrews 25 is talking about, that if missing Bible studies or Sunday
[00:56:35.460 --> 00:56:40.540]   service is a regular thing in your life, that when people look at you, they almost assume,
[00:56:40.540 --> 00:56:48.740]   okay, I can't rely on this person because I know he's very non-committed to this, then
[00:56:48.740 --> 00:56:54.840]   this passage is calling you out and that you are in danger of drifting.
[00:56:54.840 --> 00:56:58.940]   If that is a regular pattern in your life.
[00:56:58.940 --> 00:56:59.940]   So that's a general sentence.
[00:56:59.940 --> 00:57:06.180]   A more specific sense is we have live streaming.
[00:57:06.180 --> 00:57:11.800]   We have live streaming that happens and we do it for the convenience of people who cannot
[00:57:11.800 --> 00:57:18.100]   come to Sunday service, who cannot come here physically just because you're sick, you're
[00:57:18.100 --> 00:57:19.100]   injured.
[00:57:19.100 --> 00:57:24.880]   This year, I had my gallbladder removed and I could not come to Sunday service.
[00:57:24.880 --> 00:57:29.400]   So streaming it was a great benefit, right?
[00:57:29.400 --> 00:57:31.920]   It was great that I could sit.
[00:57:31.920 --> 00:57:37.720]   But I think just looking at the rise of the number of people who are streaming, that maybe
[00:57:37.720 --> 00:57:44.880]   it's becoming a little too relaxed for some people that you could come but because either
[00:57:44.880 --> 00:57:49.160]   you're tired or that you are for other reasons.
[00:57:49.160 --> 00:57:57.000]   For you, I am saying you are missing out on coming because on Sunday, we are made to gather
[00:57:57.000 --> 00:57:58.340]   and worship.
[00:57:58.340 --> 00:58:03.080]   And being here is different than being even sitting somewhere else.
[00:58:03.080 --> 00:58:10.080]   I know that it can easily be a habit of, you know, if your child is sick, to have both
[00:58:10.080 --> 00:58:11.080]   parents, right?
[00:58:11.080 --> 00:58:15.240]   Go out, but that's why I said to the best of your ability, right?
[00:58:15.240 --> 00:58:16.960]   To the best of your ability.
[00:58:16.960 --> 00:58:21.960]   To call out specifically, it's going to seem very legalistic, but it is an attitude of
[00:58:21.960 --> 00:58:25.040]   coming, an attitude of understanding.
[00:58:25.040 --> 00:58:31.680]   I said the idea of we commit to Sunday service is that we are committing to understanding
[00:58:31.680 --> 00:58:37.240]   what Sunday is about and then give it the props that it deserves, that as members that
[00:58:37.240 --> 00:58:42.520]   we are giving Sunday worship all the props that it deserves, right?
[00:58:42.520 --> 00:58:48.840]   He said the world looks at the resurrection of Jesus Christ and they don't believe it,
[00:58:48.840 --> 00:58:53.640]   but it is the church gathering on Sunday is the one who's proclaiming it.
[00:58:53.640 --> 00:58:59.400]   So if you are not here, you're missing out on corporate worship, missing out on the blessing,
[00:58:59.400 --> 00:59:01.060]   taste of heaven.
[00:59:01.060 --> 00:59:07.200]   So I encourage you to the best of your ability that you attend as much, as best as you can
[00:59:07.200 --> 00:59:11.520]   Sunday service.
[00:59:11.520 --> 00:59:17.080]   I hope that doesn't bum you out, but with that, let me pray and we'll end our service.

