
[00:00:00.000 --> 00:00:06.880]   [Pause]
[00:41:26.640 --> 00:41:28.000]   translation of the Bible.
[00:41:28.000 --> 00:41:30.400]   He says, "Everything has been given to you."
[00:41:30.400 --> 00:41:32.560]   Yes, it's great to have small groups.
[00:41:32.560 --> 00:41:38.080]   Yes, it's great to have different things and different translations.
[00:41:38.080 --> 00:41:42.600]   But we keep missing the point when we keep thinking like, "Oh, we need something different.
[00:41:42.600 --> 00:41:43.600]   It's not working.
[00:41:43.600 --> 00:41:45.160]   This isn't working, so let's try this."
[00:41:45.160 --> 00:41:50.280]   When all he kept on telling us is to keep continuing.
[00:41:50.280 --> 00:41:52.680]   Keep abiding.
[00:41:52.680 --> 00:41:57.680]   You know, it doesn't sound smart.
[00:41:57.680 --> 00:42:04.880]   It almost sounds lazy to say, "Just abide in Christ."
[00:42:04.880 --> 00:42:06.720]   It sounds like, "Oh, okay.
[00:42:06.720 --> 00:42:08.500]   Anybody can say that.
[00:42:08.500 --> 00:42:09.500]   Anybody can say that."
[00:42:09.500 --> 00:42:12.080]   And you're exactly right.
[00:42:12.080 --> 00:42:14.880]   And that's why he calls anybody.
[00:42:14.880 --> 00:42:17.280]   That's why he called anybody.
[00:42:17.280 --> 00:42:19.200]   Fishermen.
[00:42:19.200 --> 00:42:21.200]   That's why he called the uneducated.
[00:42:21.200 --> 00:42:23.480]   The people who had no honor.
[00:42:23.480 --> 00:42:24.480]   People who had nothing.
[00:42:24.480 --> 00:42:25.480]   He called everybody.
[00:42:25.480 --> 00:42:30.440]   You know, we have a tendency to think that if I don't go to seminary, I can't teach.
[00:42:30.440 --> 00:42:33.880]   If I didn't get gospel training, I can't share the gospel.
[00:42:33.880 --> 00:42:37.240]   If I didn't receive small group training, I can't lead small group.
[00:42:37.240 --> 00:42:41.520]   I didn't get missionary training, so I can't go to missions.
[00:42:41.520 --> 00:42:44.600]   Where did that come from?
[00:42:44.600 --> 00:42:46.440]   Was that taught in the scripture?
[00:42:46.440 --> 00:42:48.480]   Is that what he told his disciples?
[00:42:48.480 --> 00:42:49.840]   "Wait.
[00:42:49.840 --> 00:42:55.240]   Wait before you go, because I have level 2 training of discipleship that I didn't finish.
[00:42:55.240 --> 00:42:56.520]   I only got to 1.
[00:42:56.520 --> 00:43:00.480]   So when you finish level 2, and then when you're done with that, you go to level 3,
[00:43:00.480 --> 00:43:01.800]   and then maybe about 5, 6 years.
[00:43:01.800 --> 00:43:06.280]   And then when we establish the seminary, and then we have educated people who can educate
[00:43:06.280 --> 00:43:13.280]   you, and then after about 12, 13 years of training, now you can go and share the gospel."
[00:43:13.280 --> 00:43:14.280]   Did he say that?
[00:43:14.280 --> 00:43:16.200]   Where is that in the scripture?
[00:43:16.200 --> 00:43:17.200]   You made that.
[00:43:17.200 --> 00:43:18.200]   I made that.
[00:43:18.200 --> 00:43:19.680]   The church generation has made that.
[00:43:19.680 --> 00:43:21.040]   The church made that.
[00:43:21.040 --> 00:43:22.880]   That is not in the scripture.
[00:43:22.880 --> 00:43:25.120]   He is telling Timothy, what does he say?
[00:43:25.120 --> 00:43:28.880]   These people are going to go from worse, bad to worse, but what does he say in verse 14?
[00:43:28.880 --> 00:43:31.640]   "But for you, continue in what you have learned."
[00:43:31.640 --> 00:43:35.560]   Continue.
[00:43:35.560 --> 00:43:38.040]   What you know about Jesus, continue.
[00:43:38.040 --> 00:43:43.160]   Why do you think the Bible says in Revelation, "You have forsaken your first love to restore."
[00:43:43.160 --> 00:43:44.760]   How do you restore that?
[00:43:44.760 --> 00:43:46.720]   Remember the height from which you had fallen.
[00:43:46.720 --> 00:43:47.720]   Remember.
[00:43:47.720 --> 00:43:56.360]   He didn't say, "Go out and look for new groups, new techniques, new strategies, cutting edge."
[00:43:56.360 --> 00:44:02.040]   He said, "No, go back to what gave you power in the first place."
[00:44:02.040 --> 00:44:08.160]   When you met Christ, did somebody argue you into the kingdom?
[00:44:08.160 --> 00:44:12.520]   Did somebody present to you all the logical reasons why you should meet Christ, and you
[00:44:12.520 --> 00:44:17.240]   said, "I have no answer for this, and therefore you change your life and follow Christ."
[00:44:17.240 --> 00:44:20.680]   No, you encounter the power of the cross.
[00:44:20.680 --> 00:44:25.240]   What may have been foolishness to you at one point, but it was the power of God.
[00:44:25.240 --> 00:44:28.580]   And you change your life.
[00:44:28.580 --> 00:44:29.900]   You didn't do it.
[00:44:29.900 --> 00:44:33.000]   You encountered God's power.
[00:44:33.000 --> 00:44:36.960]   And he says, "That power that you've encountered, don't stray from it.
[00:44:36.960 --> 00:44:40.000]   What you have learned, continue in it.
[00:44:40.000 --> 00:44:42.680]   Continue to cling to Him.
[00:44:42.680 --> 00:44:44.800]   Continue to follow in His steps."
[00:44:44.800 --> 00:44:46.360]   And that's why he says, "To persevere."
[00:44:46.360 --> 00:44:51.760]   And he says, "Even in persecution, even in my suffering, follow me in this path, because
[00:44:51.760 --> 00:44:55.480]   the path that you are on is going to lead you to this."
[00:44:55.480 --> 00:44:57.720]   In Antioch, in Iconium, and in Lystra.
[00:44:57.720 --> 00:45:01.080]   And he reminds Timothy, "Remember when you first followed me, I never promised you an
[00:45:01.080 --> 00:45:02.080]   easy life."
[00:45:02.080 --> 00:45:06.120]   Paul, as soon as he was called, remember what Jesus said about Paul?
[00:45:06.120 --> 00:45:09.160]   "I'm going to show him how much he must suffer for my name's sake."
[00:45:09.160 --> 00:45:13.120]   So from the day that he was called, he was called to suffer.
[00:45:13.120 --> 00:45:15.200]   But here's the catch.
[00:45:15.200 --> 00:45:17.480]   Timothy followed this man.
[00:45:17.480 --> 00:45:22.400]   This is a guy who was stoned, dragged out, walks right back in, in Lystra.
[00:45:22.400 --> 00:45:24.160]   That's where Timothy is from.
[00:45:24.160 --> 00:45:28.080]   His grandmother, his mother, came to Christ at that city.
[00:45:28.080 --> 00:45:32.400]   So imagine, persecution and the threat of death was real to them.
[00:45:32.400 --> 00:45:36.960]   So he's reminding Timothy, "Timothy, when you first followed me, that's who I was, and
[00:45:36.960 --> 00:45:37.960]   that's where I was headed.
[00:45:37.960 --> 00:45:39.420]   And you followed me faithfully.
[00:45:39.420 --> 00:45:45.220]   And now that it's getting intense, don't think that you made a mistake.
[00:45:45.220 --> 00:45:49.780]   In fact, not only did God call me to this, not only did God call you to this, what does
[00:45:49.780 --> 00:45:50.780]   he say?
[00:45:50.780 --> 00:45:55.660]   "All who desire to live godly lives will be persecuted."
[00:45:55.660 --> 00:46:00.820]   Now that word "all," is that only referring to the first century, referring to people
[00:46:00.820 --> 00:46:02.400]   at that time?
[00:46:02.400 --> 00:46:07.140]   Or does that "all" mean "all"?
[00:46:07.140 --> 00:46:08.140]   It means all.
[00:46:08.140 --> 00:46:10.100]   There's nothing hidden in the Greek.
[00:46:10.100 --> 00:46:12.380]   There's nothing hidden in the context.
[00:46:12.380 --> 00:46:19.660]   All means you, me, first century, second century, and to come.
[00:46:19.660 --> 00:46:20.660]   But here's the thing.
[00:46:20.660 --> 00:46:26.460]   All who wants to live a godly life will be persecuted.
[00:46:26.460 --> 00:46:29.980]   When we think of godliness, we think of not doing this.
[00:46:29.980 --> 00:46:31.340]   Not getting drunk.
[00:46:31.340 --> 00:46:32.340]   Not watching certain things.
[00:46:32.340 --> 00:46:33.860]   Not going certain places.
[00:46:33.860 --> 00:46:36.620]   So we're living a godly life.
[00:46:36.620 --> 00:46:41.980]   When Paul talks about godliness, he's not simply talking about not doing certain things.
[00:46:41.980 --> 00:46:44.700]   There's a sin of commission, and there's a sin of omission.
[00:46:44.700 --> 00:46:46.660]   Things that we know we ought to do and not to do.
[00:46:46.660 --> 00:46:50.460]   That is also sin before God's eyes.
[00:46:50.460 --> 00:46:53.140]   Why were they persecuted?
[00:46:53.140 --> 00:46:57.820]   If they gathered together in their homes, and they had Bible study, and they had VBS,
[00:46:57.820 --> 00:47:02.580]   and they raised their children in their home, not bothering anybody, they wouldn't have
[00:47:02.580 --> 00:47:04.860]   been persecuted.
[00:47:04.860 --> 00:47:05.860]   For what reason?
[00:47:05.860 --> 00:47:07.180]   Because they have thousands of gods.
[00:47:07.180 --> 00:47:08.780]   You just happen to be one of them.
[00:47:08.780 --> 00:47:11.180]   And they have their temples, and you have your temple.
[00:47:11.180 --> 00:47:13.620]   They have their idols, you have their idols.
[00:47:13.620 --> 00:47:14.620]   And that's the thing.
[00:47:14.620 --> 00:47:19.540]   When you go to India, one of the hardest things about India is when you preach the gospel,
[00:47:19.540 --> 00:47:23.020]   when you share about Christ, they're very receptive initially.
[00:47:23.020 --> 00:47:26.620]   They say, "Yes, that's great."
[00:47:26.620 --> 00:47:30.340]   But after a while, you realize that they're not accepting Christ.
[00:47:30.340 --> 00:47:33.860]   They're just adding Jesus to the other idols that they have.
[00:47:33.860 --> 00:47:35.460]   And that's a freaky thing.
[00:47:35.460 --> 00:47:40.500]   When you go to India, you'll see shrines, temples, and different idols, hideous stuff.
[00:47:40.500 --> 00:47:45.340]   And right in the middle of that, you see the Catholic cathedral, and you'll see the different
[00:47:45.340 --> 00:47:47.560]   statues of Mary and all the saints.
[00:47:47.560 --> 00:47:49.860]   And they're just right in the middle of it.
[00:47:49.860 --> 00:47:50.860]   Nobody's bothered by it.
[00:47:50.860 --> 00:47:54.340]   People come out of one and enter that one, and there's no difference.
[00:47:54.340 --> 00:47:58.580]   See, but that's not what the scripture talks about.
[00:47:58.580 --> 00:48:00.780]   Why did they get persecuted?
[00:48:00.780 --> 00:48:03.460]   Because they were proselytizing.
[00:48:03.460 --> 00:48:08.980]   Not only were they saying that Jesus Christ is somebody that they adore, they were beginning
[00:48:08.980 --> 00:48:14.180]   to tell other people, "In fact, this is the only way for you to live.
[00:48:14.180 --> 00:48:15.620]   There is no other God.
[00:48:15.620 --> 00:48:18.580]   All your other gods are not real gods.
[00:48:18.580 --> 00:48:19.580]   They're fake.
[00:48:19.580 --> 00:48:20.580]   They're man-made.
[00:48:20.580 --> 00:48:24.500]   In fact, for the very reason why you worship those idols," he said, "the judgment of God,
[00:48:24.500 --> 00:48:28.140]   the wrath of God is being revealed against all of these things."
[00:48:28.140 --> 00:48:30.500]   That's why they were being persecuted.
[00:48:30.500 --> 00:48:32.740]   Have you ever heard anybody say to you, "Oh, that's great.
[00:48:32.740 --> 00:48:34.740]   As long as you believe it.
[00:48:34.740 --> 00:48:40.100]   As long as you're not one of those Jesus freaks who try to shove religion down my throat.
[00:48:40.100 --> 00:48:42.500]   As long as you keep it to yourself.
[00:48:42.500 --> 00:48:43.500]   That's good.
[00:48:43.500 --> 00:48:45.500]   Good for you."
[00:48:45.500 --> 00:48:49.180]   We get persecuted not because we try to live a righteous life in our own homes, taking
[00:48:49.180 --> 00:48:53.100]   care of our children, and actively involved at church.
[00:48:53.100 --> 00:48:58.420]   Persecution comes as a result of pushing against the darkness.
[00:48:58.420 --> 00:49:01.540]   Because we're encroaching upon enemy territory.
[00:49:01.540 --> 00:49:06.260]   The battle is not inside of our home, protecting our kids so that they don't see bad things.
[00:49:06.260 --> 00:49:07.580]   That's part of our battle.
[00:49:07.580 --> 00:49:09.740]   But he said, "We are the light of the world."
[00:49:09.740 --> 00:49:12.140]   You don't light a lamp and put it under a desk.
[00:49:12.140 --> 00:49:17.120]   So you light a lamp and you put it on a desk so that the whole room can be lit.
[00:49:17.120 --> 00:49:22.020]   And when you light the room, people who have been accustomed to darkness doesn't want you
[00:49:22.020 --> 00:49:24.700]   to turn the light on.
[00:49:24.700 --> 00:49:27.180]   They'll react.
[00:49:27.180 --> 00:49:30.420]   Just like if you've ever, when you're young, you know, you shared a room with your brother
[00:49:30.420 --> 00:49:33.780]   or sister, and it's time for you to go to school, and your brother doesn't want to go
[00:49:33.780 --> 00:49:36.420]   to school, and you flip the light on.
[00:49:36.420 --> 00:49:39.060]   Or maybe one of your roommates, right?
[00:49:39.060 --> 00:49:43.060]   You know, it's classes at 8 o'clock, and it's 8.15, they're not getting up, and you're concerned
[00:49:43.060 --> 00:49:48.180]   for them, and you, you know, open the curtain, bright light comes in, you flip the light
[00:49:48.180 --> 00:49:49.180]   on.
[00:49:49.180 --> 00:49:51.420]   When they open their eyes, what do they say?
[00:49:51.420 --> 00:49:52.420]   Thank you so much.
[00:49:52.420 --> 00:49:53.420]   Thank you.
[00:49:53.420 --> 00:49:54.420]   They say that.
[00:49:54.420 --> 00:49:55.420]   What are you doing?
[00:49:55.420 --> 00:49:56.420]   Right?
[00:49:56.420 --> 00:49:57.420]   I don't have class today, you dummy!
[00:49:57.420 --> 00:50:08.420]   Persecution comes as a result of advancing the Gospel.
[00:50:08.420 --> 00:50:13.900]   See, the way we avoid persecution is one, through isolation.
[00:50:13.900 --> 00:50:18.340]   If we isolate ourselves, and we don't contact the world, we're not with people that are
[00:50:18.340 --> 00:50:21.440]   uncomfortable, we're not with people that are going to question us, and cause us to
[00:50:21.440 --> 00:50:24.260]   question our faith, then we don't need to worry.
[00:50:24.260 --> 00:50:29.420]   Just raise my kids, good Sunday school, and go to church, and have fellowship, then yeah,
[00:50:29.420 --> 00:50:30.420]   what persecution?
[00:50:30.420 --> 00:50:32.820]   I don't experience any persecution.
[00:50:32.820 --> 00:50:35.220]   They wouldn't have been persecuted either.
[00:50:35.220 --> 00:50:39.060]   If they stayed home in their nice, comfortable room, raised their kids, and worshipped God,
[00:50:39.060 --> 00:50:43.820]   and had their, you know, grape juice and bread, and whatever they had, they wouldn't have
[00:50:43.820 --> 00:50:44.820]   been persecuted.
[00:50:44.820 --> 00:50:50.300]   They got persecuted because Paul recruited people, went from town to town to town to
[00:50:50.300 --> 00:50:51.300]   town.
[00:50:51.300 --> 00:50:56.380]   In fact, he was so effective, he was ruining their economy.
[00:50:56.380 --> 00:50:58.540]   And that's why they were angry with him.
[00:50:58.540 --> 00:50:59.980]   That's why they were stoning him.
[00:50:59.980 --> 00:51:03.460]   He went into synagogues.
[00:51:03.460 --> 00:51:07.380]   I mean, he would get stoned in one synagogue, and leave, and go to the next city, and go
[00:51:07.380 --> 00:51:08.900]   to the next synagogue.
[00:51:08.900 --> 00:51:13.620]   At some point, you would think, "Maybe we should stop going to synagogues."
[00:51:13.620 --> 00:51:15.520]   But he didn't.
[00:51:15.520 --> 00:51:17.540]   Because that was the best place to start.
[00:51:17.540 --> 00:51:19.380]   Because they had the Old Testament.
[00:51:19.380 --> 00:51:22.420]   And even if they reject me, that would be the best place to start.
[00:51:22.420 --> 00:51:25.220]   So he would first go to the synagogues and preach the Gospel.
[00:51:25.220 --> 00:51:29.940]   If he didn't go to the synagogues, there would have been less persecution.
[00:51:29.940 --> 00:51:33.820]   If he didn't go to the marketplaces, there would have been even less persecution.
[00:51:33.820 --> 00:51:41.980]   If he stayed at home, if he stayed in Antioch, and just built a nice, healthy church, we
[00:51:41.980 --> 00:51:49.880]   either live in isolation, or another way that we avoid persecution is assimilation.
[00:51:49.880 --> 00:51:55.620]   We live our lives and speak so much like the world, that they don't see any difference.
[00:51:55.620 --> 00:51:59.620]   It's like, "Well, you go to church, but I don't."
[00:51:59.620 --> 00:52:01.180]   You go to church Sunday, but I don't.
[00:52:01.180 --> 00:52:03.320]   And that's about the only difference that they see.
[00:52:03.320 --> 00:52:08.260]   And so we've assimilated so well, that there is no offense.
[00:52:08.260 --> 00:52:09.900]   We've taken away the offense of the Gospel.
[00:52:09.900 --> 00:52:14.860]   The Gospel basically says, "Jesus Christ is the only way."
[00:52:14.860 --> 00:52:20.860]   There's no name under heaven which has been given, other than man, Jesus Christ, by which
[00:52:20.860 --> 00:52:23.220]   we must be saved.
[00:52:23.220 --> 00:52:24.220]   Nobody.
[00:52:24.220 --> 00:52:28.020]   So if you're a Buddhist, you can't be saved.
[00:52:28.020 --> 00:52:30.300]   You're a Muslim, you can't be saved.
[00:52:30.300 --> 00:52:32.820]   You're an atheist, you can't be saved.
[00:52:32.820 --> 00:52:35.940]   That's a central message of the Gospel.
[00:52:35.940 --> 00:52:38.600]   That Jesus Christ is the only way.
[00:52:38.600 --> 00:52:44.380]   But if we've assimilated in such a way that they don't see any difference, of course we're
[00:52:44.380 --> 00:52:46.980]   not going to be persecuted.
[00:52:46.980 --> 00:52:49.780]   Bible never tells us to look for persecution.
[00:52:49.780 --> 00:52:53.340]   Go look for, "Oh, now I've got to be persecuted."
[00:52:53.340 --> 00:52:57.180]   And then you go out and say, "Hey, you!"
[00:52:57.180 --> 00:52:58.420]   And we start acting like jerks.
[00:52:58.420 --> 00:53:01.860]   It's like, no, that's not what the Bible's calling us to do.
[00:53:01.860 --> 00:53:08.100]   But it says, "Everyone who strives to live a godly life will be persecuted.
[00:53:08.100 --> 00:53:11.100]   You will experience pushback.
[00:53:11.100 --> 00:53:12.360]   You're not going to be welcome.
[00:53:12.360 --> 00:53:14.360]   Some people will thank you.
[00:53:14.360 --> 00:53:17.500]   Just like if you flip on the light and they say, "Oh my gosh, what is that?"
[00:53:17.500 --> 00:53:22.820]   And then they realize, "Oh shoot, if I miss today, I'm going to get dropped."
[00:53:22.820 --> 00:53:26.140]   And once they realize that, they're going to thank you.
[00:53:26.140 --> 00:53:27.700]   Thank you.
[00:53:27.700 --> 00:53:30.020]   Thank you for preaching the Gospel to me.
[00:53:30.020 --> 00:53:32.260]   Thank you for turning the lights on.
[00:53:32.260 --> 00:53:37.060]   But those who don't recognize the danger that they're in, that you've been trying to warn
[00:53:37.060 --> 00:53:40.780]   them, and the hope that we have in Christ, they're not going to thank you.
[00:53:40.780 --> 00:53:44.540]   They're going to say, "You're one of those guys."
[00:53:44.540 --> 00:53:47.500]   And they're not going to invite you to lunch, because you're going to make them feel uncomfortable.
[00:53:47.500 --> 00:53:50.780]   Yes, it's going to be awkward at work.
[00:53:50.780 --> 00:53:53.260]   It's going to be very awkward at work.
[00:53:53.260 --> 00:53:58.020]   You know, let me finish with this.
[00:53:58.020 --> 00:54:04.380]   You know, years ago, when we went to Romania, you know, we were preparing, and again, there's
[00:54:04.380 --> 00:54:07.860]   a lot of, there's a big story behind that, but we're going to Romania, and we were on
[00:54:07.860 --> 00:54:12.420]   the road for 44 hours, because we got the cheapest flight you can possibly get from
[00:54:12.420 --> 00:54:13.420]   here to Romania.
[00:54:13.420 --> 00:54:19.220]   So, we went to Atlanta, to New York, to Paris, to Bucharest, and we got off at Bucharest,
[00:54:19.220 --> 00:54:22.660]   and it was another eight hour drive to where we were going.
[00:54:22.660 --> 00:54:27.180]   So, we said, "You know, let's make the best of this, since we're on the road so long,
[00:54:27.180 --> 00:54:30.380]   let's try to share the Gospel while we're on the airplane."
[00:54:30.380 --> 00:54:34.340]   So, we're telling them, "So, we're all praying, and we're trying to share the Gospel, and
[00:54:34.340 --> 00:54:36.460]   some of us sat together, so we couldn't."
[00:54:36.460 --> 00:54:41.860]   But Pastor Mark happened to always sit next to non-Christians, and sometimes he would
[00:54:41.860 --> 00:54:44.540]   be in the middle, sometimes he would be at the end, but he was always with non-Christians.
[00:54:44.540 --> 00:54:49.660]   So, first leg, you know, we're going to Atlanta, and he got engaged in a conversation, and
[00:54:49.660 --> 00:54:53.500]   I turned around, and I said, "Oh, yeah, you know, Mark is sharing the Gospel, that's great."
[00:54:53.500 --> 00:54:56.900]   And then, it's about halfway through the trip, we look over, and you could totally tell he
[00:54:56.900 --> 00:55:01.620]   got rejected, because the guy was looking through the window, and Pastor Mark was looking
[00:55:01.620 --> 00:55:04.780]   the other way.
[00:55:04.780 --> 00:55:07.220]   Sure enough, we get to Atlanta, and I said, "Did you share the Gospel?"
[00:55:07.220 --> 00:55:08.220]   He said, "Yes."
[00:55:08.220 --> 00:55:09.740]   And so, I assumed he wasn't receptive.
[00:55:09.740 --> 00:55:10.740]   He's like, "No."
[00:55:10.740 --> 00:55:11.740]   So, it was very awkward.
[00:55:11.740 --> 00:55:12.740]   He got out, and they got out.
[00:55:12.740 --> 00:55:16.380]   So, the second leg, he goes in, and says, "Okay, let's pray, and let's do it."
[00:55:16.380 --> 00:55:17.380]   We get in.
[00:55:17.380 --> 00:55:19.460]   Right off the bat, we see him sharing the Gospel.
[00:55:19.460 --> 00:55:21.260]   You know, I said, "Great, you know, he's sharing the Gospel."
[00:55:21.260 --> 00:55:26.420]   Halfway through the trip, we look over, and you could tell they're looking the other direction.
[00:55:26.420 --> 00:55:29.140]   And I was kind of like, "Oh, man, it didn't work," you know.
[00:55:29.140 --> 00:55:32.060]   So, sure enough, we get off, and we tell him, "So, what happened?"
[00:55:32.060 --> 00:55:33.300]   He's like, "Yeah, I shared the Gospel."
[00:55:33.300 --> 00:55:34.300]   He wasn't interested.
[00:55:34.300 --> 00:55:36.980]   In fact, he was kind of upset, you know.
[00:55:36.980 --> 00:55:39.540]   And so, the rest of the trip was very awkward.
[00:55:39.540 --> 00:55:44.660]   So, the second, this is a long trip over to Paris, and I said, "This time, let's wait
[00:55:44.660 --> 00:55:45.660]   a little bit."
[00:55:45.660 --> 00:55:51.580]   So, there wouldn't be, you know, like 10 hours of awkwardness, maybe a couple hours of awkwardness.
[00:55:51.580 --> 00:55:55.500]   So, we waited and waited, and sure enough, you know, halfway through, he was sharing
[00:55:55.500 --> 00:55:57.940]   the Gospel, and you could tell.
[00:55:57.940 --> 00:56:01.100]   And I shouldn't have laughed, but I laughed.
[00:56:01.100 --> 00:56:04.860]   We looked, and you could tell, and he was sitting in the window.
[00:56:04.860 --> 00:56:08.140]   The whole trip, he was looking out the window.
[00:56:08.140 --> 00:56:12.020]   And the guy, you could tell, he was just annoyed, you know.
[00:56:12.020 --> 00:56:19.780]   Now, I share this because I know that many of you are avoiding this because of that at
[00:56:19.780 --> 00:56:22.340]   work.
[00:56:22.340 --> 00:56:23.340]   And I know.
[00:56:23.340 --> 00:56:25.940]   Who wants to be a weirdo?
[00:56:25.940 --> 00:56:28.140]   Who wants to be that guy?
[00:56:28.140 --> 00:56:29.140]   Right?
[00:56:29.140 --> 00:56:31.820]   I mean, naturally, we don't.
[00:56:31.820 --> 00:56:36.020]   And we try so hard to avoid that.
[00:56:36.020 --> 00:56:46.020]   But the reality is, if they don't know Jesus, they won't live.
[00:56:46.020 --> 00:56:49.180]   They won't live.
[00:56:49.180 --> 00:56:51.940]   That's why you and I are here.
[00:56:51.940 --> 00:56:53.900]   That's why we're taking your offering.
[00:56:53.900 --> 00:56:55.900]   You're hard-earned money.
[00:56:55.900 --> 00:57:00.020]   So we can put that toward bringing more people to Christ.
[00:57:00.020 --> 00:57:01.820]   That's why we're praying.
[00:57:01.820 --> 00:57:04.060]   That's why we're singing these songs.
[00:57:04.060 --> 00:57:08.300]   That's why we have fellowships, so we can stir up one another to remind each other,
[00:57:08.300 --> 00:57:10.340]   this is why we're gathered together.
[00:57:10.340 --> 00:57:12.340]   This is why we have mission trips.
[00:57:12.340 --> 00:57:14.180]   This is why we're sending out people.
[00:57:14.180 --> 00:57:23.220]   I mean, you know, we don't say it much, but Pastor Alex and Jen and Hatton are going to
[00:57:23.220 --> 00:57:27.460]   a country, and then again, I know there's others going, but are going to a country permanently
[00:57:27.460 --> 00:57:30.860]   where everybody's telling you to don't go in.
[00:57:30.860 --> 00:57:35.940]   The air quality itself will keep the majority of the people away.
[00:57:35.940 --> 00:57:38.100]   I mean, they're going to leave behind their friends.
[00:57:38.100 --> 00:57:42.580]   They're going to leave behind their comfort, In-N-Out Burger, Mexican food.
[00:57:42.580 --> 00:57:45.260]   Seems like that's what everybody misses when they go abroad.
[00:57:45.260 --> 00:57:46.260]   Mexican food.
[00:57:46.260 --> 00:57:49.940]   They have boba, so they're not going to miss boba.
[00:57:49.940 --> 00:57:52.300]   But they're leaving all that behind.
[00:57:52.300 --> 00:58:01.380]   They like adventure, because Chinese food.
[00:58:01.380 --> 00:58:08.860]   Because they're living consistently what you and I profess every single Sunday, that there's
[00:58:08.860 --> 00:58:11.540]   nothing more important than this.
[00:58:11.540 --> 00:58:13.420]   Why did all those people go up north?
[00:58:13.420 --> 00:58:18.460]   And I know some of them live up north, and you know, Pastor Aaron, I know, went for the
[00:58:18.460 --> 00:58:21.820]   gospel, I know that.
[00:58:21.820 --> 00:58:23.740]   Why did they go?
[00:58:23.740 --> 00:58:27.180]   Why are people going out to India?
[00:58:27.180 --> 00:58:30.700]   Why are we doing this?
[00:58:30.700 --> 00:58:39.180]   Because you and I have been convinced that life is found in Christ, and Christ alone.
[00:58:39.180 --> 00:58:40.180]   That's why we're doing this.
[00:58:40.180 --> 00:58:43.200]   And that's what we're going to continue to do.
[00:58:43.200 --> 00:58:49.020]   And that's what I hope, as I wrestle with this, as we see the world, and what it is,
[00:58:49.020 --> 00:58:52.860]   and how the harvest is plentiful, and the workers are few, and as I'm wrestling with
[00:58:52.860 --> 00:58:56.380]   this, I'm praying that you would wrestle with me.
[00:58:56.380 --> 00:58:57.380]   Now what?
[00:58:57.380 --> 00:58:58.380]   What do we do with this blessing?
[00:58:58.380 --> 00:59:01.220]   What do we do with all that God has given us?
[00:59:01.220 --> 00:59:06.540]   And hopefully, we, together, can figure this out, and live a life truly worthy of the gospel
[00:59:06.540 --> 00:59:07.540]   of Jesus Christ.
[00:59:07.540 --> 00:59:08.540]   Would you pray with me?
[00:59:08.540 --> 00:59:14.380]   We take a few minutes to come before the Lord.
[00:59:14.380 --> 00:59:17.180]   Again, just an honest prayer.
[00:59:17.180 --> 00:59:20.420]   I believe, help my unbelief.
[00:59:20.420 --> 00:59:23.220]   I want to be sincere.
[00:59:23.220 --> 00:59:28.420]   I want to be a man that's consistent with the things that I profess.
[00:59:28.420 --> 00:59:34.020]   To take a few minutes to pray, say, "God, I don't want to be a cultural Christian.
[00:59:34.020 --> 00:59:35.940]   I want to be a worshiper who will worship you."

