
[00:00:00.000 --> 00:00:09.400]   - Good evening, everyone.
[00:32:48.160 --> 00:32:51.560]   but you have no truth, then how useful are you?
[00:32:51.560 --> 00:32:53.960]   You might make someone momentarily feel better,
[00:32:53.960 --> 00:32:55.920]   but you might actually hurt them.
[00:32:55.920 --> 00:32:58.040]   You might hurt them more than they are now.
[00:32:58.040 --> 00:32:59.600]   You might give them your pity,
[00:32:59.600 --> 00:33:01.800]   but you're not giving them the pity of Christ.
[00:33:01.800 --> 00:33:04.000]   You're going to be completely missing the mark.
[00:33:04.000 --> 00:33:07.640]   And so the maturity and the adulthood that God wants to see
[00:33:07.640 --> 00:33:11.200]   is us being able to grow in truth, all in love.
[00:33:11.200 --> 00:33:14.520]   And he says, we are to grow up in all aspects,
[00:33:14.520 --> 00:33:17.760]   into him who is the head, even Christ.
[00:33:17.760 --> 00:33:19.160]   Take a moment to think about
[00:33:19.160 --> 00:33:22.400]   the kind of thoroughness of maturity,
[00:33:22.400 --> 00:33:24.160]   the picture that God has in terms of
[00:33:24.160 --> 00:33:26.520]   how he wants us to be sanctified.
[00:33:26.520 --> 00:33:29.120]   He says in all aspects, right?
[00:33:29.120 --> 00:33:31.040]   Grow up in it all.
[00:33:31.040 --> 00:33:32.320]   And I want you to think about that.
[00:33:32.320 --> 00:33:34.680]   Have you truly bought into that mentality?
[00:33:34.680 --> 00:33:36.320]   Do you have the attitude
[00:33:36.320 --> 00:33:39.720]   that there is going to be a comprehensive growth?
[00:33:39.720 --> 00:33:41.720]   Where yes, there is no element of your life where you're like,
[00:33:41.720 --> 00:33:43.040]   you know what, I've always been like this.
[00:33:43.040 --> 00:33:44.000]   I'm not going to change.
[00:33:44.000 --> 00:33:46.160]   Come on now, don't say that.
[00:33:46.160 --> 00:33:49.160]   If you think, you know what, this is too hard for me,
[00:33:49.160 --> 00:33:50.840]   don't say that.
[00:33:50.840 --> 00:33:53.120]   Because yes, that is just a universal fact.
[00:33:53.120 --> 00:33:55.440]   So many things are way too hard for us.
[00:33:55.440 --> 00:33:57.800]   But we have the Lord and he's saying
[00:33:57.800 --> 00:34:01.680]   that his grand desire is that this whole church,
[00:34:01.680 --> 00:34:06.120]   all of us, until we all attain to the measure of Christ.
[00:34:06.120 --> 00:34:07.240]   And in thinking about this,
[00:34:07.240 --> 00:34:11.520]   I want to use an example of a difference of attitude.
[00:34:11.520 --> 00:34:14.000]   You know, imagine if you signed up for softball,
[00:34:14.000 --> 00:34:16.320]   you're like, all right, everybody's all about sports
[00:34:16.320 --> 00:34:18.680]   at this church, I'll play softball.
[00:34:18.680 --> 00:34:20.880]   And so you go out to the field and you're swinging around.
[00:34:20.880 --> 00:34:22.840]   You've hit before, you know, you've played before,
[00:34:22.840 --> 00:34:24.440]   but you're no pro, you know.
[00:34:24.440 --> 00:34:26.960]   You're just swinging that bat and some guy comes around
[00:34:26.960 --> 00:34:28.640]   and he thinks he's your coach.
[00:34:28.640 --> 00:34:31.000]   And he's like, hey, choke up on that bat.
[00:34:31.000 --> 00:34:32.360]   Clearly you haven't practiced enough.
[00:34:32.360 --> 00:34:33.760]   You don't have used to the weight of the bat.
[00:34:33.760 --> 00:34:36.800]   You're like, whoa, right?
[00:34:36.800 --> 00:34:38.680]   And he says, hey, your head's all bobbing around.
[00:34:38.680 --> 00:34:40.240]   What are you, a bobble head?
[00:34:40.240 --> 00:34:41.440]   You got to keep your head straight,
[00:34:41.440 --> 00:34:43.440]   look at that ball and not look away, right?
[00:34:43.440 --> 00:34:44.760]   Eye on the ball the whole way through
[00:34:44.760 --> 00:34:46.960]   until it makes contact.
[00:34:46.960 --> 00:34:50.000]   And you're kind of like, huh, pad it up to here.
[00:34:50.000 --> 00:34:51.840]   And he starts telling you like, move your feet.
[00:34:51.840 --> 00:34:53.440]   How come you don't twist your hips?
[00:34:53.440 --> 00:34:54.960]   You have no power, right?
[00:34:54.960 --> 00:34:57.640]   And all of a sudden he is looking at every aspect
[00:34:57.640 --> 00:34:58.680]   of your swing.
[00:34:58.680 --> 00:35:03.000]   And now you're just annoyed as can be.
[00:35:03.000 --> 00:35:05.960]   Like, hey man, who told you you were a coach?
[00:35:05.960 --> 00:35:08.240]   Pastor Mark, who is this guy, right?
[00:35:08.240 --> 00:35:10.280]   You would be so annoyed.
[00:35:10.280 --> 00:35:13.120]   But instead, if you were this professional athlete
[00:35:13.120 --> 00:35:15.520]   playing for the Giants, I don't know who he is,
[00:35:15.520 --> 00:35:18.760]   but he wants to know every single aspect of his swing
[00:35:18.760 --> 00:35:19.840]   that's not right.
[00:35:19.840 --> 00:35:22.440]   As a matter of fact, he would hire a batting coach
[00:35:22.440 --> 00:35:23.640]   to look at him.
[00:35:23.640 --> 00:35:25.640]   And if he had a batting coach who wasn't skilled,
[00:35:25.640 --> 00:35:27.040]   he'd be like, hey man, that's your job.
[00:35:27.040 --> 00:35:28.160]   You need to look at me.
[00:35:28.160 --> 00:35:29.960]   Am I moving my head?
[00:35:29.960 --> 00:35:31.080]   Are my feet balanced?
[00:35:31.080 --> 00:35:32.640]   Like, do I have strength in my head?
[00:35:32.640 --> 00:35:34.760]   Like, you need to tell me 'cause that's your job, man,
[00:35:34.760 --> 00:35:37.120]   'cause he would want to know, why?
[00:35:37.120 --> 00:35:39.760]   Because he would want to perfect every single aspect
[00:35:39.760 --> 00:35:41.600]   of his swing because a little bit off
[00:35:41.600 --> 00:35:43.320]   means he's not making contact.
[00:35:43.320 --> 00:35:46.200]   He's not on cue.
[00:35:46.200 --> 00:35:49.400]   And so for us, likewise, God has a vision for us
[00:35:49.400 --> 00:35:54.320]   to be like his son in every single way.
[00:35:54.320 --> 00:35:56.720]   But if your attitude is just this adversity
[00:35:56.720 --> 00:35:59.280]   to people talking about like, hey, you need to grow in this,
[00:35:59.280 --> 00:36:01.240]   and like, you know, I'm already doing a good job,
[00:36:01.240 --> 00:36:04.440]   and you have this wall up where people can't correct you,
[00:36:04.440 --> 00:36:07.800]   know that God's intent is to make sure you're growing
[00:36:07.800 --> 00:36:12.800]   in every aspect, in every way, to the full measure of Christ.
[00:36:12.800 --> 00:36:14.840]   And we have to be bought into that
[00:36:14.840 --> 00:36:17.640]   because that's what he wants for all of us collectively.
[00:36:18.600 --> 00:36:22.200]   Understand that God desires to create
[00:36:22.200 --> 00:36:25.120]   this incredible vision for the church.
[00:36:25.120 --> 00:36:28.960]   And what he says is in verse 16, he says,
[00:36:28.960 --> 00:36:32.440]   "From whom the whole body, everybody,
[00:36:32.440 --> 00:36:34.480]   "being fitted together and held together
[00:36:34.480 --> 00:36:36.320]   "by what every joint supplies,
[00:36:36.320 --> 00:36:39.880]   "according to the proper working of each individual part,
[00:36:39.880 --> 00:36:41.360]   "causes the growth of the body
[00:36:41.360 --> 00:36:45.720]   "for the building up of itself in love."
[00:36:45.720 --> 00:36:49.120]   So I'm not sure if I could even draw a diagram for that,
[00:36:49.120 --> 00:36:52.440]   but every single one of us is drawing from the source
[00:36:52.440 --> 00:36:54.200]   that is Christ himself.
[00:36:54.200 --> 00:36:57.720]   We have one spirit, one baptism, one Lord,
[00:36:57.720 --> 00:37:00.040]   one faith in our savior that is producing
[00:37:00.040 --> 00:37:02.040]   an incredible power for every single one of us
[00:37:02.040 --> 00:37:03.520]   and binding us together.
[00:37:03.520 --> 00:37:07.480]   And we're so one because of that truth of Jesus Christ.
[00:37:07.480 --> 00:37:10.080]   And yet individually, Christ has given us gifts
[00:37:10.080 --> 00:37:11.600]   and blessed us in such ways
[00:37:11.600 --> 00:37:14.680]   that we are participants of this build that he's doing
[00:37:14.680 --> 00:37:16.480]   to create this, what?
[00:37:16.480 --> 00:37:21.040]   His incredible home, his loving home.
[00:37:21.040 --> 00:37:25.520]   We're all tied together, interdependent, loving one another.
[00:37:25.520 --> 00:37:28.960]   And it would bring such joy to the father to see his home.
[00:37:28.960 --> 00:37:33.920]   So actively working, so selflessly working,
[00:37:33.920 --> 00:37:38.520]   so intentional as he is, that's the idea.
[00:37:38.520 --> 00:37:41.440]   And so I pray, like I pray every single one of us
[00:37:41.440 --> 00:37:43.600]   should first get this same vision, like,
[00:37:43.600 --> 00:37:45.680]   whoa, like, I don't know about everything
[00:37:45.680 --> 00:37:48.680]   that needs to happen in this generation and time now,
[00:37:48.680 --> 00:37:51.120]   but clearly what I can say that his desire
[00:37:51.120 --> 00:37:53.160]   is his church to be built.
[00:37:53.160 --> 00:37:56.480]   And he has a magnificent, beautiful picture
[00:37:56.480 --> 00:37:59.120]   where every single piece is doing its part.
[00:37:59.120 --> 00:38:00.520]   And every single person is growing
[00:38:00.520 --> 00:38:02.160]   into the picture of Christ.
[00:38:02.160 --> 00:38:05.400]   And then collectively, this is a beautiful home
[00:38:05.400 --> 00:38:07.920]   reflecting the glories of Christ together.
[00:38:07.920 --> 00:38:11.440]   And therefore, what a privilege it is for me
[00:38:11.440 --> 00:38:13.560]   to help in that build in any way possible.
[00:38:13.560 --> 00:38:16.400]   We have to have this attitude, like,
[00:38:16.400 --> 00:38:18.720]   in every single way, I wanna grow,
[00:38:18.720 --> 00:38:22.320]   in every single way, I wanna do the work of service.
[00:38:22.320 --> 00:38:23.720]   I don't have to do everything,
[00:38:23.720 --> 00:38:25.640]   but I wanna do anything for the church.
[00:38:25.640 --> 00:38:26.720]   Does that make sense?
[00:38:26.720 --> 00:38:29.320]   And to me, that is my joy.
[00:38:29.320 --> 00:38:32.160]   I like doing errands for the church.
[00:38:32.160 --> 00:38:33.800]   I wanna go out there and pick up something
[00:38:33.800 --> 00:38:36.560]   and bring it over here and be like, yes, you know?
[00:38:36.560 --> 00:38:38.080]   I wanna go out there and fix something
[00:38:38.080 --> 00:38:40.520]   and be like, I helped fix this part of the church.
[00:38:40.520 --> 00:38:42.480]   I wanna go out there and meet that guy who's struggling.
[00:38:42.480 --> 00:38:43.720]   I wanna go out there and meet that guy
[00:38:43.720 --> 00:38:45.080]   who's on the outskirt, why?
[00:38:45.080 --> 00:38:48.560]   Because number one, I know it pleases my heavenly Father.
[00:38:48.560 --> 00:38:50.160]   We're all part of this family.
[00:38:50.160 --> 00:38:53.480]   But number two, I know we're part of this grand picture
[00:38:53.480 --> 00:38:55.400]   that Christ has set.
[00:38:55.400 --> 00:38:58.000]   He's blessed this church for a reason.
[00:38:58.000 --> 00:39:00.200]   He's given us the truth.
[00:39:00.200 --> 00:39:03.040]   And he's building something that reflects
[00:39:03.040 --> 00:39:05.080]   essentially his own nature.
[00:39:05.080 --> 00:39:08.640]   And for me to be able to be a part of that
[00:39:08.640 --> 00:39:12.320]   and to say I'm contributing, that's so worthwhile.
[00:39:12.320 --> 00:39:15.640]   And so I pray that you would also have that mentality.
[00:39:15.640 --> 00:39:18.000]   Not only are we gonna be doing this together,
[00:39:18.000 --> 00:39:20.880]   but thankfully so, because it's been our privilege
[00:39:20.880 --> 00:39:24.200]   that we can join in this work of building up the church.
[00:39:24.200 --> 00:39:25.040]   Let's pray.
[00:39:25.040 --> 00:39:30.520]   Heavenly Father, thank you so much, God, again.
[00:39:30.520 --> 00:39:33.240]   What a grace you've given,
[00:39:33.240 --> 00:39:35.720]   what mercies you've granted us in Christ.
[00:39:35.720 --> 00:39:39.120]   And we recognize, Lord, the truth and ramification
[00:39:39.120 --> 00:39:41.000]   of the fact that you save us
[00:39:41.000 --> 00:39:44.360]   is that, God, you bring us into your home.
[00:39:44.360 --> 00:39:47.800]   And what's crazy is, as you are bringing more and more people
[00:39:47.800 --> 00:39:51.120]   into salvation, what glories are given to you.
[00:39:51.120 --> 00:39:53.160]   But Father God, you are building, Lord,
[00:39:53.160 --> 00:39:55.760]   your household, your people.
[00:39:55.760 --> 00:39:57.400]   And so, God, we thank you for that.
[00:39:57.400 --> 00:40:01.920]   I do pray that, Lord, our church people, that we ourselves,
[00:40:01.920 --> 00:40:04.160]   Father God, would be so inclined
[00:40:04.160 --> 00:40:06.560]   to want the same things you want.
[00:40:06.560 --> 00:40:09.800]   Lord, for us to continue to mimic, to follow,
[00:40:09.800 --> 00:40:11.880]   and imitate your character,
[00:40:11.880 --> 00:40:14.160]   to be more like Christ in every way.
[00:40:14.160 --> 00:40:17.800]   But what's more, Father God, to have your intent, Lord,
[00:40:17.800 --> 00:40:20.200]   to be the evangelist and to actively desire
[00:40:20.200 --> 00:40:23.160]   to build this church, the sharing of the gospel.
[00:40:23.160 --> 00:40:24.560]   And what's more, that in every way
[00:40:24.560 --> 00:40:27.720]   that we can encourage each other and spur each other on,
[00:40:27.720 --> 00:40:29.680]   God, that we would be able to then
[00:40:29.680 --> 00:40:31.920]   build each other up in love.
[00:40:31.920 --> 00:40:35.600]   And God, joyfully, thankfully, fulfill your design
[00:40:35.600 --> 00:40:37.600]   and your intent in this church, Lord.
[00:40:37.600 --> 00:40:38.840]   We wanna thank you again.
[00:40:38.840 --> 00:40:40.640]   It's in Christ's name we pray, amen.
[00:40:40.640 --> 00:40:42.960]   Have a great week, everyone.

