
[00:00:00.000 --> 00:00:07.000]   Leviticus chapter 26.
[00:47:37.000 --> 00:47:42.000]   So when sin came in, we were broken from that Sabbath, outside of heaven.
[00:47:42.000 --> 00:47:46.000]   But now, when we enter into the new heaven and new earth,
[00:47:46.000 --> 00:47:51.000]   it's going to be even a greater one than the one that we fell out of.
[00:47:51.000 --> 00:47:57.000]   The distinction is, we're no longer near him.
[00:47:57.000 --> 00:48:02.000]   The scripture says because of what Christ has done, we become adopted children of God.
[00:48:02.000 --> 00:48:06.000]   And the Holy Spirit now actually makes a dwelling in us.
[00:48:06.000 --> 00:48:09.000]   How long does that dwelling happen?
[00:48:09.000 --> 00:48:11.000]   It's permanent.
[00:48:11.000 --> 00:48:14.000]   Our connection with Christ is permanent.
[00:48:14.000 --> 00:48:17.000]   So now we only experience in part, but when we are glorified,
[00:48:17.000 --> 00:48:22.000]   we will be with him forever in that state.
[00:48:22.000 --> 00:48:24.000]   Again, in Revelation 21, 22-27,
[00:48:24.000 --> 00:48:29.000]   "I saw no temple in it, for the Lord God, the Almighty, and the Lamb are its temple.
[00:48:29.000 --> 00:48:33.000]   The city has no need of the sun or the moon or the shine on it.
[00:48:33.000 --> 00:48:37.000]   The glory of God has illumined it, and its lamp is the Lamb.
[00:48:37.000 --> 00:48:42.000]   The nations will walk by its light, and the kings of the earth will bring their glory in it.
[00:48:42.000 --> 00:48:47.000]   In the daytime, for there will be no night, and its gates will never be closed."
[00:48:47.000 --> 00:48:49.000]   What does it mean the gates will never be closed?
[00:48:49.000 --> 00:48:52.000]   There's no need for protection.
[00:48:52.000 --> 00:48:54.000]   There's no enemies to come in.
[00:48:54.000 --> 00:48:55.000]   You don't have to lock your doors.
[00:48:55.000 --> 00:48:56.000]   That's what he's saying.
[00:48:56.000 --> 00:48:59.000]   In heaven, you will have no enemies.
[00:48:59.000 --> 00:49:01.000]   "And they will bring the glory and the honor of the nation into it,
[00:49:01.000 --> 00:49:04.000]   and nothing unclean, and no one who practices abomination and lying
[00:49:04.000 --> 00:49:08.000]   shall ever come into it, but only those whose names are written in the Lamb's book of life."
[00:49:08.000 --> 00:49:11.000]   In other words, sin is going to be wiped away.
[00:49:11.000 --> 00:49:13.000]   No unbeliever will be in this place, right?
[00:49:13.000 --> 00:49:16.000]   Only the righteous, cleansed by the blood of Christ.
[00:49:16.000 --> 00:49:19.000]   Finally, in Revelation 22, 1 through 5,
[00:49:19.000 --> 00:49:22.000]   "Then he showed me a river of the water of life, clear as crystal,
[00:49:22.000 --> 00:49:25.000]   coming from the throne of God and the Lamb in the middle of its street.
[00:49:25.000 --> 00:49:29.000]   On either side of the river was a tree of life, bearing twelve kinds of fruit,
[00:49:29.000 --> 00:49:34.000]   yielding its fruit every month, and the leaves of the tree were for the healing of the nations.
[00:49:34.000 --> 00:49:39.000]   There will no longer be any curse, and the throne of God and the Lamb will be in it,
[00:49:39.000 --> 00:49:41.000]   and his bondservants will serve him.
[00:49:41.000 --> 00:49:44.000]   They will see his face, and his name will be on their foreheads,
[00:49:44.000 --> 00:49:46.000]   and there will no longer be any night,
[00:49:46.000 --> 00:49:50.000]   and they will not have need of the light of the Lamb nor the light of the sun,
[00:49:50.000 --> 00:49:55.000]   because the Lord God will illumine them, and they will reign forever and ever."
[00:49:55.000 --> 00:49:58.000]   So all the blessings that he's talking about in verses 1 through 13
[00:49:58.000 --> 00:50:04.000]   is going to find its final fulfillment in glorification when he comes.
[00:50:04.000 --> 00:50:08.000]   So all of this has immediate application to the nation of Israel.
[00:50:08.000 --> 00:50:12.000]   So they experienced all the cursing,
[00:50:12.000 --> 00:50:17.000]   but even with all the cursings that came upon them, it was only a shadow.
[00:50:17.000 --> 00:50:22.000]   The nation of Israel did not receive God's full wrath.
[00:50:22.000 --> 00:50:26.000]   Even when we are disciplined, no human being alive has ever experienced the full wrath of God.
[00:50:26.000 --> 00:50:28.000]   We would not be living.
[00:50:28.000 --> 00:50:33.000]   Everything he does is for the purpose of discipline, to bring us to repentance,
[00:50:33.000 --> 00:50:38.000]   because the ultimate wrath is going to be at the right throne of judgment and in hell.
[00:50:38.000 --> 00:50:42.000]   But until then, we're living in a period of grace,
[00:50:42.000 --> 00:50:47.000]   that even as we are being disciplined, he's trying to bring us back to restore us,
[00:50:47.000 --> 00:50:49.000]   to bring people to repentance,
[00:50:49.000 --> 00:50:55.000]   to bring us to this place that he's describing in the book of Revelation.
[00:50:55.000 --> 00:50:58.000]   All right, so the discussion question for tonight.
[00:50:58.000 --> 00:51:01.000]   One, since Christ took away the curse of the law,
[00:51:01.000 --> 00:51:05.000]   does that mean that there are no physical consequences for disobedience in the new covenant?
[00:51:05.000 --> 00:51:09.000]   So the answer to that is no.
[00:51:09.000 --> 00:51:12.000]   Okay, just in case somebody goes off tangent.
[00:51:12.000 --> 00:51:16.000]   So read Hebrews chapter 12, 1 through 15.
[00:51:16.000 --> 00:51:19.000]   And so discuss along the lines of what you read there.
[00:51:19.000 --> 00:51:21.000]   What is the greatest thing you look forward to in heaven?
[00:51:21.000 --> 00:51:26.000]   What is the curse of living in this sinful world that you wish to be delivered from sooner than later?
[00:51:26.000 --> 00:51:30.000]   Do you understand that question, the second part?
[00:51:30.000 --> 00:51:36.000]   Everybody experiences some, what curse feels like,
[00:51:36.000 --> 00:51:42.000]   because we are all living under the larger umbrella of a fallen world.
[00:51:42.000 --> 00:51:46.000]   And I don't have to mention to you, whether it's from your family,
[00:51:46.000 --> 00:51:49.000]   or something happened to you, or somebody did something to you,
[00:51:49.000 --> 00:51:54.000]   or maybe something you did, that you have a hard time forgiving.
[00:51:54.000 --> 00:51:57.000]   You have a hard time letting go.
[00:51:57.000 --> 00:52:02.000]   All of that because we live under the umbrella of living under the fallen world.
[00:52:02.000 --> 00:52:06.000]   And all of that will be restored by the blood of Christ when we get to heaven.
[00:52:06.000 --> 00:52:09.000]   What is it that you look forward to when you think of heaven?
[00:52:09.000 --> 00:52:14.000]   Third, what do you tend to meditate more on, the blessing of God or the curse of God in the fallen world?
[00:52:14.000 --> 00:52:17.000]   How does either affect your day-to-day life?
[00:52:17.000 --> 00:52:20.000]   So that question basically is, if you're not careful,
[00:52:20.000 --> 00:52:24.000]   even though we say, "Oh, God loved me and he died for me and we sing great songs,"
[00:52:24.000 --> 00:52:28.000]   but you can live day-to-day thinking about how your boss is bad,
[00:52:28.000 --> 00:52:31.000]   people cut you off, you don't get paid enough,
[00:52:31.000 --> 00:52:34.000]   you know, how your body hurts, and so how much of your day is spent
[00:52:34.000 --> 00:52:37.000]   thinking about the ramification of the curse,
[00:52:37.000 --> 00:52:41.000]   rather than the blessing of what God has given.
[00:52:41.000 --> 00:52:45.000]   And how does that affect your day-to-day life when you do one or the other?
[00:52:45.000 --> 00:52:49.000]   Okay? So let me pray for us, and I'll let you guys get into your group.
[00:52:49.000 --> 00:52:59.000]   [BLANK_AUDIO]

