
[00:00:00.000 --> 00:00:10.520]   Father, we thank you.
[00:48:57.180 --> 00:49:02.900]   The community, Bible study, Sunday school, missions, fellowship, all of that for the
[00:49:02.900 --> 00:49:07.640]   same reason God gave all these festivals, so that we would not drift.
[00:49:07.640 --> 00:49:09.820]   So three questions for discussion today.
[00:49:09.820 --> 00:49:13.980]   Despite all the safeguards God placed in Israel's yearly calendar to keep them sober, their
[00:49:13.980 --> 00:49:16.240]   history is filled with them constantly drifting from God.
[00:49:16.240 --> 00:49:18.700]   Why do you think that was the case, right?
[00:49:18.700 --> 00:49:22.300]   And I already mentioned, right, one of the main ones.
[00:49:22.300 --> 00:49:25.620]   Are there anything else you can think of in Israel's history that caused them to keep
[00:49:25.620 --> 00:49:27.700]   going down that path?
[00:49:27.700 --> 00:49:31.060]   Is there anything specific that God has done in your life that causes you to be sober and
[00:49:31.060 --> 00:49:33.340]   thankful whenever you remember it?
[00:49:33.340 --> 00:49:37.580]   So my question at number two, is it your salvation, right?
[00:49:37.580 --> 00:49:40.940]   I'm assuming if you're a Christian that that's the number one thing.
[00:49:40.940 --> 00:49:44.940]   I'm talking about, was there any time, like just like the nation of Israel, when you think
[00:49:44.940 --> 00:49:51.140]   of something specific where God answered your prayer and clearly God was there when he comforted
[00:49:51.140 --> 00:49:55.860]   you and, you know, and I could think about five or six things that, again, not that there's
[00:49:55.860 --> 00:50:04.180]   only five or six things, but five or six things that I, like, is so distinct and felt so close
[00:50:04.180 --> 00:50:09.260]   to God that every time I think of it, it causes me to be sober.
[00:50:09.260 --> 00:50:14.340]   And even when I pray now, I always pray, "Lord, I want to know you that way," right?
[00:50:14.340 --> 00:50:15.340]   So that's my question.
[00:50:15.340 --> 00:50:17.740]   That question is not about just general your salvation.
[00:50:17.740 --> 00:50:21.700]   It could be, but I'm asking, like, are there specific things that you remember when you
[00:50:21.700 --> 00:50:25.980]   were broken and God answered your prayer or you needed, you know, his help and God was
[00:50:25.980 --> 00:50:26.980]   there with you?
[00:50:26.980 --> 00:50:30.620]   Is that something that you remember and does that, how does that trigger and how does that
[00:50:30.620 --> 00:50:31.660]   cause you to be sober?
[00:50:31.660 --> 00:50:32.820]   So that's number two.
[00:50:32.820 --> 00:50:37.460]   Number three, what specific aspect of Christ's second coming do you look forward to and why?
[00:50:37.460 --> 00:50:38.700]   Right?
[00:50:38.700 --> 00:50:44.620]   Does that thought enter your mind on a daily basis that this is temporary, right?
[00:50:44.620 --> 00:50:47.360]   That this is, eternity is coming?
[00:50:47.360 --> 00:50:51.620]   That everything that you invest on this earth is that eventually it's going to just rot
[00:50:51.620 --> 00:50:53.660]   and die?
[00:50:53.660 --> 00:50:55.300]   And do you look forward to a second coming?
[00:50:55.300 --> 00:50:58.380]   What aspect of his second coming causes you to be sober?
[00:50:58.380 --> 00:50:59.380]   Right?
[00:50:59.380 --> 00:51:00.380]   So that's my third question.
[00:51:00.380 --> 00:51:01.380]   Okay?
[00:51:01.380 --> 00:51:06.420]   All right, so let me pray for us and then I'll have you guys get into your small groups.
[00:51:06.420 --> 00:51:14.780]   Heavenly Father, we thank you so much, Lord God, for lessons that you teach us through
[00:51:14.780 --> 00:51:17.700]   the nation of Israel.
[00:51:17.700 --> 00:51:23.900]   Lord when we consider just how much time and effort and energy that you put into preparation
[00:51:23.900 --> 00:51:29.780]   of coming of Christ and even now, Father God, there's so many things that we know of and
[00:51:29.780 --> 00:51:35.420]   maybe things Lord God that we may not know of that you are working behind the scenes.
[00:51:35.420 --> 00:51:39.700]   Maybe not even behind the scenes, things that should be obvious to us, but because of our
[00:51:39.700 --> 00:51:43.060]   distractions Lord God, we do not see it.
[00:51:43.060 --> 00:51:47.820]   But we thank you Father that in the midst of all of this that you are patient with us.
[00:51:47.820 --> 00:51:54.740]   We pray Father God that your word and that your plan and your will would ultimately grip
[00:51:54.740 --> 00:51:59.560]   our hearts to the point Lord God, where we would be able to confess along with Christ
[00:51:59.560 --> 00:52:05.380]   that all that we have known, all that we have hoped for in this world truly became rubbish
[00:52:05.380 --> 00:52:10.380]   in light of the surpassing knowledge of knowing Jesus Christ our Lord.
[00:52:10.380 --> 00:52:15.220]   I pray that that would not be just a verse that we memorize, but it would be the true
[00:52:15.220 --> 00:52:18.060]   confession, our testimony.
[00:52:18.060 --> 00:52:23.100]   So help us Lord God in our discussion to be open, to be honest, that in our weakness that
[00:52:23.100 --> 00:52:26.700]   we do not pretend to be something that we're not.
[00:52:26.700 --> 00:52:32.140]   Help us Lord God to confess our sins as you promised that you are faithful and just to
[00:52:32.140 --> 00:52:35.180]   forgive us of all our unrighteousness.
[00:52:35.180 --> 00:52:40.100]   That true answer to sin is not our determination but you and you alone.
[00:52:40.100 --> 00:52:43.180]   So for that reason Lord God, I pray that you would help us in our small groups.
[00:52:43.180 --> 00:52:45.020]   In Jesus name we pray, Amen.

