
[00:00:00.000 --> 00:00:08.160]   - Good morning again.
[00:35:59.740 --> 00:36:05.340]   Every truth that God has given to us
[00:36:05.340 --> 00:36:09.660]   eradicates every motivation there is to lie.
[00:36:09.660 --> 00:36:16.140]   Through the gospel, all inspiration for lies dissipates,
[00:36:16.340 --> 00:36:21.020]   because we're 100% provided for in the kingdom of light.
[00:36:21.020 --> 00:36:22.460]   And that's why scripture says,
[00:36:22.460 --> 00:36:24.620]   if we are walking according to the light
[00:36:24.620 --> 00:36:29.620]   and walking in the truth, we can lie down in peace.
[00:36:29.620 --> 00:36:33.540]   There's no threat, no worry.
[00:36:33.540 --> 00:36:35.220]   There's no paranoia.
[00:36:35.220 --> 00:36:37.780]   There's no suspicion, like, are you gonna hurt me?
[00:36:37.780 --> 00:36:39.660]   You're not looking around other people,
[00:36:39.660 --> 00:36:42.040]   seeing people as threats to your well-being.
[00:36:42.040 --> 00:36:43.660]   Why?
[00:36:43.660 --> 00:36:48.340]   Because you exist in the presence of the God of truth.
[00:36:48.340 --> 00:36:51.900]   And so my final last exhortation to you is you,
[00:36:51.900 --> 00:36:56.340]   we have to, we have to believe and walk in this God,
[00:36:56.340 --> 00:36:59.500]   who neither is powerless,
[00:36:59.500 --> 00:37:02.740]   neither he has any reason to lie to us.
[00:37:02.740 --> 00:37:04.880]   He is 100% dependable,
[00:37:04.880 --> 00:37:09.880]   that he by his character and nature never, never, ever lies.
[00:37:09.880 --> 00:37:11.820]   Scripture tells us this.
[00:37:11.820 --> 00:37:13.780]   So that's point three, God is a God of truth
[00:37:13.780 --> 00:37:15.220]   who sanctifies with truth,
[00:37:15.220 --> 00:37:17.900]   and we have to make sure we're abiding in his presence,
[00:37:17.900 --> 00:37:21.140]   operating as his kingdom, according to his truth.
[00:37:21.140 --> 00:37:22.860]   And say, God, I want all of that.
[00:37:22.860 --> 00:37:25.340]   I want every single truth you have for me,
[00:37:25.340 --> 00:37:26.460]   and I want you to reach down
[00:37:26.460 --> 00:37:30.180]   into every single part of my life, and it's all there.
[00:37:30.180 --> 00:37:32.220]   Why?
[00:37:32.220 --> 00:37:34.620]   Because scripture says, in Titus chapter one,
[00:37:34.620 --> 00:37:37.060]   which we're gonna be studying in the future,
[00:37:37.060 --> 00:37:39.860]   Titus chapter one, verses one through three,
[00:37:39.860 --> 00:37:43.420]   scripture says this, Paul, a bondservant of God
[00:37:43.420 --> 00:37:44.860]   and apostle of Jesus Christ,
[00:37:44.860 --> 00:37:47.740]   for the faith of those chosen of God,
[00:37:47.740 --> 00:37:48.980]   and the knowledge of the truth,
[00:37:48.980 --> 00:37:51.180]   which is according to godliness,
[00:37:51.180 --> 00:37:54.260]   and the hope of eternal life, which God cannot lie,
[00:37:54.260 --> 00:37:57.420]   promised long ago, long ages ago,
[00:37:57.420 --> 00:38:00.420]   but at the proper time manifested even his word,
[00:38:00.420 --> 00:38:03.140]   and the proclamation with which I was entrusted
[00:38:03.140 --> 00:38:05.580]   according to the commandment of God, our savior.
[00:38:05.580 --> 00:38:09.300]   Scripture says, God is not a man that he should lie,
[00:38:09.300 --> 00:38:11.540]   nor a son of man that he should repent.
[00:38:11.540 --> 00:38:15.700]   As he said, and will he not do it?
[00:38:15.700 --> 00:38:18.820]   For has he not spoken, and will he not make it good?
[00:38:18.820 --> 00:38:20.820]   That's Numbers 23, verse 19.
[00:38:20.820 --> 00:38:26.020]   Let's take a moment to do a compare and contrast,
[00:38:26.020 --> 00:38:27.580]   and just thank the Lord.
[00:38:27.580 --> 00:38:31.100]   We're talking about essentially,
[00:38:31.100 --> 00:38:33.980]   in order to fight the temptation to lie,
[00:38:33.980 --> 00:38:35.680]   in order to address this problem
[00:38:35.680 --> 00:38:38.340]   that I think every single person struggles with
[00:38:38.340 --> 00:38:41.240]   to some degree, we need to see ourselves
[00:38:41.240 --> 00:38:42.940]   in these two massive different kingdoms,
[00:38:42.940 --> 00:38:45.500]   and here is reigned by the prince of darkness,
[00:38:45.500 --> 00:38:49.260]   and here is reigned by the God who never ever lies.
[00:38:49.260 --> 00:38:51.980]   Here you have one who's duping you,
[00:38:51.980 --> 00:38:57.540]   telling you, you can do it, just do this, it'll work.
[00:38:57.540 --> 00:39:00.100]   Here's one who's telling you, they're after you.
[00:39:00.100 --> 00:39:02.600]   Here's one who is telling you, wait a minute,
[00:39:02.600 --> 00:39:04.200]   now things are different, you need to do this,
[00:39:04.200 --> 00:39:05.900]   you need to do that, and all of that
[00:39:05.900 --> 00:39:08.260]   is feeble, vain, and empty.
[00:39:08.260 --> 00:39:13.660]   Here's a God who says, when I say, it is so.
[00:39:13.660 --> 00:39:16.140]   I'm not your boss at work who says,
[00:39:16.140 --> 00:39:18.100]   you know, change of thought, I know I had you
[00:39:18.100 --> 00:39:20.180]   start this project, we wanted something
[00:39:20.180 --> 00:39:23.500]   that was just broad picture, but now I want more detail.
[00:39:23.500 --> 00:39:24.700]   He doesn't sit there and say,
[00:39:24.700 --> 00:39:26.100]   you know, I had a different thought.
[00:39:26.100 --> 00:39:27.660]   You know what I didn't catch?
[00:39:27.660 --> 00:39:31.520]   You have a God who says, I'm so powerful and true,
[00:39:31.520 --> 00:39:34.380]   you can bank on me for everything I say,
[00:39:34.380 --> 00:39:37.900]   and the scripture says, the sum of his word is truth.
[00:39:37.900 --> 00:39:39.700]   Do you know what that means for you?
[00:39:39.700 --> 00:39:42.980]   Remember how I talked about the motivation?
[00:39:42.980 --> 00:39:45.980]   You're secure.
[00:39:45.980 --> 00:39:49.780]   Your fear is that make you just like,
[00:39:49.780 --> 00:39:52.580]   uh, uh, uh, but what if I look silly?
[00:39:52.580 --> 00:39:53.980]   What if I look inept?
[00:39:53.980 --> 00:39:58.060]   What if I look not capable of doing what you ask?
[00:39:58.060 --> 00:39:59.820]   What if I don't look as good as that other guy?
[00:39:59.820 --> 00:40:01.860]   Every what if fear.
[00:40:03.460 --> 00:40:05.820]   Do you understand you have your securities
[00:40:05.820 --> 00:40:07.920]   in God who is true?
[00:40:07.920 --> 00:40:11.660]   And in his kingdom he reigns perfectly.
[00:40:11.660 --> 00:40:15.800]   His truth and unchanging, and his mercies and his grace
[00:40:15.800 --> 00:40:19.820]   likewise share the same characteristic.
[00:40:19.820 --> 00:40:22.480]   There's a passage that's really, really beautiful
[00:40:22.480 --> 00:40:25.520]   where God is talking about his promises to David.
[00:40:25.520 --> 00:40:29.020]   Look at what he says, Psalm 89 verse 33, okay?
[00:40:29.020 --> 00:40:31.380]   Psalm 89 verse 33.
[00:40:31.380 --> 00:40:34.600]   But I will not break off my loving kindness from him,
[00:40:34.600 --> 00:40:37.700]   nor deal falsely in my faithfulness.
[00:40:37.700 --> 00:40:39.780]   My covenant I will not violate,
[00:40:39.780 --> 00:40:42.580]   nor will I alter the utterance of my lips.
[00:40:42.580 --> 00:40:46.460]   Once I have spoken by my holiness,
[00:40:46.460 --> 00:40:48.700]   I will not lie to David.
[00:40:48.700 --> 00:40:50.700]   His descendants shall endure forever,
[00:40:50.700 --> 00:40:52.700]   and his thrones as a son before me.
[00:40:52.700 --> 00:40:56.740]   Man, that is beautiful, isn't it?
[00:40:56.740 --> 00:40:59.980]   This is the God we have.
[00:41:00.980 --> 00:41:03.820]   And his promise is what we have.
[00:41:03.820 --> 00:41:06.940]   And if you revert back to that sermon
[00:41:06.940 --> 00:41:09.420]   that I referred to Pastor Peter preaching a while ago
[00:41:09.420 --> 00:41:13.500]   talking about Jacob, that was not to excuse his sin.
[00:41:13.500 --> 00:41:18.220]   He's a conniving, cunning individual
[00:41:18.220 --> 00:41:20.280]   who lied in heinous ways.
[00:41:20.280 --> 00:41:22.480]   But what does he have?
[00:41:22.480 --> 00:41:26.700]   He has this clinging to the God of truth.
[00:41:26.700 --> 00:41:28.780]   But your promise.
[00:41:28.780 --> 00:41:30.740]   But you promised.
[00:41:30.740 --> 00:41:32.580]   You promised my fathers.
[00:41:32.580 --> 00:41:34.420]   You promised us.
[00:41:34.420 --> 00:41:36.960]   And I will seek your blessing then.
[00:41:36.960 --> 00:41:38.740]   And you know what Jacob does?
[00:41:38.740 --> 00:41:41.500]   That's what causes him to move and walk.
[00:41:41.500 --> 00:41:44.620]   There are people in the Old Testament narrative
[00:41:44.620 --> 00:41:46.980]   where because of the lack of fear of God
[00:41:46.980 --> 00:41:49.260]   and lack of trust in God, they were unwilling to move.
[00:41:49.260 --> 00:41:51.920]   But Jacob, every time God said, I want you to move,
[00:41:51.920 --> 00:41:52.760]   do you know what he did?
[00:41:52.760 --> 00:41:55.340]   He looked at his posse, so to speak, his whole crew,
[00:41:55.340 --> 00:41:58.340]   and he said, put away your foreign gods.
[00:41:58.340 --> 00:41:59.660]   They're moving.
[00:41:59.660 --> 00:42:01.340]   Why do you think he did that?
[00:42:01.340 --> 00:42:06.900]   Because he trusted this unchanging, trustworthy,
[00:42:06.900 --> 00:42:10.060]   dependable, consistent God.
[00:42:10.060 --> 00:42:14.020]   And so my challenge to you is if you struggle
[00:42:14.020 --> 00:42:17.940]   with the temptation to hide,
[00:42:17.940 --> 00:42:22.800]   you recognize that that is at the core of the sin
[00:42:22.800 --> 00:42:26.500]   of every single person I presented to you today.
[00:42:27.380 --> 00:42:31.060]   Essentially, they would just wanna hide themselves.
[00:42:31.060 --> 00:42:32.260]   But thanks be to God.
[00:42:32.260 --> 00:42:36.900]   God in his power is dealing with you.
[00:42:36.900 --> 00:42:38.660]   And do you know what he does?
[00:42:38.660 --> 00:42:42.360]   This is one great promise of the gospel and the scriptures.
[00:42:42.360 --> 00:42:47.360]   God has chosen you to be conformed to the image of his son.
[00:42:47.360 --> 00:42:52.500]   God has chosen you to be holy and blameless as he is.
[00:42:52.500 --> 00:42:57.500]   And God has chosen you to be truthful as he is.
[00:42:57.500 --> 00:43:00.100]   God is going to make you like him.
[00:43:00.100 --> 00:43:03.380]   And that is a great, great blessing
[00:43:03.380 --> 00:43:06.140]   of the gospel promise of God, amen?
[00:43:06.140 --> 00:43:09.640]   And so I pray, and I'm gonna read a couple verses here
[00:43:09.640 --> 00:43:12.500]   as we start wrapping things up,
[00:43:12.500 --> 00:43:16.200]   that we turn not simply away from falsehood
[00:43:16.200 --> 00:43:19.560]   as a means to just like, oh gosh, I just can't do this stuff.
[00:43:19.560 --> 00:43:21.660]   But you're seeing what I'm saying
[00:43:21.660 --> 00:43:24.580]   is we need to turn in faith and trust
[00:43:24.580 --> 00:43:26.420]   to believe this God who said this.
[00:43:26.420 --> 00:43:29.780]   Zephaniah chapter three, verse 12 to 13.
[00:43:29.780 --> 00:43:33.180]   But I will leave among you a humble and lowly people,
[00:43:33.180 --> 00:43:36.520]   and they will take refuge in the name of the Lord.
[00:43:36.520 --> 00:43:41.520]   The remnant of Israel will do no wrong and tell no lies,
[00:43:41.520 --> 00:43:46.260]   nor will a deceitful tongue be found in their mouths,
[00:43:46.260 --> 00:43:48.140]   for they will feed and lie down
[00:43:48.140 --> 00:43:50.000]   with no one to make them tremble.
[00:43:50.940 --> 00:43:53.940]   As we close off, I wanna ask you this interesting question.
[00:43:53.940 --> 00:43:57.220]   What makes for a revival?
[00:43:57.220 --> 00:44:01.520]   How do you have a revival in your life?
[00:44:01.520 --> 00:44:05.540]   Now for me, when I got saved as a senior in high school,
[00:44:05.540 --> 00:44:07.520]   our church, I was so thankful for the ministry,
[00:44:07.520 --> 00:44:10.920]   but our church, like, they wanted to provide opportunities
[00:44:10.920 --> 00:44:13.300]   for people to just come and cry out to God
[00:44:13.300 --> 00:44:16.900]   so they had revival nights, right, every Fridays.
[00:44:16.900 --> 00:44:18.380]   Now for me as a young individual,
[00:44:18.380 --> 00:44:20.280]   I approached it the wrong way.
[00:44:20.280 --> 00:44:23.500]   I approached it with like, okay, I'm just gonna come.
[00:44:23.500 --> 00:44:27.020]   And I stick out my hands, and you fill me.
[00:44:27.020 --> 00:44:28.860]   And back then we sang a lot of vineyard songs
[00:44:28.860 --> 00:44:32.340]   where it was just like, fill me, fill me, fill me.
[00:44:32.340 --> 00:44:33.960]   Do it, you know?
[00:44:33.960 --> 00:44:36.060]   And you just came like this.
[00:44:36.060 --> 00:44:37.780]   And sometimes, yeah, honestly speaking,
[00:44:37.780 --> 00:44:40.820]   I was just waiting for something to touch me deep.
[00:44:40.820 --> 00:44:43.820]   And I wished that would produce in me a revival.
[00:44:43.820 --> 00:44:48.380]   But brothers and sisters, revival is not nebulous,
[00:44:48.380 --> 00:44:50.060]   mystic, and strange.
[00:44:50.060 --> 00:44:53.600]   Revival, according to the Bible,
[00:44:53.600 --> 00:44:57.680]   is any time revival happened, God presented himself
[00:44:57.680 --> 00:45:01.860]   and revealed, I am the God of Abraham, Isaac, and Jacob.
[00:45:01.860 --> 00:45:06.360]   I have made a promise to you.
[00:45:06.360 --> 00:45:08.440]   Your blessing is with me.
[00:45:08.440 --> 00:45:09.860]   This is who I am.
[00:45:09.860 --> 00:45:12.300]   And the people, upon looking, just like Isaiah,
[00:45:12.300 --> 00:45:14.800]   just like Jacob, when they saw him and heard him,
[00:45:14.800 --> 00:45:16.960]   what they said was, "What?
[00:45:17.860 --> 00:45:18.780]   "Who is me?
[00:45:18.780 --> 00:45:21.100]   "Put away all this stuff.
[00:45:21.100 --> 00:45:22.460]   "Why am I doing this?
[00:45:22.460 --> 00:45:24.560]   "You guys, put away all this stuff."
[00:45:24.560 --> 00:45:26.100]   Whether it was King Josiah in the past,
[00:45:26.100 --> 00:45:29.320]   he read the word and says, "Let's put all those idols away.
[00:45:29.320 --> 00:45:31.860]   "Put away the false gods."
[00:45:31.860 --> 00:45:34.040]   And all they had to do was say,
[00:45:34.040 --> 00:45:36.200]   "God, I want to trust you,
[00:45:36.200 --> 00:45:40.000]   "so all this stuff I'm retaining in my life,
[00:45:40.000 --> 00:45:43.400]   "the idols are for blessings, the lies are for protection.
[00:45:43.400 --> 00:45:46.160]   "This is for the people that I hold onto as idols
[00:45:46.160 --> 00:45:49.400]   "and they are for joy, this is for that.
[00:45:49.400 --> 00:45:52.480]   "But with you, I can give it all up."
[00:45:52.480 --> 00:45:54.600]   Why?
[00:45:54.600 --> 00:45:58.560]   Absolutely secure in the God of truth, amen.
[00:45:58.560 --> 00:46:00.840]   That to us is our revival here,
[00:46:00.840 --> 00:46:04.260]   and we could have it any given Sunday.
[00:46:04.260 --> 00:46:06.600]   Let's take a moment to pray.
[00:46:06.600 --> 00:46:15.660]   Lord God, as we think about the long journey
[00:46:15.660 --> 00:46:17.900]   and the long trail of sin,
[00:46:17.900 --> 00:46:22.300]   Heavenly Father, you are so good to us,
[00:46:22.300 --> 00:46:24.500]   and it's astounding.
[00:46:24.500 --> 00:46:27.440]   I also think about, Lord, as we pray,
[00:46:27.440 --> 00:46:31.600]   your perspective where people have tried to lie to you,
[00:46:31.600 --> 00:46:35.420]   maybe making a case that our intentions or heart is good
[00:46:35.420 --> 00:46:38.400]   or making excuses here or there.
[00:46:38.400 --> 00:46:42.500]   Father, today we want to come before you so open,
[00:46:42.500 --> 00:46:44.940]   exposed to your glorious light and your truth,
[00:46:44.940 --> 00:46:48.940]   to say you are the God of truth who sees all things,
[00:46:48.940 --> 00:46:52.520]   and in you there is nothing that can be hidden.
[00:46:52.520 --> 00:46:54.340]   You are the God of light,
[00:46:54.340 --> 00:46:57.660]   and Lord, in you there is nothing but truth.
[00:46:57.660 --> 00:47:00.960]   I pray, Father God, that we would be so drawn to that.
[00:47:00.960 --> 00:47:03.420]   Lord, I pray for the congregation now,
[00:47:03.420 --> 00:47:06.880]   if there's anybody struggling, so afraid,
[00:47:06.880 --> 00:47:10.620]   if anybody is struggling where they've already made a web,
[00:47:10.620 --> 00:47:13.220]   I ask God that you would grant to them strength
[00:47:13.220 --> 00:47:16.220]   in the power of your truth and your spirit.
[00:47:16.220 --> 00:47:19.540]   Lord, grant to us to walk with spiritual strength
[00:47:19.540 --> 00:47:22.420]   that we might combat and fight against the flesh,
[00:47:22.420 --> 00:47:24.380]   fight against the lies of this world,
[00:47:24.380 --> 00:47:27.820]   and fight against even the own motives of our own heart,
[00:47:27.820 --> 00:47:30.740]   and God, help us to walk in faithfulness to you.
[00:47:30.740 --> 00:47:31.820]   God, we thank you this day.
[00:47:31.820 --> 00:47:35.020]   It's in Christ's name we pray, amen.
[00:47:35.020 --> 00:47:38.260]   Today, we're gonna be observing the communion,
[00:47:38.260 --> 00:47:41.700]   and so as we do so, what an appropriate time to think about
[00:47:41.700 --> 00:47:46.300]   for us to examine, are there any ways in us
[00:47:46.300 --> 00:47:49.900]   where we were not only untruthful, deceptive,
[00:47:49.900 --> 00:47:53.020]   but also if there's any residual sin in your life.
[00:47:53.020 --> 00:47:54.860]   What I'm going to do is read you a passage
[00:47:54.860 --> 00:47:57.660]   from 1 Corinthians chapter 11,
[00:47:57.660 --> 00:48:00.580]   and give you some time to meditate upon it.
[00:48:00.580 --> 00:48:04.580]   It says here in 1 Corinthians chapter 11, verse 23,
[00:48:04.580 --> 00:48:06.540]   Apostle Paul says, "I receive from the Lord
[00:48:06.540 --> 00:48:09.060]   "that which I also deliver to you,
[00:48:09.060 --> 00:48:11.420]   "that the Lord Jesus, in the night in which
[00:48:11.420 --> 00:48:14.100]   "he was betrayed, took bread.
[00:48:14.100 --> 00:48:16.140]   "And when he had given thanks, he broke it and said,
[00:48:16.140 --> 00:48:18.320]   "This is my body, which is for you.
[00:48:18.320 --> 00:48:19.740]   "Do this in remembrance of me.
[00:48:19.740 --> 00:48:23.060]   "And in the same way, he took the cup also after supper,
[00:48:23.060 --> 00:48:26.620]   "saying, This cup is the new covenant in my blood.
[00:48:26.620 --> 00:48:30.060]   "Do this as often as you drink in remembrance of me."
[00:48:30.060 --> 00:48:34.580]   And so we participate in this, remembering the amazing,
[00:48:34.580 --> 00:48:37.460]   perfect substitutionary sacrifice,
[00:48:37.460 --> 00:48:40.980]   where our Savior was broken, and he shed his blood for us.
[00:48:40.980 --> 00:48:43.000]   But continuing on in verse 26, it says,
[00:48:43.000 --> 00:48:46.480]   "For as often as you eat this bread and drink the cup,
[00:48:46.480 --> 00:48:49.580]   "you proclaim the Lord's death until he comes.
[00:48:49.580 --> 00:48:52.220]   "Therefore, whoever eats the bread or drinks the cup
[00:48:52.220 --> 00:48:54.120]   "of the Lord in an unworthy manner,
[00:48:54.120 --> 00:48:56.780]   "shall be guilty of the body and the blood of the Lord.
[00:48:56.780 --> 00:48:59.260]   "But a man must examine himself,
[00:48:59.260 --> 00:49:01.140]   "and in so doing, he is to eat of the bread
[00:49:01.140 --> 00:49:03.300]   "and drink of the cup."
[00:49:03.300 --> 00:49:05.180]   And so, take time now.
[00:49:05.180 --> 00:49:08.020]   What we'll do is, I'll give you just a few moments
[00:49:08.020 --> 00:49:11.640]   to reflect upon your current faith
[00:49:11.640 --> 00:49:13.540]   and relationship with God.
[00:49:13.540 --> 00:49:15.380]   And if there's anything you want to repent of,
[00:49:15.380 --> 00:49:18.700]   you know that God is a God of mercy.
[00:49:18.700 --> 00:49:20.580]   Ask him to forgive you.
[00:49:20.580 --> 00:49:23.100]   And then after I give you several moments to pray,
[00:49:23.100 --> 00:49:24.960]   we'll participate in this together.
[00:49:24.960 --> 00:49:28.780]   I do wanna make mention that if you've joined us here today,
[00:49:28.780 --> 00:49:31.780]   and you have not believed on Christ as Savior,
[00:49:31.780 --> 00:49:33.320]   do not participate in this yet,
[00:49:33.320 --> 00:49:37.120]   because this is an act where we proclaim Christ.
[00:49:37.120 --> 00:49:39.300]   But I do wanna challenge you.
[00:49:39.300 --> 00:49:44.300]   Our Savior is so good that he can break through any sin.
[00:49:44.300 --> 00:49:46.420]   And if there's any part of you that desires
[00:49:46.420 --> 00:49:49.780]   the forgiveness of God, ask him for it today.
[00:49:49.780 --> 00:49:51.180]   At this time, if you would,
[00:49:51.180 --> 00:49:53.620]   please take about a minute or two to pray,
[00:49:53.620 --> 00:49:56.420]   and then I'll gather us to participate in this together.

