
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:38:05.500 --> 00:38:09.420]   And so Apostle Paul says, these tribulations,
[00:38:09.420 --> 00:38:13.500]   they are serving to the end for your glory,
[00:38:13.500 --> 00:38:15.540]   that you be able to glory in Christ.
[00:38:15.540 --> 00:38:16.940]   Let's take a moment to pray.
[00:38:16.940 --> 00:38:24.500]   Lord, we thank you again for these encouraging words
[00:38:24.500 --> 00:38:25.820]   from your scripture.
[00:38:25.820 --> 00:38:30.740]   We pray, Father God, that by faith, we would recognize,
[00:38:30.740 --> 00:38:35.020]   Lord, that we have an indescribable privilege,
[00:38:35.020 --> 00:38:39.180]   an incredible weight of glory with Christ.
[00:38:39.180 --> 00:38:41.740]   And Lord, that cause of sharing that light,
[00:38:41.740 --> 00:38:44.700]   the cause of sharing in the ministry of the gospel,
[00:38:44.700 --> 00:38:48.340]   Lord, that is the greatest privilege.
[00:38:48.340 --> 00:38:51.260]   Father God, that is the singular cause
[00:38:51.260 --> 00:38:54.100]   where it would be appropriate to just jettison
[00:38:54.100 --> 00:38:56.540]   and forget everything else.
[00:38:56.540 --> 00:38:59.340]   And I pray, Father God, that we would then share
[00:38:59.340 --> 00:39:04.020]   in the joys of the I get to's with Apostle Paul.
[00:39:04.020 --> 00:39:05.980]   Lord, we thank you so much.
[00:39:05.980 --> 00:39:08.580]   And I pray, God, that you would strengthen our faith.
[00:39:08.580 --> 00:39:11.140]   It's in Christ's name we pray, amen.
[00:39:11.140 --> 00:39:12.900]   Have a good week, everyone.
[00:39:12.900 --> 00:39:22.900]   [BLANK_AUDIO]

