
[00:00:00.000 --> 00:00:09.080]   - Good evening, everyone.
[00:32:53.840 --> 00:32:55.800]   but you might actually hurt them.
[00:32:55.800 --> 00:32:57.920]   You might hurt them more than they are now.
[00:32:57.920 --> 00:32:59.440]   You might give them your pity,
[00:32:59.440 --> 00:33:01.680]   but you're not giving them the pity of Christ.
[00:33:01.680 --> 00:33:03.880]   You're gonna be completely missing the mark.
[00:33:03.880 --> 00:33:07.520]   And so the maturity and the adulthood that God wants to see
[00:33:07.520 --> 00:33:11.040]   is us being able to grow in truth, all in love.
[00:33:11.040 --> 00:33:14.320]   And he says, "We are to grow up in all aspects,
[00:33:14.320 --> 00:33:17.640]   "and to him who is the head, even Christ."
[00:33:17.640 --> 00:33:20.640]   Take a moment to think about the kind of thoroughness
[00:33:20.640 --> 00:33:23.600]   of maturity, the picture that God has
[00:33:23.600 --> 00:33:26.360]   in terms of how he wants us to be sanctified.
[00:33:26.360 --> 00:33:29.000]   He says, "In all aspects," right?
[00:33:29.000 --> 00:33:30.920]   Grow up in it all.
[00:33:30.920 --> 00:33:32.200]   And I want you to think about that.
[00:33:32.200 --> 00:33:34.560]   Have you truly bought into that mentality?
[00:33:34.560 --> 00:33:37.120]   Do you have the attitude that there is going to be
[00:33:37.120 --> 00:33:39.960]   a comprehensive growth, where yes,
[00:33:39.960 --> 00:33:41.520]   there is no element of your life where you're like,
[00:33:41.520 --> 00:33:42.360]   "You know what?
[00:33:42.360 --> 00:33:43.200]   "I've always been like this.
[00:33:43.200 --> 00:33:44.040]   "I'm not gonna change.
[00:33:44.040 --> 00:33:46.160]   "Come on now, don't say that."
[00:33:46.160 --> 00:33:48.080]   If you think, "You know what?
[00:33:48.080 --> 00:33:49.120]   "This is too hard for me."
[00:33:49.120 --> 00:33:50.800]   Don't say that.
[00:33:50.800 --> 00:33:53.080]   Because yes, that is just a universal fact.
[00:33:53.080 --> 00:33:55.400]   So many things are way too hard for us.
[00:33:55.400 --> 00:33:59.240]   But we have the Lord, and he's saying that his grand desire
[00:33:59.240 --> 00:34:02.280]   is that this whole church, all of us,
[00:34:02.280 --> 00:34:06.080]   until we all attain to the measure of Christ.
[00:34:06.080 --> 00:34:08.600]   And in thinking about this, I want to use an example
[00:34:08.600 --> 00:34:11.520]   of a difference of attitude.
[00:34:11.520 --> 00:34:13.960]   Imagine if you signed up for softball.
[00:34:13.960 --> 00:34:16.160]   You're like, "All right, everybody's all about sports
[00:34:16.160 --> 00:34:17.080]   "at this church.
[00:34:17.080 --> 00:34:18.640]   "I'll play softball."
[00:34:18.640 --> 00:34:20.840]   And so you go out to the field and you're swinging around.
[00:34:20.840 --> 00:34:22.800]   You've hit before, you've played before,
[00:34:22.800 --> 00:34:24.400]   but you're no pro.
[00:34:24.400 --> 00:34:25.840]   You're just swinging that bat,
[00:34:25.840 --> 00:34:28.640]   and some guy comes around and he thinks he's your coach.
[00:34:28.640 --> 00:34:30.840]   And he's like, "Hey, choke up on that bat.
[00:34:30.840 --> 00:34:32.240]   "Clearly you haven't practiced enough.
[00:34:32.240 --> 00:34:33.720]   "You don't have used to the weight of the bat."
[00:34:33.720 --> 00:34:36.760]   And you're like, "Whoa," right?
[00:34:36.760 --> 00:34:38.560]   And he says, "Hey, your head's all bobbing around.
[00:34:38.560 --> 00:34:40.120]   "What are you, a bobblehead?
[00:34:40.120 --> 00:34:41.320]   "You gotta keep your head straight.
[00:34:41.320 --> 00:34:43.320]   "Look at that ball and not look away, right?
[00:34:43.320 --> 00:34:44.640]   "Eye on the ball the whole way through
[00:34:44.640 --> 00:34:46.920]   "until it makes contact."
[00:34:46.920 --> 00:34:48.640]   And you're kind of like, "Huh."
[00:34:48.640 --> 00:34:49.960]   Pat it up to here.
[00:34:49.960 --> 00:34:51.720]   And he starts telling you, "Move your feet.
[00:34:51.720 --> 00:34:53.320]   "How come you don't twist your hips?
[00:34:53.320 --> 00:34:54.880]   "You have no power," right?
[00:34:54.880 --> 00:34:57.600]   And all of a sudden, he is looking at every aspect
[00:34:57.600 --> 00:34:58.640]   of your swing.
[00:34:58.640 --> 00:35:02.960]   And now you're just annoyed as can be.
[00:35:02.960 --> 00:35:05.800]   Like, "Hey, man, who told you you were a coach?
[00:35:05.800 --> 00:35:07.280]   "Pastor Mark, who is this guy?"
[00:35:07.280 --> 00:35:08.240]   Right?
[00:35:08.240 --> 00:35:10.240]   You would be so annoyed.
[00:35:10.240 --> 00:35:13.040]   But instead, if you were this professional athlete
[00:35:13.040 --> 00:35:15.480]   playing for the Giants, I don't know who he is,
[00:35:15.480 --> 00:35:18.720]   but he wants to know every single aspect of his swing
[00:35:18.720 --> 00:35:19.800]   that's not right.
[00:35:19.800 --> 00:35:22.440]   As a matter of fact, he would hire a batting coach
[00:35:22.440 --> 00:35:23.640]   to look at him.
[00:35:23.640 --> 00:35:25.600]   And if he had a batting coach who wasn't skilled,
[00:35:25.600 --> 00:35:26.920]   he'd be like, "Hey, man, that's your job.
[00:35:26.920 --> 00:35:28.080]   "You need to look at me.
[00:35:28.080 --> 00:35:29.840]   "Am I moving my head?
[00:35:29.840 --> 00:35:31.320]   "Are my feet balanced?
[00:35:31.320 --> 00:35:32.960]   "Do I have strength in my head?
[00:35:32.960 --> 00:35:34.640]   "You need to tell me 'cause that's your job, man,
[00:35:34.640 --> 00:35:35.720]   "'cause he would wanna know."
[00:35:35.720 --> 00:35:37.080]   Why?
[00:35:37.080 --> 00:35:39.720]   Because he would wanna perfect every single aspect
[00:35:39.720 --> 00:35:41.560]   of his swing, because a little bit off
[00:35:41.560 --> 00:35:43.280]   means he's not making contact.
[00:35:43.280 --> 00:35:45.320]   He's not on cue.
[00:35:45.320 --> 00:35:49.360]   And so for us, likewise, God has a vision for us
[00:35:49.360 --> 00:35:53.360]   to be like his son in every single way.
[00:35:53.360 --> 00:35:56.680]   But if your attitude is just this adversity
[00:35:56.680 --> 00:35:59.240]   to people talking about like, "Hey, you need to grow in this."
[00:35:59.240 --> 00:36:01.200]   And like, "You know, I'm already doing a good job."
[00:36:01.200 --> 00:36:04.360]   And you have this wall up where people can't correct you.
[00:36:04.360 --> 00:36:07.720]   Know that God's intent is to make sure you're growing
[00:36:07.720 --> 00:36:12.720]   in every aspect, in every way, to the full measure of Christ.
[00:36:12.720 --> 00:36:14.760]   And we have to be bought into that
[00:36:14.760 --> 00:36:17.560]   because that's what he wants for all of us collectively.
[00:36:17.560 --> 00:36:22.120]   Understand that God desires to create
[00:36:22.120 --> 00:36:25.040]   this incredible vision for the church.
[00:36:25.040 --> 00:36:27.280]   And what he says is in verse 16.
[00:36:27.280 --> 00:36:32.320]   He says, "From whom the whole body, everybody,
[00:36:32.320 --> 00:36:34.360]   "being fitted together and held together
[00:36:34.360 --> 00:36:36.240]   "by what every joint supplies,
[00:36:36.240 --> 00:36:39.800]   "according to the proper working of each individual part,
[00:36:39.800 --> 00:36:41.240]   "causes the growth of the body
[00:36:41.240 --> 00:36:45.600]   "for the building up of itself in love."
[00:36:45.600 --> 00:36:49.040]   So I'm not sure if I could even draw a diagram for that,
[00:36:49.040 --> 00:36:52.360]   but every single one of us is drawing from the source
[00:36:52.360 --> 00:36:54.120]   that is Christ himself.
[00:36:54.120 --> 00:36:57.640]   We have one spirit, one baptism, one Lord,
[00:36:57.640 --> 00:36:59.960]   one faith in our savior that is producing
[00:36:59.960 --> 00:37:01.960]   an incredible power for every single one of us
[00:37:01.960 --> 00:37:03.440]   and binding us together.
[00:37:03.440 --> 00:37:07.400]   And we're so one because of that truth of Jesus Christ.
[00:37:07.400 --> 00:37:10.000]   And yet individually, Christ has given us gifts
[00:37:10.000 --> 00:37:12.600]   and blessed us in such ways that we are participants
[00:37:12.600 --> 00:37:15.720]   of this build that he's doing to create this,
[00:37:15.720 --> 00:37:16.560]   what?
[00:37:16.560 --> 00:37:20.960]   His incredible home, his loving home.
[00:37:20.960 --> 00:37:23.840]   We're all tied together, interdependent,
[00:37:23.840 --> 00:37:26.480]   loving one another, and it would bring such joy
[00:37:26.480 --> 00:37:28.880]   to the father to see his home.
[00:37:28.880 --> 00:37:33.840]   So actively working, so selflessly working,
[00:37:33.840 --> 00:37:36.800]   so intentional as he is.
[00:37:36.800 --> 00:37:38.440]   That's the idea.
[00:37:38.440 --> 00:37:41.360]   And so I pray, like I pray every single one of us
[00:37:41.360 --> 00:37:43.920]   should first get this same vision, like, whoa,
[00:37:43.920 --> 00:37:46.280]   like I don't know about everything that needs to happen
[00:37:46.280 --> 00:37:48.600]   in this generation and time now,
[00:37:48.600 --> 00:37:51.120]   but clearly what I can say that he desires
[00:37:51.120 --> 00:37:53.080]   his church to be built.
[00:37:53.080 --> 00:37:56.360]   And he has a magnificent, beautiful picture
[00:37:56.360 --> 00:37:59.000]   where every single piece is doing its part.
[00:37:59.000 --> 00:38:00.400]   And every single person is growing
[00:38:00.400 --> 00:38:02.040]   into the picture of Christ.
[00:38:02.040 --> 00:38:05.280]   And then collectively, this is a beautiful home
[00:38:05.280 --> 00:38:07.800]   reflecting the glories of Christ together.
[00:38:07.800 --> 00:38:11.320]   And therefore, what a privilege it is for me
[00:38:11.320 --> 00:38:13.440]   to help in that build in any way possible.
[00:38:13.440 --> 00:38:17.800]   We have to have this attitude, like in every single way,
[00:38:17.800 --> 00:38:19.720]   I wanna grow, in every single way,
[00:38:19.720 --> 00:38:22.200]   I wanted to do the work of service.
[00:38:22.200 --> 00:38:23.640]   I don't have to do everything,
[00:38:23.640 --> 00:38:25.560]   but I wanna do anything for the church.
[00:38:25.560 --> 00:38:26.640]   Does that make sense?
[00:38:26.640 --> 00:38:29.240]   And to me, that is my joy.
[00:38:29.240 --> 00:38:32.080]   I like doing errands for the church.
[00:38:32.080 --> 00:38:33.720]   I wanna go out there and pick up something
[00:38:33.720 --> 00:38:36.480]   and bring it over here and be like, yes, you know.
[00:38:36.480 --> 00:38:38.000]   I wanna go out there and fix something
[00:38:38.000 --> 00:38:40.440]   and be like, I helped fix this part of the church.
[00:38:40.440 --> 00:38:42.400]   I wanna go out there and meet that guy who's struggling.
[00:38:42.400 --> 00:38:43.640]   I wanna go out there and meet that guy
[00:38:43.640 --> 00:38:45.000]   who's on the outskirt, why?
[00:38:45.000 --> 00:38:48.480]   Because number one, I know it pleases my heavenly father,
[00:38:48.480 --> 00:38:50.080]   we're all part of this family.
[00:38:50.080 --> 00:38:53.440]   But number two, I know we're part of this grand picture
[00:38:53.440 --> 00:38:55.360]   that Christ has set.
[00:38:55.360 --> 00:38:57.960]   He's blessed this church for a reason.
[00:38:57.960 --> 00:39:00.120]   He's given us the truth
[00:39:00.120 --> 00:39:02.960]   and he's building something that reflects
[00:39:02.960 --> 00:39:05.040]   essentially his own nature.
[00:39:05.040 --> 00:39:08.600]   And for me to be able to be a part of that
[00:39:08.600 --> 00:39:12.240]   and to say I'm contributing, that's so worthwhile.
[00:39:12.240 --> 00:39:15.600]   And so I pray that you would also have that mentality.
[00:39:15.600 --> 00:39:17.920]   Not only are we gonna be doing this together,
[00:39:17.920 --> 00:39:20.800]   but thankfully so, because it's then it's to our privilege
[00:39:20.800 --> 00:39:24.120]   that we can join in this work of building up the church.
[00:39:24.120 --> 00:39:24.960]   Let's pray.
[00:39:25.960 --> 00:39:29.960]   Heavenly father, thank you so much God again.
[00:39:29.960 --> 00:39:32.080]   What a grace you've given,
[00:39:32.080 --> 00:39:34.720]   what mercies you've granted us in Christ.
[00:39:34.720 --> 00:39:36.720]   And we recognize Lord,
[00:39:36.720 --> 00:39:40.000]   the truth and ramification of the fact that you save us
[00:39:40.000 --> 00:39:43.360]   is that God you bring us into your home.
[00:39:43.360 --> 00:39:45.040]   And what's crazy is,
[00:39:45.040 --> 00:39:48.240]   as you are bringing more and more people into salvation,
[00:39:48.240 --> 00:39:50.120]   what glories are given to you.
[00:39:50.120 --> 00:39:53.440]   But father God, you are building, Lord, your household,
[00:39:53.440 --> 00:39:54.960]   your people.
[00:39:54.960 --> 00:39:56.600]   And so God, we thank you for that.
[00:39:56.600 --> 00:40:01.080]   I do pray that Lord, our church people, that we ourselves,
[00:40:01.080 --> 00:40:03.360]   father God, we'd be so inclined
[00:40:03.360 --> 00:40:05.760]   to want the same things you want.
[00:40:05.760 --> 00:40:09.000]   Lord, for us to continue to mimic, to follow
[00:40:09.000 --> 00:40:11.040]   and imitate your character,
[00:40:11.040 --> 00:40:13.360]   to be more like Christ in every way.
[00:40:13.360 --> 00:40:16.680]   But what's more father God, to have your intent,
[00:40:16.680 --> 00:40:19.400]   Lord, to be the evangelist and to actively desire
[00:40:19.400 --> 00:40:22.360]   to build this church, the sharing of the gospel.
[00:40:22.360 --> 00:40:24.480]   And what's more, that in every way
[00:40:24.480 --> 00:40:27.640]   that we can encourage each other and spur each other on,
[00:40:27.640 --> 00:40:29.600]   God, that we would be able to then
[00:40:29.600 --> 00:40:31.840]   build each other up in love.
[00:40:31.840 --> 00:40:34.280]   And God, joyfully, thankfully,
[00:40:34.280 --> 00:40:37.520]   fulfill your design and your intent in this church, Lord.
[00:40:37.520 --> 00:40:38.760]   We wanna thank you again.
[00:40:38.760 --> 00:40:40.520]   It's in Christ's name we pray, amen.
[00:40:40.520 --> 00:40:42.880]   Have a great week, everyone.
[00:40:42.880 --> 00:40:43.720]   Bye.

