
[00:00:00.000 --> 00:00:02.000]   Here we go!
[01:01:40.000 --> 01:01:44.000]   And from that point on, he was willing even to give his life
[01:01:44.000 --> 01:01:48.000]   to tell other people about this because whatever comes after this,
[01:01:48.000 --> 01:01:54.000]   meeting Christ, is way better than whatever it was that he was pursuing.
[01:01:54.000 --> 01:02:00.000]   See, he's calling us to be fanatics.
[01:02:00.000 --> 01:02:03.000]   To come deeper. And that's why he says,
[01:02:03.000 --> 01:02:05.000]   when the door has opened, he says,
[01:02:05.000 --> 01:02:08.000]   "Come to the throne of grace with confidence."
[01:02:08.000 --> 01:02:11.000]   Because the whole purpose of salvation is in that statement.
[01:02:11.000 --> 01:02:14.000]   The whole purpose of salvation is in,
[01:02:14.000 --> 01:02:16.000]   now you're no longer condemned.
[01:02:16.000 --> 01:02:19.000]   Do whatever you want. That's not the gospel.
[01:02:19.000 --> 01:02:22.000]   The gospel is because of what he has done.
[01:02:22.000 --> 01:02:25.000]   The door has been opened. Now come.
[01:02:25.000 --> 01:02:28.000]   Come to me, all who are weary and heavy laden,
[01:02:28.000 --> 01:02:30.000]   so I can give you rest.
[01:02:30.000 --> 01:02:34.000]   Come to the throne of grace with confidence.
[01:02:34.000 --> 01:02:37.000]   That's the good news of the gospel.
[01:02:37.000 --> 01:02:41.000]   That the door to life has been opened. Now come.
[01:02:41.000 --> 01:02:45.000]   Not to simply admire it. Not to simply write about it.
[01:02:45.000 --> 01:02:48.000]   Not to simply take pictures and put it on the wall.
[01:02:48.000 --> 01:02:50.000]   But to come.
[01:02:50.000 --> 01:02:55.000]   Because true life is found in Christ.
[01:02:55.000 --> 01:02:58.000]   In Christ alone.
[01:02:58.000 --> 01:03:01.000]   That's what Cain and Abel's offering was pointed to.
[01:03:01.000 --> 01:03:03.000]   That speaks to us to this day.
[01:03:03.000 --> 01:03:05.000]   Hebrews 9, 13-14,
[01:03:05.000 --> 01:03:08.000]   "For if the blood of goats and bulls and ashes of
[01:03:08.000 --> 01:03:10.000]   "hyphor, sprinkling those who have been defiled,
[01:03:10.000 --> 01:03:12.000]   "sanctified for the cleansing of the flesh,
[01:03:12.000 --> 01:03:15.000]   "how much more will the blood of Christ,
[01:03:15.000 --> 01:03:18.000]   "who through the eternal spirit offered himself without blemish to God,
[01:03:18.000 --> 01:03:22.000]   "cleanse your conscience from dead works to serve the living God?"
[01:03:22.000 --> 01:03:24.000]   How much more?
[01:03:24.000 --> 01:03:26.000]   And then finally, 1 Peter 1, 18-20,
[01:03:26.000 --> 01:03:29.000]   "Knowing that you are not redeemed with the perishable things like silver or gold
[01:03:29.000 --> 01:03:31.000]   "from your feudal way of life,
[01:03:31.000 --> 01:03:33.000]   "inherited from your forefathers,
[01:03:33.000 --> 01:03:37.000]   "but with the precious blood as of a lamb unblemished and spotless,
[01:03:37.000 --> 01:03:41.000]   "the blood of Christ."
[01:03:41.000 --> 01:03:46.000]   You know, it almost seems like a contradiction or an oxymoron to say
[01:03:46.000 --> 01:03:50.000]   that the way of life is Abel's offering.
[01:03:50.000 --> 01:03:53.000]   Because Abel died.
[01:03:53.000 --> 01:03:57.000]   Cain was the one who murdered, and he lived.
[01:03:57.000 --> 01:04:00.000]   He got to live a long life.
[01:04:00.000 --> 01:04:04.000]   Abel gave the right offering, and he died.
[01:04:04.000 --> 01:04:07.000]   So how can you say that this leads to life?
[01:04:07.000 --> 01:04:09.000]   From a worldly perspective,
[01:04:09.000 --> 01:04:12.000]   if all we know is here,
[01:04:12.000 --> 01:04:14.000]   then what a tragedy.
[01:04:14.000 --> 01:04:16.000]   The guy who was right before God,
[01:04:16.000 --> 01:04:17.000]   the guy who gave his best,
[01:04:17.000 --> 01:04:19.000]   the guy who gave the blood sacrifice,
[01:04:19.000 --> 01:04:23.000]   he's the one who ended his life early.
[01:04:23.000 --> 01:04:26.000]   When we see it from a man's perspective.
[01:04:26.000 --> 01:04:30.000]   But from God's perspective, from an eternal perspective,
[01:04:30.000 --> 01:04:34.000]   we can say that Abel died with life.
[01:04:34.000 --> 01:04:39.000]   Cain lived in death.
[01:04:39.000 --> 01:04:42.000]   Living a long life.
[01:04:42.000 --> 01:04:45.000]   There's a lot of people who don't want to be here.
[01:04:45.000 --> 01:04:47.000]   Because that's their personal testimony.
[01:04:47.000 --> 01:04:52.000]   Living a long life is not a blessing in and of itself.
[01:04:52.000 --> 01:04:55.000]   Existing in this fallen world with all the depravity,
[01:04:55.000 --> 01:04:57.000]   with all the chaos, with all the hurts,
[01:04:57.000 --> 01:05:00.000]   with all the families that are broken up,
[01:05:00.000 --> 01:05:02.000]   with all the past pains that they have to live with,
[01:05:02.000 --> 01:05:07.000]   living a long life is not a blessing in and of itself.
[01:05:07.000 --> 01:05:13.000]   God did not call us so that we can live long.
[01:05:13.000 --> 01:05:16.000]   God called us so that we can live, truly live.
[01:05:16.000 --> 01:05:18.000]   There's a joy in him.
[01:05:18.000 --> 01:05:22.000]   And the only path that causes us to do that
[01:05:22.000 --> 01:05:24.000]   is a path of Abel.
[01:05:24.000 --> 01:05:28.000]   By faith, he offered up a better sacrifice,
[01:05:28.000 --> 01:05:30.000]   which caused him to be righteous.
[01:05:30.000 --> 01:05:33.000]   And this righteousness and the blood sacrifice
[01:05:33.000 --> 01:05:38.000]   and right worship of Abel speaks to us even to this day,
[01:05:38.000 --> 01:05:40.000]   even when we die.
[01:05:40.000 --> 01:05:43.000]   That's the gospel message.
[01:05:43.000 --> 01:05:48.000]   So as we look at the other people in Hebrews chapter 11,
[01:05:48.000 --> 01:05:50.000]   if we miss this point,
[01:05:50.000 --> 01:05:52.000]   you may study the book of Hebrews and say,
[01:05:52.000 --> 01:05:54.000]   "Oh, if I just believed, if I had more faith,
[01:05:54.000 --> 01:05:56.000]   I can conquer enemies and I can do all this."
[01:05:56.000 --> 01:05:59.000]   And you miss the whole point.
[01:05:59.000 --> 01:06:02.000]   Because the point of this, there's the first part of it
[01:06:02.000 --> 01:06:05.000]   where it will teach us that God used them and delivered them
[01:06:05.000 --> 01:06:06.000]   and did all of this stuff.
[01:06:06.000 --> 01:06:07.000]   And then the second part will come out,
[01:06:07.000 --> 01:06:09.000]   but some of these people died early,
[01:06:09.000 --> 01:06:12.000]   were tortured, were beaten.
[01:06:12.000 --> 01:06:16.000]   But all of it did it because they believed.
[01:06:16.000 --> 01:06:18.000]   They believed that life was in God.
[01:06:18.000 --> 01:06:20.000]   The promised land was not a physical land,
[01:06:20.000 --> 01:06:23.000]   but a land that he will bring.
[01:06:23.000 --> 01:06:25.000]   So I pray that as we look at this foundation,
[01:06:25.000 --> 01:06:27.000]   that that would embed into our hearts.
[01:06:27.000 --> 01:06:30.000]   And again, and I'm going to say this over and over again,
[01:06:30.000 --> 01:06:34.000]   as I've always been saying, and his point is the same.
[01:06:34.000 --> 01:06:37.000]   Fix your eyes upon Jesus,
[01:06:37.000 --> 01:06:40.000]   the author and the perfecter of our faith.
[01:06:40.000 --> 01:06:42.000]   Let's pray.
[01:06:42.000 --> 01:06:54.000]   Heavenly Father, we pray for grace that only you can give.
[01:06:54.000 --> 01:06:58.000]   We pray for eyes that are open.
[01:06:58.000 --> 01:07:02.000]   Lord, we are surrounded by so much temptation.
[01:07:02.000 --> 01:07:07.000]   Lord, we struggle with controlling our own flesh and our own mind.
[01:07:07.000 --> 01:07:10.000]   I pray that the power of your word would renew us
[01:07:10.000 --> 01:07:13.000]   and revive us and restore us.
[01:07:13.000 --> 01:07:18.000]   Help us, Lord God, as Abel's sacrifice speaks to us,
[01:07:18.000 --> 01:07:21.000]   that it would be ringing in our mind and our hearts,
[01:07:21.000 --> 01:07:25.000]   that we would be able to confess that we love you
[01:07:25.000 --> 01:07:28.000]   with all our heart, soul, mind, and strength.
[01:07:28.000 --> 01:07:32.000]   In Jesus' name we pray, amen.
[01:07:32.000 --> 01:07:35.000]   Let us all rise for our closing praise.
[01:07:35.000 --> 01:07:38.000]   [music]
[01:07:39.000 --> 01:07:42.000]   [music]
[01:07:43.000 --> 01:07:46.000]   [music]
[01:07:46.000 --> 01:07:59.000]   [music]
[01:07:59.000 --> 01:08:02.000]   [music]
[01:08:02.000 --> 01:08:13.000]   [music]
[01:08:13.000 --> 01:08:24.000]   [music]
[01:08:25.000 --> 01:08:28.000]   [music]
[01:08:28.000 --> 01:08:36.000]   [music]
[01:08:36.000 --> 01:08:47.000]   [music]
[01:08:48.000 --> 01:08:51.000]   [music]
[01:08:51.000 --> 01:09:00.000]   [music]
[01:09:00.000 --> 01:09:10.000]   [music]
[01:09:11.000 --> 01:09:14.000]   [music]
[01:09:14.000 --> 01:09:23.000]   [music]
[01:09:23.000 --> 01:09:33.000]   [music]
[01:09:34.000 --> 01:09:37.000]   [music]
[01:09:37.000 --> 01:09:46.000]   [music]
[01:09:46.000 --> 01:09:56.000]   [music]
[01:09:56.000 --> 01:09:59.000]   [music]
[01:09:59.000 --> 01:10:04.000]   [music]
[01:10:04.000 --> 01:10:10.000]   [music]
[01:10:10.000 --> 01:10:17.000]   [music]
[01:10:17.000 --> 01:10:24.000]   [music]
[01:10:25.000 --> 01:10:28.000]   [music]
[01:10:28.000 --> 01:10:37.000]   [music]
[01:10:37.000 --> 01:10:47.000]   [music]
[01:10:48.000 --> 01:10:51.000]   [music]
[01:10:51.000 --> 01:11:00.000]   [music]
[01:11:00.000 --> 01:11:10.000]   [music]
[01:11:11.000 --> 01:11:14.000]   [music]
[01:11:14.000 --> 01:11:22.000]   [music]
[01:11:22.000 --> 01:11:31.000]   [music]
[01:11:32.000 --> 01:11:35.000]   [music]
[01:11:35.000 --> 01:11:44.000]   [music]
[01:11:44.000 --> 01:11:54.000]   [music]
[01:11:54.000 --> 01:11:57.000]   [music]
[01:11:57.000 --> 01:12:03.000]   [music]
[01:12:03.000 --> 01:12:09.000]   [music]
[01:12:09.000 --> 01:12:17.000]   [music]
[01:12:18.000 --> 01:12:21.000]   [music]
[01:12:21.000 --> 01:12:27.000]   [music]
[01:12:27.000 --> 01:12:35.000]   [music]
[01:12:35.000 --> 01:12:39.000]   Let's pray.
[01:12:39.000 --> 01:12:45.000]   Now to Him who is able to keep you from stumbling and to make you stand in the presence of His glory,
[01:12:45.000 --> 01:12:47.000]   blameless, with great joy.
[01:12:47.000 --> 01:12:50.000]   To the only God our Savior, through Jesus Christ our Lord,
[01:12:50.000 --> 01:12:56.000]   be glory, majesty, dominion, and authority, before all time and now and forever.
[01:12:56.000 --> 01:12:57.000]   Amen.
[01:12:57.000 --> 01:13:01.000]   [music]
[01:13:02.000 --> 01:13:05.000]   [music]
[01:13:05.000 --> 01:13:11.000]   [music]
[01:13:11.000 --> 01:13:16.000]   [music]
[01:13:16.000 --> 01:13:23.000]   [music]
[01:13:23.000 --> 01:13:29.000]   [music]
[01:13:30.000 --> 01:13:33.000]   [music]
[01:13:33.000 --> 01:13:39.000]   [music]
[01:13:39.000 --> 01:13:45.000]   [music]
[01:13:45.000 --> 01:13:51.000]   [music]
[01:13:51.000 --> 01:13:57.000]   [music]
[01:13:58.000 --> 01:14:01.000]   [music]
[01:14:01.000 --> 01:14:07.000]   [music]
[01:14:07.000 --> 01:14:12.000]   [music]
[01:14:12.000 --> 01:14:17.000]   [music]
[01:14:17.000 --> 01:14:22.000]   [music]
[01:14:25.000 --> 01:14:28.000]   [music]
[01:14:28.000 --> 01:14:32.000]   All right, so if I can have this group just kind of go out through that door,
[01:14:32.000 --> 01:14:36.000]   and then if you guys can give just a couple minutes, and then you guys can start going out that way.
[01:14:36.000 --> 01:14:39.000]   [background noise]
[01:14:39.000 --> 01:14:49.000]   [BLANK_AUDIO]

