
[00:00:00.000 --> 00:00:02.340]   ♪ The blood ♪
[00:53:03.420 --> 00:53:08.420]   You have the thing you do with your head when you bob and you're mad inside.
[00:53:08.420 --> 00:53:11.420]   And some of you guys, laughing hard, that's not really an internal thing.
[00:53:11.420 --> 00:53:13.420]   It comes out outside too, right?
[00:53:13.420 --> 00:53:17.420]   You kind of change your voice when you get into this mode where you say,
[00:53:17.420 --> 00:53:21.420]   "No! If you hurt me, I'm going to hurt you back."
[00:53:21.420 --> 00:53:23.420]   Right?
[00:53:23.420 --> 00:53:27.420]   Where your heart says, "You hurt me? It's my turn."
[00:53:27.420 --> 00:53:29.420]   That exists, and we recognize it.
[00:53:29.420 --> 00:53:30.420]   And I want to say this.
[00:53:30.420 --> 00:53:33.420]   There is a perversion of the logic of the law.
[00:53:33.420 --> 00:53:37.420]   There is a perversion where the law of "I for an I"
[00:53:37.420 --> 00:53:39.420]   was given as a consistent standard of God,
[00:53:39.420 --> 00:53:43.420]   and it is appropriate for us to uphold the consistent standard of God
[00:53:43.420 --> 00:53:46.420]   versus you want to uphold you.
[00:53:46.420 --> 00:53:48.420]   You want to avenge you.
[00:53:48.420 --> 00:53:55.420]   You want to make sure that you are the judge, jury, and executioner.
[00:53:55.420 --> 00:53:58.420]   "You better respect me. You better recognize."
[00:53:58.420 --> 00:54:02.420]   The gangster comes out of you, and it speaks like that.
[00:54:02.420 --> 00:54:05.420]   And that part of it needs to be repented of.
[00:54:05.420 --> 00:54:09.420]   There's a passage in Leviticus 24.
[00:54:09.420 --> 00:54:11.420]   Turn in your Bibles there.
[00:54:11.420 --> 00:54:13.420]   Leviticus 24, verse 19.
[00:54:13.420 --> 00:54:17.420]   It shows to us the rationale behind this law.
[00:54:17.420 --> 00:54:21.420]   And he says, "If a man injures his neighbor, just as he has done,
[00:54:21.420 --> 00:54:23.420]   so it shall be done to him.
[00:54:23.420 --> 00:54:26.420]   Fracture for fracture, eye for eye, tooth for tooth,
[00:54:26.420 --> 00:54:31.420]   just as he has injured a man, so it shall be inflicted on him.
[00:54:31.420 --> 00:54:34.420]   Thus the one who kills an animal shall make it good,
[00:54:34.420 --> 00:54:37.420]   and the one who kills a man shall be put to death.
[00:54:37.420 --> 00:54:40.420]   There shall be one standard for you.
[00:54:40.420 --> 00:54:42.420]   It shall be for the stranger as well as the native,
[00:54:42.420 --> 00:54:45.420]   for I am the Lord your God."
[00:54:45.420 --> 00:54:51.420]   He wanted that standard because of his objective righteousness.
[00:54:51.420 --> 00:54:53.420]   And he's not a respecter of people.
[00:54:53.420 --> 00:54:56.420]   He doesn't have this, you know, da-da-da-da-da-da-da-da-da-da,
[00:54:56.420 --> 00:54:58.420]   this is on this day, that day.
[00:54:58.420 --> 00:55:01.420]   He wants an objective standard, and we as Christians have to uphold it.
[00:55:01.420 --> 00:55:08.420]   What's false and erroneous is we twist that as a justification for my vengeance.
[00:55:08.420 --> 00:55:10.420]   To avenge me.
[00:55:10.420 --> 00:55:14.420]   But who's going to make sure he knows how much he hurt me?
[00:55:14.420 --> 00:55:18.420]   Who's going to make sure that he actually respects me, right?
[00:55:18.420 --> 00:55:25.420]   And that is two entirely different things, but sometimes so, so muddied.
[00:55:25.420 --> 00:55:27.420]   Now, as I want to give examples of this,
[00:55:27.420 --> 00:55:30.420]   there's a clear example of retaliation in Scripture.
[00:55:30.420 --> 00:55:32.420]   Turn your Bibles to Genesis chapter 4.
[00:55:32.420 --> 00:55:38.420]   So early on in the history of man, there was a sinfulness already ingrained into his heart.
[00:55:38.420 --> 00:55:41.420]   Genesis chapter 4 verse 23, it says this,
[00:55:41.420 --> 00:55:46.420]   "Lamech said to his wives, 'Ada and Zillah, listen to my voice.
[00:55:46.420 --> 00:55:50.420]   You wives of Lamech, give heed to my speech,
[00:55:50.420 --> 00:55:54.420]   for I have killed a man for wounding me, a boy for striking me.
[00:55:54.420 --> 00:56:00.420]   If Cain is avenged sevenfold, then Lamech seventy-sevenfold.'"
[00:56:00.420 --> 00:56:04.420]   I presume if the secular world read this, they would think,
[00:56:04.420 --> 00:56:09.420]   "Oh man, that guy's a gangster. You don't mess with him."
[00:56:09.420 --> 00:56:16.420]   But the weird thing is, that heart, he's bragging about how in his arrogance,
[00:56:16.420 --> 00:56:19.420]   no one's going to mess with him.
[00:56:19.420 --> 00:56:21.420]   He wants them to hear about it.
[00:56:21.420 --> 00:56:24.420]   "You don't mess with me, because I'm a gangster."
[00:56:24.420 --> 00:56:27.420]   I don't want to overdo it, but that part's in there.
[00:56:27.420 --> 00:56:29.420]   And let me give you an example of case scenarios.
[00:56:29.420 --> 00:56:31.420]   I mean, it comes up in everywhere.
[00:56:31.420 --> 00:56:36.420]   On the court, I confess to you, there have been times, you play basketball,
[00:56:36.420 --> 00:56:38.420]   some guy does a dirty move, and all of a sudden,
[00:56:38.420 --> 00:56:42.420]   your gangster voice comes out, and like, "Oh, we're going to play like that, huh?"
[00:56:42.420 --> 00:56:44.420]   "You're going to play dirty?"
[00:56:44.420 --> 00:56:48.420]   And you almost want to retaliate, like, "Now it's my turn."
[00:56:48.420 --> 00:56:51.420]   In the car, someone cuts you off.
[00:56:51.420 --> 00:56:55.420]   I mean, road rage is like a classic example of retaliation.
[00:56:55.420 --> 00:56:57.420]   You want to make sure, it's like, "Oh, you want to know how it feels?
[00:56:57.420 --> 00:56:59.420]   You drive all fast, go in front of the person?"
[00:56:59.420 --> 00:57:01.420]   Of course, I've never done that.
[00:57:01.420 --> 00:57:04.420]   But in the car, do you ever start screaming?
[00:57:04.420 --> 00:57:09.420]   "You need to get off the road! You don't deserve to drive!"
[00:57:09.420 --> 00:57:12.420]   Does it happen in marriages?
[00:57:12.420 --> 00:57:16.420]   It's like, "Oh, you can talk to me like that, with no restraint?"
[00:57:16.420 --> 00:57:21.420]   "You want to know how angry I can be? You want to see me mad?"
[00:57:21.420 --> 00:57:24.420]   It happens in marriages, relationships.
[00:57:24.420 --> 00:57:27.420]   It happens in so many different scenarios.
[00:57:27.420 --> 00:57:30.420]   And that all to say, again, it's sometimes so deceptive.
[00:57:30.420 --> 00:57:31.420]   The heart is deceptive.
[00:57:31.420 --> 00:57:35.420]   We think that doing that is the right thing to do.
[00:57:35.420 --> 00:57:42.420]   We think doing that is actually the right way to make sure this sin is dealt with.
[00:57:42.420 --> 00:57:48.420]   No. This passage is so convicting because it tackles, again,
[00:57:48.420 --> 00:57:53.420]   your preconceived notion of what is normative for the righteous person.
[00:57:53.420 --> 00:57:55.420]   "Yeah, I for an I."
[00:57:55.420 --> 00:57:58.420]   And what Jesus does is point very directly into the heart and says,
[00:57:58.420 --> 00:58:02.420]   "Your insides, that needs to be transformed."
[00:58:02.420 --> 00:58:09.420]   So, I move now to point number three, where Jesus commands.
[00:58:09.420 --> 00:58:13.420]   Jesus instructs, and as a summary of what He instructs us to do,
[00:58:13.420 --> 00:58:17.420]   He instructs us to give even more and more.
[00:58:17.420 --> 00:58:22.420]   Excuse me.
[00:58:22.420 --> 00:58:25.420]   He instructs us to give even more and more.
[00:58:25.420 --> 00:58:28.420]   Let's take a look at the passage once more.
[00:58:28.420 --> 00:58:31.420]   He says, after saying, "You have heard,"
[00:58:31.420 --> 00:58:35.420]   Verse 39, "Do not resist an evil person,
[00:58:35.420 --> 00:58:39.420]   but whoever slaps you on your cheek, turn the other to him also.
[00:58:39.420 --> 00:58:42.420]   If anyone wants to sue you, take and take your shirt.
[00:58:42.420 --> 00:58:44.420]   Let him have your coat also.
[00:58:44.420 --> 00:58:49.420]   Whoever forces you to go one mile, go with him too.
[00:58:49.420 --> 00:58:54.420]   Give to him who asks of you, and do not turn away from him who wants to borrow from you."
[00:58:54.420 --> 00:58:56.420]   Wow.
[00:58:56.420 --> 00:58:58.420]   If you take a moment to not read that as just like,
[00:58:58.420 --> 00:59:01.420]   "Yeah, these are just lofty things," Jesus says, right?
[00:59:01.420 --> 00:59:03.420]   Would you meditate on that?
[00:59:03.420 --> 00:59:05.420]   It should cause you to be like, "Wait, wait, what?
[00:59:05.420 --> 00:59:11.420]   Did you say the evil person?"
[00:59:11.420 --> 00:59:16.420]   You know what makes it so hard sometimes to hold your tongue is when you see wickedness.
[00:59:16.420 --> 00:59:17.420]   Right?
[00:59:17.420 --> 00:59:22.420]   And then part of you--I'm almost trying to share with you my personal reaction
[00:59:22.420 --> 00:59:24.420]   when I was working through this passage in my devotions.
[00:59:24.420 --> 00:59:26.420]   I had weird reactions.
[00:59:26.420 --> 00:59:30.420]   Initially, I was like, "Oh, yeah, you just got to read the context because there's got to be more than that."
[00:59:30.420 --> 00:59:31.420]   Right?
[00:59:31.420 --> 00:59:33.420]   He's got to be qualified.
[00:59:33.420 --> 00:59:35.420]   There's got to be some caveats here, right?
[00:59:35.420 --> 00:59:38.420]   And then you read him say like, "Even to the evil person."
[00:59:38.420 --> 00:59:42.420]   And then you start thinking of the other passages like, "No, Scripture says expose them.
[00:59:42.420 --> 00:59:44.420]   Scripture says to not walk with them."
[00:59:44.420 --> 00:59:49.420]   Well, clearly, yes, Jesus is not telling you to condone the evil man.
[00:59:49.420 --> 00:59:54.420]   But what he's telling you is to not resist with retaliation,
[00:59:54.420 --> 01:00:00.420]   and what's more, to give generously.
[01:00:00.420 --> 01:00:04.420]   And part of me just reacted with like a, "This can't be."
[01:00:04.420 --> 01:00:07.420]   I'm not sure if ever you guys have had that moment.
[01:00:07.420 --> 01:00:12.420]   You're reading the Scriptures and you're like, "Huh? It doesn't make sense."
[01:00:12.420 --> 01:00:15.420]   Of course we're going to stand against the evil person.
[01:00:15.420 --> 01:00:17.420]   Of course I'm going to defend myself.
[01:00:17.420 --> 01:00:22.420]   Of course if he falsely accuses me, I'm going to give a defense.
[01:00:22.420 --> 01:00:24.420]   And again, I want to challenge you.
[01:00:24.420 --> 01:00:27.420]   Jesus is going to regularly ask us,
[01:00:27.420 --> 01:00:30.420]   "Are you going to do exactly what everybody else does?
[01:00:30.420 --> 01:00:32.420]   How then are you any different?
[01:00:32.420 --> 01:00:34.420]   Are you going to say the exact same thing?
[01:00:34.420 --> 01:00:37.420]   Are you going to do the exact same thing?
[01:00:37.420 --> 01:00:40.420]   How much do you have to give?"
[01:00:40.420 --> 01:00:43.420]   And so I want to walk through this a little bit because he says,
[01:00:43.420 --> 01:00:47.420]   "If you are slapped and someone slaps you on your..."
[01:00:47.420 --> 01:00:52.420]   It's interesting, right, that he actually specifies on the right side of your cheek.
[01:00:52.420 --> 01:00:56.420]   But I want you to think about that because you know, I mean,
[01:00:56.420 --> 01:00:58.420]   even when me and my brother, when we were young and we were fighting,
[01:00:58.420 --> 01:01:01.420]   we just knew, "You don't touch the face."
[01:01:01.420 --> 01:01:03.420]   We could punch each other all we want. We could wrestle.
[01:01:03.420 --> 01:01:05.420]   We could do all kinds of crazy stuff, but you don't touch the face.
[01:01:05.420 --> 01:01:09.420]   Why? Because absolutely disrespectful.
[01:01:09.420 --> 01:01:15.420]   And what Jesus is doing is he's highlighting one of the elements that to us is so difficult
[01:01:15.420 --> 01:01:21.420]   to just hold our tongue, to just not retaliate, is in the moment of disrespect.
[01:01:21.420 --> 01:01:25.420]   And there's part of it that's going to be like, "Don't we have a right to that?
[01:01:25.420 --> 01:01:28.420]   Don't we have a right to dignity? Don't we have a right?
[01:01:28.420 --> 01:01:30.420]   I should be respected.
[01:01:30.420 --> 01:01:33.420]   If you're a father, I should be respected in this home.
[01:01:33.420 --> 01:01:36.420]   If you're a boss, I should be respected in this job." Right?
[01:01:36.420 --> 01:01:39.420]   We feel like we have that right.
[01:01:39.420 --> 01:01:44.420]   There's more. He says, "If someone wants to sue you and take your shirt,"
[01:01:44.420 --> 01:01:47.420]   it's also very interesting that he describes the difference between taking your shirt
[01:01:47.420 --> 01:01:49.420]   and then taking your cloak.
[01:01:49.420 --> 01:01:53.420]   And you guys have heard probably that this idea of the cloak.
[01:01:53.420 --> 01:01:56.420]   A lot of people at that time, they just had one.
[01:01:56.420 --> 01:01:58.420]   That's all they had.
[01:01:58.420 --> 01:02:03.420]   So to a worker, Jesus says, "If you have one of his possessions as some kind of collateral,
[01:02:03.420 --> 01:02:05.420]   make sure you give it back to him by the end of the day."
[01:02:05.420 --> 01:02:08.420]   Why? Because he has nothing else.
[01:02:08.420 --> 01:02:11.420]   And then he says, "Give it to him."
[01:02:11.420 --> 01:02:14.420]   I'm like, "What?"
[01:02:14.420 --> 01:02:17.420]   Our natural tendency, if you're sued and accused,
[01:02:17.420 --> 01:02:19.420]   you're going to have this tendency to be like, "What?
[01:02:19.420 --> 01:02:22.420]   I have a right to be defended against stuff like that.
[01:02:22.420 --> 01:02:26.420]   I have a right to not be falsely accused of stuff." Yes?
[01:02:26.420 --> 01:02:31.420]   And it would be to you this feeling of right to protection and security.
[01:02:31.420 --> 01:02:36.420]   And then he goes on and says, "Whoever forces you to go one mile,
[01:02:36.420 --> 01:02:38.420]   go with him two."
[01:02:38.420 --> 01:02:40.420]   I'm like, "What? Mind-blowing stuff."
[01:02:40.420 --> 01:02:42.420]   Back then, there were Roman soldiers.
[01:02:42.420 --> 01:02:45.420]   Legally, Roman soldiers could grab all the material,
[01:02:45.420 --> 01:02:49.420]   give it to a civilian, say, "I'm going to take my stuff and walk."
[01:02:49.420 --> 01:02:51.420]   "Carry the burden, you donkey."
[01:02:51.420 --> 01:02:53.420]   That's pretty much what it was.
[01:02:53.420 --> 01:02:56.420]   And so you can imagine the civilians, they hated Roman soldiers.
[01:02:56.420 --> 01:02:59.420]   It's like, "Oh my goodness, these people.
[01:02:59.420 --> 01:03:03.420]   Making me carry all their junk."
[01:03:03.420 --> 01:03:06.420]   He says to them, "Go with him the extra mile."
[01:03:06.420 --> 01:03:10.420]   And that's where we get with proverbial statements, "Go the extra mile."
[01:03:10.420 --> 01:03:15.420]   Question, how much do you have to give in you?
[01:03:15.420 --> 01:03:19.420]   Because what Jesus is doing is he's highlighting for the kingdom citizen,
[01:03:19.420 --> 01:03:24.420]   for the sons of God, sons and daughters,
[01:03:24.420 --> 01:03:28.420]   you should have through your relationship with God this wealth.
[01:03:28.420 --> 01:03:32.420]   That yes, even in the midst of persecution, even in the midst of suffering,
[01:03:32.420 --> 01:03:36.420]   we many times, we find ourselves, we're the ones in need.
[01:03:36.420 --> 01:03:39.420]   I'm in suffering. I need help.
[01:03:39.420 --> 01:03:42.420]   But you're taking from me?
[01:03:42.420 --> 01:03:45.420]   Jesus is going to call out and say, "Even in those moments,
[01:03:45.420 --> 01:03:50.420]   through the gospel, through Christ and the completeness that we have in him,
[01:03:50.420 --> 01:03:52.420]   how much do you have to give?"
[01:03:52.420 --> 01:03:58.420]   And lastly, he says, "If someone asks you, do not turn him away."
[01:03:58.420 --> 01:04:01.420]   You know, some of the most annoying things in life
[01:04:01.420 --> 01:04:05.420]   are people who are prideful and people who are free birds.
[01:04:05.420 --> 01:04:08.420]   If you've ever had that guy in your life, the friend in your life,
[01:04:08.420 --> 01:04:11.420]   who's just always like, "Can you spot me here? Can you spot me there?"
[01:04:11.420 --> 01:04:14.420]   It's like, "Wait a minute. You have all this stuff.
[01:04:14.420 --> 01:04:17.420]   Why are you asking me for stuff when you have it?"
[01:04:17.420 --> 01:04:21.420]   Now, I am not saying that no matter what the circumstances are,
[01:04:21.420 --> 01:04:25.420]   just give, just give, give, give, give, give, because that is not true.
[01:04:25.420 --> 01:04:29.420]   But clearly, we understand Jesus' command here.
[01:04:29.420 --> 01:04:32.420]   He is telling us that, yes, you may have your right,
[01:04:32.420 --> 01:04:35.420]   but if you are going to say, "I have this right, and therefore,
[01:04:35.420 --> 01:04:40.420]   I'm going to exercise my right, and never, ever will you take advantage of me."
[01:04:40.420 --> 01:04:42.420]   He's asking you.
[01:04:42.420 --> 01:04:46.420]   It sounds to me like then all you have is your life in this world.
[01:04:46.420 --> 01:04:49.420]   Don't you have more to give as a Christian?
[01:04:49.420 --> 01:04:52.420]   As a kingdom citizen, don't you have more to give?
[01:04:52.420 --> 01:04:55.420]   Take a look at Apostle Paul's attitude and mentality here.
[01:04:55.420 --> 01:04:58.420]   1 Corinthians 9. Please turn in your Bibles there.
[01:04:58.420 --> 01:05:01.420]   1 Corinthians 9.
[01:05:01.420 --> 01:05:04.420]   And he asked these questions.
[01:05:04.420 --> 01:05:07.420]   He says, "Am I not free?
[01:05:07.420 --> 01:05:09.420]   Am I not an apostle?
[01:05:09.420 --> 01:05:11.420]   Have I not seen Jesus our Lord?
[01:05:11.420 --> 01:05:13.420]   Are you not my work in the Lord?
[01:05:13.420 --> 01:05:18.420]   If to others I am not an apostle, at least I am to you,
[01:05:18.420 --> 01:05:21.420]   for you are the seal of my apostleship in the Lord.
[01:05:21.420 --> 01:05:24.420]   My defense to those who examine me is this.
[01:05:24.420 --> 01:05:27.420]   Do we not have a right to eat and drink?
[01:05:27.420 --> 01:05:30.420]   Do we not have a right to take along a believing wife,
[01:05:30.420 --> 01:05:34.420]   even as the rest of the apostles and the brothers of the Lord and Cephas?
[01:05:34.420 --> 01:05:38.420]   Or do only Barnabas and I not have the right to refrain from working?
[01:05:38.420 --> 01:05:43.420]   Who at any time serves as a soldier at his own expense?"
[01:05:43.420 --> 01:05:45.420]   See what he's talking about there?
[01:05:45.420 --> 01:05:47.420]   Turn in your eyes to verse 12, and he says,
[01:05:47.420 --> 01:05:50.420]   "If others share the right over you, do we not more?
[01:05:50.420 --> 01:05:54.420]   Nevertheless, we did not use this right,
[01:05:54.420 --> 01:06:01.420]   but we endure all things so that we will cause no hindrance to the gospel of Christ."
[01:06:01.420 --> 01:06:03.420]   Yeah.
[01:06:03.420 --> 01:06:04.420]   You know what's normal?
[01:06:04.420 --> 01:06:06.420]   I got a right to be here.
[01:06:06.420 --> 01:06:08.420]   I got a right for you to respect me.
[01:06:08.420 --> 01:06:11.420]   I've got a right for protections.
[01:06:11.420 --> 01:06:13.420]   Eye for an eye.
[01:06:13.420 --> 01:06:15.420]   And Jesus is going to say,
[01:06:15.420 --> 01:06:17.420]   "As a kingdom citizen,
[01:06:17.420 --> 01:06:20.420]   we regularly lay down our rights.
[01:06:20.420 --> 01:06:22.420]   We regularly hold our tongue,
[01:06:22.420 --> 01:06:24.420]   even in the midst of persecution.
[01:06:24.420 --> 01:06:29.420]   And we know Jesus Christ set this model for us to follow."
[01:06:29.420 --> 01:06:34.420]   Turn in your Bible to 1 Peter 2, verse 21 through 24.
[01:06:34.420 --> 01:06:37.420]   Such an important passage for this topic.
[01:06:37.420 --> 01:06:39.420]   He says this,
[01:06:39.420 --> 01:06:42.420]   "For you have been called for this purpose,
[01:06:42.420 --> 01:06:45.420]   since Christ also suffered for you,
[01:06:45.420 --> 01:06:48.420]   and He gave you an example for you to follow in His steps,
[01:06:48.420 --> 01:06:51.420]   who committed no sin, nor was any deceit found in His mouth.
[01:06:51.420 --> 01:06:54.420]   And while being reviled, He did not revile in return.
[01:06:54.420 --> 01:06:56.420]   While suffering, He uttered no threats,
[01:06:56.420 --> 01:07:00.420]   but kept entrusting Himself to Him who judges righteously.
[01:07:00.420 --> 01:07:04.420]   And He Himself bore our sins in His body on the cross,
[01:07:04.420 --> 01:07:07.420]   so that we might die to sin and live to righteousness.
[01:07:07.420 --> 01:07:11.420]   For by His wounds you have been healed."
[01:07:11.420 --> 01:07:15.420]   The rationale and logic of the world, it makes sense to retell it.
[01:07:15.420 --> 01:07:18.420]   The rationale and logic of the gospel says,
[01:07:18.420 --> 01:07:21.420]   "You must have already died to this world, died to yourself,
[01:07:21.420 --> 01:07:26.420]   and you must be rich in the spiritual blessings of Christ
[01:07:26.420 --> 01:07:30.420]   to be able to be reviled,
[01:07:30.420 --> 01:07:34.420]   to be stretched and whipped,
[01:07:34.420 --> 01:07:37.420]   and yet not revile in return."
[01:07:37.420 --> 01:07:40.420]   Now, I would like to say this, moving to point number four.
[01:07:40.420 --> 01:07:44.420]   We recognize that Jesus is commanding us to give, give, and give,
[01:07:44.420 --> 01:07:47.420]   just like He has modeled, just as He has shown us.
[01:07:47.420 --> 01:07:50.420]   But I want to make sure that we understand that we have to,
[01:07:50.420 --> 01:07:55.420]   in this way, uphold the righteousness of God.
[01:07:55.420 --> 01:07:58.420]   Because some people misinterpreted this passage.
[01:07:58.420 --> 01:08:02.420]   Some people have this misunderstanding to be eye for an eye,
[01:08:02.420 --> 01:08:06.420]   to be tooth for tooth, is all Old Testament,
[01:08:06.420 --> 01:08:09.420]   like, exacting punishment stuff.
[01:08:09.420 --> 01:08:14.420]   But to be a New Testament believer, gracious, you don't do this.
[01:08:14.420 --> 01:08:18.420]   And some people actually use this ideology to say we should be pacifists.
[01:08:18.420 --> 01:08:21.420]   Some people use this ideology and they get kind of scared.
[01:08:21.420 --> 01:08:25.420]   Somebody commits a sin and you're like, "Well, what do we do? We just got to forgive."
[01:08:25.420 --> 01:08:30.420]   No, no, no. We uphold the righteousness of God.
[01:08:30.420 --> 01:08:38.420]   You see, what we understood was that God gave the Old Testament to purge sin.
[01:08:38.420 --> 01:08:42.420]   But what's happening is in our sinfulness, we just stack sin for sin.
[01:08:42.420 --> 01:08:43.420]   So what does Scripture say?
[01:08:43.420 --> 01:08:48.420]   Regularly, you commit evil in the face of evil.
[01:08:48.420 --> 01:08:50.420]   Sin breeds more sin.
[01:08:50.420 --> 01:08:55.420]   Their evil now inspires your evil, and all you're doing is saying, "My turn for evil."
[01:08:55.420 --> 01:09:01.420]   And what God is saying to us is, "Do not repay evil for evil."
[01:09:01.420 --> 01:09:06.420]   But rather, accomplish the righteousness of God by giving good,
[01:09:06.420 --> 01:09:09.420]   by giving grace, by giving love.
[01:09:09.420 --> 01:09:12.420]   You see, we're not trying to mimic this passage.
[01:09:12.420 --> 01:09:15.420]   Some people are like, "Oh yeah, maybe this is kind of in line with the stuff of Gandhi.
[01:09:15.420 --> 01:09:19.420]   This is in line with the stuff of the passive resistance stuff."
[01:09:19.420 --> 01:09:22.420]   No, it is not. This is very, very different.
[01:09:22.420 --> 01:09:26.420]   We absolutely uphold the justice and standard of God
[01:09:26.420 --> 01:09:29.420]   because every institution has been given by God to do so.
[01:09:29.420 --> 01:09:35.420]   Governments, churches, families, parents, all of these institutions
[01:09:35.420 --> 01:09:40.420]   have been given a stewardship of authority, and they must enact justice.
[01:09:40.420 --> 01:09:45.420]   And consequences must be given for breaking of the law.
[01:09:45.420 --> 01:09:50.420]   However, for us on a personal level, what we are doing
[01:09:50.420 --> 01:09:55.420]   is accomplishing the righteousness of God by our character in this.
[01:09:55.420 --> 01:10:00.420]   So turn your Bibles over to Romans chapter 12, verse 16 through 21,
[01:10:00.420 --> 01:10:03.420]   and look at what he says.
[01:10:03.420 --> 01:10:06.420]   He says, "Be of the same mind toward one another.
[01:10:06.420 --> 01:10:09.420]   Do not be haughty in mind, but associate with the lowly.
[01:10:09.420 --> 01:10:12.420]   Do not be wise in your own estimation.
[01:10:12.420 --> 01:10:15.420]   Never pay back evil for evil to anyone."
[01:10:15.420 --> 01:10:19.420]   And then he says this, "Respect what is right in the sight of all men."
[01:10:19.420 --> 01:10:23.420]   See? But what's more, it says, "If possible, so far it depends on you.
[01:10:23.420 --> 01:10:26.420]   Be at peace with all men. Never take your own revenge, beloved,
[01:10:26.420 --> 01:10:29.420]   but leave room for the wrath of God, for it is written,
[01:10:29.420 --> 01:10:33.420]   'Vengeance is mine; I will repay,' says the Lord.
[01:10:33.420 --> 01:10:36.420]   But if your enemy is hungry, feed him.
[01:10:36.420 --> 01:10:39.420]   If he is thirsty, give him a drink, for in so doing,
[01:10:39.420 --> 01:10:42.420]   you will keep burning coals on his head.
[01:10:42.420 --> 01:10:48.420]   Do not be overcome by evil, but overcome evil with good."
[01:10:48.420 --> 01:10:53.420]   The challenge for us is to actually garner greater righteousness.
[01:10:53.420 --> 01:10:58.420]   Do not be so weak as to have your senses elicited
[01:10:58.420 --> 01:11:02.420]   that when evil is done for you, it becomes a temptation.
[01:11:02.420 --> 01:11:05.420]   "Me too." No, no, no, no, no.
[01:11:05.420 --> 01:11:08.420]   For us, God is calling us to recognize in wisdom
[01:11:08.420 --> 01:11:13.420]   every sin and transgression is going to be judged.
[01:11:13.420 --> 01:11:17.420]   Either already on the cross through the sacrifice of Christ,
[01:11:17.420 --> 01:11:20.420]   it will be judged thoroughly, or in hell,
[01:11:20.420 --> 01:11:24.420]   where God's wrath will be enacted, it will be judged thoroughly.
[01:11:24.420 --> 01:11:26.420]   You understand that.
[01:11:26.420 --> 01:11:31.420]   And so knowing that, you can have this kind of paradoxical understanding.
[01:11:31.420 --> 01:11:38.420]   I uphold the righteousness of God, but I need not retaliate to vindicate myself.
[01:11:38.420 --> 01:11:41.420]   But rather, I have this opportunity to give grace.
[01:11:41.420 --> 01:11:44.420]   Rather, I have this opportunity to show love.
[01:11:44.420 --> 01:11:48.420]   Rather, I have this opportunity to be like God.
[01:11:48.420 --> 01:11:50.420]   And so this is my next point.
[01:11:50.420 --> 01:11:53.420]   What the Lord is doing in this passage,
[01:11:53.420 --> 01:11:58.420]   yes, He is giving you parameters, and He is doing this surgical number.
[01:11:58.420 --> 01:12:01.420]   "Oh, you think you have the right to protection?
[01:12:01.420 --> 01:12:03.420]   You think you have the right to respect?
[01:12:03.420 --> 01:12:05.420]   You! You think this is your norm?"
[01:12:05.420 --> 01:12:07.420]   And then He corrects all that stuff, right?
[01:12:07.420 --> 01:12:11.420]   But what He's also doing is He's giving these commands so that we would be.
[01:12:11.420 --> 01:12:13.420]   And so this is what He says.
[01:12:13.420 --> 01:12:17.420]   Take a look at Matthew 5 now, verse 43,
[01:12:17.420 --> 01:12:20.420]   and until the rest of that paragraph, verse 48.
[01:12:20.420 --> 01:12:23.420]   And He says, "You have heard that it was said,
[01:12:23.420 --> 01:12:26.420]   'You shall love your neighbor and hate your enemy.'
[01:12:26.420 --> 01:12:30.420]   But I say to you, love your enemies and pray for those who persecute you,
[01:12:30.420 --> 01:12:33.420]   so that you may be sons of your Father who is in heaven.
[01:12:33.420 --> 01:12:36.420]   For He causes His Son to rise on the evil and the good,
[01:12:36.420 --> 01:12:39.420]   and sends rain on the righteous and the unrighteous.
[01:12:39.420 --> 01:12:43.420]   For if you love those who love you, what reward do you have?
[01:12:43.420 --> 01:12:46.420]   Do not even tax collectors do the same?
[01:12:46.420 --> 01:12:50.420]   If you greet only your brothers, then what more are you doing than others?
[01:12:50.420 --> 01:12:53.420]   Do not even the Gentiles do the same?
[01:12:53.420 --> 01:12:59.420]   Therefore, you are to be perfect, as your Heavenly Father is perfect."
[01:12:59.420 --> 01:13:01.420]   Brothers and sisters, earlier I said,
[01:13:01.420 --> 01:13:04.420]   when I was reading this passage and kind of meditating,
[01:13:04.420 --> 01:13:06.420]   my reactions were varied.
[01:13:06.420 --> 01:13:09.420]   Initially it was like, "Whoa, these are extreme statements."
[01:13:09.420 --> 01:13:12.420]   And then there was this, "Well, there's got to be exceptions, you know?
[01:13:12.420 --> 01:13:15.420]   These aren't absolute statements." And that's true.
[01:13:15.420 --> 01:13:19.420]   Because this doesn't mean that everything wrong, just be like,
[01:13:19.420 --> 01:13:21.420]   "Oh well, what can you do?"
[01:13:21.420 --> 01:13:24.420]   That is not what God is saying, at all, right?
[01:13:24.420 --> 01:13:28.420]   People should obey laws. There should be justice, okay?
[01:13:28.420 --> 01:13:34.420]   But my other reaction was, "I don't know how to apply this."
[01:13:34.420 --> 01:13:38.420]   Have you guys ever read the Scriptures and just felt like that?
[01:13:38.420 --> 01:13:43.420]   You almost have this malfunction in my brain.
[01:13:43.420 --> 01:13:45.420]   And you want to ask God, like,
[01:13:45.420 --> 01:13:49.420]   "Lord, I think you're going to need to give greater parameters, more instructions."
[01:13:49.420 --> 01:13:51.420]   And some of you guys, your mind is geared like that.
