
[00:00:00.000 --> 00:00:06.840]   We're on lesson six.
[00:46:05.160 --> 00:46:06.160]   keep it."
[00:46:06.160 --> 00:46:12.880]   And I said, "Hey, hey, like you can't use Old Testament stories as moralistic, 'This
[00:46:12.880 --> 00:46:15.800]   is what I ought to do.'"
[00:46:15.800 --> 00:46:19.080]   Actually I said, "The New Testament teaches you to be reasonable."
[00:46:19.080 --> 00:46:20.920]   Right?
[00:46:20.920 --> 00:46:24.760]   The New Testament teaches you to be wise and discerning.
[00:46:24.760 --> 00:46:29.400]   As a matter of fact, the Old Testament doesn't really, that passage, I think it's chapter
[00:46:29.400 --> 00:46:34.880]   20, now it's bothering me, but that passage never concludes with like, "And thus God
[00:46:34.880 --> 00:46:35.880]   was pleased."
[00:46:35.880 --> 00:46:39.720]   Or like, "And thus," you know, it doesn't give you a moral discernment, but rather the
[00:46:39.720 --> 00:46:43.600]   whole book says, "And see, everybody was wicked.
[00:46:43.600 --> 00:46:46.320]   Everybody was just doing whatever they wanted and there was no king and everybody was just
[00:46:46.320 --> 00:46:49.040]   lost and blind."
[00:46:49.040 --> 00:46:53.200]   It doesn't give you a moral summary of whether that was good or bad.
[00:46:53.200 --> 00:46:57.080]   So stop using Old Testament as, "This is what I should do."
[00:46:57.080 --> 00:46:58.840]   And those are some examples of it.
[00:46:58.840 --> 00:47:06.880]   I want to say that, again, the Old Testament narrative, first and foremost, is history
[00:47:06.880 --> 00:47:09.280]   of, "This is what happened."
[00:47:09.280 --> 00:47:11.800]   Not necessarily, "This is what should have happened."
[00:47:11.800 --> 00:47:13.800]   Does that make sense?
[00:47:13.800 --> 00:47:17.680]   Old Testament narrative, "This is what happened," and not necessarily, "This is what should
[00:47:17.680 --> 00:47:18.680]   have happened."
[00:47:18.680 --> 00:47:19.680]   Okay?
[00:47:19.680 --> 00:47:24.960]   Secondly, I said that the Old Testament narrative is redemptive.
[00:47:24.960 --> 00:47:26.960]   Okay?
[00:47:26.960 --> 00:47:29.120]   Redemptive.
[00:47:29.120 --> 00:47:35.040]   And all we're saying is, there is a theme and purpose to the story, just like we read
[00:47:35.040 --> 00:47:37.240]   in the Gospel of John.
[00:47:37.240 --> 00:47:42.200]   So the books are not dictionaries or glossaries of all the doctrines.
[00:47:42.200 --> 00:47:46.860]   As a matter of fact, it's not even a doctrine teaching book.
[00:47:46.860 --> 00:47:48.780]   It is not a catechism.
[00:47:48.780 --> 00:47:50.480]   It is first redemptive.
[00:47:50.480 --> 00:47:57.320]   So I'm going to say this, that all narratives are by nature selective for redemptive history.
[00:47:57.320 --> 00:47:58.600]   Okay?
[00:47:58.600 --> 00:48:02.560]   All narratives are by nature selective for redemptive history.
[00:48:02.560 --> 00:48:06.240]   Now when I say this, I'm going to say it cautiously.
[00:48:06.240 --> 00:48:14.400]   The Old Testament narrative is not, sorry, is incomplete in a sense.
[00:48:14.400 --> 00:48:15.480]   I said that carefully.
[00:48:15.480 --> 00:48:17.840]   The Old Testament is incomplete in a sense.
[00:48:17.840 --> 00:48:19.220]   What do I mean by that?
[00:48:19.220 --> 00:48:22.060]   That it is not erroneously incomplete.
[00:48:22.060 --> 00:48:24.740]   It is not exhaustive.
[00:48:24.740 --> 00:48:27.420]   It does not write for you, "Oh, but what happened with those people?
[00:48:27.420 --> 00:48:28.820]   Oh, what happened with that guy?
[00:48:28.820 --> 00:48:31.660]   How come it just drops that character at this point?"
[00:48:31.660 --> 00:48:36.660]   Because insofar as it is important for the redemptive history, it is there.
[00:48:36.660 --> 00:48:42.300]   Insofar as it contributes to your faith and understanding of God, your need for redemption,
[00:48:42.300 --> 00:48:43.980]   and et cetera, it is there.
[00:48:43.980 --> 00:48:48.040]   But it is not an exhaustive story of the events of history.
[00:48:48.040 --> 00:48:52.660]   As a matter of fact, if you think about why it's so confusing sometimes to read the Old
[00:48:52.660 --> 00:48:58.180]   Testament, because you read 1 Kings and 2 Kings and 1 Chronicles and 2 Chronicles, honestly,
[00:48:58.180 --> 00:49:01.460]   how many of you guys got really confused?
[00:49:01.460 --> 00:49:02.460]   I did.
[00:49:02.460 --> 00:49:05.220]   The first time I went through that, I was like, "So what?"
[00:49:05.220 --> 00:49:08.500]   And then so you're like, "Okay, I'm going to need to diagram who these kings are."
[00:49:08.500 --> 00:49:11.500]   And then you're halfway through, you're like, "No, that's not okay."
[00:49:11.500 --> 00:49:15.700]   And you start diagramming and you realize, "Hey, this story repeats itself through the
[00:49:15.700 --> 00:49:16.700]   Chronicles."
[00:49:16.700 --> 00:49:22.580]   But it's emphasizing two very different aspects of redemptive history.
[00:49:22.580 --> 00:49:30.460]   So what I'm going to say is a lot of the historical narrative has this purpose for your faith,
[00:49:30.460 --> 00:49:32.060]   for your faith.
[00:49:32.060 --> 00:49:34.100]   And what I'm going to say as an example is this.
[00:49:34.100 --> 00:49:40.940]   Take for example the stories in the Gospels of all the miracles that are written there.
[00:49:40.940 --> 00:49:41.940]   Okay?
[00:49:41.940 --> 00:49:44.140]   All the miracles that are written there.
[00:49:44.140 --> 00:49:50.660]   The purpose for you, I hope, is not like, "So are we supposed to be charismatic or are
[00:49:50.660 --> 00:49:53.020]   we not supposed to be charismatic?"
[00:49:53.020 --> 00:49:58.020]   Like sure, that's a legitimate question that can be answered, but the purpose for you reading
[00:49:58.020 --> 00:50:03.260]   that Jesus Christ miraculously fed the 5,000 people, that Jesus Christ spoke a word and
[00:50:03.260 --> 00:50:08.940]   the man came out from the tomb, that's supposed to be awe-inspiring for you so that you'd
[00:50:08.940 --> 00:50:13.620]   be taking a back and say, "Who is this man?"
[00:50:13.620 --> 00:50:19.580]   And then you realize this is the Son of God that has authority over substance and material.
[00:50:19.580 --> 00:50:23.500]   This is the Son of God that has authority over death.
[00:50:23.500 --> 00:50:28.660]   That's the effect of a story that it should have on you.
[00:50:28.660 --> 00:50:34.380]   And Scripture says it, that when you put it into context that even in the stories, let's
[00:50:34.380 --> 00:50:40.300]   say John chapter 6 verse 1 through 15, if you read it, if you read it, it gives you
[00:50:40.300 --> 00:50:45.380]   the hint of meaning that after all these people experienced a great many of miracles, if you
[00:50:45.380 --> 00:50:49.740]   read in verse 30 through 31, it talks about how these great miracles contributed to the
[00:50:49.740 --> 00:50:57.900]   idea that Jesus was the promised Messiah and that people were filled, the people were filled
[00:50:57.900 --> 00:50:59.580]   with wonder.
[00:50:59.580 --> 00:51:01.940]   Right?
[00:51:01.940 --> 00:51:08.500]   And so the idea here is that the redemptive nature of the narrative is more important
[00:51:08.500 --> 00:51:13.180]   for you to think about than just simply answering your doctrinal questions.
[00:51:13.180 --> 00:51:14.460]   Okay?
[00:51:14.460 --> 00:51:19.740]   So next, the idea is it is still a story.
[00:51:19.740 --> 00:51:20.740]   Okay?
[00:51:20.740 --> 00:51:21.740]   It is still a story.
[00:51:21.740 --> 00:51:25.140]   And I want to encourage you.
[00:51:25.140 --> 00:51:31.020]   You should appreciate the biblical narratives as literary masterpieces.
[00:51:31.020 --> 00:51:32.660]   Okay?
[00:51:32.660 --> 00:51:39.260]   If you, if any of you are like literature and like English majors or whatnot, and you
[00:51:39.260 --> 00:51:46.100]   take certain works of, you know, works of literature and you appreciate them for how
[00:51:46.100 --> 00:51:52.540]   they moved you through the journey, I bet you you would be all the more just engrossed
[00:51:52.540 --> 00:51:55.340]   in the scriptures if you read it the same way.
[00:51:55.340 --> 00:51:56.940]   What do I mean by that?
[00:51:56.940 --> 00:52:01.220]   A lot of people that I know read the Old Testament in chunks.
[00:52:01.220 --> 00:52:05.580]   I read three chapters a day because I'm on the year of the Bible reading plan.
[00:52:05.580 --> 00:52:06.660]   Right?
[00:52:06.660 --> 00:52:11.780]   But whoever reads their literature books like that, you know what I'm saying?
[00:52:11.780 --> 00:52:13.540]   Like again, we have different genres.
[00:52:13.540 --> 00:52:16.940]   We have works of fictional novels.
[00:52:16.940 --> 00:52:19.860]   We have works of documentary for history.
[00:52:19.860 --> 00:52:23.140]   We've got IKEA instructional manual.
[00:52:23.140 --> 00:52:25.380]   You don't read all those things the same way.
[00:52:25.380 --> 00:52:27.860]   The manual you read a couple of verses and you do it.
[00:52:27.860 --> 00:52:30.220]   You read a couple of verses and you do it.
[00:52:30.220 --> 00:52:31.220]   Right?
[00:52:31.220 --> 00:52:34.780]   The works of art and literature, you don't sit there and chop up into three chapters
[00:52:34.780 --> 00:52:36.500]   every day.
[00:52:36.500 --> 00:52:42.580]   So I'm encouraging all of you, read the narratives and movements so that you would appreciate
[00:52:42.580 --> 00:52:45.580]   plot, movement, character development.
[00:52:45.580 --> 00:52:50.860]   You know, there's always in literature crisis and conflict.
[00:52:50.860 --> 00:52:53.940]   Then there's desperation and drama, the pinnacle of it.
[00:52:53.940 --> 00:52:57.860]   And there's also resolution and hope for the future and all that kind of stuff.
[00:52:57.860 --> 00:53:00.220]   And the Bible is chock full of it.
[00:53:00.220 --> 00:53:02.580]   Chock full of it.
[00:53:02.580 --> 00:53:07.020]   And sometimes you won't appreciate that if again, if you're reading the Bible in chunks
[00:53:07.020 --> 00:53:08.020]   a lot.
[00:53:08.020 --> 00:53:09.020]   Okay?
[00:53:09.020 --> 00:53:12.860]   I want to encourage you guys again, look at it that way.
[00:53:12.860 --> 00:53:16.260]   Even the Old Testament narratives, even the New Testament narratives, there should be
[00:53:16.260 --> 00:53:19.540]   a buildup in that way.
[00:53:19.540 --> 00:53:20.940]   Okay?
[00:53:20.940 --> 00:53:24.740]   So, first is appreciate it as a literary masterpiece.
[00:53:24.740 --> 00:53:25.740]   Okay.
[00:53:25.740 --> 00:53:28.740]   First, appreciate it as a literary masterpiece.
[00:53:28.740 --> 00:53:39.740]   And secondly, when you should not do this, you should not look to it as direct documentation.
[00:53:39.740 --> 00:53:46.740]   The scriptures teaches us doctrines in the Old Testament, but a lot of times it is indirect.
[00:53:46.740 --> 00:53:47.740]   It's indirect.
[00:53:47.740 --> 00:53:53.740]   It rather illustrates the doctrines that are important to us.
[00:53:53.740 --> 00:53:58.740]   And then those doctrines are directly taught us in other parts of the world.
[00:53:58.740 --> 00:53:59.740]   Okay?
[00:53:59.740 --> 00:54:05.740]   So, even when we think about the holiness of God, you notice that when we started talking
[00:54:05.740 --> 00:54:12.740]   about the holiness of God, we talked about events in history where a man dared to audaciously
[00:54:12.740 --> 00:54:14.740]   just go and touch stuff.
[00:54:14.740 --> 00:54:18.740]   To audaciously just go and talk to God and enter into his presence.
[00:54:18.740 --> 00:54:21.740]   And then we said, "Look what happened."
[00:54:21.740 --> 00:54:23.740]   And it's illustrated in the holiness.
[00:54:23.740 --> 00:54:29.740]   We talked about the book of Leviticus and all along, it illustrated how we needed its holiness.
[00:54:29.740 --> 00:54:35.740]   So, ask those questions of what is the narrative that emphasizes whether by direct quotation,
[00:54:35.740 --> 00:54:40.740]   right, whether by direct speaking from God, or by the illustration that the prophet is
[00:54:40.740 --> 00:54:42.740]   giving, or whatever it may be.
[00:54:42.740 --> 00:54:47.740]   But the thing about it is the danger for us when we look to the Old Testament for just
[00:54:47.740 --> 00:54:52.740]   straight doctrines is that again, we're going to take something as a piece from history,
[00:54:52.740 --> 00:54:57.740]   and then we're going to extrapolate it from the prophets and say, "I don't know.
[00:54:57.740 --> 00:55:00.740]   This applies to our circumstance now."
[00:55:00.740 --> 00:55:03.740]   That is incredibly dangerous for us.
[00:55:03.740 --> 00:55:09.740]   Now, a way of kind of wrapping things up, a way of kind of giving a last exhortation.
[00:55:09.740 --> 00:55:14.740]   Truthfully speaking, again, this is a lot of review for you guys.
[00:55:14.740 --> 00:55:20.740]   Some of you intuitively know, trying to teach biblical hermeneutics is kind of tough.
[00:55:20.740 --> 00:55:27.740]   My exhortation to you as we've been exhorting you all throughout this series is practice
[00:55:27.740 --> 00:55:31.740]   the hermeneutics as you continue to study the Bible.
[00:55:31.740 --> 00:55:38.740]   You will realize if the passage dictates that you be allegorical, then you shouldn't.
[00:55:38.740 --> 00:55:43.740]   You shouldn't just take a preconceived notion like the Bible and narrative is allegorical,
[00:55:43.740 --> 00:55:44.740]   so let's do it.
[00:55:44.740 --> 00:55:47.740]   If the passage has allegory in it, then do it.
[00:55:47.740 --> 00:55:52.740]   If the passage is didactic, teaching you doctrine, then do it.
[00:55:52.740 --> 00:55:58.740]   If the passage is meant to give you beauty and it's more romantic, then do it.
[00:55:58.740 --> 00:56:00.740]   You know what I mean?
[00:56:00.740 --> 00:56:06.740]   Then the practice of you observing and recognizing the genre and applying the principles of hermeneutics
[00:56:06.740 --> 00:56:09.740]   continue to develop and so will you.
[00:56:09.740 --> 00:56:10.740]   Okay?
[00:56:10.740 --> 00:56:13.740]   Let's take a moment to pray, and then I'll wrap up.
[00:56:13.740 --> 00:56:17.320]   >> [INAUDIBLE]

