
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:27:23.280 --> 00:27:26.000]   Yeah, so we see a lot of people using it in the UI.
[00:27:26.000 --> 00:27:27.600]   And part of the reason for that is
[00:27:27.600 --> 00:27:29.240]   we have this bidirectional experience
[00:27:29.240 --> 00:27:30.520]   with an interactive playground.
[00:27:30.520 --> 00:27:32.360]   So we have the ability to take the data that
[00:27:32.360 --> 00:27:35.360]   was logged in production and open it back up
[00:27:35.360 --> 00:27:37.480]   in an environment where you can rerun the models when
[00:27:37.480 --> 00:27:38.600]   you make changes.
[00:27:38.600 --> 00:27:41.280]   And that ability has been really important for people
[00:27:41.280 --> 00:27:43.240]   to reason about counterfactuals.
[00:27:43.240 --> 00:27:45.040]   Oh, the model failed here.
[00:27:45.040 --> 00:27:47.280]   If the context retrieval had worked correctly,
[00:27:47.280 --> 00:27:48.520]   would the model have succeeded?
[00:27:48.520 --> 00:27:51.160]   And they can really immediately run that counterfactual.
[00:27:51.160 --> 00:27:54.000]   Or is it a problem with GPT 3.5 versus 4?
[00:27:54.000 --> 00:27:56.680]   So they'll run it with 4 and see, does that fix it?
[00:27:56.680 --> 00:27:58.360]   And that lets them build up an intuition
[00:27:58.360 --> 00:28:00.320]   about why things have worked or haven't worked.
[00:28:00.320 --> 00:28:02.920]   People do export data sometimes.
[00:28:02.920 --> 00:28:05.200]   So we allow people to format the data in the right way
[00:28:05.200 --> 00:28:06.720]   for fine tuning and then export it.
[00:28:06.720 --> 00:28:09.080]   And that's something we see people do quite a lot if they
[00:28:09.080 --> 00:28:10.520]   want to fine tune their own models.
[00:28:10.520 --> 00:28:12.560]   But we try to give fairly powerful data exploration
[00:28:12.560 --> 00:28:13.920]   tools within HumanLoop.
[00:28:13.920 --> 00:28:14.760]   Yeah.
[00:28:14.760 --> 00:28:17.260]   What about your integrations with the rest of the ecosystem?
[00:28:17.260 --> 00:28:19.360]   On your landing page, you have LangChain,
[00:28:19.360 --> 00:28:22.760]   all the GPTs mentioned, Chroma, Pinecone, Snowflake.
[00:28:22.760 --> 00:28:24.680]   And obviously, the LLM providers.
[00:28:24.680 --> 00:28:25.160]   Yeah.
[00:28:25.160 --> 00:28:27.280]   So the way we see HumanLoop is sitting
[00:28:27.280 --> 00:28:31.640]   between the base LLM providers and an orchestration framework
[00:28:31.640 --> 00:28:34.440]   like code, LangChain or Lama Index
[00:28:34.440 --> 00:28:36.960]   might sit separately to that.
[00:28:36.960 --> 00:28:39.560]   You have this analogy, I think, of LLM first or code
[00:28:39.560 --> 00:28:41.520]   first AI applications.
[00:28:41.520 --> 00:28:43.200]   And we're very strongly of the opinion
[00:28:43.200 --> 00:28:45.560]   that most things should be happening in code, right?
[00:28:45.560 --> 00:28:47.000]   That developers want to write code.
[00:28:47.000 --> 00:28:48.520]   They want to be able to orchestrate these things in
[00:28:48.520 --> 00:28:49.280]   code.
[00:28:49.280 --> 00:28:51.960]   But for the pieces that require LLMs,
[00:28:51.960 --> 00:28:53.080]   you do need separate tooling.
[00:28:53.080 --> 00:28:54.800]   You need the right tools for prompt engineering.
[00:28:54.800 --> 00:28:56.520]   You need some way to evaluate that.
[00:28:56.520 --> 00:28:58.680]   And so we want HumanLoop to plug in very nicely
[00:28:58.680 --> 00:29:00.960]   into all of these orchestration frameworks
[00:29:00.960 --> 00:29:02.800]   that you might be using or your own code
[00:29:02.800 --> 00:29:05.680]   and let you collect the prompts, the evaluation data
[00:29:05.680 --> 00:29:09.320]   that you need to iterate quickly in a nice UI.
[00:29:09.320 --> 00:29:12.040]   So here is where LangChain collides with you.
[00:29:12.040 --> 00:29:13.040]   Has started to now.
[00:29:13.040 --> 00:29:15.520]   Yes, because they just released the Prompt Manager.
[00:29:15.520 --> 00:29:16.380]   Yeah.
[00:29:16.380 --> 00:29:20.960]   And they also have a dashboard to observe and track and store
[00:29:20.960 --> 00:29:24.360]   their prompts and data and the results.
[00:29:24.360 --> 00:29:26.160]   They don't have feedback collection yet,
[00:29:26.160 --> 00:29:27.440]   but they're going to build it.
[00:29:27.440 --> 00:29:28.760]   I'm sure they will.
[00:29:28.760 --> 00:29:31.080]   You know, it's a very vibrant ecosystem.
[00:29:31.080 --> 00:29:33.560]   There's lots of people running after similar problems
[00:29:33.560 --> 00:29:36.000]   and listening to developers and building what they need.
[00:29:36.000 --> 00:29:39.440]   So I'm not completely surprised that they've
[00:29:39.440 --> 00:29:41.520]   ended up building some of the features
[00:29:41.520 --> 00:29:43.640]   that we have because I think so much of what we need
[00:29:43.640 --> 00:29:46.520]   is really important for developers to achieve stuff.
[00:29:46.520 --> 00:29:48.400]   I think one of the strongest parts of it
[00:29:48.400 --> 00:29:50.880]   is it's going to be very tightly integrated with LangChain.
[00:29:50.880 --> 00:29:52.960]   But a lot of people are not building on LangChain.
[00:29:52.960 --> 00:29:55.560]   And so for anyone for whom LangChain is not their production
[00:29:55.560 --> 00:29:58.880]   choice system, then I think actually it's
[00:29:58.880 --> 00:30:01.200]   going to be friction to work in that way.
[00:30:01.200 --> 00:30:04.600]   I think that there's going to be a plethora of different options
[00:30:04.600 --> 00:30:05.760]   for developers out there.
[00:30:05.760 --> 00:30:07.880]   And they'll find their own niches slightly.
[00:30:07.880 --> 00:30:10.360]   I think we're focused a little bit more, as I said,
[00:30:10.360 --> 00:30:12.680]   on companies where collaboration is very important,
[00:30:12.680 --> 00:30:16.280]   little bit larger scale, and slightly less so far
[00:30:16.280 --> 00:30:18.360]   as an individual developer than quite the same way
[00:30:18.360 --> 00:30:20.120]   that LangChain has been to date.
[00:30:20.120 --> 00:30:21.880]   That's a fair characterization, I think.
[00:30:21.880 --> 00:30:24.880]   It's funny because, yeah, you are more agnostic
[00:30:24.880 --> 00:30:25.960]   than LangChain is.
[00:30:25.960 --> 00:30:28.320]   And that is a strength of yours.
[00:30:28.320 --> 00:30:31.280]   But I've also worked for companies
[00:30:31.280 --> 00:30:35.080]   which have tried too hard to be Switzerland
[00:30:35.080 --> 00:30:37.080]   and to not be opinionated about anything.
[00:30:37.080 --> 00:30:39.120]   And it's bitten them in--
[00:30:39.120 --> 00:30:40.720]   You have to have opinions, right?
[00:30:40.720 --> 00:30:44.280]   You've got to bake into the-- we learn a lot from our customers.
[00:30:44.280 --> 00:30:46.160]   And then we try to productize those learnings.
[00:30:46.160 --> 00:30:48.200]   So I gave you a concrete example earlier
[00:30:48.200 --> 00:30:50.640]   on having good defaults for what types of feedback
[00:30:50.640 --> 00:30:51.640]   you can collect.
[00:30:51.640 --> 00:30:52.720]   And that's not an accident.
[00:30:52.720 --> 00:30:53.920]   We're very opinionated about that
[00:30:53.920 --> 00:30:56.160]   because we've seen what's worked for the people who
[00:30:56.160 --> 00:30:57.360]   are getting to good results.
[00:30:57.360 --> 00:30:59.440]   And now if you sort of set up human loop with that,
[00:30:59.440 --> 00:31:01.480]   you naturally end up with the correct defaults.
[00:31:01.480 --> 00:31:03.480]   And there's loads of examples of that throughout the product
[00:31:03.480 --> 00:31:05.280]   where we're feeding back learnings
[00:31:05.280 --> 00:31:08.200]   from having a very large range of customers in production
[00:31:08.200 --> 00:31:10.840]   to try and set up sensible defaults that you don't realize
[00:31:10.840 --> 00:31:13.200]   it, but we're nudging you towards doing the right thing.
[00:31:13.200 --> 00:31:13.840]   Yeah.
[00:31:13.840 --> 00:31:14.600]   Yeah.
[00:31:14.600 --> 00:31:15.240]   Excellent.
[00:31:15.240 --> 00:31:16.800]   So that's a really great overview
[00:31:16.800 --> 00:31:18.600]   of the product's surface area.
[00:31:18.600 --> 00:31:20.640]   I mean, I don't know if we left out anything
[00:31:20.640 --> 00:31:21.760]   that you want to highlight.
[00:31:21.760 --> 00:31:22.840]   No, I think that's great.
[00:31:22.840 --> 00:31:25.560]   And the focus for us, I think, being
[00:31:25.560 --> 00:31:28.280]   like a really excellent tool for prompt management,
[00:31:28.280 --> 00:31:31.040]   engineering, versioning, and also evaluation.
[00:31:31.040 --> 00:31:34.040]   So kind of combining those and making that easy for a team.
[00:31:34.040 --> 00:31:34.800]   Yeah.
[00:31:34.800 --> 00:31:37.320]   What's your estimate of the time now?
[00:31:37.320 --> 00:31:38.480]   Oh, god.
[00:31:38.480 --> 00:31:41.480]   I mean, eventually, at the current rate of growth,
[00:31:41.480 --> 00:31:43.520]   right, I think it's really difficult to--
[00:31:43.520 --> 00:31:44.880]   All known atoms in the universe.
[00:31:44.880 --> 00:31:45.400]   Yeah.
[00:31:45.400 --> 00:31:46.800]   It's difficult to put a size on it
[00:31:46.800 --> 00:31:48.320]   because how big it's going to be.
[00:31:48.320 --> 00:31:51.160]   Like, certainly, like more than large enough
[00:31:51.160 --> 00:31:52.400]   for a venture backable outcome.
[00:31:52.400 --> 00:31:54.100]   Today, I don't know, Datadog is something
[00:31:54.100 --> 00:31:57.000]   like a $35 billion company doing like web monitoring
[00:31:57.000 --> 00:31:57.560]   or whatever.
[00:31:57.560 --> 00:31:59.960]   I think LLMs and AI are going to be bigger than software.
[00:31:59.960 --> 00:32:00.460]   Yeah.
[00:32:00.460 --> 00:32:03.960]   And that market is going to be absolutely enormous.
[00:32:03.960 --> 00:32:06.480]   And so trying to put a size on the time
[00:32:06.480 --> 00:32:08.120]   feels a little silly almost.
[00:32:08.120 --> 00:32:08.640]   Oh, I know.
[00:32:08.640 --> 00:32:10.520]   You had to do it for your exercise.
[00:32:10.520 --> 00:32:12.400]   So I just figured I'd get an update.
[00:32:12.400 --> 00:32:14.160]   It was a different world back then, right?
[00:32:14.160 --> 00:32:15.640]   The way that I was doing it, trying
[00:32:15.640 --> 00:32:17.720]   to get people to take the idea of putting GPT-3
[00:32:17.720 --> 00:32:19.880]   in production seriously was work.
[00:32:19.880 --> 00:32:21.920]   And most people didn't believe it was the future.
[00:32:21.920 --> 00:32:23.800]   It was like, it's difficult to believe this
[00:32:23.800 --> 00:32:25.280]   because it's only been a year.
[00:32:25.280 --> 00:32:28.120]   And I think everyone has kind of rewritten history.
[00:32:28.120 --> 00:32:30.200]   But I can tell you, because I was trying to do it,
[00:32:30.200 --> 00:32:32.320]   that a year ago, it was still contrarian to say
[00:32:32.320 --> 00:32:33.820]   that large language models were going
[00:32:33.820 --> 00:32:36.160]   to be the default way that people were building things.
[00:32:36.160 --> 00:32:36.800]   Yeah.
[00:32:36.800 --> 00:32:40.160]   Well done for being early on it and convicted enough
[00:32:40.160 --> 00:32:42.000]   to build a leading company doing that.
[00:32:42.000 --> 00:32:43.920]   I think that's commendable.
[00:32:43.920 --> 00:32:46.400]   And I wish I was earlier.
[00:32:46.400 --> 00:32:47.680]   You've still been pretty early.
[00:32:47.680 --> 00:32:48.760]   You've done all right.
[00:32:48.760 --> 00:32:50.440]   I do think-- I do have this message
[00:32:50.440 --> 00:32:52.960]   because I talk to a lot of people who
[00:32:52.960 --> 00:32:54.440]   feel like they've missed it.
[00:32:54.440 --> 00:32:55.760]   But it's just beginning.
[00:32:55.760 --> 00:32:56.840]   It's still so early.
[00:32:56.840 --> 00:32:57.340]   Yeah.
[00:32:57.340 --> 00:33:00.000]   What would you point to to encourage people who feel
[00:33:00.000 --> 00:33:02.760]   like they've missed the boom?
[00:33:02.760 --> 00:33:04.920]   I just think that--
[00:33:04.920 --> 00:33:07.080]   I guess a question to ask yourself if you missed
[00:33:07.080 --> 00:33:10.000]   ChatGPT was, why did you miss it?
[00:33:10.000 --> 00:33:11.680]   And the people who didn't miss it--
[00:33:11.680 --> 00:33:13.100]   and I'm not necessarily including us in this.
[00:33:13.100 --> 00:33:14.640]   I think we were relatively late, even
[00:33:14.640 --> 00:33:16.320]   though we were earlier than most.
[00:33:16.320 --> 00:33:19.080]   What did the people who get it right really grok,
[00:33:19.080 --> 00:33:20.200]   or what do they believe?
[00:33:20.200 --> 00:33:22.880]   What did Ilya Saskovor or Shane Legg,
[00:33:22.880 --> 00:33:25.440]   the people who saw this early--
[00:33:25.440 --> 00:33:29.560]   and I think it was a conviction about deep learning and scale
[00:33:29.560 --> 00:33:33.440]   and projecting forwards that, OK, if we just project
[00:33:33.440 --> 00:33:36.120]   forwards the current improvements from deep learning
[00:33:36.120 --> 00:33:39.560]   and assume they continue, what will the world look like?
[00:33:39.560 --> 00:33:41.760]   And if you do that today--
[00:33:41.760 --> 00:33:43.220]   and obviously, it's extrapolating.
[00:33:43.220 --> 00:33:44.840]   That's not a theory-based prediction.
[00:33:44.840 --> 00:33:45.960]   It's just an extrapolation.
[00:33:45.960 --> 00:33:48.420]   But the extrapolation has been right for a really long time,
[00:33:48.420 --> 00:33:49.960]   so we should take it seriously.
[00:33:49.960 --> 00:33:52.720]   If you extrapolate that forwards just a year or two,
[00:33:52.720 --> 00:33:54.920]   then you find that you would expect the models to be
[00:33:54.920 --> 00:33:56.660]   phenomenally better than they are today.
[00:33:56.660 --> 00:33:58.160]   And they're already at a scale where
[00:33:58.160 --> 00:33:59.820]   you expect large economic disruption,
[00:33:59.820 --> 00:34:02.040]   even if GPT-4 doesn't get better.
[00:34:02.040 --> 00:34:05.600]   And if all we get is GPT vision plus the current model,
[00:34:05.600 --> 00:34:07.880]   we know that there's loads of useful applications
[00:34:07.880 --> 00:34:10.200]   to be built. People are doing it right now.
[00:34:10.200 --> 00:34:11.840]   But they're going to get better.
[00:34:11.840 --> 00:34:14.000]   This is the worst they're ever going to be.
[00:34:14.000 --> 00:34:17.360]   So if this is what's possible today,
[00:34:17.360 --> 00:34:19.060]   I think the hardest challenge, actually,
[00:34:19.060 --> 00:34:22.120]   is to take seriously the fact that in the not-too-distant
[00:34:22.120 --> 00:34:24.640]   future, you will have models even more capable than the ones
[00:34:24.640 --> 00:34:25.680]   we have now.
[00:34:25.680 --> 00:34:27.000]   How do you build for that world?
[00:34:27.000 --> 00:34:28.160]   I think it's a difficult thing to do,
[00:34:28.160 --> 00:34:29.880]   but it's certainly extremely early.
[00:34:29.880 --> 00:34:33.360]   Yeah, I think the quote that resonated with me this past week
[00:34:33.360 --> 00:34:36.320]   was Nat Friedman saying, imagine everything
[00:34:36.320 --> 00:34:39.560]   that we have now with six orders of magnitude more compute.
[00:34:39.560 --> 00:34:41.920]   By the end of the decade, and plan for that.
[00:34:41.920 --> 00:34:44.360]   Yeah, and that seems to me like a--
[00:34:44.360 --> 00:34:45.720]   Six orders is a lot.
[00:34:45.720 --> 00:34:47.560]   Six orders seems optimistic.
[00:34:47.560 --> 00:34:49.320]   But I think it's a good mental exercise,
[00:34:49.320 --> 00:34:50.880]   even if it turned out only to be--
[00:34:50.880 --> 00:34:53.920]   if it was only four orders or only three orders,
[00:34:53.920 --> 00:34:55.800]   it would still be transformative.
[00:34:55.800 --> 00:34:58.440]   If GPT-4, instead of costing $40 million,
[00:34:58.440 --> 00:35:01.160]   or whatever it costs, tens of millions of dollars,
[00:35:01.160 --> 00:35:02.840]   became tens of thousands of dollars.
[00:35:02.840 --> 00:35:05.000]   I've heard a total all-in cost $500 million.
[00:35:05.000 --> 00:35:06.300]   So let's say it was $500 million today,
[00:35:06.300 --> 00:35:08.480]   and it became a million or two million.
[00:35:08.480 --> 00:35:11.320]   That becomes accessible to even startups,
[00:35:11.320 --> 00:35:14.000]   let alone medium-sized companies.
[00:35:14.000 --> 00:35:16.600]   And I think we should assume something like that will happen.
[00:35:16.600 --> 00:35:18.880]   I would say even without significant research
[00:35:18.880 --> 00:35:20.040]   breakthroughs on the modeling side,
[00:35:20.040 --> 00:35:23.000]   I would just expect inference costs to become a lot cheaper.
[00:35:23.000 --> 00:35:24.760]   So training is difficult to optimize
[00:35:24.760 --> 00:35:26.680]   from a research perspective, but figuring out
[00:35:26.680 --> 00:35:29.640]   how to quantize models, how to make hardware more efficient,
[00:35:29.640 --> 00:35:31.720]   that to me feels like you chip away at it,
[00:35:31.720 --> 00:35:33.080]   and it'll just happen naturally.
[00:35:33.080 --> 00:35:34.960]   And we're already seeing signs of that.
[00:35:34.960 --> 00:35:36.760]   So I would expect inference to get phenomenally cheaper,
[00:35:36.760 --> 00:35:37.960]   which is most of the cost.
[00:35:37.960 --> 00:35:41.080]   - Yeah, and a previous guest that we had on
[00:35:41.080 --> 00:35:42.560]   by the time this comes out is Chris Lattner,
[00:35:42.560 --> 00:35:46.040]   who is working on a compilation for Python
[00:35:46.040 --> 00:35:47.720]   that's gonna make inference a lot cheaper,
[00:35:47.720 --> 00:35:49.720]   'cause it's gonna fully saturate the actual compute
[00:35:49.720 --> 00:35:50.560]   that we already have.
[00:35:50.560 --> 00:35:51.980]   - Yeah. (laughs)
[00:35:51.980 --> 00:35:55.040]   So I think it's an easy prediction to make,
[00:35:55.040 --> 00:35:57.840]   that inference costs come down phenomenally.
[00:35:57.840 --> 00:35:59.080]   - Fantastic.
[00:35:59.080 --> 00:36:02.960]   In my mind, you went upmarket faster than most startups
[00:36:02.960 --> 00:36:03.800]   that I talked to.
[00:36:03.800 --> 00:36:05.160]   So you started selling to Enterprise,
[00:36:05.160 --> 00:36:07.840]   and I see you have Duolingo Max and Gusto AI,
[00:36:07.840 --> 00:36:10.080]   as case studies, you have Trust Report.
[00:36:10.080 --> 00:36:11.080]   You don't need SOC 2.
[00:36:11.080 --> 00:36:13.720]   - We're in the process of SOC 2.
[00:36:13.720 --> 00:36:15.600]   So we have SOC 2 Part 1,
[00:36:15.600 --> 00:36:17.880]   and we're currently being audited for SOC 2 Part 2.
[00:36:17.880 --> 00:36:19.680]   - Yeah, but you have the Vanta thing up.
[00:36:19.680 --> 00:36:22.160]   - We have the Vanta thing up, and we have the Part 1,
[00:36:22.160 --> 00:36:24.360]   we have the Trust Report, we have regular pen tests.
[00:36:24.360 --> 00:36:25.640]   We have to do a lot of this stuff
[00:36:25.640 --> 00:36:26.480]   in order to get to the procurement.
[00:36:26.480 --> 00:36:28.040]   - To sell to Enterprise. - Yeah.
[00:36:28.040 --> 00:36:29.600]   - So I mean, I love the Vanta story.
[00:36:29.600 --> 00:36:31.720]   It's not AI, but do you think that
[00:36:31.720 --> 00:36:33.960]   the Vanta Trust Report is gonna work?
[00:36:33.960 --> 00:36:34.800]   - In what sense?
[00:36:34.800 --> 00:36:37.440]   - As a SOC 2 replacement, a SOC 2 proxy.
[00:36:38.440 --> 00:36:40.640]   - I don't know, honestly.
[00:36:40.640 --> 00:36:43.520]   All I can say is that customers still care
[00:36:43.520 --> 00:36:47.400]   that we have SOC 2, and we're still having to go through it.
[00:36:47.400 --> 00:36:49.560]   Even with SOC 2, though, Vanta makes the process
[00:36:49.560 --> 00:36:51.480]   of doing it phenomenally easier.
[00:36:51.480 --> 00:36:52.440]   - Okay, that's a big endorsement.
[00:36:52.440 --> 00:36:53.880]   - So I would endorse the product.
[00:36:53.880 --> 00:36:56.680]   I've been less close to it than my co-founder, Peter,
[00:36:56.680 --> 00:36:57.520]   and a couple of others.
[00:36:57.520 --> 00:36:59.200]   - Oh yeah, there's always a Vanta implementation,
[00:36:59.200 --> 00:37:00.800]   a SOC 2 implementation person,
[00:37:00.800 --> 00:37:01.840]   and that poor person is like,
[00:37:01.840 --> 00:37:03.600]   for a year, they're dealing with this.
[00:37:03.600 --> 00:37:06.560]   - But it's certainly been a lot faster because of that.
[00:37:06.560 --> 00:37:07.720]   But just more broadly,
[00:37:07.720 --> 00:37:10.200]   becoming an enterprise-oriented company,
[00:37:10.200 --> 00:37:12.920]   what have you had to change or learn?
[00:37:12.920 --> 00:37:17.720]   - Yeah, so I would actually say that we've only done it
[00:37:17.720 --> 00:37:20.840]   because we were feeling the pull.
[00:37:20.840 --> 00:37:24.960]   I wouldn't recommend doing it early if you can avoid it,
[00:37:24.960 --> 00:37:26.360]   because you do have to do all these things,
[00:37:26.360 --> 00:37:29.080]   SOC 2 compliance, and I think Peter's filling out
[00:37:29.080 --> 00:37:32.040]   a very long InfoSec questionnaire today, right?
[00:37:32.040 --> 00:37:34.080]   Although you have most of the questions prepared,
[00:37:34.080 --> 00:37:35.600]   each one's just a little bit different,
[00:37:35.600 --> 00:37:36.440]   so there is just this overhead.
[00:37:36.440 --> 00:37:37.360]   - You need GPT to fill it out.
[00:37:37.360 --> 00:37:40.280]   - There is this overhead on each time, no comment.
[00:37:40.280 --> 00:37:43.440]   (both laughing)
[00:37:43.440 --> 00:37:47.120]   But the potential gain for some of these larger companies,
[00:37:47.120 --> 00:37:49.240]   if they can make efficiency improvements
[00:37:49.240 --> 00:37:52.920]   of one, two, four, 5%, is so much bigger,
[00:37:52.920 --> 00:37:54.960]   and the efficiency improvements probably aren't 5%,
[00:37:54.960 --> 00:37:57.040]   they're probably 20%, 30%.
[00:37:57.040 --> 00:37:59.400]   And so when the upside is so large,
[00:37:59.400 --> 00:38:03.640]   if you're a large company that's,
[00:38:03.640 --> 00:38:05.800]   your costs are dominated, say, by customer support
[00:38:05.800 --> 00:38:07.120]   or something like this,
[00:38:07.120 --> 00:38:08.280]   then the idea that you might be able
[00:38:08.280 --> 00:38:10.160]   to dramatically improve that,
[00:38:10.160 --> 00:38:12.360]   or if you can make your developers much more efficient,
[00:38:12.360 --> 00:38:13.800]   there's just no shortage of things.
[00:38:13.800 --> 00:38:15.400]   And I think a lot of companies,
[00:38:15.400 --> 00:38:17.660]   in the build versus buy decision,
[00:38:17.660 --> 00:38:18.720]   they want to do both,
[00:38:18.720 --> 00:38:21.320]   because they want to have the capacity internally
[00:38:21.320 --> 00:38:23.960]   to be able to build AI features and services
[00:38:23.960 --> 00:38:24.960]   as part of their product as well,
[00:38:24.960 --> 00:38:26.240]   so they don't wanna buy everything.
[00:38:26.240 --> 00:38:28.240]   Certain things, it makes a lot of sense,
[00:38:28.240 --> 00:38:30.080]   it's fully packaged, no one's building their own IDE,
[00:38:30.080 --> 00:38:32.720]   like they're gonna use Copilot or whatever is the equivalent
[00:38:32.720 --> 00:38:35.240]   but they want to be able to add,
[00:38:35.240 --> 00:38:37.720]   I think the first AI feature that Gusto added
[00:38:37.720 --> 00:38:40.040]   was the ability within their application
[00:38:40.040 --> 00:38:42.880]   for people who are creating job ads,
[00:38:42.880 --> 00:38:44.600]   could put in a very short description
[00:38:44.600 --> 00:38:47.000]   and it would auto-generate the first draft job ad,
[00:38:47.000 --> 00:38:48.380]   and was smart enough to know
[00:38:48.380 --> 00:38:50.040]   that there are different legal requirements
[00:38:50.040 --> 00:38:52.560]   and what information has to be there for different states.
[00:38:52.560 --> 00:38:54.960]   So in certain states, you have to, for example,
[00:38:54.960 --> 00:38:56.400]   report the salary range,
[00:38:56.400 --> 00:38:57.720]   and in certain states you don't,
[00:38:57.720 --> 00:39:00.960]   it's pretty easy to give that information to GPT-4
[00:39:00.960 --> 00:39:03.480]   and have it generate you a sensible draft.
[00:39:03.480 --> 00:39:06.800]   But that was, I think, something that they got to production
[00:39:06.800 --> 00:39:08.280]   within weeks of starting.
[00:39:08.280 --> 00:39:10.720]   And just to see such a large company
[00:39:10.720 --> 00:39:13.040]   go from zero to having AI features in production,
[00:39:13.040 --> 00:39:15.420]   and now they're adding more and more,
[00:39:15.420 --> 00:39:16.480]   it's been quite phenomenal.
[00:39:16.480 --> 00:39:20.480]   - Yeah, the speed of iteration, it's unlike enterprise,
[00:39:20.480 --> 00:39:21.320]   which is fantastic.
[00:39:21.320 --> 00:39:23.720]   I think a lot of people see the potential there.
[00:39:23.720 --> 00:39:27.040]   I think people's main concern
[00:39:27.040 --> 00:39:29.680]   with having someone like HumanLoop in the loop
[00:39:29.680 --> 00:39:32.280]   is the data and privacy element, right?
[00:39:32.280 --> 00:39:34.240]   Do people want on-prem HumanLoop?
[00:39:34.240 --> 00:39:36.720]   - So we do do VPC deployments where they're needed.
[00:39:36.720 --> 00:39:38.520]   We don't do full on-premise.
[00:39:38.520 --> 00:39:40.840]   So far, most people, we've been able to persuade
[00:39:40.840 --> 00:39:41.800]   that they don't need it.
[00:39:41.800 --> 00:39:44.240]   So whenever someone says we need VPC,
[00:39:44.240 --> 00:39:46.360]   the first question I always ask is why.
[00:39:46.360 --> 00:39:48.800]   And then we go through what are the real reasons,
[00:39:48.800 --> 00:39:50.040]   like what are they concerned about,
[00:39:50.040 --> 00:39:51.460]   and we see whether we can find ways,
[00:39:51.460 --> 00:39:54.440]   either contractually or in our own cloud,
[00:39:54.440 --> 00:39:56.180]   to satisfy those requirements.
[00:39:56.180 --> 00:39:57.740]   There are exceptions, like we work now
[00:39:57.740 --> 00:40:00.440]   with some financially regulated companies.
[00:40:00.440 --> 00:40:02.560]   Amex GPT is one of our customers.
[00:40:02.560 --> 00:40:04.680]   Sorry, I should specify. - I heard GPT, okay.
[00:40:04.680 --> 00:40:07.920]   - Yeah, no, Amex GPT is their global business travel arm.
[00:40:07.920 --> 00:40:10.200]   And they've got very sensitive information.
[00:40:10.200 --> 00:40:12.080]   And so they're particularly concerned about it,
[00:40:12.080 --> 00:40:13.660]   and there's more auditing.
[00:40:13.660 --> 00:40:17.800]   But for the people who are not financially regulated,
[00:40:17.800 --> 00:40:19.840]   usually we can persuade them that,
[00:40:19.840 --> 00:40:22.440]   look, we have SOC 2, or we're essentially there.
[00:40:22.440 --> 00:40:23.960]   We've got regular pen tests.
[00:40:23.960 --> 00:40:26.920]   We follow really high security standards.
[00:40:26.920 --> 00:40:29.360]   Most people so far have been accepting of that.
[00:40:29.360 --> 00:40:31.800]   - Yeah, have you ever attempted to classify
[00:40:31.800 --> 00:40:33.920]   the use cases that you're seeing?
[00:40:33.920 --> 00:40:35.440]   Just, you see the whole universe,
[00:40:35.440 --> 00:40:37.240]   and you're not super opinionated about them,
[00:40:37.240 --> 00:40:41.240]   but there's summarization, there's classification,
[00:40:41.240 --> 00:40:42.640]   there's, you know, there's--
[00:40:42.640 --> 00:40:43.480]   - Okay, so interesting.
[00:40:43.480 --> 00:40:45.800]   I've certainly not tried to classify them
[00:40:45.800 --> 00:40:48.500]   at that granularity, like is it summarization
[00:40:48.500 --> 00:40:49.840]   or a question answering?
[00:40:49.840 --> 00:40:52.540]   I often think more about the end use case.
[00:40:52.540 --> 00:40:55.040]   So is this an ed tech use case, or is this someone--
[00:40:55.040 --> 00:40:55.880]   - That's the vertical to me.
[00:40:55.880 --> 00:40:57.640]   - Yeah. - I think a little bit more
[00:40:57.640 --> 00:40:59.480]   about it like that.
[00:40:59.480 --> 00:41:03.280]   In terms of use cases, it's really varied, right?
[00:41:03.280 --> 00:41:04.920]   There are people using the models as completion,
[00:41:04.920 --> 00:41:06.280]   there's chat.
[00:41:06.280 --> 00:41:08.580]   Like, it wouldn't be so obvious to know
[00:41:08.580 --> 00:41:11.320]   without doing some like GPT level analysis on it,
[00:41:11.320 --> 00:41:14.080]   like getting GPT to look at the outputs and inputs.
[00:41:14.080 --> 00:41:14.920]   - Which you can do.
[00:41:14.920 --> 00:41:18.720]   - Which we can do, whether they are doing summarization
[00:41:18.720 --> 00:41:19.720]   or something similar.
[00:41:19.720 --> 00:41:21.880]   But I would say I feel like most use cases blend.
[00:41:21.880 --> 00:41:23.880]   Like that to me feels like an old school NLP way
[00:41:23.880 --> 00:41:24.840]   of viewing the world.
[00:41:24.840 --> 00:41:27.400]   Like an old school NLP, we used to break down these tasks
[00:41:27.400 --> 00:41:30.640]   into like summarization and NER and extraction and QA
[00:41:30.640 --> 00:41:32.480]   and then pipeline things together.
[00:41:32.480 --> 00:41:35.120]   And actually I feel like that doesn't map very well
[00:41:35.120 --> 00:41:36.680]   onto how people are using GPT for today.
[00:41:36.680 --> 00:41:38.440]   - Stack more layers, bro.
[00:41:38.440 --> 00:41:40.960]   - Because they're using them as general purpose models.
[00:41:40.960 --> 00:41:43.080]   And so it is one model that's doing NER
[00:41:43.080 --> 00:41:44.840]   and it's doing extraction, it's doing summarization,
[00:41:44.840 --> 00:41:46.280]   it's doing classification, and it's often
[00:41:46.280 --> 00:41:49.560]   in one end to end sort of system.
